financial_year,track_type,metric,value,unit,aggregation_level,source,source_url
1962-63,broad_gauge,train_km_per_running_track_km_per_day,20.6,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1962-63,broad_gauge,passenger_km_per_route_km_per_annum,2162.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1962-63,broad_gauge,net_tonne_km_per_route_km_per_annum,3084.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1962-63,meter_gauge,train_km_per_running_track_km_per_day,13.9,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1962-63,meter_gauge,passenger_km_per_route_km_per_annum,944.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1962-63,meter_gauge,net_tonne_km_per_route_km_per_annum,641.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1963-64,broad_gauge,train_km_per_running_track_km_per_day,20.9,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1963-64,broad_gauge,passenger_km_per_route_km_per_annum,2272.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1963-64,broad_gauge,net_tonne_km_per_route_km_per_annum,3246.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1963-64,meter_gauge,train_km_per_running_track_km_per_day,14.2,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1963-64,meter_gauge,passenger_km_per_route_km_per_annum,992.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1963-64,meter_gauge,net_tonne_km_per_route_km_per_annum,692.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1964-65,broad_gauge,train_km_per_running_track_km_per_day,20.9,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1964-65,broad_gauge,passenger_km_per_route_km_per_annum,2341.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1964-65,broad_gauge,net_tonne_km_per_route_km_per_annum,3150.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1964-65,meter_gauge,train_km_per_running_track_km_per_day,14.6,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1964-65,meter_gauge,passenger_km_per_route_km_per_annum,1046.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1964-65,meter_gauge,net_tonne_km_per_route_km_per_annum,703.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1965-66,broad_gauge,train_km_per_running_track_km_per_day,21.4,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1965-66,broad_gauge,passenger_km_per_route_km_per_annum,2377.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1965-66,broad_gauge,net_tonne_km_per_route_km_per_annum,3404.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1965-66,meter_gauge,train_km_per_running_track_km_per_day,14.9,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1965-66,meter_gauge,passenger_km_per_route_km_per_annum,1062.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1965-66,meter_gauge,net_tonne_km_per_route_km_per_annum,758.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1966-67,broad_gauge,train_km_per_running_track_km_per_day,21.2,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1966-67,broad_gauge,passenger_km_per_route_km_per_annum,2501.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1966-67,broad_gauge,net_tonne_km_per_route_km_per_annum,3413.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1966-67,meter_gauge,train_km_per_running_track_km_per_day,14.8,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1966-67,meter_gauge,passenger_km_per_route_km_per_annum,1152.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1966-67,meter_gauge,net_tonne_km_per_route_km_per_annum,731.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1967-68,broad_gauge,train_km_per_running_track_km_per_day,21.2,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1967-68,broad_gauge,passenger_km_per_route_km_per_annum,2657.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1967-68,broad_gauge,net_tonne_km_per_route_km_per_annum,3487.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1967-68,meter_gauge,train_km_per_running_track_km_per_day,14.5,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1967-68,meter_gauge,passenger_km_per_route_km_per_annum,1152.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1967-68,meter_gauge,net_tonne_km_per_route_km_per_annum,721.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1968-69,broad_gauge,train_km_per_running_track_km_per_day,21.0,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1968-69,broad_gauge,passenger_km_per_route_km_per_annum,2618.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1968-69,broad_gauge,net_tonne_km_per_route_km_per_annum,3590.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1968-69,meter_gauge,train_km_per_running_track_km_per_day,14.8,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1968-69,meter_gauge,passenger_km_per_route_km_per_annum,1124.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1968-69,meter_gauge,net_tonne_km_per_route_km_per_annum,769.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1969-70,broad_gauge,train_km_per_running_track_km_per_day,21.4,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1969-70,broad_gauge,passenger_km_per_route_km_per_annum,2760.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1969-70,broad_gauge,net_tonne_km_per_route_km_per_annum,3654.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1969-70,meter_gauge,train_km_per_running_track_km_per_day,15.1,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1969-70,meter_gauge,passenger_km_per_route_km_per_annum,1.203,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1969-70,meter_gauge,net_tonne_km_per_route_km_per_annum,801.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1970-71,broad_gauge,train_km_per_running_track_km_per_day,20.9,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1970-71,broad_gauge,passenger_km_per_route_km_per_annum,2876.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1970-71,broad_gauge,net_tonne_km_per_route_km_per_annum,3611.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1970-71,meter_gauge,train_km_per_running_track_km_per_day,14.9,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1970-71,meter_gauge,passenger_km_per_route_km_per_annum,1.249,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1970-71,meter_gauge,net_tonne_km_per_route_km_per_annum,806.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1971-72,broad_gauge,train_km_per_running_track_km_per_day,20.9,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1971-72,broad_gauge,passenger_km_per_route_km_per_annum,3021.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1971-72,broad_gauge,net_tonne_km_per_route_km_per_annum,3713.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1971-72,meter_gauge,train_km_per_running_track_km_per_day,14.5,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1971-72,meter_gauge,passenger_km_per_route_km_per_annum,1.297,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1971-72,meter_gauge,net_tonne_km_per_route_km_per_annum,838.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1972-73,broad_gauge,train_km_per_running_track_km_per_day,20.7,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1972-73,broad_gauge,passenger_km_per_route_km_per_annum,3248.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1972-73,broad_gauge,net_tonne_km_per_route_km_per_annum,3804.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1972-73,meter_gauge,train_km_per_running_track_km_per_day,14.3,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1972-73,meter_gauge,passenger_km_per_route_km_per_annum,1.343,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1972-73,meter_gauge,net_tonne_km_per_route_km_per_annum,847.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1973-74,broad_gauge,train_km_per_running_track_km_per_day,19.3,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1973-74,broad_gauge,passenger_km_per_route_km_per_annum,3361.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1973-74,broad_gauge,net_tonne_km_per_route_km_per_annum,3424.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1973-74,meter_gauge,train_km_per_running_track_km_per_day,12.1,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1973-74,meter_gauge,passenger_km_per_route_km_per_annum,1.287,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1973-74,meter_gauge,net_tonne_km_per_route_km_per_annum,732.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1974-75,broad_gauge,train_km_per_running_track_km_per_day,19.5,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1974-75,broad_gauge,passenger_km_per_route_km_per_annum,3157.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1974-75,broad_gauge,net_tonne_km_per_route_km_per_annum,3771.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1974-75,meter_gauge,train_km_per_running_track_km_per_day,11.6,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1974-75,meter_gauge,passenger_km_per_route_km_per_annum,1.257,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1974-75,meter_gauge,net_tonne_km_per_route_km_per_annum,779.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1975-76,broad_gauge,train_km_per_running_track_km_per_day,21.6,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1975-76,broad_gauge,passenger_km_per_route_km_per_annum,3676.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1975-76,broad_gauge,net_tonne_km_per_route_km_per_annum,4170.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1975-76,meter_gauge,train_km_per_running_track_km_per_day,13.7,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1975-76,meter_gauge,passenger_km_per_route_km_per_annum,1.397,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1975-76,meter_gauge,net_tonne_km_per_route_km_per_annum,818.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1976-77,broad_gauge,train_km_per_running_track_km_per_day,22.6,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1976-77,broad_gauge,passenger_km_per_route_km_per_annum,4016.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1976-77,broad_gauge,net_tonne_km_per_route_km_per_annum,4348.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1976-77,meter_gauge,train_km_per_running_track_km_per_day,14.2,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1976-77,meter_gauge,passenger_km_per_route_km_per_annum,1.515,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1976-77,meter_gauge,net_tonne_km_per_route_km_per_annum,872.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1977-78,broad_gauge,train_km_per_running_track_km_per_day,23.5,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1977-78,broad_gauge,passenger_km_per_route_km_per_annum,4377.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1977-78,broad_gauge,net_tonne_km_per_route_km_per_annum,4548.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1977-78,meter_gauge,train_km_per_running_track_km_per_day,14.1,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1977-78,meter_gauge,passenger_km_per_route_km_per_annum,1.572,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1977-78,meter_gauge,net_tonne_km_per_route_km_per_annum,857.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1978-79,broad_gauge,train_km_per_running_track_km_per_day,22.6,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1978-79,broad_gauge,passenger_km_per_route_km_per_annum,4793.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1978-79,broad_gauge,net_tonne_km_per_route_km_per_annum,4238.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1978-79,meter_gauge,train_km_per_running_track_km_per_day,13.2,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1978-79,meter_gauge,passenger_km_per_route_km_per_annum,1.675,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1978-79,meter_gauge,net_tonne_km_per_route_km_per_annum,831.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1979-80,broad_gauge,train_km_per_running_track_km_per_day,22.6,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1979-80,broad_gauge,passenger_km_per_route_km_per_annum,4927.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1979-80,broad_gauge,net_tonne_km_per_route_km_per_annum,4326.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1979-80,meter_gauge,train_km_per_running_track_km_per_day,12.8,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1979-80,meter_gauge,passenger_km_per_route_km_per_annum,1707.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1979-80,meter_gauge,net_tonne_km_per_route_km_per_annum,813.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1980-81,broad_gauge,train_km_per_running_track_km_per_day,22.4,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1980-81,broad_gauge,passenger_km_per_route_km_per_annum,5149.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1980-81,broad_gauge,net_tonne_km_per_route_km_per_annum,4339.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1980-81,meter_gauge,train_km_per_running_track_km_per_day,12.8,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1980-81,meter_gauge,passenger_km_per_route_km_per_annum,1719.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
