block_id,plan_run_id,plan_version,generated_at,plan_date,section_id,start_time,end_time,duration_minutes,task_ids,departments,priority,resources,crew,train_impact,utilization,optimization_score,status,xai_reason,source,source_record_id,dataset_name,optimizer_status,rejection_reason
RB-SEC_045-0011,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-30,SEC_045,2026-08-30 12:51:31,2026-08-30 15:51:31,180,TMS_TASK_010538,Engineering;TRD,98.97,Engineering crew,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TMS_TASK_010538,feasibility_checked_tasks.csv,OPTIMAL,
RB-SEC_045-0012,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-30,SEC_045,2026-08-30 16:51:31,2026-08-30 19:21:31,150,TDMS_TASK_020144,Engineering;TRD,98.97,Tower Wagon,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TDMS_TASK_020144,feasibility_checked_tasks.csv,OPTIMAL,
RB-SEC_045-0013,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-30,SEC_045,2026-08-30 20:51:31,2026-08-30 22:51:31,120,TMS_TASK_000740,Engineering;S&T;TRD,99.12,Engineering crew,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TMS_TASK_000740,feasibility_checked_tasks.csv,OPTIMAL,
RB-SEC_045-0014,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-31,SEC_045,2026-08-31 00:51:31,2026-08-31 03:51:31,180,TDMS_TASK_021527,Engineering;S&T;TRD,98.97,TRD crew,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TDMS_TASK_021527,feasibility_checked_tasks.csv,OPTIMAL,
RB-SEC_045-0015,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-31,SEC_045,2026-08-31 04:51:31,2026-08-31 07:51:31,180,TDMS_TASK_016889,Engineering;TRD,98.97,TRD crew,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TDMS_TASK_016889,feasibility_checked_tasks.csv,OPTIMAL,
RB-528,RUN-20260828205559,23,2026-08-28T20:55:59.368966,2026-08-28,SEC-ALJN-TDL,2026-08-28 20:55:59,2026-08-28 22:55:59,120,TASK_RB-528,Engineering;TRD;S&T,85.0,Engineering crew,CREW_01,LOW,0.85,90.0,APPROVED,Block recommendation RB-528 registered for corridor operations.,api,RB-528,weekly_block_plan.csv,FEASIBLE,Traffic density conflict during peak hours
RB-529,RUN-20260828205559,21,2026-08-28T20:55:59.519084,2026-08-28,SEC-ALJN-TDL,2026-08-28 20:55:59,2026-08-28 22:55:59,120,TASK_RB-529,Engineering;TRD;S&T,85.0,Engineering crew,CREW_01,LOW,0.85,90.0,APPROVED,Block recommendation RB-529 registered for corridor operations.,api,RB-529,weekly_block_plan.csv,FEASIBLE,
RB-530,RUN-20260828205734,19,2026-08-28T20:57:34.943323,2026-08-28,SEC-ALJN-TDL,2026-08-28 20:57:34,2026-08-28 22:57:34,120,TASK_RB-530,Engineering;TRD;S&T,85.0,Engineering crew,CREW_01,LOW,0.85,90.0,REJECTED,Block recommendation RB-530 registered for corridor operations.,api,RB-530,weekly_block_plan.csv,FEASIBLE,Traffic density conflict during peak hours
RB-513,RUN-20260828213123,2,2026-08-28T21:31:23.130530,2026-08-28,SEC-ALJN-TDL,2026-08-28 21:31:23,2026-08-28 23:31:23,120,TASK_RB-513,Engineering;TRD;S&T,85.0,Engineering crew,CREW_01,LOW,0.85,90.0,APPROVED,Block recommendation RB-513 registered for corridor operations.,api,RB-513,weekly_block_plan.csv,FEASIBLE,
RB-417,RUN-20260829132918,2,2026-08-29T13:29:18.586134,2026-08-29,SEC-ALJN-TDL,2026-08-29 13:29:18,2026-08-29 15:29:18,120,TASK_RB-417,Engineering;TRD;S&T,85.0,Engineering crew,CREW_01,LOW,0.85,90.0,APPROVED,Block recommendation RB-417 registered for corridor operations.,api,RB-417,weekly_block_plan.csv,FEASIBLE,
