reschedule_id,disruption_event_id,original_block_id,new_block_id,status,accepted_by,plan_updated,timestamp
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,,
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,,
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,,
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,,
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,,
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,,
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,,
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,,
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-07T18:08:30.707416
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-07T18:08:33.082648
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-07T18:08:33.669514
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-07T18:09:14.871683
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-07T18:10:22.073771
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-07T18:12:02.943449
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-07T18:12:03.857872
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-07T18:13:37.139439
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-07T18:14:38.217511
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-07T18:14:41.454015
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-07T18:14:42.400541
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-07T18:19:25.833817
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-07T18:19:29.258046
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-07T18:19:30.053476
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-07T18:22:57.591436
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-07T18:23:00.510615
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-07T18:23:01.250511
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-07T18:52:18.650107
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-07T18:52:21.646864
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-07T18:52:22.410252
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-07T20:08:22.510910
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-07T20:08:34.282864
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-07T20:08:37.496910
