task_id,department,section_id,location_reference_type,location_reference_id,start_km,end_km,defect_type,severity_class,logged_date,target_completion_date,deferred_count,status,overdue_days,required_resource_type,estimated_duration_minutes,gps_latitude,gps_longitude,mapped_chainage_km,spatial_mapping_method,spatial_mapping_confidence,srs,seasonal_risk_score,live_weather_severity,live_weather_risk_score,weather_maintenance_suitability,seasonal_risk_factor,criticality_score,priority_rank,priority_band,cluster_id,cluster_size,departments_involved,integrated_block_candidate,spatial_overlap_score,traffic_feasible,machine_feasible,crew_feasible,time_feasible,spatially_feasible,weather_feasible,overall_feasible,rejection_reason
TMS_TASK_017813,Engineering,SEC_045,CHAINAGE,TMS_TASK_017813,178.133,178.503,Deep Screening Overdue,B,2024-10-28,2024-11-17,4,In-Progress,44,Ballast Cleaning Machine,240,10.966485,78.949703,178.318,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,81.11,28211,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_007170,Engineering,SEC_045,CHAINAGE,TMS_TASK_007170,177.915,178.725,Track Parameter Deviation,B,2024-03-31,2024-04-16,3,In-Progress,259,Tamping Machine,90,10.966485,78.949703,178.32,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,76.62,30945,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_013856,Engineering,SEC_045,CHAINAGE,TMS_TASK_013856,178.227,178.424,Weld Failure,C,2024-08-13,2024-09-19,4,Deferred,103,Engineering crew,120,10.966485,78.949703,178.326,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,65.79,39346,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_002796,Engineering,SEC_045,CHAINAGE,TMS_TASK_002796,178.009,178.644,Track Parameter Deviation,A,2024-06-29,2024-07-01,0,Completed,183,Tamping Machine,90,10.966485,78.949703,178.327,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,83.65,3477,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_008942,Engineering,SEC_045,CHAINAGE,TMS_TASK_008942,178.1,178.555,Weld Failure,A,2024-11-28,2024-12-03,0,In-Progress,28,Engineering crew,120,10.966485,78.949703,178.327,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,81.05,30520,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_026574,Engineering,SEC_045,CHAINAGE,TMS_TASK_026574,178.031,178.645,Deep Screening Overdue,B,2024-12-06,2024-12-23,2,Deferred,8,Ballast Cleaning Machine,240,10.966485,78.949703,178.338,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,47.85,75442,Medium,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_023191,Engineering,SEC_045,CHAINAGE,TMS_TASK_023191,178.312,178.371,Rail Fracture Risk,A,2024-08-17,2024-08-18,0,In-Progress,135,Engineering crew,180,10.966485,78.949703,178.341,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,83.65,3477,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_005461,Engineering,SEC_045,CHAINAGE,TMS_TASK_005461,178.085,178.596,Track Parameter Deviation,B,2024-07-02,2024-07-13,0,Completed,171,Tamping Machine,90,10.966485,78.949703,178.341,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,63.22,40989,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_025471,Engineering,SEC_045,CHAINAGE,TMS_TASK_025471,178.264,178.419,Ballast Issue,C,2024-01-15,2024-01-31,1,Open,335,Ballast Cleaning Machine,120,10.966485,78.949703,178.341,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,52.71,66410,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_004335,Engineering,SEC_045,CHAINAGE,TMS_TASK_004335,177.971,178.742,Deep Screening Overdue,B,2024-02-10,2024-02-26,4,Deferred,309,Ballast Cleaning Machine,240,10.966485,78.949703,178.356,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,81.11,28211,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_018074,Engineering,SEC_045,CHAINAGE,TMS_TASK_018074,178.084,178.63,Rail Fracture Risk,A,2024-07-01,2024-07-02,0,Open,182,Engineering crew,180,10.966485,78.949703,178.357,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,83.65,3477,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_022000,Engineering,SEC_045,CHAINAGE,TMS_TASK_022000,177.888,178.848,Rail Fracture Risk,A,2024-02-05,2024-02-12,0,Completed,323,Engineering crew,180,10.966485,78.949703,178.368,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,83.65,3477,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_009731,Engineering,SEC_045,CHAINAGE,TMS_TASK_009731,177.927,178.818,Ballast Issue,C,2024-10-10,2024-10-25,0,Deferred,67,Ballast Cleaning Machine,120,10.966485,78.949703,178.373,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,48.3,68883,Medium,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_016101,Engineering,SEC_045,CHAINAGE,TMS_TASK_016101,178.001,178.781,Ballast Issue,B,2024-02-21,2024-03-02,0,In-Progress,304,Ballast Cleaning Machine,120,10.966485,78.949703,178.391,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,63.22,40989,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_001948,Engineering,SEC_045,CHAINAGE,TMS_TASK_001948,178.031,178.763,Track Parameter Deviation,B,2024-02-15,2024-02-29,4,Deferred,306,Tamping Machine,90,10.966485,78.949703,178.397,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,81.11,28211,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_017975,Engineering,SEC_045,CHAINAGE,TMS_TASK_017975,177.931,178.887,Weld Failure,A,2024-04-22,2024-04-27,0,In-Progress,248,Engineering crew,120,10.966485,78.949703,178.409,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,83.65,3477,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_008210,Engineering,SEC_045,CHAINAGE,TMS_TASK_008210,178.351,178.48,Rail Fracture Risk,B,2024-11-06,2024-11-27,2,Deferred,34,Engineering crew,180,10.966485,78.949703,178.416,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,71.61,36129,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_012429,Engineering,SEC_045,CHAINAGE,TMS_TASK_012429,177.973,178.878,Weld Failure,A,2024-05-21,2024-05-24,0,Completed,221,Engineering crew,120,10.966485,78.949703,178.425,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,83.65,3477,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_010949,Engineering,SEC_045,CHAINAGE,TMS_TASK_010949,178.3,178.614,Ballast Issue,B,2024-07-05,2024-07-17,3,In-Progress,167,Ballast Cleaning Machine,120,10.966485,78.949703,178.457,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,76.62,30945,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_013724,Engineering,SEC_045,CHAINAGE,TMS_TASK_013724,177.864,179.055,Ballast Issue,B,2024-03-20,2024-04-09,0,Open,266,Ballast Cleaning Machine,120,10.966485,78.949703,178.459,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,63.22,40989,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_016337,Engineering,SEC_045,CHAINAGE,TMS_TASK_016337,178.321,178.607,Deep Screening Overdue,B,2024-03-12,2024-03-29,0,Open,277,Ballast Cleaning Machine,240,10.966485,78.949703,178.464,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,63.22,40989,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_012443,Engineering,SEC_045,CHAINAGE,TMS_TASK_012443,177.881,179.092,Weld Failure,B,2024-08-17,2024-08-25,2,Deferred,128,Engineering crew,120,10.966485,78.949703,178.487,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,71.85,33663,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_011414,Engineering,SEC_045,CHAINAGE,TMS_TASK_011414,178.191,178.787,Deep Screening Overdue,B,2024-01-08,2024-01-16,3,Deferred,350,Ballast Cleaning Machine,240,10.966485,78.949703,178.489,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,76.62,30945,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_009155,Engineering,SEC_045,CHAINAGE,TMS_TASK_009155,178.062,178.918,Weld Failure,A,2024-06-15,2024-06-19,0,Completed,195,Engineering crew,120,10.966485,78.949703,178.49,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,83.65,3477,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_025216,Engineering,SEC_045,CHAINAGE,TMS_TASK_025216,177.855,179.149,Weld Failure,B,2024-06-17,2024-06-24,4,In-Progress,190,Engineering crew,120,10.966485,78.949703,178.502,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,81.11,28211,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_009197,Engineering,SEC_045,CHAINAGE,TMS_TASK_009197,178.251,178.874,Ballast Issue,C,2024-07-06,2024-07-24,1,Deferred,160,Ballast Cleaning Machine,120,10.966485,78.949703,178.562,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,52.71,66410,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_008411,Engineering,SEC_045,CHAINAGE,TMS_TASK_008411,178.118,179.036,Rail Fracture Risk,A,2024-03-16,2024-03-23,0,In-Progress,283,Engineering crew,180,10.966485,78.949703,178.577,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,83.65,3477,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_024512,Engineering,SEC_045,CHAINAGE,TMS_TASK_024512,178.457,178.697,Deep Screening Overdue,B,2024-03-19,2024-04-08,0,Open,267,Ballast Cleaning Machine,240,10.966485,78.949703,178.577,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,63.22,40989,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_027714,Engineering,SEC_045,CHAINAGE,TMS_TASK_027714,178.079,179.099,Track Parameter Deviation,A,2024-05-20,2024-05-24,0,Open,221,Tamping Machine,90,10.966485,78.949703,178.589,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,83.65,3477,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_015154,Engineering,SEC_045,CHAINAGE,TMS_TASK_015154,177.933,179.244,Track Parameter Deviation,B,2024-07-18,2024-07-28,3,Open,156,Tamping Machine,90,10.966485,78.949703,178.589,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,76.62,30945,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_011673,Engineering,SEC_045,CHAINAGE,TMS_TASK_011673,178.387,178.827,Deep Screening Overdue,B,2024-10-28,2024-11-17,0,Completed,44,Ballast Cleaning Machine,240,10.966485,78.949703,178.607,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,63.22,40989,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_024742,Engineering,SEC_045,CHAINAGE,TMS_TASK_024742,177.958,179.268,Track Parameter Deviation,B,2024-11-05,2024-11-22,2,Deferred,39,Tamping Machine,90,10.966485,78.949703,178.613,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,71.89,33646,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_021959,Engineering,SEC_045,CHAINAGE,TMS_TASK_021959,178.334,178.891,Deep Screening Overdue,B,2024-05-31,2024-06-13,0,Open,201,Ballast Cleaning Machine,240,10.966485,78.949703,178.613,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,63.22,40989,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_009499,Engineering,SEC_045,CHAINAGE,TMS_TASK_009499,178.435,178.862,Ballast Issue,A,2024-09-29,2024-10-04,0,In-Progress,88,Ballast Cleaning Machine,120,10.966485,78.949703,178.649,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,83.65,3477,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_004850,Engineering,SEC_045,CHAINAGE,TMS_TASK_004850,178.204,179.106,Ballast Issue,C,2024-06-22,2024-08-03,0,In-Progress,150,Ballast Cleaning Machine,120,10.966485,78.949703,178.655,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,48.3,68883,Medium,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_005311,Engineering,SEC_045,CHAINAGE,TMS_TASK_005311,178.074,179.236,Track Parameter Deviation,B,2024-12-06,2024-12-16,0,In-Progress,15,Tamping Machine,90,10.966485,78.949703,178.655,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,46.51,75731,Medium,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_009960,Engineering,SEC_045,CHAINAGE,TMS_TASK_009960,178.127,179.193,Weld Failure,A,2024-09-16,2024-09-18,0,Open,104,Engineering crew,120,10.966485,78.949703,178.66,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,83.65,3477,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_024472,Engineering,SEC_045,CHAINAGE,TMS_TASK_024472,178.532,178.787,Deep Screening Overdue,C,2024-07-07,2024-07-28,0,In-Progress,156,Ballast Cleaning Machine,240,10.966485,78.949703,178.66,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,48.3,68883,Medium,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_004981,Engineering,SEC_045,CHAINAGE,TMS_TASK_004981,178.307,179.062,Track Parameter Deviation,B,2024-10-26,2024-11-05,0,In-Progress,56,Tamping Machine,90,10.966485,78.949703,178.685,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,63.22,40989,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_007764,Engineering,SEC_045,CHAINAGE,TMS_TASK_007764,178.155,179.222,Deep Screening Overdue,C,2024-08-20,2024-09-05,0,Open,117,Ballast Cleaning Machine,240,10.966485,78.949703,178.689,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,48.3,68883,Medium,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_001108,Engineering,SEC_045,CHAINAGE,TMS_TASK_001108,178.004,179.472,Deep Screening Overdue,A,2024-12-03,2024-12-04,0,Completed,27,Ballast Cleaning Machine,240,10.966485,78.949703,178.738,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,80.66,30596,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_011189,Engineering,SEC_045,CHAINAGE,TMS_TASK_011189,178.449,179.069,Deep Screening Overdue,C,2024-04-28,2024-05-12,4,Deferred,233,Ballast Cleaning Machine,240,10.966485,78.949703,178.759,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,65.79,39346,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_022473,Engineering,SEC_045,CHAINAGE,TMS_TASK_022473,178.431,179.122,Deep Screening Overdue,B,2024-01-05,2024-01-17,0,In-Progress,349,Ballast Cleaning Machine,240,10.966485,78.949703,178.776,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,63.22,40989,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_015952,Engineering,SEC_045,CHAINAGE,TMS_TASK_015952,178.209,179.375,Deep Screening Overdue,B,2024-04-11,2024-04-18,2,Deferred,257,Ballast Cleaning Machine,240,10.966485,78.949703,178.792,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,71.85,33663,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_005054,Engineering,SEC_045,CHAINAGE,TMS_TASK_005054,178.582,179.066,Ballast Issue,B,2024-06-13,2024-07-03,3,In-Progress,181,Ballast Cleaning Machine,120,10.966485,78.949703,178.824,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,76.62,30945,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_015184,Engineering,SEC_045,CHAINAGE,TMS_TASK_015184,178.716,178.947,Track Parameter Deviation,A,2024-01-03,2024-01-09,0,Deferred,357,Tamping Machine,90,10.966485,78.949703,178.832,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,83.65,3477,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_011961,Engineering,SEC_045,CHAINAGE,TMS_TASK_011961,178.227,179.458,Ballast Issue,C,2024-02-27,2024-04-06,4,Deferred,269,Ballast Cleaning Machine,120,10.966485,78.949703,178.843,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,65.79,39346,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_014189,Engineering,SEC_045,CHAINAGE,TMS_TASK_014189,178.755,178.938,Ballast Issue,C,2024-02-17,2024-03-04,0,Open,302,Ballast Cleaning Machine,120,10.966485,78.949703,178.846,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,48.3,68883,Medium,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_018538,Engineering,SEC_045,CHAINAGE,TMS_TASK_018538,178.102,179.592,Track Parameter Deviation,B,2024-08-14,2024-08-25,0,Open,128,Tamping Machine,90,10.966485,78.949703,178.847,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,63.22,40989,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_014792,Engineering,SEC_045,CHAINAGE,TMS_TASK_014792,178.505,179.202,Rail Fracture Risk,A,2024-06-24,2024-06-26,0,Open,188,Engineering crew,180,10.966485,78.949703,178.853,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,83.65,3477,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_006152,Engineering,SEC_045,CHAINAGE,TMS_TASK_006152,178.779,178.954,Ballast Issue,C,2024-02-03,2024-02-29,1,Deferred,306,Ballast Cleaning Machine,120,10.966485,78.949703,178.867,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,52.71,66410,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_017938,Engineering,SEC_045,CHAINAGE,TMS_TASK_017938,178.442,179.321,Deep Screening Overdue,C,2024-08-03,2024-08-25,4,Open,128,Ballast Cleaning Machine,240,10.966485,78.949703,178.882,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,65.79,39346,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
