task_id,criticality_score,priority_band,overall_feasible,rejection_reason
TDMS_TASK_020323,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_016030,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_020885,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_021909,52.71,High,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_022636,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_016598,87.36,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_012215,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_012806,71.85,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_001996,60.98,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_006741,59.57,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_017918,59.57,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_006984,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_029983,62.25,High,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_001279,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_005462,67.45,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_015272,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_024836,63.22,High,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_004131,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_011493,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_015691,72.81,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_021437,69.5,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_013246,67.9,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_020426,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_013959,63.22,High,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_014784,81.11,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_008630,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_010366,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_020652,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_017497,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_001913,76.62,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_014009,67.45,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_003191,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_004627,63.01,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_004111,52.71,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_001739,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_012215,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_014932,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_020484,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_023748,63.0,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_019811,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_013174,45.66,Medium,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_009199,56.54,High,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_029979,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_024219,96.41,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_010312,87.36,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_006414,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_021441,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_016987,76.62,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_023220,70.76,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_007067,65.79,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_015493,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_021395,59.33,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_016791,52.13,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_023016,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_009546,98.97,Critical,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_013341,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_017430,96.41,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_012318,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_005170,76.62,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_015532,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_007212,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_001622,60.98,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_020862,42.05,Medium,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_015532,62.84,High,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_001070,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_024793,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_024516,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_022413,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_018091,81.11,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_018684,60.98,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_007205,45.66,Medium,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_010356,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_006521,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_006358,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_011151,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_019902,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_012969,83.63,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_024167,65.79,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_001294,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_000901,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_009546,62.84,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_003234,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_010456,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_008871,52.71,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_006229,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_001237,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_015858,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_002628,81.11,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_002789,76.62,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_001550,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_006057,52.47,High,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_008989,30.05,Medium,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_003898,65.79,High,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_021018,81.11,Critical,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_008674,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_007581,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_006076,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_005297,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_019469,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_000773,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_023629,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_004598,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_022255,30.05,Medium,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_022635,30.05,Medium,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_023501,65.79,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_007735,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_013978,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_017266,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_015497,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_023350,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_009381,54.73,High,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_017482,60.98,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_000846,96.41,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_012256,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_019636,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_019372,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_018447,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_014026,76.62,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_000845,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_002646,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_003217,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_022920,63.0,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_000381,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_002975,63.22,High,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_016588,98.97,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_014406,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_014352,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_012084,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_023501,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_008871,83.36,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_017627,81.11,Critical,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_015100,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_012323,98.97,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_011391,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_017903,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_019407,76.62,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_010787,71.85,High,False,High Traffic Pressure / No Traffic Gap
