reschedule_id,disruption_event_id,original_block_id,new_block_id,status,accepted_by,plan_updated,timestamp
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-10T22:20:37.830699
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-10T22:20:43.878901
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-10T22:20:45.758538
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-10T22:22:43.292545
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-10T22:22:45.806237
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-10T22:22:46.649298
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-10T22:29:23.462298
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-10T22:29:26.025506
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-10T22:29:26.909196
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-18T19:12:28.357659
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-18T19:12:31.891770
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-18T19:12:32.917122
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-18T19:56:50.423281
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-18T19:57:00.964706
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-18T19:57:04.258558
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-18T20:43:08.739886
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-18T20:43:18.863532
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-18T20:43:47.323521
OPT_101,OPT_101,OPT_101,OPT_101,ACCEPTED,Controller,False,2026-09-18T20:56:03.245910
BLK-RESCHED-A-01,BLK,BLK,BLK-RESCHED-A-01,ACCEPTED,TestController,False,2026-09-18T20:56:13.401976
RB-TEST-01-D60,RB,RB,RB-TEST-01-D60,ACCEPTED,Chief Controller,False,2026-09-18T20:56:37.196401
