crew_id,department,home_depot,shift_start,shift_end,headcount,is_available
CREW_0049,S&T,Rura Khas,06:00:00,14:00:00,4,True
CREW_0050,Engineering,Shujatpur Purani,22:00:00,06:00:00,4,False
CREW_0051,Engineering,Aligarh Naya,14:00:00,22:00:00,7,False
CREW_0052,Engineering,Aligarh Naya,14:00:00,22:00:00,5,True
CREW_0053,TRD,Shikohabad Purani,06:00:00,14:00:00,6,True
CREW_0054,TRD,Dadri Stn-17,14:00:00,22:00:00,7,True
CREW_0055,S&T,Rura Stn-26,14:00:00,22:00:00,8,True
CREW_0056,Engineering,Shujatpur Purani,22:00:00,06:00:00,11,True
CREW_0057,TRD,Manauri Stn-48,06:00:00,14:00:00,4,True
CREW_0058,Engineering,Shikohabad Purani,06:00:00,14:00:00,11,True
CREW_0059,S&T,Rura Khas,22:00:00,06:00:00,9,True
CREW_0060,S&T,Shikohabad Stn-45,14:00:00,22:00:00,8,True
CREW_0061,S&T,Manauri Stn-48,22:00:00,06:00:00,8,True
CREW_0062,Engineering,Dadri Stn-17,08:00:00,16:00:00,7,True
CREW_0063,Engineering,Shikohabad Stn-45,14:00:00,22:00:00,4,False
CREW_0064,Engineering,Shikohabad Stn-45,06:00:00,14:00:00,4,True
CREW_0065,TRD,Shikohabad Stn-45,08:00:00,16:00:00,7,True
CREW_0066,S&T,Shikohabad Purani,06:00:00,14:00:00,7,True
CREW_0067,Engineering,Etawah Stn-13,08:00:00,16:00:00,4,True
CREW_0068,S&T,Rura Khas,22:00:00,06:00:00,4,True
CREW_0069,Engineering,Shikohabad Stn-45,22:00:00,06:00:00,6,False
CREW_0070,TRD,Jhinjhak North,14:00:00,22:00:00,11,False
CREW_0071,Engineering,Dadri Stn-17,06:00:00,14:00:00,11,True
CREW_0072,Engineering,Shikohabad Stn-45,22:00:00,06:00:00,10,True
CREW_0073,S&T,Manauri Stn-48,06:00:00,14:00:00,4,True
CREW_0074,TRD,Shikohabad Purani,08:00:00,16:00:00,8,True
CREW_0075,Engineering,Jhinjhak North,08:00:00,16:00:00,10,True
CREW_0076,TRD,Dadri Stn-17,06:00:00,14:00:00,5,False
CREW_0077,Engineering,Shikohabad Purani,22:00:00,06:00:00,9,True
CREW_0078,TRD,Aligarh Naya,14:00:00,22:00:00,5,True
CREW_0079,Engineering,Aligarh Naya,06:00:00,14:00:00,11,True
CREW_0080,TRD,Shujatpur Purani,14:00:00,22:00:00,6,True
CREW_0081,Engineering,Shikohabad Stn-45,06:00:00,14:00:00,6,False
CREW_0082,TRD,Aligarh Naya,06:00:00,14:00:00,10,True
CREW_0083,S&T,Dadri Stn-17,14:00:00,22:00:00,7,True
CREW_0084,Engineering,Manauri Stn-48,08:00:00,16:00:00,5,False
CREW_0085,S&T,Jhinjhak North,22:00:00,06:00:00,5,True
CREW_0086,Engineering,Aligarh Naya,06:00:00,14:00:00,6,True
CREW_0087,Engineering,Aligarh Naya,22:00:00,06:00:00,4,True
CREW_0088,S&T,Shikohabad Stn-45,22:00:00,06:00:00,7,True
CREW_0089,Engineering,Jhinjhak North,22:00:00,06:00:00,5,True
CREW_0090,S&T,Jhinjhak North,22:00:00,06:00:00,5,False
CREW_0091,Engineering,Manauri Stn-48,06:00:00,14:00:00,11,True
CREW_0092,S&T,Shikohabad Stn-45,06:00:00,14:00:00,10,True
CREW_0093,Engineering,Shikohabad Purani,22:00:00,06:00:00,8,True
CREW_0094,Engineering,Dadri Stn-17,14:00:00,22:00:00,11,True
CREW_0095,Engineering,Shikohabad Stn-45,08:00:00,16:00:00,10,True
CREW_0096,S&T,Aligarh Naya,08:00:00,16:00:00,7,False
CREW_0097,Engineering,Dadri Stn-17,14:00:00,22:00:00,9,True
CREW_0098,S&T,Dadri Stn-17,06:00:00,14:00:00,7,False
CREW_0099,Engineering,Manauri Stn-48,06:00:00,14:00:00,4,True
CREW_0100,Engineering,Rura Stn-26,22:00:00,06:00:00,7,False
CREW_0101,S&T,Shikohabad Purani,22:00:00,06:00:00,7,True
CREW_0102,Engineering,Manauri Stn-48,08:00:00,16:00:00,11,True
CREW_0103,S&T,Shikohabad Stn-45,08:00:00,16:00:00,11,True
CREW_0104,S&T,Manauri Stn-48,14:00:00,22:00:00,11,True
CREW_0105,S&T,Dadri Stn-17,08:00:00,16:00:00,9,True
CREW_0106,Engineering,Dadri Stn-17,22:00:00,06:00:00,4,True
CREW_0107,S&T,Shujatpur Purani,14:00:00,22:00:00,6,True
CREW_0108,Engineering,Etawah Stn-13,06:00:00,14:00:00,10,True
CREW_0109,Engineering,Rura Khas,14:00:00,22:00:00,5,True
CREW_0110,Engineering,Aligarh Naya,08:00:00,16:00:00,6,True
CREW_0111,TRD,Shujatpur Purani,06:00:00,14:00:00,11,True
CREW_0112,TRD,Manauri Stn-48,14:00:00,22:00:00,8,True
CREW_0113,S&T,Etawah Stn-13,08:00:00,16:00:00,9,True
CREW_0114,S&T,Rura Khas,14:00:00,22:00:00,4,True
CREW_0115,TRD,Rura Khas,14:00:00,22:00:00,6,False
CREW_0116,TRD,Dadri Stn-17,08:00:00,16:00:00,6,True
CREW_0117,S&T,Dadri Stn-17,14:00:00,22:00:00,10,True
CREW_0118,TRD,Shikohabad Stn-45,22:00:00,06:00:00,11,True
CREW_0119,TRD,Etawah Stn-13,14:00:00,22:00:00,11,True
CREW_0120,S&T,Shujatpur Purani,14:00:00,22:00:00,7,True
CREW_0121,S&T,Rura Stn-26,08:00:00,16:00:00,6,True
CREW_0122,Engineering,Shikohabad Purani,08:00:00,16:00:00,5,True
CREW_0123,TRD,Manauri Stn-48,06:00:00,14:00:00,6,True
CREW_0124,TRD,Etawah Stn-13,06:00:00,14:00:00,10,True
CREW_0125,TRD,Rura Stn-26,06:00:00,14:00:00,4,False
CREW_0126,Engineering,Shikohabad Stn-45,22:00:00,06:00:00,5,True
CREW_0127,S&T,Jhinjhak North,22:00:00,06:00:00,6,True
CREW_0128,Engineering,Rura Khas,14:00:00,22:00:00,10,True
CREW_0129,TRD,Shikohabad Purani,14:00:00,22:00:00,7,True
CREW_0130,Engineering,Aligarh Naya,06:00:00,14:00:00,7,True
CREW_0131,S&T,Shikohabad Purani,14:00:00,22:00:00,10,False
CREW_0132,TRD,Rura Stn-26,06:00:00,14:00:00,8,True
CREW_0133,S&T,Aligarh Naya,22:00:00,06:00:00,6,True
CREW_0134,Engineering,Shikohabad Stn-45,06:00:00,14:00:00,4,True
CREW_0135,Engineering,Shikohabad Stn-45,22:00:00,06:00:00,9,True
CREW_0136,Engineering,Jhinjhak North,08:00:00,16:00:00,6,True
CREW_0137,TRD,Aligarh Naya,08:00:00,16:00:00,5,True
CREW_0138,TRD,Jhinjhak North,22:00:00,06:00:00,4,True
CREW_0139,S&T,Shikohabad Purani,06:00:00,14:00:00,8,True
CREW_0140,Engineering,Etawah Stn-13,22:00:00,06:00:00,10,True
CREW_0141,S&T,Shujatpur Purani,22:00:00,06:00:00,6,True
CREW_0142,TRD,Aligarh Naya,08:00:00,16:00:00,10,True
CREW_0143,TRD,Etawah Stn-13,06:00:00,14:00:00,7,True
CREW_0144,Engineering,Shikohabad Stn-45,08:00:00,16:00:00,10,True
CREW_0145,TRD,Shujatpur Purani,08:00:00,16:00:00,6,True
CREW_0146,Engineering,Shikohabad Stn-45,14:00:00,22:00:00,10,True
CREW_0147,Engineering,Shikohabad Stn-45,06:00:00,14:00:00,5,True
CREW_0148,Engineering,Aligarh Naya,14:00:00,22:00:00,11,True
CREW_0149,S&T,Aligarh Naya,08:00:00,16:00:00,11,True
CREW_0150,TRD,Shikohabad Stn-45,22:00:00,06:00:00,10,True
CREW_0151,Engineering,Dadri Stn-17,14:00:00,22:00:00,11,True
CREW_0152,S&T,Shikohabad Purani,14:00:00,22:00:00,8,True
CREW_0153,S&T,Dadri Stn-17,06:00:00,14:00:00,8,True
CREW_0154,S&T,Etawah Stn-13,14:00:00,22:00:00,6,True
CREW_0155,TRD,Aligarh Naya,22:00:00,06:00:00,6,True
CREW_0156,Engineering,Manauri Stn-48,06:00:00,14:00:00,8,True
CREW_0157,S&T,Rura Stn-26,14:00:00,22:00:00,10,True
CREW_0158,Engineering,Etawah Stn-13,14:00:00,22:00:00,11,True
CREW_0159,Engineering,Jhinjhak North,22:00:00,06:00:00,4,True
CREW_0160,TRD,Dadri Stn-17,08:00:00,16:00:00,4,True
CREW_0161,S&T,Dadri Stn-17,06:00:00,14:00:00,6,True
CREW_0162,Engineering,Rura Stn-26,08:00:00,16:00:00,5,True
CREW_0163,Engineering,Etawah Stn-13,06:00:00,14:00:00,9,True
CREW_0164,Engineering,Jhinjhak North,06:00:00,14:00:00,4,True
CREW_0165,Engineering,Rura Khas,14:00:00,22:00:00,7,False
CREW_0166,TRD,Shikohabad Purani,14:00:00,22:00:00,4,True
CREW_0167,Engineering,Dadri Stn-17,14:00:00,22:00:00,7,True
CREW_0168,TRD,Aligarh Naya,06:00:00,14:00:00,10,True
CREW_0169,TRD,Dadri Stn-17,06:00:00,14:00:00,5,True
CREW_0170,TRD,Dadri Stn-17,06:00:00,14:00:00,8,True
CREW_0171,Engineering,Jhinjhak North,22:00:00,06:00:00,6,True
CREW_0172,TRD,Dadri Stn-17,22:00:00,06:00:00,7,True
CREW_0173,S&T,Dadri Stn-17,06:00:00,14:00:00,9,True
CREW_0174,Engineering,Shikohabad Stn-45,22:00:00,06:00:00,10,True
CREW_0175,Engineering,Rura Stn-26,08:00:00,16:00:00,7,True
CREW_0176,TRD,Dadri Stn-17,22:00:00,06:00:00,11,True
CREW_0177,Engineering,Shikohabad Purani,08:00:00,16:00:00,11,True
CREW_0178,S&T,Manauri Stn-48,08:00:00,16:00:00,8,True
CREW_0179,Engineering,Etawah Stn-13,08:00:00,16:00:00,8,True
CREW_0180,S&T,Etawah Stn-13,22:00:00,06:00:00,7,True
CREW_0181,S&T,Shujatpur Purani,22:00:00,06:00:00,8,True
CREW_0182,TRD,Shikohabad Purani,06:00:00,14:00:00,8,True
CREW_0183,Engineering,Rura Stn-26,22:00:00,06:00:00,10,False
CREW_0184,S&T,Shikohabad Stn-45,22:00:00,06:00:00,4,True
CREW_0185,S&T,Rura Khas,14:00:00,22:00:00,4,True
CREW_0186,TRD,Etawah Stn-13,06:00:00,14:00:00,7,True
CREW_0187,Engineering,Manauri Stn-48,22:00:00,06:00:00,11,True
CREW_0188,Engineering,Shikohabad Stn-45,22:00:00,06:00:00,8,True
CREW_0189,Engineering,Dadri Stn-17,22:00:00,06:00:00,5,True
CREW_0190,TRD,Dadri Stn-17,06:00:00,14:00:00,11,True
CREW_0191,Engineering,Rura Khas,14:00:00,22:00:00,11,True
CREW_0192,Engineering,Jhinjhak North,08:00:00,16:00:00,10,True
CREW_0193,S&T,Rura Stn-26,22:00:00,06:00:00,9,True
CREW_0194,Engineering,Rura Stn-26,06:00:00,14:00:00,7,True
CREW_0195,TRD,Shikohabad Purani,22:00:00,06:00:00,4,True
CREW_0196,TRD,Shikohabad Purani,06:00:00,14:00:00,4,True
CREW_0197,S&T,Dadri Stn-17,14:00:00,22:00:00,8,True
CREW_0198,Engineering,Aligarh Naya,22:00:00,06:00:00,8,True
CREW_0199,S&T,Rura Khas,14:00:00,22:00:00,11,True
CREW_0200,Engineering,Shikohabad Purani,08:00:00,16:00:00,6,True
