date,location,station_code,latitude,longitude,event_type,severity,rainfall_mm,temperature_c,humidity,wind_speed,visibility,pressure,monsoon_phase,spatial_resolution,source,source_url
2024-01-01,Virudhunagar Junction,VPT,9.5872,77.9575,normal_weather,LOW,0.0,26.8,64,10.6,8.3,1009.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Satur,SRT,9.3592,77.9255,normal_weather,LOW,0.0,27.3,72,9.5,10.1,1012.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Kovilpatti,CVP,9.1725,77.8683,normal_weather,LOW,0.0,24.9,67,17.9,7.6,1012.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Maniyachchi Junction,MEJ,8.8658,77.8931,normal_weather,LOW,3.7,23.3,68,10.1,8.1,1010.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Thoothukudi,TN,8.8053,78.146,normal_weather,LOW,0.0,25.2,31,11.9,10.4,1006.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Chennai Egmore,MS,13.0777,80.2613,normal_weather,LOW,0.0,26.6,37,17.6,8.9,1010.6,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Tambaram,TBM,12.9248,80.1202,normal_weather,LOW,0.0,27.7,57,11.2,6.9,1009.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Chengalpattu,CGL,12.6934,79.9757,normal_weather,LOW,0.0,23.0,39,25.8,7.5,1009.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Tindivanam,TMV,12.2312,79.6508,normal_weather,LOW,0.0,24.7,59,10.2,7.5,1013.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Viluppuram Junction,VM,11.9398,79.4975,normal_weather,LOW,0.0,23.4,45,15.8,8.0,1010.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Vriddhachalam Junction,VRI,11.5305,79.3242,normal_weather,LOW,0.0,23.7,55,13.2,5.5,1010.8,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Ariyalur,ALU,11.1401,79.0768,normal_weather,LOW,0.0,28.0,45,14.7,7.4,1012.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Tiruchchirappalli Junction,TPJ,10.7937,78.6853,normal_weather,LOW,0.0,27.8,38,10.5,8.5,1010.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Dindigul Junction,DG,10.3644,77.9803,normal_weather,LOW,0.0,22.6,50,17.4,8.1,1010.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Madurai Junction,MDU,9.9195,78.1111,normal_weather,LOW,0.0,26.3,40,10.3,9.1,1013.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Virudhunagar Junction,VPT,9.5872,77.9575,normal_weather,LOW,0.0,26.9,57,8.2,7.0,1012.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Satur,SRT,9.3592,77.9255,normal_weather,LOW,0.0,25.5,70,12.7,9.7,1009.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Kovilpatti,CVP,9.1725,77.8683,normal_weather,LOW,0.0,25.3,66,9.7,10.0,1011.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Maniyachchi Junction,MEJ,8.8658,77.8931,normal_weather,LOW,0.3,25.5,80,14.7,8.7,1007.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-02,Thoothukudi,TN,8.8053,78.146,normal_weather,LOW,0.0,25.0,54,12.5,10.0,1011.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Chennai Egmore,MS,13.0777,80.2613,normal_weather,LOW,0.0,25.8,66,13.0,9.1,1008.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Tambaram,TBM,12.9248,80.1202,normal_weather,LOW,0.0,22.0,65,13.9,10.2,1010.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Chengalpattu,CGL,12.6934,79.9757,normal_weather,LOW,0.0,24.5,87,10.1,8.5,1012.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Tindivanam,TMV,12.2312,79.6508,normal_weather,LOW,0.0,25.4,58,16.0,9.4,1009.7,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Viluppuram Junction,VM,11.9398,79.4975,normal_weather,LOW,0.0,24.1,64,12.2,6.9,1012.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Vriddhachalam Junction,VRI,11.5305,79.3242,normal_weather,LOW,0.0,21.8,62,9.7,7.1,1010.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Ariyalur,ALU,11.1401,79.0768,normal_weather,LOW,0.0,25.7,61,10.2,7.7,1013.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Tiruchchirappalli Junction,TPJ,10.7937,78.6853,normal_weather,LOW,0.0,21.6,46,14.8,8.5,1013.6,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Dindigul Junction,DG,10.3644,77.9803,normal_weather,LOW,0.0,27.7,66,12.7,6.6,1011.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Madurai Junction,MDU,9.9195,78.1111,normal_weather,LOW,0.0,29.0,44,12.2,6.6,1011.7,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Virudhunagar Junction,VPT,9.5872,77.9575,normal_weather,LOW,0.0,24.1,68,20.2,8.4,1010.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Satur,SRT,9.3592,77.9255,normal_weather,LOW,0.0,26.0,50,8.8,9.5,1013.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Kovilpatti,CVP,9.1725,77.8683,normal_weather,LOW,0.0,25.0,60,11.4,7.5,1012.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Maniyachchi Junction,MEJ,8.8658,77.8931,normal_weather,LOW,0.0,26.7,53,10.8,8.1,1007.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-03,Thoothukudi,TN,8.8053,78.146,normal_weather,LOW,0.0,24.1,47,17.8,8.8,1013.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Chennai Egmore,MS,13.0777,80.2613,normal_weather,LOW,0.0,29.5,74,12.1,7.0,1008.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Tambaram,TBM,12.9248,80.1202,normal_weather,LOW,0.0,24.5,77,2.0,11.0,1007.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Chengalpattu,CGL,12.6934,79.9757,normal_weather,LOW,8.9,24.0,66,16.1,11.3,1010.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Tindivanam,TMV,12.2312,79.6508,normal_weather,LOW,0.0,25.8,65,14.8,8.9,1008.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Viluppuram Junction,VM,11.9398,79.4975,normal_weather,LOW,0.0,26.9,63,21.2,6.2,1015.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Vriddhachalam Junction,VRI,11.5305,79.3242,normal_weather,LOW,0.0,24.7,62,12.1,10.4,1010.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Ariyalur,ALU,11.1401,79.0768,normal_weather,LOW,0.0,23.0,54,7.1,10.2,1012.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Tiruchchirappalli Junction,TPJ,10.7937,78.6853,normal_weather,LOW,0.0,25.7,61,10.7,10.7,1008.6,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Dindigul Junction,DG,10.3644,77.9803,normal_weather,LOW,0.0,28.4,50,11.8,8.3,1011.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Madurai Junction,MDU,9.9195,78.1111,normal_weather,LOW,0.0,24.6,68,12.4,8.1,1010.7,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Virudhunagar Junction,VPT,9.5872,77.9575,normal_weather,LOW,0.0,31.5,47,12.8,7.8,1009.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Satur,SRT,9.3592,77.9255,normal_weather,LOW,0.0,28.8,67,10.0,8.1,1007.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Kovilpatti,CVP,9.1725,77.8683,normal_weather,LOW,0.0,25.5,76,15.6,7.8,1011.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Maniyachchi Junction,MEJ,8.8658,77.8931,normal_weather,LOW,0.0,23.4,57,12.3,6.6,1010.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-04,Thoothukudi,TN,8.8053,78.146,normal_weather,LOW,0.0,25.2,58,13.3,10.1,1008.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Chennai Egmore,MS,13.0777,80.2613,normal_weather,LOW,0.0,20.9,73,13.9,10.2,1007.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Tambaram,TBM,12.9248,80.1202,normal_weather,LOW,0.0,21.2,62,16.1,10.3,1011.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Chengalpattu,CGL,12.6934,79.9757,normal_weather,LOW,0.0,24.8,59,12.6,6.2,1011.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Tindivanam,TMV,12.2312,79.6508,normal_weather,LOW,7.8,26.2,67,15.1,9.1,1010.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Viluppuram Junction,VM,11.9398,79.4975,normal_weather,LOW,0.0,27.9,66,18.8,8.9,1014.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Vriddhachalam Junction,VRI,11.5305,79.3242,normal_weather,LOW,0.0,25.4,53,11.6,9.4,1006.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Ariyalur,ALU,11.1401,79.0768,normal_weather,LOW,0.0,24.7,38,11.0,8.1,1010.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Tiruchchirappalli Junction,TPJ,10.7937,78.6853,normal_weather,LOW,1.0,21.7,90,8.0,10.3,1011.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Dindigul Junction,DG,10.3644,77.9803,normal_weather,LOW,0.0,26.4,53,18.7,7.8,1008.8,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Madurai Junction,MDU,9.9195,78.1111,normal_weather,LOW,0.0,27.9,46,14.4,7.8,1006.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Virudhunagar Junction,VPT,9.5872,77.9575,normal_weather,LOW,0.0,25.0,55,12.7,7.5,1006.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Satur,SRT,9.3592,77.9255,normal_weather,LOW,0.0,23.1,59,16.0,8.1,1007.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Kovilpatti,CVP,9.1725,77.8683,normal_weather,LOW,0.0,25.5,79,18.7,9.0,1010.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Maniyachchi Junction,MEJ,8.8658,77.8931,normal_weather,LOW,0.0,27.7,71,12.4,9.3,1007.6,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-05,Thoothukudi,TN,8.8053,78.146,normal_weather,LOW,0.0,27.1,33,17.5,6.1,1009.7,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Chennai Egmore,MS,13.0777,80.2613,normal_weather,LOW,0.0,28.9,57,6.5,9.5,1010.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Tambaram,TBM,12.9248,80.1202,normal_weather,LOW,0.0,24.4,35,5.7,6.3,1009.8,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Chengalpattu,CGL,12.6934,79.9757,normal_weather,LOW,0.0,26.8,83,9.6,7.4,1010.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Tindivanam,TMV,12.2312,79.6508,normal_weather,LOW,0.0,24.0,42,22.2,6.9,1009.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Viluppuram Junction,VM,11.9398,79.4975,normal_weather,LOW,0.0,26.0,39,8.8,8.3,1006.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Vriddhachalam Junction,VRI,11.5305,79.3242,normal_weather,LOW,0.0,25.1,27,11.2,8.0,1010.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Ariyalur,ALU,11.1401,79.0768,normal_weather,LOW,6.1,22.9,72,10.9,7.0,1008.6,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Tiruchchirappalli Junction,TPJ,10.7937,78.6853,normal_weather,LOW,0.0,29.7,51,20.6,9.5,1009.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Dindigul Junction,DG,10.3644,77.9803,normal_weather,LOW,0.0,25.9,40,7.4,6.8,1008.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Madurai Junction,MDU,9.9195,78.1111,normal_weather,LOW,0.0,23.7,42,14.9,10.1,1012.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Virudhunagar Junction,VPT,9.5872,77.9575,normal_weather,LOW,0.0,22.4,73,16.2,10.4,1008.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Satur,SRT,9.3592,77.9255,normal_weather,LOW,0.0,24.2,46,17.7,6.0,1014.8,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Kovilpatti,CVP,9.1725,77.8683,normal_weather,LOW,0.0,25.0,52,4.9,7.5,1008.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Maniyachchi Junction,MEJ,8.8658,77.8931,normal_weather,LOW,0.0,25.1,45,15.6,10.7,1009.8,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-06,Thoothukudi,TN,8.8053,78.146,normal_weather,LOW,0.0,24.9,58,21.1,7.6,1012.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Chennai Egmore,MS,13.0777,80.2613,normal_weather,LOW,0.0,23.9,42,7.5,9.7,1010.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Tambaram,TBM,12.9248,80.1202,normal_weather,LOW,0.0,26.5,64,14.0,8.6,1008.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Chengalpattu,CGL,12.6934,79.9757,normal_weather,LOW,0.0,23.3,50,11.6,11.4,1011.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Tindivanam,TMV,12.2312,79.6508,normal_weather,LOW,0.0,23.8,48,20.0,8.6,1010.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Viluppuram Junction,VM,11.9398,79.4975,normal_weather,LOW,0.0,26.0,73,15.4,9.1,1009.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Vriddhachalam Junction,VRI,11.5305,79.3242,normal_weather,LOW,0.0,26.0,62,8.8,8.1,1012.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Ariyalur,ALU,11.1401,79.0768,normal_weather,LOW,0.0,27.4,50,11.3,5.7,1004.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Tiruchchirappalli Junction,TPJ,10.7937,78.6853,normal_weather,LOW,0.0,28.0,40,7.5,8.6,1012.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Dindigul Junction,DG,10.3644,77.9803,normal_weather,LOW,0.0,23.2,58,8.1,10.5,1012.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Madurai Junction,MDU,9.9195,78.1111,normal_weather,LOW,0.0,24.9,66,16.9,7.9,1010.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Virudhunagar Junction,VPT,9.5872,77.9575,normal_weather,LOW,0.0,26.0,59,19.1,5.4,1008.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Satur,SRT,9.3592,77.9255,normal_weather,LOW,0.0,24.2,55,13.5,8.8,1005.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Kovilpatti,CVP,9.1725,77.8683,normal_weather,LOW,0.0,22.9,48,6.9,9.5,1013.7,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Maniyachchi Junction,MEJ,8.8658,77.8931,normal_weather,LOW,0.0,22.0,65,10.3,9.4,1010.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-07,Thoothukudi,TN,8.8053,78.146,normal_weather,LOW,0.0,26.0,57,15.0,7.7,1007.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Chennai Egmore,MS,13.0777,80.2613,normal_weather,LOW,0.0,24.0,49,17.8,9.1,1016.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Tambaram,TBM,12.9248,80.1202,normal_weather,LOW,0.0,23.8,53,10.0,6.6,1005.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Chengalpattu,CGL,12.6934,79.9757,normal_weather,LOW,0.0,19.4,49,14.3,8.2,1009.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Tindivanam,TMV,12.2312,79.6508,normal_weather,LOW,0.0,19.6,54,18.3,7.7,1005.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Viluppuram Junction,VM,11.9398,79.4975,normal_weather,LOW,0.0,23.7,54,15.7,8.3,1008.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Vriddhachalam Junction,VRI,11.5305,79.3242,normal_weather,LOW,0.0,25.0,56,14.1,7.8,1009.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Ariyalur,ALU,11.1401,79.0768,normal_weather,LOW,0.0,27.3,37,19.9,8.6,1008.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Tiruchchirappalli Junction,TPJ,10.7937,78.6853,normal_weather,LOW,0.0,24.5,73,5.7,8.1,1006.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Dindigul Junction,DG,10.3644,77.9803,normal_weather,LOW,0.0,25.5,56,13.3,6.9,1012.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Madurai Junction,MDU,9.9195,78.1111,normal_weather,LOW,0.0,24.3,54,17.7,6.6,1013.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Virudhunagar Junction,VPT,9.5872,77.9575,normal_weather,LOW,0.0,25.7,85,14.6,9.1,1008.7,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Satur,SRT,9.3592,77.9255,normal_weather,LOW,0.0,22.6,63,17.3,6.5,1007.6,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Kovilpatti,CVP,9.1725,77.8683,normal_weather,LOW,0.0,23.2,71,17.1,10.6,1005.8,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Maniyachchi Junction,MEJ,8.8658,77.8931,normal_weather,LOW,0.0,22.5,45,7.8,9.9,1011.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-08,Thoothukudi,TN,8.8053,78.146,normal_weather,LOW,0.0,23.7,50,15.9,9.0,1008.6,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Chennai Egmore,MS,13.0777,80.2613,normal_weather,LOW,0.0,24.9,68,12.7,10.5,1013.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Tambaram,TBM,12.9248,80.1202,normal_weather,LOW,0.0,25.2,38,12.1,8.6,1006.8,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Chengalpattu,CGL,12.6934,79.9757,normal_weather,LOW,0.0,21.7,61,18.1,7.4,1011.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Tindivanam,TMV,12.2312,79.6508,normal_weather,LOW,0.0,23.2,63,8.7,7.0,1005.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Viluppuram Junction,VM,11.9398,79.4975,normal_weather,LOW,0.0,23.8,55,12.6,8.2,1010.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Vriddhachalam Junction,VRI,11.5305,79.3242,normal_weather,LOW,0.0,27.4,63,20.0,8.1,1015.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Ariyalur,ALU,11.1401,79.0768,normal_weather,LOW,0.0,25.2,57,11.7,7.9,1010.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Tiruchchirappalli Junction,TPJ,10.7937,78.6853,normal_weather,LOW,0.0,29.6,42,6.9,10.7,1008.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Dindigul Junction,DG,10.3644,77.9803,normal_weather,LOW,0.0,26.4,48,9.6,8.1,1012.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Madurai Junction,MDU,9.9195,78.1111,normal_weather,LOW,0.0,23.7,57,21.8,8.6,1012.7,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Virudhunagar Junction,VPT,9.5872,77.9575,normal_weather,LOW,0.0,26.6,62,17.3,8.8,1011.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Satur,SRT,9.3592,77.9255,normal_weather,LOW,0.0,26.5,56,12.5,8.7,1011.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Kovilpatti,CVP,9.1725,77.8683,normal_weather,LOW,0.0,25.5,39,15.8,10.1,1009.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Maniyachchi Junction,MEJ,8.8658,77.8931,normal_weather,LOW,0.0,24.3,54,11.3,9.1,1006.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-09,Thoothukudi,TN,8.8053,78.146,normal_weather,LOW,0.0,22.9,70,13.3,11.0,1008.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-10,Chennai Egmore,MS,13.0777,80.2613,normal_weather,LOW,0.0,26.0,25,16.9,9.8,1010.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-10,Tambaram,TBM,12.9248,80.1202,normal_weather,LOW,0.0,24.0,71,17.7,7.5,1010.8,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-10,Chengalpattu,CGL,12.6934,79.9757,normal_weather,LOW,0.0,24.6,75,14.7,7.5,1009.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-10,Tindivanam,TMV,12.2312,79.6508,normal_weather,LOW,0.0,23.0,42,13.9,7.4,1010.6,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-10,Viluppuram Junction,VM,11.9398,79.4975,normal_weather,LOW,0.0,24.4,47,17.2,8.2,1012.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-10,Vriddhachalam Junction,VRI,11.5305,79.3242,normal_weather,LOW,0.0,24.9,63,18.7,8.0,1014.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-10,Ariyalur,ALU,11.1401,79.0768,normal_weather,LOW,0.0,24.8,60,16.0,7.1,1009.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-10,Tiruchchirappalli Junction,TPJ,10.7937,78.6853,normal_weather,LOW,0.0,26.6,67,11.8,5.8,1011.6,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
