task_id,date,department,section_id,severity_level,severity_num,priority_code,priority_rank,estimated_duration_hours,deferred_count,days_until_target,passenger_trains_daily,freight_rakes_daily,total_trains_daily,capacity_utilization_percent,festival_flag,festival_traffic_multiplier,latitude,longitude,status,source_type
TMS_TASK_000027,2024-01-15,ENGINEERING,SEC_062,HIGH,3,P2_URGENT,3,2.4,0,7,54,10,64,106.7,1,1.8,10.294298,78.103353,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000028,2024-11-06,ENGINEERING,SEC_051,HIGH,3,P2_URGENT,3,4.6,1,7,31,16,47,78.3,0,1.0,10.826331,78.691515,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000029,2024-10-14,ENGINEERING,SEC_055,HIGH,3,P2_URGENT,3,3.5,0,7,53,16,69,115.0,0,1.0,10.731063,78.594039,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000030,2024-03-26,ENGINEERING,SEC_064,MEDIUM,2,P3_NORMAL,2,2.1,3,7,44,12,56,93.3,0,1.0,9.884058,78.070686,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000031,2024-12-02,ENGINEERING,SEC_003,MEDIUM,2,P3_NORMAL,2,3.8,0,7,50,10,60,100.0,0,1.0,13.002072,80.206327,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000032,2024-01-22,ENGINEERING,SEC_051,MEDIUM,2,P3_NORMAL,2,3.4,0,7,31,16,47,78.3,0,1.0,10.829091,78.70221,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000033,2024-01-28,ENGINEERING,SEC_007,MEDIUM,2,P3_NORMAL,2,4.1,0,7,26,14,40,66.7,0,1.0,12.977937,80.163102,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000034,2024-09-20,ENGINEERING,SEC_021,CRITICAL,4,P1_EMERGENCY,4,2.5,0,7,24,12,36,60.0,0,1.0,12.493935,79.884742,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000035,2024-03-25,ENGINEERING,SEC_039,CRITICAL,4,P1_EMERGENCY,4,2.3,0,7,42,18,60,100.0,0,1.0,11.312853,79.202702,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000036,2024-10-10,ENGINEERING,SEC_018,MEDIUM,2,P3_NORMAL,2,3.6,0,7,32,12,44,73.3,0,1.0,12.644469,79.976877,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000037,2024-08-11,ENGINEERING,SEC_004,CRITICAL,4,P1_EMERGENCY,4,1.8,0,7,56,14,70,116.7,0,1.0,12.993844,80.196821,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000038,2024-05-26,ENGINEERING,SEC_060,CRITICAL,4,P1_EMERGENCY,4,4.0,1,7,35,12,47,78.3,0,1.0,10.492894,78.174741,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000039,2024-06-17,ENGINEERING,SEC_014,HIGH,3,P2_URGENT,3,4.8,0,7,45,10,55,91.7,1,1.3,12.86099,80.067883,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000040,2024-09-21,ENGINEERING,SEC_009,HIGH,3,P2_URGENT,3,2.9,2,7,35,12,47,78.3,0,1.0,12.950985,80.14034,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000041,2024-12-12,ENGINEERING,SEC_053,MEDIUM,2,P3_NORMAL,2,3.6,0,7,41,16,57,95.0,0,1.0,10.797135,78.687168,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000042,2024-07-28,ENGINEERING,SEC_002,MEDIUM,2,P3_NORMAL,2,3.3,1,7,58,12,70,116.7,0,1.0,13.024263,80.220653,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000043,2024-09-06,ENGINEERING,SEC_060,CRITICAL,4,P1_EMERGENCY,4,4.2,0,7,35,12,47,78.3,0,1.0,10.500065,78.191732,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000044,2024-03-31,ENGINEERING,SEC_044,HIGH,3,P2_URGENT,3,3.4,3,7,27,18,45,75.0,0,1.0,11.004484,78.985523,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000045,2024-03-27,ENGINEERING,SEC_008,HIGH,3,P2_URGENT,3,3.2,0,7,40,10,50,83.3,0,1.0,12.966167,80.151055,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000046,2024-06-01,ENGINEERING,SEC_047,MEDIUM,2,P3_NORMAL,2,4.9,1,7,37,18,55,91.7,0,1.0,10.888177,78.840128,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000047,2024-05-25,ENGINEERING,SEC_035,CRITICAL,4,P1_EMERGENCY,4,2.5,0,7,60,8,68,113.3,0,1.0,11.500479,79.292153,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000048,2024-08-11,ENGINEERING,SEC_036,MEDIUM,2,P3_NORMAL,2,4.6,0,7,29,8,37,61.7,0,1.0,11.465402,79.266409,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000049,2024-12-04,ENGINEERING,SEC_050,HIGH,3,P2_URGENT,3,3.4,4,7,30,12,42,70.0,0,1.0,10.841605,78.699974,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000050,2024-11-06,ENGINEERING,SEC_004,MEDIUM,2,P3_NORMAL,2,3.6,0,7,56,14,70,116.7,0,1.0,12.991242,80.189612,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000051,2024-11-16,ENGINEERING,SEC_002,HIGH,3,P2_URGENT,3,1.8,0,7,58,12,70,116.7,0,1.0,13.030833,80.224043,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000052,2024-03-28,ENGINEERING,SEC_006,MEDIUM,2,P3_NORMAL,2,4.5,0,7,52,10,62,103.3,0,1.0,12.980952,80.166871,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000053,2024-04-06,ENGINEERING,SEC_054,HIGH,3,P2_URGENT,3,2.7,3,7,50,18,68,113.3,0,1.0,10.787791,78.676136,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000054,2024-02-17,ENGINEERING,SEC_004,HIGH,3,P2_URGENT,3,2.5,2,7,56,14,70,116.7,0,1.0,12.991493,80.190307,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000055,2024-10-12,ENGINEERING,SEC_054,MEDIUM,2,P3_NORMAL,2,4.3,2,7,50,18,68,113.3,1,1.65,10.756383,78.631726,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000056,2024-11-13,ENGINEERING,SEC_063,HIGH,3,P2_URGENT,3,2.2,4,7,41,18,59,98.3,0,1.0,9.93906,78.10659,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000057,2024-05-05,ENGINEERING,SEC_018,MEDIUM,2,P3_NORMAL,2,2.4,0,7,32,12,44,73.3,0,1.0,12.628946,79.975724,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000058,2024-12-14,ENGINEERING,SEC_044,HIGH,3,P2_URGENT,3,4.4,4,7,27,18,45,75.0,0,1.0,11.000238,78.981521,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000059,2024-11-19,ENGINEERING,SEC_034,CRITICAL,4,P1_EMERGENCY,4,2.3,0,7,40,16,56,93.3,0,1.0,11.588934,79.315859,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000060,2024-01-20,ENGINEERING,SEC_062,HIGH,3,P2_URGENT,3,2.3,0,7,54,10,64,106.7,0,1.0,10.151305,78.104098,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000061,2024-08-15,ENGINEERING,SEC_014,HIGH,3,P2_URGENT,3,2.7,3,7,45,10,55,91.7,1,1.25,12.846404,80.058412,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000062,2024-12-18,ENGINEERING,SEC_048,MEDIUM,2,P3_NORMAL,2,3.4,3,7,28,8,36,60.0,0,1.0,10.872958,78.766071,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000063,2024-01-04,ENGINEERING,SEC_015,MEDIUM,2,P3_NORMAL,2,3.3,0,7,34,16,50,83.3,0,1.0,12.833299,80.048322,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000064,2024-09-28,ENGINEERING,SEC_062,HIGH,3,P2_URGENT,3,2.1,0,7,54,10,64,106.7,0,1.0,10.157801,78.104064,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000065,2024-03-08,ENGINEERING,SEC_040,HIGH,3,P2_URGENT,3,4.6,0,7,45,14,59,98.3,1,1.3,11.249291,79.157333,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000066,2024-12-03,ENGINEERING,SEC_053,CRITICAL,4,P1_EMERGENCY,4,3.9,2,7,41,16,57,95.0,0,1.0,10.801515,78.690031,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000067,2024-12-26,ENGINEERING,SEC_024,HIGH,3,P2_URGENT,3,3.5,0,7,60,8,68,113.3,0,1.0,12.319246,79.73511,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000068,2024-01-10,ENGINEERING,SEC_026,HIGH,3,P2_URGENT,3,2.6,0,7,31,14,45,75.0,0,1.0,12.206165,79.635047,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000069,2024-09-24,ENGINEERING,SEC_060,HIGH,3,P2_URGENT,3,3.5,0,7,35,12,47,78.3,0,1.0,10.503523,78.199927,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000070,2024-12-10,ENGINEERING,SEC_041,HIGH,3,P2_URGENT,3,3.6,0,7,29,8,37,61.7,0,1.0,11.157137,79.072605,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000071,2024-06-06,ENGINEERING,SEC_029,CRITICAL,4,P1_EMERGENCY,4,4.1,0,7,43,14,57,95.0,0,1.0,12.020334,79.527131,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000072,2024-03-07,ENGINEERING,SEC_015,CRITICAL,4,P1_EMERGENCY,4,4.1,0,7,34,16,50,83.3,0,1.0,12.813576,80.032903,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000073,2024-09-20,ENGINEERING,SEC_045,HIGH,3,P2_URGENT,3,4.4,1,7,29,14,43,71.7,0,1.0,10.957488,78.938763,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000074,2024-01-29,ENGINEERING,SEC_065,HIGH,3,P2_URGENT,3,3.5,0,7,50,18,68,113.3,0,1.0,9.551472,78.100024,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000075,2024-12-22,ENGINEERING,SEC_009,HIGH,3,P2_URGENT,3,4.4,1,7,35,12,47,78.3,0,1.0,12.950147,80.139764,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000076,2024-11-11,ENGINEERING,SEC_001,HIGH,3,P2_URGENT,3,3.9,0,7,53,16,69,115.0,0,1.0,13.054851,80.241937,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000077,2024-12-23,ENGINEERING,SEC_008,CRITICAL,4,P1_EMERGENCY,4,4.9,3,7,40,10,50,83.3,0,1.0,12.955868,80.14377,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000078,2024-10-18,ENGINEERING,SEC_063,HIGH,3,P2_URGENT,3,2.2,0,7,41,18,59,98.3,0,1.0,9.925456,78.109121,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000079,2024-09-11,ENGINEERING,SEC_011,MEDIUM,2,P3_NORMAL,2,3.6,0,7,57,16,73,121.7,0,1.0,12.921098,80.112694,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000080,2024-06-12,ENGINEERING,SEC_008,HIGH,3,P2_URGENT,3,4.0,1,7,40,10,50,83.3,0,1.0,12.961244,80.147572,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000081,2024-01-29,ENGINEERING,SEC_035,HIGH,3,P2_URGENT,3,4.9,0,7,60,8,68,113.3,0,1.0,11.494415,79.287656,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000082,2024-11-06,ENGINEERING,SEC_035,CRITICAL,4,P1_EMERGENCY,4,2.1,0,7,60,8,68,113.3,0,1.0,11.512068,79.300749,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000083,2024-05-16,ENGINEERING,SEC_033,HIGH,3,P2_URGENT,3,2.9,0,7,54,16,70,116.7,0,1.0,11.686842,79.350517,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000084,2024-11-19,ENGINEERING,SEC_005,MEDIUM,2,P3_NORMAL,2,3.6,0,7,60,12,72,120.0,0,1.0,12.988316,80.182918,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000085,2024-03-25,ENGINEERING,SEC_041,CRITICAL,4,P1_EMERGENCY,4,3.9,0,7,29,8,37,61.7,0,1.0,11.191676,79.089249,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000086,2024-01-04,ENGINEERING,SEC_028,CRITICAL,4,P1_EMERGENCY,4,4.0,0,7,43,16,59,98.3,0,1.0,12.094429,79.550839,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000087,2024-04-30,ENGINEERING,SEC_007,CRITICAL,4,P1_EMERGENCY,4,4.2,0,7,26,14,40,66.7,0,1.0,12.979361,80.16462,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000088,2024-01-23,ENGINEERING,SEC_012,HIGH,3,P2_URGENT,3,2.4,0,7,53,16,69,115.0,0,1.0,12.89431,80.086971,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000089,2024-10-05,ENGINEERING,SEC_034,CRITICAL,4,P1_EMERGENCY,4,4.2,0,7,40,16,56,93.3,0,1.0,11.567755,79.316112,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000090,2024-08-02,ENGINEERING,SEC_033,HIGH,3,P2_URGENT,3,2.0,0,7,54,16,70,116.7,0,1.0,11.707485,79.358877,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000091,2024-03-07,ENGINEERING,SEC_048,CRITICAL,4,P1_EMERGENCY,4,3.9,0,7,28,8,36,60.0,0,1.0,10.874317,78.793258,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000092,2024-01-16,ENGINEERING,SEC_023,MEDIUM,2,P3_NORMAL,2,3.1,4,7,60,8,68,113.3,1,1.75,12.36301,79.778814,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000093,2024-01-06,ENGINEERING,SEC_062,CRITICAL,4,P1_EMERGENCY,4,2.0,0,7,54,10,64,106.7,0,1.0,10.213998,78.103772,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000094,2024-08-22,ENGINEERING,SEC_037,CRITICAL,4,P1_EMERGENCY,4,3.8,0,7,31,14,45,75.0,0,1.0,11.391304,79.220556,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000095,2024-09-01,ENGINEERING,SEC_044,HIGH,3,P2_URGENT,3,4.7,0,7,27,18,45,75.0,0,1.0,10.977994,78.960552,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000096,2024-05-05,ENGINEERING,SEC_035,HIGH,3,P2_URGENT,3,2.4,0,7,60,8,68,113.3,0,1.0,11.473653,79.272257,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000097,2024-11-16,ENGINEERING,SEC_065,CRITICAL,4,P1_EMERGENCY,4,2.7,0,7,50,18,68,113.3,0,1.0,9.577729,78.097229,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000098,2024-07-03,ENGINEERING,SEC_047,HIGH,3,P2_URGENT,3,5.0,4,7,37,18,55,91.7,0,1.0,10.885234,78.834407,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000099,2024-08-17,ENGINEERING,SEC_003,HIGH,3,P2_URGENT,3,3.5,0,7,50,10,60,100.0,0,1.0,13.000114,80.204462,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000100,2024-12-01,ENGINEERING,SEC_001,MEDIUM,2,P3_NORMAL,2,3.5,4,7,53,16,69,115.0,0,1.0,13.041903,80.231012,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000101,2024-02-13,ENGINEERING,SEC_005,HIGH,3,P2_URGENT,3,2.1,0,7,60,12,72,120.0,0,1.0,12.987461,80.181069,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000102,2024-09-29,ENGINEERING,SEC_014,MEDIUM,2,P3_NORMAL,2,3.4,2,7,45,10,55,91.7,0,1.0,12.853537,80.063043,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000103,2024-06-28,ENGINEERING,SEC_027,HIGH,3,P2_URGENT,3,2.5,2,7,43,8,51,85.0,0,1.0,12.124893,79.571389,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000104,2024-05-11,ENGINEERING,SEC_009,MEDIUM,2,P3_NORMAL,2,3.4,0,7,35,12,47,78.3,0,1.0,12.941722,80.133975,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000105,2024-08-28,ENGINEERING,SEC_015,MEDIUM,2,P3_NORMAL,2,3.8,2,7,34,16,50,83.3,0,1.0,12.820385,80.038226,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000106,2024-11-25,ENGINEERING,SEC_042,HIGH,3,P2_URGENT,3,2.0,0,7,52,8,60,100.0,0,1.0,11.114795,79.048107,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000107,2024-12-10,ENGINEERING,SEC_051,CRITICAL,4,P1_EMERGENCY,4,1.8,2,7,31,16,47,78.3,0,1.0,10.826766,78.693201,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000108,2024-06-25,ENGINEERING,SEC_063,MEDIUM,2,P3_NORMAL,2,1.8,4,7,41,18,59,98.3,0,1.0,9.925577,78.109099,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000109,2024-07-12,ENGINEERING,SEC_052,HIGH,3,P2_URGENT,3,3.8,0,7,36,16,52,86.7,0,1.0,10.818321,78.691159,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000110,2024-05-19,ENGINEERING,SEC_004,MEDIUM,2,P3_NORMAL,2,3.4,4,7,56,14,70,116.7,0,1.0,12.991788,80.191126,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000111,2024-12-08,ENGINEERING,SEC_023,HIGH,3,P2_URGENT,3,4.7,0,7,60,8,68,113.3,0,1.0,12.364132,79.779939,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000112,2024-12-10,ENGINEERING,SEC_015,MEDIUM,2,P3_NORMAL,2,3.7,3,7,34,16,50,83.3,0,1.0,12.811962,80.031641,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000113,2024-07-02,ENGINEERING,SEC_043,CRITICAL,4,P1_EMERGENCY,4,4.2,1,7,25,14,39,65.0,0,1.0,11.074468,79.027214,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000114,2024-01-08,ENGINEERING,SEC_029,MEDIUM,2,P3_NORMAL,2,3.5,0,7,43,14,57,95.0,0,1.0,12.024715,79.52984,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000115,2024-05-13,ENGINEERING,SEC_036,CRITICAL,4,P1_EMERGENCY,4,2.7,0,7,29,8,37,61.7,0,1.0,11.414601,79.231931,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000116,2024-07-20,ENGINEERING,SEC_013,CRITICAL,4,P1_EMERGENCY,4,3.5,3,7,42,8,50,83.3,0,1.0,12.876497,80.076901,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000117,2024-10-25,ENGINEERING,SEC_032,HIGH,3,P2_URGENT,3,3.1,3,7,58,10,68,113.3,0,1.0,11.879633,79.441575,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000118,2024-12-08,ENGINEERING,SEC_059,HIGH,3,P2_URGENT,3,3.7,0,7,39,12,51,85.0,0,1.0,10.537394,78.290811,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000119,2024-01-26,ENGINEERING,SEC_028,HIGH,3,P2_URGENT,3,3.4,1,7,43,16,59,98.3,1,1.25,12.050566,79.543541,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000120,2024-12-08,ENGINEERING,SEC_066,HIGH,3,P2_URGENT,3,4.0,3,7,59,12,71,253.6,0,1.0,9.434731,78.092602,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000121,2024-03-18,ENGINEERING,SEC_042,MEDIUM,2,P3_NORMAL,2,2.4,1,7,52,8,60,100.0,0,1.0,11.146093,79.066945,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000122,2024-02-27,ENGINEERING,SEC_045,HIGH,3,P2_URGENT,3,2.6,2,7,29,14,43,71.7,0,1.0,10.948911,78.928334,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000123,2024-12-10,ENGINEERING,SEC_062,MEDIUM,2,P3_NORMAL,2,2.0,0,7,54,10,64,106.7,0,1.0,10.141266,78.104151,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000124,2024-10-26,ENGINEERING,SEC_057,MEDIUM,2,P3_NORMAL,2,3.5,0,7,48,16,64,106.7,0,1.0,10.582507,78.378546,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000125,2024-11-30,ENGINEERING,SEC_006,MEDIUM,2,P3_NORMAL,2,4.8,3,7,52,10,62,103.3,0,1.0,12.981696,80.168504,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000126,2024-05-16,ENGINEERING,SEC_028,CRITICAL,4,P1_EMERGENCY,4,2.0,0,7,43,16,59,98.3,0,1.0,12.055442,79.544353,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000127,2024-07-02,ENGINEERING,SEC_028,HIGH,3,P2_URGENT,3,3.5,3,7,43,16,59,98.3,0,1.0,12.052404,79.543847,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000128,2024-10-08,ENGINEERING,SEC_044,HIGH,3,P2_URGENT,3,4.2,3,7,27,18,45,75.0,0,1.0,10.981304,78.963673,Open,CALIBRATED_SYNTHETIC
