sev_num,overdue_days,traffic_num,deferred_count,actual_priority_rank
2,42,1,4,91.11
1,27,3,3,61.96
2,17,1,4,74.78
3,3,1,4,72.08
2,13,3,1,57.95
1,20,1,3,53.4
2,7,1,5,58.83
2,5,1,0,47.7
1,25,1,3,46.63
3,33,1,5,100.0
2,8,1,1,37.74
3,17,1,5,100.0
2,35,1,2,74.67
1,37,3,1,57.22
3,16,3,1,78.3
1,13,1,5,62.72
2,5,1,5,66.22
3,24,2,0,77.46
2,28,2,3,74.8
2,11,3,3,59.86
1,41,2,3,53.08
3,20,1,2,83.22
1,33,3,3,68.98
3,31,2,0,81.2
2,2,1,5,63.74
2,9,1,4,58.17
1,25,1,3,66.13
2,42,1,4,81.95
1,21,1,1,54.22
3,17,1,5,99.91
2,9,3,1,51.15
3,2,2,3,67.17
2,32,1,0,67.76
3,7,1,3,79.36
1,5,3,4,48.85
2,10,3,4,64.05
3,8,2,5,77.85
2,29,1,1,78.87
2,22,1,3,79.18
3,10,1,0,61.38
3,15,3,3,86.91
1,31,3,1,57.17
3,25,1,0,90.17
1,0,2,3,29.35
3,26,2,1,78.73
3,4,1,2,65.57
2,13,2,2,54.74
1,2,1,2,29.29
1,5,1,3,44.62
1,19,2,3,52.1
3,21,3,5,96.73
2,16,2,2,55.82
1,22,1,5,75.25
2,25,1,0,61.36
3,2,2,1,51.47
3,37,3,4,100.0
3,5,2,0,60.94
2,32,3,1,71.07
1,41,2,2,47.9
1,31,1,1,53.87
2,25,3,1,67.49
2,16,3,0,52.65
3,27,1,1,89.12
2,20,3,0,52.28
3,19,1,3,84.51
2,28,2,5,89.86
2,0,1,1,36.48
2,19,1,5,76.96
2,8,2,3,48.32
1,20,2,1,42.62
2,31,3,1,74.49
3,23,1,5,100.0
2,21,2,0,59.66
1,40,1,3,72.46
2,28,3,4,80.53
2,37,2,4,81.82
2,29,2,0,61.0
3,10,1,2,68.69
1,33,3,4,67.7
2,19,3,2,68.05
2,9,1,3,65.56
1,3,2,3,31.82
2,26,1,5,79.02
1,1,1,3,37.46
2,16,2,5,70.58
2,21,3,5,77.67
2,20,1,4,76.79
1,20,1,5,68.25
2,9,2,1,45.14
1,22,2,2,48.14
2,25,1,1,65.18
3,35,3,3,98.0
2,31,1,4,84.53
2,31,3,5,94.34
2,18,1,4,78.13
3,36,3,4,100.0
1,41,1,2,68.83
2,11,3,4,61.91
2,8,1,1,48.15
2,31,3,0,73.25
2,21,2,1,63.21
1,13,2,1,31.35
2,29,1,4,81.89
1,13,1,1,45.21
3,41,1,3,91.48
2,17,1,3,61.25
2,33,3,5,91.12
2,37,1,2,81.49
1,38,1,3,68.37
2,28,3,2,77.02
2,20,1,5,87.5
3,8,1,0,68.19
2,10,2,0,45.26
1,44,1,2,66.23
2,42,1,2,87.4
1,2,2,0,14.11
3,1,2,3,65.73
2,3,3,4,57.44
1,21,1,0,42.73
3,1,2,2,61.31
2,3,3,5,59.85
2,43,2,4,82.42
3,41,1,2,100.0
2,16,3,5,80.85
1,42,1,5,76.35
2,13,3,2,58.25
1,19,2,5,55.36
1,16,2,0,36.78
2,11,3,5,67.48
1,32,1,5,83.63
3,6,2,5,75.51
2,13,3,1,54.58
1,15,3,5,57.15
3,31,1,4,98.13
2,23,3,2,72.06
3,40,2,5,100.0
2,1,3,4,53.81
2,19,1,3,65.72
2,10,1,4,65.15
1,7,1,4,38.82
3,31,1,3,92.11
2,17,3,5,74.38
2,37,1,1,67.45
2,30,3,1,74.54
2,18,2,4,69.39
1,5,1,0,20.1
3,0,3,2,62.32
1,42,1,5,75.75
2,8,3,5,65.43
2,12,1,5,67.41
2,36,2,0,64.09
3,2,3,0,63.66
1,14,1,3,53.31
3,35,2,0,82.96
2,2,2,5,53.02
2,40,3,1,65.84
3,9,3,1,68.6
2,16,3,1,57.73
3,43,1,1,91.27
2,17,3,3,66.99
2,25,1,2,76.89
2,0,1,5,61.93
3,14,2,1,74.09
1,21,2,2,46.99
3,8,1,3,80.97
3,24,1,4,100.0
2,12,2,4,65.12
3,19,1,3,94.42
2,27,1,2,65.63
2,38,1,0,61.17
2,28,1,0,72.76
1,22,1,2,54.98
1,22,1,2,53.12
2,32,3,5,87.67
1,34,1,4,68.13
1,36,1,3,62.63
2,4,2,0,33.25
1,34,2,5,69.03
3,2,3,3,75.18
2,21,1,2,63.35
3,43,1,4,100.0
1,8,1,5,59.89
2,31,1,3,85.79
3,34,1,1,84.25
1,8,2,3,40.68
2,34,1,4,90.75
3,44,2,4,99.78
2,10,1,0,50.15
2,29,3,4,88.91
1,20,3,3,60.0
1,30,1,1,61.32
3,13,1,2,77.45
3,23,3,4,95.7
3,43,2,0,86.13
2,18,1,5,70.56
1,39,2,2,62.13
2,26,3,3,84.7
2,12,3,0,52.67
2,7,1,3,53.53
1,7,3,1,32.33
2,21,2,1,55.57
2,6,1,2,54.72
2,5,2,3,50.52
2,34,1,3,81.03
1,4,1,2,27.77
2,30,1,3,89.37
2,14,2,0,45.82
1,18,1,5,67.63
1,10,2,1,35.51
2,37,3,2,72.04
2,35,1,2,81.15
2,41,3,0,68.1
1,19,3,2,48.41
1,14,1,0,34.78
2,32,1,4,81.18
3,28,1,0,93.34
2,22,3,2,66.25
1,3,1,2,25.44
2,37,1,4,87.49
1,0,1,4,41.55
1,28,2,1,54.32
2,28,3,3,74.44
1,33,3,1,54.23
1,38,3,2,60.59
1,25,1,4,64.37
2,25,2,3,72.93
1,20,3,1,45.81
1,14,1,3,53.21
2,16,1,5,68.59
2,2,1,5,66.17
3,33,1,3,100.0
2,22,1,0,60.57
2,20,1,1,69.88
2,40,3,2,83.77
2,10,3,5,69.98
2,32,3,5,92.87
2,2,3,4,53.55
2,17,2,4,70.48
2,40,2,0,58.25
2,19,2,3,66.41
2,1,2,1,38.86
2,9,1,3,66.82
2,33,1,1,80.77
2,22,3,2,71.55
3,8,2,3,69.07
2,23,1,2,72.97
2,0,3,3,53.41
2,34,1,4,92.59
2,31,1,4,86.59
1,4,3,1,30.85
2,31,3,3,75.83
2,12,1,4,58.76
2,20,1,0,59.99
3,8,1,2,77.43
1,33,1,3,70.5
2,10,1,0,49.18
1,11,1,0,28.02
3,5,3,4,81.37
2,30,3,1,81.22
2,35,2,0,60.73
2,39,2,0,61.84
2,7,3,1,41.49
2,38,2,4,85.66
3,12,1,0,72.56
3,34,2,0,83.66
3,16,2,0,68.12
2,26,1,5,91.93
2,1,1,0,35.64
3,42,1,3,100.0
3,16,2,3,79.05
1,19,3,0,35.94
2,17,3,5,73.19
3,43,2,1,91.65
2,22,1,0,62.33
2,39,1,0,59.62
2,9,1,4,55.54
2,25,1,3,81.45
3,27,1,0,84.9
2,26,1,4,84.13
2,21,1,2,71.91
2,39,1,3,76.75
3,35,3,2,98.77
2,44,1,2,70.67
1,44,1,5,80.09
3,10,2,3,73.75
3,10,3,2,73.57
2,21,2,0,52.13
2,25,1,4,93.07
2,19,2,5,75.67
2,36,1,2,71.27
2,20,2,4,62.8
2,10,1,3,58.37
2,39,1,2,78.51
1,33,3,0,48.37
1,28,2,0,48.43
2,30,2,0,64.44
1,33,3,1,58.25
2,22,3,3,72.05
2,24,2,4,71.53
2,37,1,2,85.73
2,33,3,0,66.41
1,7,2,2,37.56
2,18,3,1,56.22
3,4,1,1,67.86
1,8,1,2,35.23
1,40,2,2,56.18
1,9,2,2,34.32
2,19,2,3,65.4
2,34,1,4,77.73
2,20,1,3,61.83
3,24,1,4,95.07
3,15,3,0,72.09
3,11,1,5,77.7
1,14,1,2,42.08
2,7,2,3,50.22
1,12,1,0,28.14
3,37,1,4,100.0
3,4,1,3,78.46
3,19,1,0,80.04
2,44,1,1,67.68
3,35,1,3,100.0
1,10,3,4,53.11
2,19,3,0,58.31
1,23,3,5,65.51
3,12,1,0,74.44
3,44,1,1,94.5
2,25,1,1,73.19
2,17,2,2,58.07
2,11,3,4,67.14
2,20,1,5,70.73
1,30,2,2,59.71
3,14,1,4,86.44
1,2,1,1,22.57
1,35,2,4,63.88
2,23,1,1,59.92
2,5,1,5,64.25
3,26,2,3,96.41
2,6,1,4,58.42
2,39,1,3,75.19
1,22,1,2,47.69
2,24,1,4,71.27
2,15,2,2,56.59
3,40,1,0,89.58
3,22,2,5,100.0
2,15,1,2,54.27
2,0,1,2,42.22
3,14,3,5,91.7
2,10,3,0,49.29
3,20,1,4,98.74
2,41,3,0,68.81
2,17,1,1,57.17
3,14,1,1,71.58
1,4,1,0,20.36
2,24,1,2,78.19
3,32,1,2,99.49
1,12,1,3,51.02
3,11,1,1,72.04
1,1,2,2,23.23
3,15,2,3,80.22
2,7,1,2,53.58
2,10,3,5,65.75
2,8,1,4,69.75
3,36,1,5,100.0
2,6,2,3,51.92
2,32,1,0,78.7
2,43,1,0,65.61
3,34,3,5,100.0
3,30,2,5,100.0
1,36,1,1,53.77
3,33,1,2,98.27
1,2,2,4,36.38
2,17,2,1,61.65
3,26,2,4,96.32
1,1,1,4,33.33
1,20,2,0,32.04
3,36,1,5,100.0
2,40,1,3,82.8
3,26,3,4,100.0
2,24,3,5,87.23
2,9,3,2,51.83
2,23,1,2,71.68
1,4,2,1,17.93
2,2,1,2,52.43
2,12,1,4,63.52
2,39,3,0,73.49
2,43,1,4,92.03
2,1,1,3,50.31
1,28,3,3,60.47
2,20,3,4,72.62
1,4,1,1,26.46
2,14,1,0,56.94
1,25,3,3,55.73
2,32,1,0,71.6
2,43,3,1,66.72
1,12,1,5,48.32
2,30,1,0,56.23
3,35,1,0,80.11
3,38,1,2,100.0
2,22,2,3,66.96
3,25,3,4,100.0
2,28,3,1,71.06
1,18,1,5,63.61
3,13,2,5,86.94
1,17,2,1,37.96
3,17,2,3,79.14
2,0,1,3,51.22
1,29,3,1,54.69
2,3,1,1,38.38
2,30,1,1,74.32
3,20,3,4,94.17
3,1,1,0,52.23
3,22,3,5,99.9
3,38,2,5,100.0
3,11,2,0,67.34
2,35,1,3,89.22
2,1,2,0,27.61
3,3,1,4,75.81
1,13,2,2,35.64
3,11,1,5,94.88
2,4,2,0,35.65
3,1,3,3,68.3
2,24,3,5,84.75
3,11,2,4,80.6
3,16,1,5,92.92
2,13,1,1,48.45
1,3,1,0,25.62
2,14,1,4,74.88
2,30,3,5,92.94
1,25,1,4,69.83
2,23,3,0,58.15
2,11,2,1,36.24
3,33,1,5,100.0
2,20,1,4,77.1
2,4,1,2,52.21
2,24,2,4,72.38
1,6,1,4,39.43
2,7,1,1,55.14
1,41,1,1,54.51
2,19,1,2,57.45
2,9,2,0,40.65
2,4,2,4,54.35
3,31,2,1,83.07
2,43,1,3,71.97
2,36,2,4,83.95
2,42,2,0,65.27
1,5,3,4,44.45
3,35,2,2,92.8
1,25,1,3,58.57
2,39,2,3,82.17
2,21,1,1,65.52
2,25,2,5,77.44
3,0,1,1,56.56
2,18,2,3,65.92
1,41,1,3,72.53
2,35,1,0,64.75
2,6,2,4,47.03
3,2,2,1,56.78
1,27,2,5,69.67
2,39,3,3,77.92
3,22,3,1,82.17
3,29,1,5,100.0
1,4,3,0,25.05
2,38,3,4,83.05
3,35,1,0,89.85
2,16,1,5,67.26
1,43,1,3,55.27
3,13,1,2,71.6
2,0,1,0,38.66
2,43,3,4,90.05
3,25,3,5,100.0
3,21,1,1,79.97
2,17,1,5,68.69
3,18,3,1,78.86
2,26,2,3,70.9
1,28,1,2,55.12
2,13,2,5,64.24
2,38,2,5,88.17
2,24,2,3,63.58
1,16,1,1,53.32
2,20,1,2,74.1
2,32,3,4,90.18
3,18,1,4,90.92
1,37,3,0,51.42
2,25,1,2,67.55
3,10,1,5,89.68
2,31,3,1,76.01
3,4,1,0,53.32
1,39,2,5,66.46
2,20,3,0,60.25
1,4,3,0,19.03
3,20,2,4,92.36
2,6,2,3,50.0
1,29,1,0,45.31
2,17,1,4,71.54
2,31,1,2,76.65
2,28,1,3,74.43
3,10,1,4,80.11
3,4,3,5,86.42
2,38,3,4,87.68
3,24,1,5,100.0
2,3,3,1,36.49
1,16,1,3,44.1
1,14,2,1,35.37
2,23,2,5,77.22
3,43,1,2,99.03
2,8,1,1,55.57
3,0,3,3,68.41
3,28,1,3,96.08
2,3,3,4,56.57
1,33,1,1,52.01
2,27,2,0,56.03
1,21,1,0,38.56
2,41,1,4,85.36
2,39,2,2,70.39
2,23,1,5,86.68
2,13,1,1,49.05
2,39,2,5,86.36
3,9,2,4,85.46
2,27,2,0,62.92
1,31,1,1,59.32
3,14,3,1,72.57
2,30,1,5,91.18
2,28,1,5,88.49
1,16,1,5,58.69
2,11,3,4,60.73
3,37,3,2,100.0
2,44,3,0,68.77
2,33,2,4,82.96
2,34,1,5,83.13
1,25,2,0,37.06
3,15,1,0,75.24
3,5,1,0,55.63
3,1,2,3,62.6
2,36,1,1,66.15
3,13,2,3,72.47
2,21,3,5,82.32
1,33,2,4,67.71
2,18,3,3,74.37
2,11,3,0,51.91
1,3,3,0,24.99
2,38,1,3,84.15
1,1,1,5,49.4
2,43,2,0,59.23
3,11,3,0,70.02
2,22,3,2,64.03
1,33,1,3,60.9
3,40,1,4,100.0
2,21,1,5,91.04
3,10,1,0,59.89
2,23,1,0,57.14
1,24,1,4,61.4
3,39,3,3,100.0
2,18,1,1,66.76
2,1,1,0,31.14
2,3,1,1,48.35
2,34,1,2,65.51
1,19,1,1,41.0
2,14,2,3,61.57
2,7,2,2,47.12
2,6,3,0,37.79
3,34,3,4,100.0
1,22,1,4,57.97
1,39,3,2,60.87
3,10,2,5,85.31
1,10,1,3,41.54
3,36,3,1,91.03
2,43,3,5,86.99
3,43,1,3,100.0
1,6,3,4,42.4
1,19,2,4,54.22
2,35,2,3,76.93
3,43,2,0,85.04
2,43,1,3,91.63
3,33,3,1,90.05
2,26,1,5,81.58
2,28,1,0,67.83
3,26,1,4,100.0
2,7,1,3,52.08
2,31,2,1,68.08
1,41,2,2,60.41
1,35,2,3,61.61
3,41,1,0,90.58
1,12,1,4,59.22
2,5,1,4,56.4
2,4,3,5,54.17
2,32,1,5,85.93
2,33,2,0,60.37
2,8,2,3,55.46
2,43,1,3,85.85
3,8,3,5,90.76
1,27,3,2,57.52
1,17,2,4,52.8
2,42,1,0,59.64
2,29,3,5,88.99
2,34,1,1,66.05
2,5,2,2,44.13
2,30,2,2,72.71
2,26,1,3,72.59
2,7,3,2,54.3
1,20,2,3,46.73
3,26,1,1,94.49
2,43,1,4,81.4
2,9,1,1,53.42
3,33,2,3,97.46
1,18,3,1,49.74
2,16,1,2,69.18
2,44,2,0,60.87
2,34,1,3,72.61
3,28,3,0,86.14
1,25,3,4,60.52
1,13,2,1,33.82
2,10,3,5,69.47
2,13,1,0,42.2
2,29,2,3,75.46
1,18,3,3,47.48
3,0,1,4,69.34
2,16,2,3,58.49
2,18,3,1,57.05
1,0,3,2,27.29
1,38,1,3,61.18
2,23,1,2,63.66
2,22,1,0,66.5
1,21,1,4,65.49
2,30,2,1,65.34
3,3,2,4,63.73
3,18,3,4,93.21
1,31,3,5,79.71
3,28,3,1,94.54
1,3,2,0,16.26
3,25,2,4,98.17
3,27,2,3,95.81
3,1,1,4,75.23
2,10,1,5,63.84
1,39,2,2,56.88
2,32,3,0,73.24
2,0,1,3,49.82
3,20,3,1,76.95
2,11,3,5,68.73
2,40,3,1,76.57
1,4,1,4,48.34
2,42,1,2,70.78
3,29,3,4,100.0
2,44,1,1,64.01
3,10,3,5,85.36
2,14,3,3,60.99
1,43,3,0,50.06
2,29,3,3,79.35
1,1,2,1,16.13
2,31,3,3,78.59
3,20,1,0,83.43
2,18,2,1,57.74
1,10,3,2,43.63
2,30,3,2,76.36
3,22,1,1,80.37
1,29,1,3,68.62
2,31,3,4,88.9
3,13,3,5,91.78
2,6,1,2,56.35
3,5,3,1,62.76
3,24,2,4,93.57
2,16,1,2,51.19
2,8,2,2,47.25
1,32,3,5,77.83
1,18,3,4,57.81
3,3,2,4,73.57
2,5,1,0,35.71
2,9,1,5,72.16
2,22,1,4,70.47
2,21,1,2,68.06
2,26,3,3,79.01
3,44,2,3,97.73
1,37,3,4,68.26
3,21,1,0,79.71
3,22,1,3,89.04
1,14,1,2,55.01
1,13,3,5,60.02
2,6,3,2,48.9
2,34,1,1,78.42
2,21,2,5,73.17
1,35,3,4,65.93
1,8,1,2,32.56
2,29,1,2,85.03
2,12,1,2,54.42
1,32,3,2,63.3
2,26,1,4,77.62
2,13,3,3,56.6
2,26,3,0,64.75
3,10,2,1,66.43
2,5,1,1,54.01
1,24,3,3,58.41
1,34,3,1,57.97
1,23,3,5,68.43
2,43,3,1,73.49
3,7,1,2,71.27
1,9,3,4,51.82
2,1,1,0,32.62
1,36,3,1,55.08
1,42,1,4,66.15
2,39,3,4,86.34
1,33,1,2,64.66
3,15,2,5,87.25
2,1,1,1,38.68
3,41,3,4,100.0
2,22,3,4,72.04
3,29,2,3,96.3
2,21,1,1,60.42
2,22,1,5,78.12
2,15,1,2,64.26
1,5,3,2,39.39
3,39,1,2,94.91
1,35,2,5,71.19
2,16,3,0,53.62
1,36,2,5,69.45
2,29,1,4,94.85
2,31,1,1,77.31
2,31,2,3,77.2
2,20,1,1,56.54
3,44,1,2,87.68
2,10,1,2,61.09
3,41,1,3,100.0
3,20,1,3,88.87
1,44,1,1,50.34
2,5,1,1,41.63
1,11,3,2,40.92
2,11,3,5,68.06
2,16,2,2,60.94
3,7,1,0,70.1
2,1,3,4,52.33
3,18,3,0,80.0
2,34,1,1,65.53
2,41,2,5,84.71
2,6,1,4,57.8
2,28,1,3,78.09
1,8,2,3,39.37
2,22,1,2,69.88
3,3,3,0,56.63
2,8,3,1,44.58
3,28,3,5,100.0
3,32,1,5,100.0
2,5,1,1,48.61
2,32,3,2,83.68
3,7,2,5,85.36
2,2,1,1,34.04
1,38,1,3,68.0
2,24,3,2,72.03
2,11,1,4,60.28
1,31,3,1,67.36
2,37,1,0,59.76
1,28,1,2,56.52
2,32,2,2,68.69
1,24,2,0,43.13
2,0,1,3,40.32
2,24,3,0,64.82
2,7,1,2,51.59
2,29,1,0,60.9
2,37,2,2,72.46
2,14,1,0,46.67
3,33,2,2,95.1
3,44,1,1,86.09
2,11,1,5,65.32
1,4,3,5,46.79
2,20,1,0,59.39
3,17,1,1,70.59
1,1,2,5,38.04
2,25,1,3,82.17
2,20,1,0,48.61
2,27,1,5,75.26
2,29,1,2,81.09
1,7,1,0,26.97
2,36,1,2,82.77
2,43,3,3,78.84
2,13,3,5,65.53
2,1,3,4,53.0
1,41,2,2,61.04
2,20,2,4,66.41
2,33,1,2,75.05
2,35,1,3,78.73
2,22,1,4,83.69
1,35,1,5,72.47
3,13,1,1,78.87
2,33,2,0,59.15
3,24,1,2,98.4
2,32,1,5,87.19
2,6,2,2,45.75
2,25,1,1,68.72
2,43,1,3,85.58
2,5,2,0,31.1
1,42,3,0,51.85
3,15,2,1,72.55
2,5,1,4,62.49
2,20,2,0,50.6
2,3,3,1,45.75
2,44,1,2,72.95
2,30,2,1,62.27
1,43,3,4,71.44
1,44,1,1,55.09
2,23,2,3,68.16
2,35,2,3,78.87
3,4,3,1,67.29
2,38,3,3,77.8
3,16,1,3,87.37
2,41,1,1,80.12
1,22,2,5,64.62
2,28,1,1,71.35
2,14,1,3,71.63
1,19,1,1,50.68
2,18,3,5,80.84
2,0,2,5,51.13
3,16,2,0,66.72
2,13,1,2,55.19
3,41,2,3,94.96
3,33,1,2,99.11
3,38,3,4,100.0
2,34,1,1,83.64
2,11,3,4,70.51
1,32,1,0,58.76
3,14,3,0,73.75
1,27,1,4,61.83
3,35,3,1,92.17
2,3,1,4,61.23
2,44,3,0,68.23
1,17,2,2,39.46
2,21,2,1,59.67
1,16,2,5,51.93
2,25,1,2,67.55
2,39,2,5,82.71
1,9,2,2,30.49
1,9,3,5,47.43
2,32,2,4,80.76
2,44,2,0,60.89
2,18,3,1,60.58
3,31,1,5,100.0
2,6,2,5,63.0
1,0,2,5,34.78
2,13,1,5,77.1
2,4,2,3,49.75
1,42,1,3,70.95
1,7,1,1,39.1
3,14,1,4,92.35
3,36,1,2,93.53
1,21,3,0,38.14
2,10,1,3,60.82
3,37,3,2,90.42
1,20,2,4,53.25
1,5,1,2,34.83
3,21,1,4,91.16
2,6,3,2,46.76
1,4,1,1,21.9
1,19,3,1,44.03
2,4,2,1,37.25
2,26,3,5,78.98
2,24,1,4,86.25
2,36,1,5,84.29
2,28,1,0,61.33
2,11,1,2,58.43
2,43,3,4,82.76
1,30,3,1,54.68
2,39,3,3,85.98
1,0,1,2,28.14
2,28,1,1,74.96
1,15,1,1,35.83
2,6,1,4,55.42
2,25,1,0,72.07
2,2,3,5,58.31
2,27,1,2,70.89
2,22,2,1,53.15
2,19,1,0,61.85
3,17,3,2,80.96
2,40,2,5,84.83
3,41,2,3,99.09
2,35,1,1,67.85
2,42,1,4,81.42
2,13,1,5,79.4
2,17,1,3,60.18
3,34,2,4,100.0
2,39,1,2,71.99
2,32,1,4,83.7
3,11,1,0,70.23
2,17,2,1,52.61
1,5,2,4,36.62
3,20,3,2,81.73
3,24,2,4,91.27
1,12,1,4,58.36
2,30,1,1,76.99
2,35,1,1,67.75
1,5,3,4,43.09
2,1,3,0,39.16
2,31,2,5,84.19
2,0,2,3,46.77
2,36,3,2,78.18
1,22,1,3,51.73
2,32,2,2,67.87
2,8,1,1,48.26
3,9,1,2,78.81
1,6,3,0,23.74
3,15,3,2,78.63
3,34,1,5,100.0
1,20,1,0,36.15
1,32,1,3,70.5
3,36,1,4,100.0
3,2,1,0,66.38
1,31,2,4,63.28
2,20,3,1,60.65
3,9,1,5,88.4
2,29,1,2,76.9
3,36,1,1,99.67
1,22,2,3,48.84
1,31,1,4,75.46
2,39,2,4,81.28
2,35,1,2,71.5
3,34,1,4,100.0
1,38,1,4,74.95
3,2,1,4,71.52
2,21,3,4,77.69
1,15,1,4,57.09
1,20,2,4,58.55
2,4,1,5,55.82
2,11,3,3,60.23
2,27,1,5,91.81
2,5,3,0,42.39
3,39,2,4,100.0
1,35,1,1,50.82
2,19,1,1,53.37
2,11,3,4,66.09
2,20,1,2,73.59
2,31,1,2,70.83
1,6,1,3,50.03
2,22,1,5,76.19
3,42,3,2,100.0
2,24,1,0,66.18
2,15,3,3,60.9
2,4,1,2,57.83
2,25,1,3,79.87
1,3,1,3,29.5
2,38,3,5,88.8
1,21,3,0,43.24
1,13,1,2,40.14
1,11,1,0,30.42
2,28,3,2,69.59
1,29,3,0,52.09
1,23,1,0,43.45
2,31,2,0,67.53
2,41,1,4,82.66
2,30,2,2,70.15
2,17,1,5,74.11
2,30,3,0,67.06
1,6,3,3,41.44
2,42,1,2,81.8
2,38,1,2,73.91
3,33,3,1,92.26
2,8,1,3,55.24
2,24,3,3,77.83
3,31,1,5,100.0
1,33,2,5,69.11
2,27,3,4,78.81
2,42,1,4,86.49
2,30,1,4,77.82
3,11,1,1,79.26
2,28,3,5,86.17
2,18,1,2,57.0
1,37,3,2,61.75
2,32,1,5,86.54
2,4,1,2,49.25
2,25,2,0,54.94
2,22,2,5,79.51
3,9,1,2,78.83
2,13,1,0,55.59
2,29,2,1,64.84
3,25,1,3,91.78
3,12,1,5,87.99
3,11,1,4,80.98
2,35,3,0,72.24
2,21,3,3,76.9
1,1,2,3,31.73
3,35,1,2,91.99
1,20,2,3,51.16
2,4,1,5,56.97
2,41,1,2,73.47
2,42,1,1,79.55
2,11,2,4,59.08
2,7,1,2,37.93
1,1,1,4,42.39
2,38,1,5,86.26
2,11,2,0,41.63
2,10,3,4,62.54
2,26,2,3,74.21
1,9,1,5,53.04
2,44,3,3,78.86
3,32,1,1,99.06
2,43,1,0,60.25
2,27,3,3,74.58
2,31,1,4,85.02
2,18,1,0,63.66
2,26,1,2,77.95
3,5,1,1,73.43
3,18,2,1,77.92
2,8,1,0,49.39
1,16,2,3,45.02
1,25,1,1,45.37
2,20,1,1,72.58
2,17,1,5,71.35
3,22,1,2,88.35
3,32,1,3,100.0
3,4,1,3,80.74
1,8,1,3,44.27
2,15,2,0,46.35
2,10,1,2,48.13
1,18,3,2,45.26
3,7,2,2,66.02
2,36,1,0,61.2
3,1,3,0,54.07
2,17,1,1,49.55
3,32,1,3,95.75
2,10,3,3,57.19
3,31,3,4,100.0
1,29,1,3,66.88
3,24,3,3,99.01
1,8,1,1,29.28
3,30,3,0,89.67
3,2,1,1,65.14
2,42,2,3,78.68
1,36,1,0,50.19
1,20,3,3,56.42
2,27,3,2,72.33
1,39,3,1,56.78
2,7,2,2,42.35
1,37,1,5,64.96
2,41,1,0,71.97
2,33,3,1,69.49
3,33,1,5,100.0
