task_id,section_id,mast_number,defect_type,severity_class,logged_date,target_completion_date,deferred_count,status
TDMS_TASK_000020,SEC_021,OHE_SEC_021_1793,Substation Feed Issue,B,2024-01-30,2024-02-06,0,Completed
TDMS_TASK_000021,SEC_025,OHE_SEC_025_1992,Insulator Damage,C,2024-07-26,2024-08-19,0,Open
TDMS_TASK_000022,SEC_015,OHE_SEC_015_1477,Catenary Wear,B,2024-10-12,2024-10-22,1,In-Progress
TDMS_TASK_000023,SEC_007,OHE_SEC_007_0727,Insulator Damage,C,2024-02-07,2024-02-21,0,Deferred
TDMS_TASK_000024,SEC_046,OHE_SEC_046_3690,Catenary Wear,A,2024-12-11,2024-12-12,0,Open
TDMS_TASK_000025,SEC_037,OHE_SEC_037_3112,Neutral Section Fault,B,2024-06-23,2024-07-01,0,Completed
TDMS_TASK_000026,SEC_028,OHE_SEC_028_2564,Neutral Section Fault,A,2024-02-08,2024-02-13,0,Open
TDMS_TASK_000027,SEC_018,OHE_SEC_018_1603,Catenary Wear,B,2024-06-12,2024-06-21,0,Open
TDMS_TASK_000028,SEC_040,OHE_SEC_040_3276,Substation Feed Issue,B,2024-06-07,2024-06-14,1,In-Progress
TDMS_TASK_000029,SEC_025,OHE_SEC_025_2172,Neutral Section Fault,A,2024-05-22,2024-05-25,0,Open
TDMS_TASK_000030,SEC_020,OHE_SEC_020_1766,Substation Feed Issue,A,2024-08-02,2024-08-08,0,Completed
TDMS_TASK_000031,SEC_021,OHE_SEC_021_1794,Neutral Section Fault,B,2024-03-31,2024-04-10,4,Open
TDMS_TASK_000032,SEC_009,OHE_SEC_009_0905,Substation Feed Issue,A,2024-12-28,2024-12-29,4,Open
TDMS_TASK_000033,SEC_003,OHE_SEC_003_0367,Insulator Damage,B,2024-04-14,2024-04-26,0,Completed
TDMS_TASK_000034,SEC_026,OHE_SEC_026_2208,Substation Feed Issue,A,2024-11-12,2024-11-13,0,In-Progress
TDMS_TASK_000035,SEC_044,OHE_SEC_044_3535,Catenary Wear,A,2024-10-26,2024-10-31,0,Completed
TDMS_TASK_000036,SEC_002,OHE_SEC_002_0255,Neutral Section Fault,B,2024-05-31,2024-06-09,0,Open
TDMS_TASK_000037,SEC_044,OHE_SEC_044_3417,Neutral Section Fault,A,2024-03-11,2024-03-15,0,In-Progress
TDMS_TASK_000038,SEC_041,OHE_SEC_041_3295,Catenary Wear,B,2024-12-20,2025-01-05,0,Completed
TDMS_TASK_000039,SEC_011,OHE_SEC_011_1102,Catenary Wear,A,2024-07-28,2024-08-01,0,Completed
TDMS_TASK_000040,SEC_027,OHE_SEC_027_2515,Catenary Wear,A,2024-05-01,2024-05-03,1,In-Progress
TDMS_TASK_000041,SEC_007,OHE_SEC_007_0658,Insulator Damage,A,2024-02-25,2024-03-01,0,Completed
TDMS_TASK_000042,SEC_034,OHE_SEC_034_3018,Neutral Section Fault,A,2024-05-04,2024-05-06,0,Open
TDMS_TASK_000043,SEC_032,OHE_SEC_032_2789,Insulator Damage,B,2024-08-26,2024-09-11,0,Deferred
TDMS_TASK_000044,SEC_014,OHE_SEC_014_1412,Substation Feed Issue,A,2024-07-04,2024-07-10,3,Open
TDMS_TASK_000045,SEC_002,OHE_SEC_002_0271,Substation Feed Issue,A,2024-01-25,2024-01-26,0,Open
TDMS_TASK_000046,SEC_048,OHE_SEC_048_3865,Insulator Damage,C,2024-10-12,2024-11-06,0,Open
TDMS_TASK_000047,SEC_021,OHE_SEC_021_1775,Substation Feed Issue,A,2024-04-27,2024-04-30,0,Completed
TDMS_TASK_000048,SEC_045,OHE_SEC_045_3556,Catenary Wear,A,2024-03-11,2024-03-14,0,Completed
TDMS_TASK_000049,SEC_029,OHE_SEC_029_2699,Neutral Section Fault,B,2024-09-13,2024-09-26,4,Deferred
TDMS_TASK_000050,SEC_037,OHE_SEC_037_3099,Substation Feed Issue,A,2024-09-28,2024-10-02,2,Deferred
TDMS_TASK_000051,SEC_035,OHE_SEC_035_3026,Catenary Wear,A,2024-10-27,2024-10-30,0,Deferred
TDMS_TASK_000052,SEC_008,OHE_SEC_008_0775,Catenary Wear,C,2024-01-01,2024-01-26,4,Open
TDMS_TASK_000053,SEC_015,OHE_SEC_015_1449,Catenary Wear,B,2024-05-21,2024-05-28,0,Completed
TDMS_TASK_000054,SEC_022,OHE_SEC_022_1859,Substation Feed Issue,A,2024-04-06,2024-04-10,0,Deferred
TDMS_TASK_000055,SEC_025,OHE_SEC_025_1982,Neutral Section Fault,A,2024-07-31,2024-08-01,0,Completed
TDMS_TASK_000056,SEC_001,OHE_SEC_001_0175,Catenary Wear,C,2024-12-22,2025-01-04,3,Deferred
TDMS_TASK_000057,SEC_025,OHE_SEC_025_2176,Substation Feed Issue,A,2024-02-13,2024-02-14,0,Deferred
TDMS_TASK_000058,SEC_006,OHE_SEC_006_0615,Substation Feed Issue,B,2024-08-28,2024-09-12,0,In-Progress
TDMS_TASK_000059,SEC_033,OHE_SEC_033_2960,Substation Feed Issue,A,2024-06-11,2024-06-16,0,Open
TDMS_TASK_000060,SEC_030,OHE_SEC_030_2720,Catenary Wear,A,2024-06-18,2024-06-23,0,In-Progress
TDMS_TASK_000061,SEC_045,OHE_SEC_045_3673,Insulator Damage,C,2024-12-10,2024-12-27,4,Deferred
TDMS_TASK_000062,SEC_033,OHE_SEC_033_2965,Catenary Wear,C,2024-09-24,2024-10-15,0,Open
TDMS_TASK_000063,SEC_015,OHE_SEC_015_1460,Substation Feed Issue,A,2024-02-04,2024-02-05,0,In-Progress
TDMS_TASK_000064,SEC_048,OHE_SEC_048_3852,Substation Feed Issue,A,2024-06-08,2024-06-13,0,Completed
TDMS_TASK_000065,SEC_018,OHE_SEC_018_1636,Catenary Wear,B,2024-09-28,2024-10-11,2,Deferred
TDMS_TASK_000066,SEC_013,OHE_SEC_013_1298,Neutral Section Fault,A,2024-02-09,2024-02-13,0,Open
TDMS_TASK_000067,SEC_045,OHE_SEC_045_3605,Catenary Wear,B,2024-07-04,2024-07-18,2,Deferred
TDMS_TASK_000068,SEC_015,OHE_SEC_015_1475,Neutral Section Fault,A,2024-07-01,2024-07-02,0,Open
TDMS_TASK_000069,SEC_003,OHE_SEC_003_0304,Substation Feed Issue,B,2024-01-27,2024-02-03,0,Open
TDMS_TASK_000070,SEC_023,OHE_SEC_023_1870,Neutral Section Fault,A,2024-12-15,2024-12-21,0,Completed
TDMS_TASK_000071,SEC_038,OHE_SEC_038_3168,Substation Feed Issue,A,2024-05-15,2024-05-21,0,Deferred
TDMS_TASK_000072,SEC_007,OHE_SEC_007_0755,Insulator Damage,B,2024-04-09,2024-04-20,0,Open
TDMS_TASK_000073,SEC_022,OHE_SEC_022_1843,Catenary Wear,A,2024-02-02,2024-02-08,0,In-Progress
TDMS_TASK_000074,SEC_004,OHE_SEC_004_0518,Neutral Section Fault,A,2024-01-20,2024-01-22,0,In-Progress
TDMS_TASK_000075,SEC_030,OHE_SEC_030_2733,Catenary Wear,A,2024-03-12,2024-03-18,0,Open
TDMS_TASK_000076,SEC_024,OHE_SEC_024_1894,Substation Feed Issue,A,2024-09-28,2024-09-30,0,Completed
TDMS_TASK_000077,SEC_014,OHE_SEC_014_1315,Catenary Wear,A,2024-04-08,2024-04-11,1,Open
TDMS_TASK_000078,SEC_009,OHE_SEC_009_0904,Insulator Damage,A,2024-06-15,2024-06-17,0,In-Progress
TDMS_TASK_000079,SEC_026,OHE_SEC_026_2248,Neutral Section Fault,B,2024-08-30,2024-09-09,0,Completed
TDMS_TASK_000080,SEC_029,OHE_SEC_029_2667,Substation Feed Issue,A,2024-05-02,2024-05-06,0,Deferred
TDMS_TASK_000081,SEC_046,OHE_SEC_046_3744,Catenary Wear,A,2024-05-29,2024-05-31,0,Completed
TDMS_TASK_000082,SEC_018,OHE_SEC_018_1741,Neutral Section Fault,A,2024-06-27,2024-06-30,0,Open
TDMS_TASK_000083,SEC_007,OHE_SEC_007_0640,Catenary Wear,B,2024-11-26,2024-12-09,2,Deferred
TDMS_TASK_000084,SEC_043,OHE_SEC_043_3315,Substation Feed Issue,B,2024-12-06,2024-12-13,0,Completed
TDMS_TASK_000085,SEC_026,OHE_SEC_026_2508,Catenary Wear,B,2024-04-16,2024-05-01,1,In-Progress
TDMS_TASK_000086,SEC_032,OHE_SEC_032_2788,Catenary Wear,B,2024-04-01,2024-04-09,0,In-Progress
TDMS_TASK_000087,SEC_003,OHE_SEC_003_0388,Substation Feed Issue,A,2024-05-27,2024-06-01,0,Open
TDMS_TASK_000088,SEC_012,OHE_SEC_012_1244,Substation Feed Issue,C,2024-03-14,2024-04-06,0,In-Progress
TDMS_TASK_000089,SEC_035,OHE_SEC_035_3057,Neutral Section Fault,A,2024-07-27,2024-07-31,0,Completed
TDMS_TASK_000090,SEC_043,OHE_SEC_043_3314,Neutral Section Fault,A,2024-07-14,2024-07-16,0,Completed
TDMS_TASK_000091,SEC_018,OHE_SEC_018_1733,Neutral Section Fault,A,2024-06-19,2024-06-22,0,Completed
TDMS_TASK_000092,SEC_039,OHE_SEC_039_3204,Insulator Damage,A,2024-06-18,2024-06-23,0,Completed
TDMS_TASK_000093,SEC_043,OHE_SEC_043_3351,Neutral Section Fault,A,2024-11-10,2024-11-13,0,Completed
TDMS_TASK_000094,SEC_017,OHE_SEC_017_1543,Insulator Damage,A,2024-02-24,2024-02-27,0,Completed
TDMS_TASK_000095,SEC_045,OHE_SEC_045_3576,Catenary Wear,B,2024-10-07,2024-10-23,0,Open
TDMS_TASK_000096,SEC_011,OHE_SEC_011_1148,Catenary Wear,B,2024-07-31,2024-08-06,2,Deferred
TDMS_TASK_000097,SEC_011,OHE_SEC_011_0954,Neutral Section Fault,B,2024-10-17,2024-10-23,4,Deferred
TDMS_TASK_000098,SEC_030,OHE_SEC_030_2718,Catenary Wear,B,2024-07-29,2024-08-05,0,Open
TDMS_TASK_000099,SEC_027,OHE_SEC_027_2535,Substation Feed Issue,A,2024-10-09,2024-10-11,0,Completed
TDMS_TASK_000100,SEC_006,OHE_SEC_006_0557,Neutral Section Fault,B,2024-08-09,2024-08-21,0,Completed
TDMS_TASK_000101,SEC_043,OHE_SEC_043_3316,Neutral Section Fault,A,2024-09-17,2024-09-21,3,Deferred
TDMS_TASK_000102,SEC_009,OHE_SEC_009_0796,Substation Feed Issue,A,2024-05-31,2024-06-06,0,In-Progress
TDMS_TASK_000103,SEC_039,OHE_SEC_039_3205,Catenary Wear,A,2024-11-23,2024-11-25,0,Completed
TDMS_TASK_000104,SEC_001,OHE_SEC_001_0030,Neutral Section Fault,A,2024-04-16,2024-04-17,1,In-Progress
TDMS_TASK_000105,SEC_038,OHE_SEC_038_3173,Insulator Damage,B,2024-09-19,2024-09-29,0,Deferred
TDMS_TASK_000106,SEC_038,OHE_SEC_038_3133,Substation Feed Issue,A,2024-04-30,2024-05-04,0,In-Progress
TDMS_TASK_000107,SEC_037,OHE_SEC_037_3107,Substation Feed Issue,B,2024-10-16,2024-10-24,0,Open
TDMS_TASK_000108,SEC_028,OHE_SEC_028_2647,Substation Feed Issue,C,2024-11-01,2024-11-21,0,In-Progress
TDMS_TASK_000109,SEC_024,OHE_SEC_024_1878,Neutral Section Fault,A,2024-03-08,2024-03-09,0,Open
TDMS_TASK_000110,SEC_032,OHE_SEC_032_2808,Insulator Damage,B,2024-08-16,2024-09-02,0,Completed
TDMS_TASK_000111,SEC_011,OHE_SEC_011_1104,Insulator Damage,C,2024-07-12,2024-08-06,3,Deferred
TDMS_TASK_000112,SEC_037,OHE_SEC_037_3109,Neutral Section Fault,A,2024-05-25,2024-05-30,0,Deferred
TDMS_TASK_000113,SEC_026,OHE_SEC_026_2213,Insulator Damage,B,2024-04-12,2024-04-22,0,Open
TDMS_TASK_000114,SEC_022,OHE_SEC_022_1827,Catenary Wear,B,2024-08-12,2024-08-18,1,Deferred
TDMS_TASK_000115,SEC_025,OHE_SEC_025_2013,Neutral Section Fault,A,2024-10-28,2024-11-02,0,Open
TDMS_TASK_000116,SEC_026,OHE_SEC_026_2265,Neutral Section Fault,A,2024-05-07,2024-05-09,0,Deferred
TDMS_TASK_000117,SEC_001,OHE_SEC_001_0149,Substation Feed Issue,A,2024-05-02,2024-05-08,0,In-Progress
TDMS_TASK_000118,SEC_006,OHE_SEC_006_0557,Substation Feed Issue,A,2024-11-11,2024-11-14,0,Completed
TDMS_TASK_000119,SEC_011,OHE_SEC_011_0978,Neutral Section Fault,A,2024-10-03,2024-10-09,0,In-Progress
TDMS_TASK_000120,SEC_004,OHE_SEC_004_0456,Neutral Section Fault,A,2024-09-23,2024-09-25,0,Open
TDMS_TASK_000121,SEC_019,OHE_SEC_019_1751,Substation Feed Issue,A,2024-08-04,2024-08-07,0,Open
TDMS_TASK_000122,SEC_028,OHE_SEC_028_2661,Neutral Section Fault,B,2024-02-06,2024-02-15,0,Completed
TDMS_TASK_000123,SEC_028,OHE_SEC_028_2606,Neutral Section Fault,B,2024-02-25,2024-03-02,0,Completed
TDMS_TASK_000124,SEC_024,OHE_SEC_024_1876,Neutral Section Fault,C,2024-01-21,2024-02-17,4,Open
TDMS_TASK_000125,SEC_044,OHE_SEC_044_3405,Insulator Damage,C,2024-04-25,2024-05-11,1,Deferred
TDMS_TASK_000126,SEC_026,OHE_SEC_026_2251,Substation Feed Issue,A,2024-01-13,2024-01-15,4,Deferred
TDMS_TASK_000127,SEC_003,OHE_SEC_003_0316,Catenary Wear,A,2024-06-21,2024-06-22,0,Deferred
TDMS_TASK_000128,SEC_035,OHE_SEC_035_3046,Insulator Damage,B,2024-01-11,2024-01-18,4,Deferred
TDMS_TASK_000129,SEC_026,OHE_SEC_026_2288,Substation Feed Issue,A,2024-12-30,2025-01-02,0,In-Progress
TDMS_TASK_000130,SEC_027,OHE_SEC_027_2527,Neutral Section Fault,B,2024-06-30,2024-07-07,4,Deferred
TDMS_TASK_000131,SEC_026,OHE_SEC_026_2251,Substation Feed Issue,A,2024-01-05,2024-01-06,0,Deferred
TDMS_TASK_000132,SEC_025,OHE_SEC_025_2204,Catenary Wear,C,2024-03-07,2024-04-10,0,In-Progress
TDMS_TASK_000133,SEC_003,OHE_SEC_003_0361,Catenary Wear,A,2024-03-09,2024-03-11,0,Deferred
TDMS_TASK_000134,SEC_026,OHE_SEC_026_2227,Neutral Section Fault,A,2024-09-03,2024-09-09,0,Open
TDMS_TASK_000135,SEC_038,OHE_SEC_038_3165,Insulator Damage,C,2024-10-08,2024-11-02,4,Deferred
TDMS_TASK_000136,SEC_012,OHE_SEC_012_1211,Neutral Section Fault,A,2024-06-25,2024-06-29,0,Completed
TDMS_TASK_000137,SEC_026,OHE_SEC_026_2400,Neutral Section Fault,B,2024-09-23,2024-10-08,0,Completed
TDMS_TASK_000138,SEC_001,OHE_SEC_001_0123,Insulator Damage,C,2024-02-04,2024-03-03,4,Open
TDMS_TASK_000139,SEC_014,OHE_SEC_014_1384,Insulator Damage,C,2024-04-24,2024-05-09,0,Deferred
TDMS_TASK_000140,SEC_018,OHE_SEC_018_1739,Neutral Section Fault,B,2024-01-03,2024-01-18,0,Completed
TDMS_TASK_000141,SEC_049,OHE_SEC_049_3913,Catenary Wear,A,2024-05-29,2024-05-31,0,Open
TDMS_TASK_000142,SEC_009,OHE_SEC_009_0855,Substation Feed Issue,A,2024-01-14,2024-01-17,0,Completed
TDMS_TASK_000143,SEC_011,OHE_SEC_011_1101,Substation Feed Issue,B,2024-10-16,2024-11-02,0,In-Progress
TDMS_TASK_000144,SEC_018,OHE_SEC_018_1627,Insulator Damage,B,2024-07-14,2024-07-27,0,Completed
TDMS_TASK_000145,SEC_049,OHE_SEC_049_3952,Insulator Damage,B,2024-10-02,2024-10-10,0,Deferred
TDMS_TASK_000146,SEC_043,OHE_SEC_043_3398,Substation Feed Issue,A,2024-08-02,2024-08-07,0,In-Progress
TDMS_TASK_000147,SEC_001,OHE_SEC_001_0139,Catenary Wear,A,2024-01-14,2024-01-20,0,In-Progress
TDMS_TASK_000148,SEC_011,OHE_SEC_011_0932,Catenary Wear,B,2024-05-09,2024-05-21,0,In-Progress
TDMS_TASK_000149,SEC_040,OHE_SEC_040_3272,Substation Feed Issue,C,2024-01-05,2024-01-25,0,Completed
TDMS_TASK_000150,SEC_002,OHE_SEC_002_0233,Substation Feed Issue,A,2024-01-29,2024-01-30,0,Deferred
TDMS_TASK_000151,SEC_044,OHE_SEC_044_3407,Neutral Section Fault,A,2024-12-10,2024-12-14,0,Completed
TDMS_TASK_000152,SEC_011,OHE_SEC_011_1121,Neutral Section Fault,A,2024-12-08,2024-12-12,0,Completed
TDMS_TASK_000153,SEC_045,OHE_SEC_045_3654,Substation Feed Issue,A,2024-02-13,2024-02-14,0,Completed
TDMS_TASK_000154,SEC_012,OHE_SEC_012_1169,Neutral Section Fault,A,2024-05-28,2024-05-31,0,Open
TDMS_TASK_000155,SEC_018,OHE_SEC_018_1730,Catenary Wear,B,2024-04-15,2024-05-01,3,Deferred
TDMS_TASK_000156,SEC_028,OHE_SEC_028_2636,Insulator Damage,A,2024-06-06,2024-06-09,0,Completed
TDMS_TASK_000157,SEC_004,OHE_SEC_004_0503,Neutral Section Fault,A,2024-08-11,2024-08-17,2,In-Progress
TDMS_TASK_000158,SEC_026,OHE_SEC_026_2218,Neutral Section Fault,A,2024-05-19,2024-05-22,0,In-Progress
TDMS_TASK_000159,SEC_025,OHE_SEC_025_2011,Catenary Wear,A,2024-10-24,2024-10-25,3,Deferred
TDMS_TASK_000160,SEC_038,OHE_SEC_038_3121,Neutral Section Fault,B,2024-01-22,2024-02-04,0,Open
TDMS_TASK_000161,SEC_049,OHE_SEC_049_3966,Insulator Damage,C,2024-08-01,2024-08-18,4,Deferred
TDMS_TASK_000162,SEC_028,OHE_SEC_028_2645,Catenary Wear,B,2024-09-17,2024-09-25,0,Completed
TDMS_TASK_000163,SEC_018,OHE_SEC_018_1629,Catenary Wear,B,2024-07-22,2024-08-01,0,Open
TDMS_TASK_000164,SEC_018,OHE_SEC_018_1618,Catenary Wear,A,2024-08-31,2024-09-01,1,Deferred
TDMS_TASK_000165,SEC_018,OHE_SEC_018_1664,Catenary Wear,B,2024-08-14,2024-08-29,0,Deferred
TDMS_TASK_000166,SEC_039,OHE_SEC_039_3241,Substation Feed Issue,A,2024-03-01,2024-03-07,0,Completed
TDMS_TASK_000167,SEC_013,OHE_SEC_013_1279,Neutral Section Fault,B,2024-10-15,2024-10-27,1,Deferred
TDMS_TASK_000168,SEC_007,OHE_SEC_007_0665,Insulator Damage,B,2024-04-08,2024-04-15,0,Completed
TDMS_TASK_000169,SEC_014,OHE_SEC_014_1331,Neutral Section Fault,A,2024-03-06,2024-03-10,0,Deferred
TDMS_TASK_000170,SEC_001,OHE_SEC_001_0091,Substation Feed Issue,A,2024-07-19,2024-07-21,0,In-Progress
TDMS_TASK_000171,SEC_004,OHE_SEC_004_0423,Catenary Wear,A,2024-08-20,2024-08-22,0,Deferred
TDMS_TASK_000172,SEC_003,OHE_SEC_003_0359,Neutral Section Fault,A,2024-05-17,2024-05-18,0,Completed
TDMS_TASK_000173,SEC_036,OHE_SEC_036_3072,Neutral Section Fault,A,2024-01-23,2024-01-25,0,Completed
TDMS_TASK_000174,SEC_032,OHE_SEC_032_2876,Catenary Wear,C,2024-12-31,2025-01-28,0,Completed
TDMS_TASK_000175,SEC_031,OHE_SEC_031_2774,Neutral Section Fault,A,2024-10-24,2024-10-29,0,Deferred
TDMS_TASK_000176,SEC_022,OHE_SEC_022_1839,Neutral Section Fault,A,2024-06-30,2024-07-04,0,In-Progress
TDMS_TASK_000177,SEC_032,OHE_SEC_032_2855,Neutral Section Fault,A,2024-05-07,2024-05-13,0,Completed
TDMS_TASK_000178,SEC_007,OHE_SEC_007_0643,Substation Feed Issue,A,2024-11-18,2024-11-19,0,Open
TDMS_TASK_000179,SEC_045,OHE_SEC_045_3586,Insulator Damage,B,2024-05-09,2024-05-20,0,Deferred
TDMS_TASK_000180,SEC_025,OHE_SEC_025_1995,Insulator Damage,B,2024-03-15,2024-03-28,4,Deferred
TDMS_TASK_000181,SEC_046,OHE_SEC_046_3735,Catenary Wear,B,2024-04-02,2024-04-14,0,Completed
TDMS_TASK_000182,SEC_006,OHE_SEC_006_0607,Substation Feed Issue,A,2024-07-22,2024-07-23,0,Open
TDMS_TASK_000183,SEC_025,OHE_SEC_025_1980,Insulator Damage,A,2024-09-30,2024-10-01,0,Completed
TDMS_TASK_000184,SEC_031,OHE_SEC_031_2773,Insulator Damage,B,2024-04-27,2024-05-12,2,Deferred
TDMS_TASK_000185,SEC_025,OHE_SEC_025_1974,Neutral Section Fault,B,2024-03-11,2024-03-25,2,In-Progress
TDMS_TASK_000186,SEC_021,OHE_SEC_021_1777,Insulator Damage,C,2024-12-08,2025-01-03,0,Open
TDMS_TASK_000187,SEC_007,OHE_SEC_007_0662,Insulator Damage,A,2024-02-05,2024-02-11,0,Completed
TDMS_TASK_000188,SEC_017,OHE_SEC_017_1517,Neutral Section Fault,B,2024-07-20,2024-08-05,0,Open
TDMS_TASK_000189,SEC_011,OHE_SEC_011_0951,Insulator Damage,C,2024-03-06,2024-03-24,3,Deferred
TDMS_TASK_000190,SEC_012,OHE_SEC_012_1201,Substation Feed Issue,A,2024-08-27,2024-09-01,0,Completed
TDMS_TASK_000191,SEC_030,OHE_SEC_030_2722,Insulator Damage,A,2024-05-17,2024-05-18,0,Deferred
TDMS_TASK_000192,SEC_026,OHE_SEC_026_2510,Substation Feed Issue,A,2024-01-28,2024-02-03,0,Completed
TDMS_TASK_000193,SEC_026,OHE_SEC_026_2418,Insulator Damage,A,2024-03-02,2024-03-06,0,Completed
TDMS_TASK_000194,SEC_015,OHE_SEC_015_1441,Insulator Damage,C,2024-06-27,2024-07-21,0,Deferred
TDMS_TASK_000195,SEC_046,OHE_SEC_046_3821,Insulator Damage,C,2024-02-22,2024-03-25,0,Open
TDMS_TASK_000196,SEC_003,OHE_SEC_003_0349,Neutral Section Fault,A,2024-07-31,2024-08-05,0,Completed
TDMS_TASK_000197,SEC_014,OHE_SEC_014_1364,Substation Feed Issue,A,2024-10-20,2024-10-23,0,In-Progress
TDMS_TASK_000198,SEC_004,OHE_SEC_004_0470,Substation Feed Issue,B,2024-04-16,2024-04-29,1,In-Progress
TDMS_TASK_000199,SEC_014,OHE_SEC_014_1350,Insulator Damage,A,2024-12-08,2024-12-14,0,Open
TDMS_TASK_000200,SEC_046,OHE_SEC_046_3830,Neutral Section Fault,A,2024-09-26,2024-09-30,3,Deferred
TDMS_TASK_000201,SEC_015,OHE_SEC_015_1459,Neutral Section Fault,A,2024-02-01,2024-02-05,0,Deferred
TDMS_TASK_000202,SEC_045,OHE_SEC_045_3618,Substation Feed Issue,B,2024-06-19,2024-07-01,0,In-Progress
TDMS_TASK_000203,SEC_025,OHE_SEC_025_1971,Insulator Damage,C,2024-07-21,2024-08-04,2,Deferred
TDMS_TASK_000204,SEC_032,OHE_SEC_032_2786,Insulator Damage,B,2024-07-24,2024-08-02,0,Deferred
TDMS_TASK_000205,SEC_022,OHE_SEC_022_1821,Catenary Wear,B,2024-06-17,2024-06-27,0,Completed
TDMS_TASK_000206,SEC_011,OHE_SEC_011_1059,Insulator Damage,A,2024-05-12,2024-05-15,0,Completed
TDMS_TASK_000207,SEC_035,OHE_SEC_035_3043,Insulator Damage,B,2024-07-27,2024-08-05,0,Completed
TDMS_TASK_000208,SEC_048,OHE_SEC_048_3859,Catenary Wear,B,2024-09-04,2024-09-17,0,Completed
TDMS_TASK_000209,SEC_011,OHE_SEC_011_1050,Catenary Wear,C,2024-11-06,2024-11-24,0,Completed
TDMS_TASK_000210,SEC_037,OHE_SEC_037_3101,Catenary Wear,B,2024-02-07,2024-02-20,2,Deferred
TDMS_TASK_000211,SEC_011,OHE_SEC_011_1040,Insulator Damage,A,2024-02-20,2024-02-21,0,Completed
TDMS_TASK_000212,SEC_032,OHE_SEC_032_2854,Insulator Damage,C,2024-07-04,2024-08-06,4,Open
TDMS_TASK_000213,SEC_038,OHE_SEC_038_3142,Substation Feed Issue,A,2024-06-04,2024-06-05,0,Open
TDMS_TASK_000214,SEC_021,OHE_SEC_021_1789,Substation Feed Issue,A,2024-11-23,2024-11-26,0,Deferred
TDMS_TASK_000215,SEC_032,OHE_SEC_032_2934,Neutral Section Fault,A,2024-07-28,2024-07-30,0,Deferred
TDMS_TASK_000216,SEC_011,OHE_SEC_011_1084,Insulator Damage,A,2024-03-27,2024-04-02,0,Completed
TDMS_TASK_000217,SEC_003,OHE_SEC_003_0316,Catenary Wear,B,2024-11-07,2024-11-21,0,Deferred
TDMS_TASK_000218,SEC_003,OHE_SEC_003_0384,Neutral Section Fault,B,2024-11-13,2024-11-23,4,Open
TDMS_TASK_000219,SEC_021,OHE_SEC_021_1780,Catenary Wear,A,2024-01-15,2024-01-18,0,Completed
TDMS_TASK_000220,SEC_045,OHE_SEC_045_3594,Insulator Damage,A,2024-11-19,2024-11-23,0,Open
TDMS_TASK_000221,SEC_004,OHE_SEC_004_0508,Substation Feed Issue,A,2024-05-13,2024-05-18,0,Completed
TDMS_TASK_000222,SEC_022,OHE_SEC_022_1815,Substation Feed Issue,A,2024-03-25,2024-03-29,0,Deferred
