station_code,in_timetable,in_station_master,match_status,match_confidence,has_coordinates
AGR,True,True,UNMATCHED,NONE,False
AGT,True,True,UNMATCHED,NONE,False
AGTL,True,True,UNMATCHED,NONE,False
AGTR,True,True,UNMATCHED,NONE,False
AGV,True,True,UNMATCHED,NONE,False
AGY,True,True,UNMATCHED,NONE,False
AGZ,True,True,UNMATCHED,NONE,False
AH,True,True,UNMATCHED,NONE,False
AHA,True,True,UNMATCHED,NONE,False
AHD,True,True,UNMATCHED,NONE,False
AHH,True,True,UNMATCHED,NONE,False
AHJU,True,True,UNMATCHED,NONE,False
AHL,True,True,UNMATCHED,NONE,False
AHLR,True,True,UNMATCHED,NONE,False
AHM,True,True,UNMATCHED,NONE,False
AHN,True,True,UNMATCHED,NONE,False
AHO,True,True,UNMATCHED,NONE,False
AHQ,True,True,UNMATCHED,NONE,False
AHU,True,True,UNMATCHED,NONE,False
AHZ,True,True,UNMATCHED,NONE,False
AI,True,True,UNMATCHED,NONE,False
AIA,True,True,UNMATCHED,NONE,False
AIG,True,True,UNMATCHED,NONE,False
AIH,True,True,UNMATCHED,NONE,False
AII,True,True,UNMATCHED,NONE,False
AILM,True,True,UNMATCHED,NONE,False
AIP,True,True,UNMATCHED,NONE,False
AIPP,True,True,UNMATCHED,NONE,False
AIR,True,True,UNMATCHED,NONE,False
AIT,True,True,UNMATCHED,NONE,False
AJ,True,True,UNMATCHED,NONE,False
AJE,True,True,UNMATCHED,NONE,False
AJH,True,True,UNMATCHED,NONE,False
AJI,True,True,UNMATCHED,NONE,False
AJIT,True,True,UNMATCHED,NONE,False
AJJ,True,True,MATCHED,HIGH,True
AJJN,True,True,UNMATCHED,NONE,False
AJK,True,True,UNMATCHED,NONE,False
AJL,True,True,UNMATCHED,NONE,False
AJM,True,True,UNMATCHED,NONE,False
AJN,True,True,UNMATCHED,NONE,False
AJNI,True,True,UNMATCHED,NONE,False
AJP,True,True,UNMATCHED,NONE,False
AJR,True,True,UNMATCHED,NONE,False
AJRE,True,True,UNMATCHED,NONE,False
AJTM,True,True,UNMATCHED,NONE,False
AJU,True,True,UNMATCHED,NONE,False
AJUG,True,True,UNMATCHED,NONE,False
AK,True,True,UNMATCHED,NONE,False
AKAH,True,True,UNMATCHED,NONE,False
AKAT,True,True,UNMATCHED,NONE,False
AKD,True,True,UNMATCHED,NONE,False
AKE,True,True,UNMATCHED,NONE,False
AKI,True,True,UNMATCHED,NONE,False
AKIP,True,True,UNMATCHED,NONE,False
AKJ,True,True,UNMATCHED,NONE,False
AKK,True,True,UNMATCHED,NONE,False
AKM,True,True,UNMATCHED,NONE,False
AKN,True,True,UNMATCHED,NONE,False
AKNR,True,True,UNMATCHED,NONE,False
AKOR,True,True,UNMATCHED,NONE,False
AKP,True,True,UNMATCHED,NONE,False
AKR,True,True,UNMATCHED,NONE,False
AKRA,True,True,UNMATCHED,NONE,False
AKRD,True,True,UNMATCHED,NONE,False
AKS,True,True,UNMATCHED,NONE,False
AKT,True,True,UNMATCHED,NONE,False
AKU,True,True,UNMATCHED,NONE,False
AKV,True,True,UNMATCHED,NONE,False
AKVD,True,True,UNMATCHED,NONE,False
AKVU,True,True,UNMATCHED,NONE,False
AKW,True,True,MATCHED,MEDIUM,True
AKZ,True,True,UNMATCHED,NONE,False
AL,True,True,UNMATCHED,NONE,False
ALAI,True,True,MATCHED,MEDIUM,True
ALAL,True,True,UNMATCHED,NONE,False
ALB,True,True,UNMATCHED,NONE,False
ALD,True,True,UNMATCHED,NONE,False
ALE,True,True,UNMATCHED,NONE,False
ALER,True,True,UNMATCHED,NONE,False
ALGP,True,True,UNMATCHED,NONE,False
ALJ,True,True,UNMATCHED,NONE,False
ALJN,True,True,UNMATCHED,NONE,False
ALK,True,True,MATCHED,HIGH,True
ALLP,True,True,UNMATCHED,NONE,False
ALM,True,True,UNMATCHED,NONE,False
ALMR,True,True,UNMATCHED,NONE,False
ALMW,True,True,UNMATCHED,NONE,False
ALN,True,True,UNMATCHED,NONE,False
ALNI,True,True,UNMATCHED,NONE,False
ALNP,True,True,UNMATCHED,NONE,False
ALP,True,True,MATCHED,HIGH,True
ALPD,True,True,UNMATCHED,NONE,False
ALPR,True,True,UNMATCHED,NONE,False
ALS,True,True,UNMATCHED,NONE,False
ALU,True,True,MATCHED,HIGH,True
ALV,True,True,UNMATCHED,NONE,False
ALW,True,True,UNMATCHED,NONE,False
ALY,True,True,UNMATCHED,NONE,False
AMA,True,True,UNMATCHED,NONE,False
AMB,True,True,UNMATCHED,NONE,False
AMBG,True,True,UNMATCHED,NONE,False
AMBR,True,True,UNMATCHED,NONE,False
AMC,True,True,UNMATCHED,NONE,False
AMD,True,True,UNMATCHED,NONE,False
AMDI,True,True,UNMATCHED,NONE,False
AME,True,True,UNMATCHED,NONE,False
AMG,True,True,UNMATCHED,NONE,False
AMGA,True,True,UNMATCHED,NONE,False
AMH,True,True,UNMATCHED,NONE,False
AMI,True,True,UNMATCHED,NONE,False
AMIN,True,True,UNMATCHED,NONE,False
AML,True,True,UNMATCHED,NONE,False
AMLA,True,True,UNMATCHED,NONE,False
AMLI,True,True,UNMATCHED,NONE,False
AMLO,True,True,UNMATCHED,NONE,False
AMLP,True,True,UNMATCHED,NONE,False
AMP,True,True,UNMATCHED,NONE,False
AMPA,True,True,UNMATCHED,NONE,False
AMPL,True,True,UNMATCHED,NONE,False
AMPR,True,True,UNMATCHED,NONE,False
AMQ,True,True,UNMATCHED,NONE,False
AMRO,True,True,UNMATCHED,NONE,False
AMS,True,True,UNMATCHED,NONE,False
AMSA,True,True,UNMATCHED,NONE,False
AMT,True,True,MATCHED,HIGH,True
AMVA,True,True,UNMATCHED,NONE,False
AMW,True,True,UNMATCHED,NONE,False
AMY,True,True,UNMATCHED,NONE,False
AMZ,True,True,UNMATCHED,NONE,False
AN,True,True,UNMATCHED,NONE,False
ANA,True,True,UNMATCHED,NONE,False
ANAS,True,True,MATCHED,MEDIUM,True
ANB,True,True,UNMATCHED,NONE,False
ANC,True,True,UNMATCHED,NONE,False
ANCR,True,True,UNMATCHED,NONE,False
ANDI,True,True,UNMATCHED,NONE,False
ANDN,True,True,UNMATCHED,NONE,False
ANE,True,True,UNMATCHED,NONE,False
ANF,True,True,UNMATCHED,NONE,False
ANG,True,True,UNMATCHED,NONE,False
ANGL,True,True,MATCHED,MEDIUM,True
ANGR,True,True,UNMATCHED,NONE,False
ANH,True,True,UNMATCHED,NONE,False
ANK,True,True,UNMATCHED,NONE,False
ANKL,True,True,UNMATCHED,NONE,False
ANM,True,True,UNMATCHED,NONE,False
ANMD,True,True,UNMATCHED,NONE,False
ANND,True,True,UNMATCHED,NONE,False
ANNR,True,True,MATCHED,HIGH,True
ANO,True,True,UNMATCHED,NONE,False
ANP,True,True,MATCHED,HIGH,True
ANPR,True,True,UNMATCHED,NONE,False
ANQ,True,True,UNMATCHED,NONE,False
ANR,True,True,UNMATCHED,NONE,False
ANSB,True,True,UNMATCHED,NONE,False
ANT,True,True,UNMATCHED,NONE,False
ANTU,True,True,UNMATCHED,NONE,False
ANU,True,True,UNMATCHED,NONE,False
ANV,True,True,UNMATCHED,NONE,False
ANVR,True,True,UNMATCHED,NONE,False
ANVT,True,True,UNMATCHED,NONE,False
ANY,True,True,MATCHED,HIGH,True
AO,True,True,UNMATCHED,NONE,False
AON,True,True,UNMATCHED,NONE,False
AONI,True,True,UNMATCHED,NONE,False
AOR,True,True,UNMATCHED,NONE,False
AP,True,True,UNMATCHED,NONE,False
APA,True,True,UNMATCHED,NONE,False
APB,True,True,UNMATCHED,NONE,False
APD,True,True,UNMATCHED,NONE,False
APDC,True,True,UNMATCHED,NONE,False
APDJ,True,True,UNMATCHED,NONE,False
APE,True,True,UNMATCHED,NONE,False
APG,True,True,UNMATCHED,NONE,False
APH,True,True,UNMATCHED,NONE,False
API,True,True,UNMATCHED,NONE,False
APJ,True,True,UNMATCHED,NONE,False
APK,True,True,MATCHED,HIGH,True
APL,True,True,UNMATCHED,NONE,False
APN,True,True,MATCHED,HIGH,True
APR,True,True,UNMATCHED,NONE,False
APRD,True,True,UNMATCHED,NONE,False
APRH,True,True,UNMATCHED,NONE,False
APT,True,True,UNMATCHED,NONE,False
APTA,True,True,UNMATCHED,NONE,False
APU,True,True,UNMATCHED,NONE,False
AQG,True,True,UNMATCHED,NONE,False
ARA,True,True,UNMATCHED,NONE,False
ARAG,True,True,UNMATCHED,NONE,False
ARCL,True,True,UNMATCHED,NONE,False
ARD,True,True,UNMATCHED,NONE,False
ARE,True,True,UNMATCHED,NONE,False
ARG,True,True,UNMATCHED,NONE,False
ARGD,True,True,UNMATCHED,NONE,False
ARGL,True,True,UNMATCHED,NONE,False
ARGP,True,True,UNMATCHED,NONE,False
ARH,True,True,UNMATCHED,NONE,False
ARI,True,True,UNMATCHED,NONE,False
ARJ,True,True,UNMATCHED,NONE,False
ARK,True,True,UNMATCHED,NONE,False
ARKA,True,True,UNMATCHED,NONE,False
ARL,True,True,UNMATCHED,NONE,False
ARMU,True,True,UNMATCHED,NONE,False
ARN,True,True,MATCHED,MEDIUM,True
ARNA,True,True,UNMATCHED,NONE,False
ARNB,True,True,UNMATCHED,NONE,False
ARNG,True,True,UNMATCHED,NONE,False
ARNH,True,True,UNMATCHED,NONE,False
AROR,True,True,UNMATCHED,NONE,False
ARP,True,True,UNMATCHED,NONE,False
ARPL,True,True,UNMATCHED,NONE,False
ARQ,True,True,UNMATCHED,NONE,False
ARR,True,True,UNMATCHED,NONE,False
ARU,True,True,UNMATCHED,NONE,False
ARV,True,True,MATCHED,HIGH,True
ARW,True,True,UNMATCHED,NONE,False
ARX,True,True,UNMATCHED,NONE,False
AS,True,True,UNMATCHED,NONE,False
ASAF,True,True,UNMATCHED,NONE,False
ASAN,True,True,MATCHED,MEDIUM,True
ASAR,True,True,UNMATCHED,NONE,False
ASB,True,True,UNMATCHED,NONE,False
ASCE,True,True,UNMATCHED,NONE,False
ASD,True,True,UNMATCHED,NONE,False
ASE,True,True,UNMATCHED,NONE,False
ASH,True,True,UNMATCHED,NONE,False
ASI,True,True,UNMATCHED,NONE,False
ASJP,True,True,UNMATCHED,NONE,False
ASK,True,True,UNMATCHED,NONE,False
ASKN,True,True,MATCHED,MEDIUM,True
ASKR,True,True,UNMATCHED,NONE,False
ASL,True,True,UNMATCHED,NONE,False
ASLU,True,True,UNMATCHED,NONE,False
ASN,True,True,UNMATCHED,NONE,False
ASO,True,True,UNMATCHED,NONE,False
ASP,True,True,UNMATCHED,NONE,False
ASR,True,True,UNMATCHED,NONE,False
AST,True,True,UNMATCHED,NONE,False
ASTG,True,True,UNMATCHED,NONE,False
AT,True,True,UNMATCHED,NONE,False
ATA,True,True,UNMATCHED,NONE,False
ATC,True,True,UNMATCHED,NONE,False
ATE,True,True,UNMATCHED,NONE,False
ATG,True,True,UNMATCHED,NONE,False
ATH,True,True,UNMATCHED,NONE,False
ATKS,True,True,UNMATCHED,NONE,False
ATL,True,True,UNMATCHED,NONE,False
ATM,True,True,UNMATCHED,NONE,False
ATMO,True,True,UNMATCHED,NONE,False
ATNR,True,True,UNMATCHED,NONE,False
ATP,True,True,UNMATCHED,NONE,False
ATPA,True,True,UNMATCHED,NONE,False
ATRR,True,True,UNMATCHED,NONE,False
ATRU,True,True,UNMATCHED,NONE,False
ATS,True,True,MATCHED,MEDIUM,True
ATT,True,True,UNMATCHED,NONE,False
ATU,True,True,MATCHED,HIGH,True
ATUL,True,True,UNMATCHED,NONE,False
ATW,True,True,UNMATCHED,NONE,False
AUB,True,True,UNMATCHED,NONE,False
AUBR,True,True,UNMATCHED,NONE,False
AUL,True,True,UNMATCHED,NONE,False
AUN,True,True,UNMATCHED,NONE,False
AUNG,True,True,UNMATCHED,NONE,False
AUR,True,True,UNMATCHED,NONE,False
AUS,True,True,UNMATCHED,NONE,False
AUWA,True,True,UNMATCHED,NONE,False
AV,True,True,UNMATCHED,NONE,False
AVC,True,True,UNMATCHED,NONE,False
AVD,True,True,MATCHED,HIGH,True
AVH,True,True,UNMATCHED,NONE,False
AVK,True,True,UNMATCHED,NONE,False
AVL,True,True,UNMATCHED,NONE,False
AVLI,True,True,UNMATCHED,NONE,False
AVN,True,True,MATCHED,HIGH,True
AVP,True,True,UNMATCHED,NONE,False
AVRD,True,True,UNMATCHED,NONE,False
AVS,True,True,UNMATCHED,NONE,False
AVT,True,True,UNMATCHED,NONE,False
AWB,True,True,UNMATCHED,NONE,False
AWG,True,True,UNMATCHED,NONE,False
AWH,True,True,UNMATCHED,NONE,False
AWL,True,True,UNMATCHED,NONE,False
AWM,True,True,UNMATCHED,NONE,False
AWP,True,True,UNMATCHED,NONE,False
AWPR,True,True,UNMATCHED,NONE,False
AWR,True,True,UNMATCHED,NONE,False
AWS,True,True,UNMATCHED,NONE,False
AWT,True,True,UNMATCHED,NONE,False
AWY,True,True,UNMATCHED,NONE,False
AXA,True,True,UNMATCHED,NONE,False
AXK,True,True,UNMATCHED,NONE,False
AXR,True,True,UNMATCHED,NONE,False
AY,True,True,MATCHED,MEDIUM,True
AYD,True,True,UNMATCHED,NONE,False
AYN,True,True,MATCHED,HIGH,True
AYR,True,True,MATCHED,HIGH,True
AYRN,True,True,UNMATCHED,NONE,False
AYU,True,True,UNMATCHED,NONE,False
AZ,True,True,UNMATCHED,NONE,False
AZA,True,True,UNMATCHED,NONE,False
AZK,True,True,UNMATCHED,NONE,False
AZP,True,True,MATCHED,HIGH,True
AZR,True,True,UNMATCHED,NONE,False
BA,True,True,UNMATCHED,NONE,False
BAA,True,True,UNMATCHED,NONE,False
BAAR,True,True,UNMATCHED,NONE,False
BAB,True,True,UNMATCHED,NONE,False
BABR,True,True,UNMATCHED,NONE,False
BAC,True,True,UNMATCHED,NONE,False
BAD,True,True,UNMATCHED,NONE,False
BADK,True,True,UNMATCHED,NONE,False
BADR,True,True,UNMATCHED,NONE,False
BAE,True,True,UNMATCHED,NONE,False
BAF,True,True,UNMATCHED,NONE,False
BAGA,True,True,UNMATCHED,NONE,False
BAGD,True,True,UNMATCHED,NONE,False
BAGJ,True,True,UNMATCHED,NONE,False
BAGL,True,True,UNMATCHED,NONE,False
BAH,True,True,UNMATCHED,NONE,False
BAHI,True,True,UNMATCHED,NONE,False
BAHL,True,True,UNMATCHED,NONE,False
BAHN,True,True,UNMATCHED,NONE,False
BAHP,True,True,UNMATCHED,NONE,False
BAHW,True,True,UNMATCHED,NONE,False
BAI,True,True,UNMATCHED,NONE,False
BAJ,True,True,UNMATCHED,NONE,False
BAJE,True,True,UNMATCHED,NONE,False
BAK,True,True,UNMATCHED,NONE,False
BAKA,True,True,UNMATCHED,NONE,False
BAKL,True,True,UNMATCHED,NONE,False
BAL,True,True,MATCHED,HIGH,True
BALE,True,True,UNMATCHED,NONE,False
BALR,True,True,UNMATCHED,NONE,False
BALU,True,True,UNMATCHED,NONE,False
BAM,True,True,UNMATCHED,NONE,False
BAMA,True,True,UNMATCHED,NONE,False
BAMR,True,True,UNMATCHED,NONE,False
BAND,True,True,UNMATCHED,NONE,False
BANE,True,True,UNMATCHED,NONE,False
BANI,True,True,UNMATCHED,NONE,False
BANO,True,True,UNMATCHED,NONE,False
BAO,True,True,UNMATCHED,NONE,False
BAOL,True,True,UNMATCHED,NONE,False
BAP,True,True,UNMATCHED,NONE,False
BAPN,True,True,UNMATCHED,NONE,False
BAPR,True,True,UNMATCHED,NONE,False
BAQ,True,True,UNMATCHED,NONE,False
BAR,True,True,UNMATCHED,NONE,False
BARA,True,True,UNMATCHED,NONE,False
BARD,True,True,UNMATCHED,NONE,False
BARH,True,True,UNMATCHED,NONE,False
BARI,True,True,UNMATCHED,NONE,False
BARJ,True,True,UNMATCHED,NONE,False
BARL,True,True,UNMATCHED,NONE,False
BARN,True,True,UNMATCHED,NONE,False
BARU,True,True,UNMATCHED,NONE,False
BASN,True,True,UNMATCHED,NONE,False
BASR,True,True,UNMATCHED,NONE,False
BAT,True,True,UNMATCHED,NONE,False
BATL,True,True,UNMATCHED,NONE,False
BATM,True,True,UNMATCHED,NONE,False
BAU,True,True,UNMATCHED,NONE,False
BAV,True,True,UNMATCHED,NONE,False
BAW,True,True,UNMATCHED,NONE,False
BAWA,True,True,UNMATCHED,NONE,False
BAY,True,True,UNMATCHED,NONE,False
BAYD,True,True,UNMATCHED,NONE,False
BAZ,True,True,UNMATCHED,NONE,False
BBA,True,True,UNMATCHED,NONE,False
BBAE,True,True,UNMATCHED,NONE,False
BBAI,True,True,UNMATCHED,NONE,False
BBAR,True,True,MATCHED,MEDIUM,True
BBC,True,True,UNMATCHED,NONE,False
BBCE,True,True,UNMATCHED,NONE,False
BBD,True,True,UNMATCHED,NONE,False
BBDB,True,True,UNMATCHED,NONE,False
BBDE,True,True,UNMATCHED,NONE,False
BBGN,True,True,UNMATCHED,NONE,False
BBHT,True,True,UNMATCHED,NONE,False
BBI,True,True,UNMATCHED,NONE,False
BBJ,True,True,UNMATCHED,NONE,False
BBK,True,True,UNMATCHED,NONE,False
BBKR,True,True,UNMATCHED,NONE,False
BBL,True,True,UNMATCHED,NONE,False
BBLA,True,True,UNMATCHED,NONE,False
BBLK,True,True,UNMATCHED,NONE,False
BBM,True,True,UNMATCHED,NONE,False
BBMN,True,True,UNMATCHED,NONE,False
BBN,True,True,UNMATCHED,NONE,False
BBO,True,True,UNMATCHED,NONE,False
BBPM,True,True,UNMATCHED,NONE,False
BBPR,True,True,UNMATCHED,NONE,False
BBQ,True,True,MATCHED,HIGH,True
BBR,True,True,UNMATCHED,NONE,False
BBS,True,True,UNMATCHED,NONE,False
BBT,True,True,UNMATCHED,NONE,False
BBTR,True,True,UNMATCHED,NONE,False
BBU,True,True,UNMATCHED,NONE,False
BBW,True,True,UNMATCHED,NONE,False
BBY,True,True,UNMATCHED,NONE,False
BC,True,True,UNMATCHED,NONE,False
BCA,True,True,UNMATCHED,NONE,False
BCB,True,True,UNMATCHED,NONE,False
BCD,True,True,UNMATCHED,NONE,False
BCF,True,True,UNMATCHED,NONE,False
BCGM,True,True,UNMATCHED,NONE,False
BCH,True,True,UNMATCHED,NONE,False
BCHL,True,True,UNMATCHED,NONE,False
BCHN,True,True,UNMATCHED,NONE,False
BCJ,True,True,UNMATCHED,NONE,False
BCK,True,True,UNMATCHED,NONE,False
BCL,True,True,UNMATCHED,NONE,False
BCN,True,True,UNMATCHED,NONE,False
BCOB,True,True,UNMATCHED,NONE,False
BCP,True,True,UNMATCHED,NONE,False
BCPR,True,True,UNMATCHED,NONE,False
BCQ,True,True,UNMATCHED,NONE,False
BCRD,True,True,UNMATCHED,NONE,False
BCT,True,True,UNMATCHED,NONE,False
BCU,True,True,UNMATCHED,NONE,False
BCW,True,True,UNMATCHED,NONE,False
BCY,True,True,UNMATCHED,NONE,False
BD,True,True,UNMATCHED,NONE,False
BDAG,True,True,UNMATCHED,NONE,False
BDB,True,True,UNMATCHED,NONE,False
BDBA,True,True,UNMATCHED,NONE,False
BDBG,True,True,UNMATCHED,NONE,False
BDBP,True,True,UNMATCHED,NONE,False
BDBS,True,True,UNMATCHED,NONE,False
BDC,True,True,UNMATCHED,NONE,False
BDCR,True,True,UNMATCHED,NONE,False
BDDR,True,True,UNMATCHED,NONE,False
BDE,True,True,UNMATCHED,NONE,False
BDGM,True,True,UNMATCHED,NONE,False
BDGP,True,True,UNMATCHED,NONE,False
BDH,True,True,UNMATCHED,NONE,False
BDHA,True,True,UNMATCHED,NONE,False
BDHL,True,True,UNMATCHED,NONE,False
BDHN,True,True,UNMATCHED,NONE,False
BDHP,True,True,UNMATCHED,NONE,False
BDHY,True,True,UNMATCHED,NONE,False
BDI,True,True,UNMATCHED,NONE,False
BDIN,True,True,UNMATCHED,NONE,False
BDJ,True,True,UNMATCHED,NONE,False
BDKN,True,True,UNMATCHED,NONE,False
BDKT,True,True,UNMATCHED,NONE,False
BDL,True,True,UNMATCHED,NONE,False
BDLN,True,True,UNMATCHED,NONE,False
BDM,True,True,UNMATCHED,NONE,False
BDMA,True,True,UNMATCHED,NONE,False
BDME,True,True,UNMATCHED,NONE,False
BDMJ,True,True,UNMATCHED,NONE,False
BDN,True,True,UNMATCHED,NONE,False
BDNP,True,True,UNMATCHED,NONE,False
BDO,True,True,UNMATCHED,NONE,False
BDPA,True,True,UNMATCHED,NONE,False
BDPG,True,True,UNMATCHED,NONE,False
BDPK,True,True,UNMATCHED,NONE,False
BDPL,True,True,UNMATCHED,NONE,False
BDPR,True,True,UNMATCHED,NONE,False
BDQ,True,True,UNMATCHED,NONE,False
BDRI,True,True,UNMATCHED,NONE,False
BDRL,True,True,UNMATCHED,NONE,False
BDS,True,True,UNMATCHED,NONE,False
BDSW,True,True,UNMATCHED,NONE,False
BDT,True,True,UNMATCHED,NONE,False
BDTS,True,True,UNMATCHED,NONE,False
BDU,True,True,UNMATCHED,NONE,False
BDUA,True,True,UNMATCHED,NONE,False
BDVL,True,True,UNMATCHED,NONE,False
BDVR,True,True,UNMATCHED,NONE,False
BDVT,True,True,UNMATCHED,NONE,False
BDW,True,True,UNMATCHED,NONE,False
BDWA,True,True,UNMATCHED,NONE,False
BDWD,True,True,UNMATCHED,NONE,False
BDWL,True,True,UNMATCHED,NONE,False
BDWS,True,True,UNMATCHED,NONE,False
BDXT,True,True,UNMATCHED,NONE,False
BDXX,True,True,UNMATCHED,NONE,False
BDY,True,True,MATCHED,HIGH,True
BDYK,True,True,UNMATCHED,NONE,False
BDYP,True,True,UNMATCHED,NONE,False
BDYR,True,True,UNMATCHED,NONE,False
BDZ,True,True,UNMATCHED,NONE,False
BE,True,True,UNMATCHED,NONE,False
BEA,True,True,UNMATCHED,NONE,False
BEAS,True,True,UNMATCHED,NONE,False
BEB,True,True,UNMATCHED,NONE,False
BED,True,True,UNMATCHED,NONE,False
BEDM,True,True,UNMATCHED,NONE,False
BEE,True,True,UNMATCHED,NONE,False
BEF,True,True,UNMATCHED,NONE,False
BEG,True,True,UNMATCHED,NONE,False
BEH,True,True,UNMATCHED,NONE,False
BEHJ,True,True,UNMATCHED,NONE,False
BEHR,True,True,UNMATCHED,NONE,False
BEHS,True,True,UNMATCHED,NONE,False
BEHT,True,True,UNMATCHED,NONE,False
BEJ,True,True,UNMATCHED,NONE,False
BEK,True,True,UNMATCHED,NONE,False
BELA,True,True,UNMATCHED,NONE,False
BELD,True,True,UNMATCHED,NONE,False
BELT,True,True,UNMATCHED,NONE,False
BEM,True,True,UNMATCHED,NONE,False
BEML,True,True,UNMATCHED,NONE,False
BENL,True,True,UNMATCHED,NONE,False
BEO,True,True,UNMATCHED,NONE,False
BEP,True,True,UNMATCHED,NONE,False
BEPR,True,True,UNMATCHED,NONE,False
BEQ,True,True,UNMATCHED,NONE,False
BER,True,True,UNMATCHED,NONE,False
BERO,True,True,UNMATCHED,NONE,False
BES,True,True,UNMATCHED,NONE,False
BET,True,True,UNMATCHED,NONE,False
BETI,True,True,UNMATCHED,NONE,False
BEW,True,True,UNMATCHED,NONE,False
BEX,True,True,UNMATCHED,NONE,False
BEY,True,True,UNMATCHED,NONE,False
BFD,True,True,UNMATCHED,NONE,False
BFE,True,True,UNMATCHED,NONE,False
BFF,True,True,UNMATCHED,NONE,False
BFG,True,True,UNMATCHED,NONE,False
BFJ,True,True,UNMATCHED,NONE,False
BFM,True,True,UNMATCHED,NONE,False
BFP,True,True,UNMATCHED,NONE,False
BFPA,True,True,UNMATCHED,NONE,False
BFQ,True,True,UNMATCHED,NONE,False
BFR,True,True,UNMATCHED,NONE,False
BFT,True,True,UNMATCHED,NONE,False
BFW,True,True,MATCHED,HIGH,True
BFZ,True,True,UNMATCHED,NONE,False
BG,True,True,UNMATCHED,NONE,False
BGA,True,True,UNMATCHED,NONE,False
BGAE,True,True,UNMATCHED,NONE,False
BGAR,True,True,UNMATCHED,NONE,False
BGB,True,True,UNMATCHED,NONE,False
BGBR,True,True,UNMATCHED,NONE,False
BGD,True,True,UNMATCHED,NONE,False
