record_id,task_id,department,section_id,requested_window_minutes,granted_window_minutes,outcome,was_deferred,shortfall_minutes,shortfall_percent,corridor_id,source_type,source
HIST_000013,TDMS_TASK_003861,Engineering,SEC_020,300,300,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000014,TDMS_TASK_005892,S&T,SEC_047,180,180,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000015,TDMS_TASK_002399,S&T,SEC_012,60,30,Not Completed,True,30,50.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000016,TDMS_TASK_007886,Engineering,SEC_020,120,15,Not Completed,True,105,87.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000017,SMMS_TASK_011059,S&T,SEC_029,90,90,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000018,TMS_TASK_010250,TRD,SEC_063,120,45,Partially Completed,False,75,62.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000019,TDMS_TASK_012180,Engineering,SEC_066,240,180,Partially Completed,False,60,25.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000020,SMMS_TASK_006031,Engineering,SEC_025,60,60,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000021,SMMS_TASK_010029,S&T,SEC_038,300,240,Partially Completed,False,60,20.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000022,TMS_TASK_029664,TRD,SEC_060,300,135,Partially Completed,True,165,55.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000023,TMS_TASK_014604,Engineering,SEC_008,180,180,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000024,TDMS_TASK_019142,TRD,SEC_053,90,90,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000025,TDMS_TASK_007526,S&T,SEC_028,90,60,Partially Completed,True,30,33.3,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000026,SMMS_TASK_021510,Engineering,SEC_016,300,30,Not Completed,True,270,90.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000027,SMMS_TASK_002194,S&T,SEC_062,120,75,Partially Completed,False,45,37.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000028,TDMS_TASK_010821,S&T,SEC_060,60,45,Partially Completed,False,15,25.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000029,SMMS_TASK_013635,S&T,SEC_005,120,90,Partially Completed,False,30,25.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000030,SMMS_TASK_005474,S&T,SEC_038,240,240,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000031,SMMS_TASK_006037,Engineering,SEC_016,180,180,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000032,TMS_TASK_018180,TRD,SEC_025,240,0,Not Completed,True,240,100.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000033,TMS_TASK_007371,Engineering,SEC_058,240,30,Not Completed,True,210,87.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000034,SMMS_TASK_014367,TRD,SEC_040,90,60,Partially Completed,False,30,33.3,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000035,TDMS_TASK_016032,TRD,SEC_049,180,105,Partially Completed,False,75,41.7,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000036,TMS_TASK_005106,S&T,SEC_008,180,180,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000037,TDMS_TASK_013664,Engineering,SEC_037,300,150,Partially Completed,False,150,50.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000038,TDMS_TASK_011211,TRD,SEC_025,90,30,Not Completed,True,60,66.7,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000039,TMS_TASK_022141,S&T,SEC_019,90,60,Partially Completed,False,30,33.3,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000040,SMMS_TASK_020534,Engineering,SEC_003,90,90,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000041,TMS_TASK_013219,Engineering,SEC_032,120,45,Partially Completed,False,75,62.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000042,TDMS_TASK_005648,S&T,SEC_055,180,120,Partially Completed,True,60,33.3,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000043,TDMS_TASK_001042,S&T,SEC_010,120,60,Partially Completed,True,60,50.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000044,TMS_TASK_028363,S&T,SEC_040,240,150,Partially Completed,False,90,37.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000045,TMS_TASK_005434,Engineering,SEC_037,60,60,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000046,TDMS_TASK_022656,TRD,SEC_018,240,150,Partially Completed,False,90,37.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000047,SMMS_TASK_005655,Engineering,SEC_051,300,30,Not Completed,True,270,90.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000048,TDMS_TASK_016450,Engineering,SEC_053,300,0,Not Completed,True,300,100.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000049,SMMS_TASK_024234,TRD,SEC_052,120,75,Partially Completed,False,45,37.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000050,TDMS_TASK_007271,TRD,SEC_048,240,30,Not Completed,True,210,87.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000051,TDMS_TASK_005792,TRD,SEC_021,240,120,Partially Completed,False,120,50.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000052,TMS_TASK_015572,Engineering,SEC_002,120,15,Not Completed,True,105,87.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000053,TMS_TASK_029113,S&T,SEC_049,120,75,Partially Completed,False,45,37.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000054,SMMS_TASK_007338,Engineering,SEC_034,300,300,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000055,SMMS_TASK_009824,S&T,SEC_059,240,240,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000056,TMS_TASK_003505,TRD,SEC_048,300,300,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000057,SMMS_TASK_013726,Engineering,SEC_048,300,300,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000058,TMS_TASK_012344,S&T,SEC_030,120,90,Partially Completed,False,30,25.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000059,TDMS_TASK_004471,S&T,SEC_042,120,60,Partially Completed,True,60,50.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000060,SMMS_TASK_024644,S&T,SEC_038,300,150,Partially Completed,True,150,50.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000061,TDMS_TASK_018803,TRD,SEC_047,120,45,Partially Completed,False,75,62.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000062,TDMS_TASK_004581,TRD,SEC_032,300,30,Not Completed,True,270,90.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000063,TMS_TASK_029332,Engineering,SEC_033,180,0,Not Completed,True,180,100.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000064,TDMS_TASK_022401,S&T,SEC_027,240,240,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000065,SMMS_TASK_002869,TRD,SEC_040,240,240,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000066,TMS_TASK_026067,Engineering,SEC_057,240,240,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000067,TDMS_TASK_017443,S&T,SEC_043,60,15,Partially Completed,True,45,75.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000068,TMS_TASK_029637,S&T,SEC_038,60,45,Partially Completed,False,15,25.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000069,TMS_TASK_006108,Engineering,SEC_065,90,0,Not Completed,True,90,100.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000070,SMMS_TASK_007565,TRD,SEC_013,90,60,Partially Completed,True,30,33.3,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000071,TDMS_TASK_008655,S&T,SEC_050,120,45,Partially Completed,False,75,62.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000072,TMS_TASK_015158,Engineering,SEC_018,60,45,Partially Completed,False,15,25.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000073,SMMS_TASK_007036,Engineering,SEC_011,180,30,Not Completed,True,150,83.3,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000074,TMS_TASK_010394,Engineering,SEC_002,60,60,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000075,SMMS_TASK_024919,Engineering,SEC_047,240,30,Not Completed,True,210,87.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000076,SMMS_TASK_008057,TRD,SEC_066,240,120,Partially Completed,True,120,50.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000077,TMS_TASK_026416,Engineering,SEC_014,300,150,Partially Completed,False,150,50.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000078,TMS_TASK_018153,S&T,SEC_054,90,30,Not Completed,True,60,66.7,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000079,SMMS_TASK_015160,S&T,SEC_006,60,45,Partially Completed,False,15,25.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000080,SMMS_TASK_023586,S&T,SEC_059,120,120,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000081,TDMS_TASK_020225,S&T,SEC_024,240,240,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000082,SMMS_TASK_004973,S&T,SEC_044,120,120,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000083,TMS_TASK_012856,TRD,SEC_009,90,90,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000084,TDMS_TASK_011615,TRD,SEC_012,60,30,Not Completed,True,30,50.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000085,SMMS_TASK_020382,Engineering,SEC_007,60,60,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000086,TDMS_TASK_001022,Engineering,SEC_034,300,30,Not Completed,True,270,90.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000087,TMS_TASK_007779,S&T,SEC_003,240,0,Not Completed,True,240,100.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000088,TMS_TASK_024990,Engineering,SEC_059,300,120,Partially Completed,True,180,60.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000089,TDMS_TASK_006428,S&T,SEC_054,180,180,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000090,TDMS_TASK_011581,S&T,SEC_037,60,60,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000091,SMMS_TASK_004818,S&T,SEC_043,240,90,Partially Completed,False,150,62.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000092,TDMS_TASK_009382,S&T,SEC_037,180,15,Not Completed,True,165,91.7,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000093,TDMS_TASK_012336,TRD,SEC_012,180,60,Partially Completed,False,120,66.7,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000094,SMMS_TASK_000999,Engineering,SEC_023,180,60,Partially Completed,False,120,66.7,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000095,TDMS_TASK_016848,TRD,SEC_002,90,30,Partially Completed,False,60,66.7,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000096,TMS_TASK_023067,S&T,SEC_033,180,15,Not Completed,True,165,91.7,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000097,TMS_TASK_019165,TRD,SEC_044,300,210,Partially Completed,False,90,30.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000098,SMMS_TASK_024600,S&T,SEC_028,90,15,Not Completed,True,75,83.3,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000099,SMMS_TASK_020941,TRD,SEC_020,90,45,Partially Completed,False,45,50.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000100,TMS_TASK_011181,S&T,SEC_019,90,45,Partially Completed,False,45,50.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000101,TDMS_TASK_011619,TRD,SEC_023,180,0,Not Completed,True,180,100.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000102,TMS_TASK_015993,S&T,SEC_032,60,60,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000103,TDMS_TASK_009392,TRD,SEC_063,180,60,Partially Completed,False,120,66.7,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000104,TMS_TASK_000589,Engineering,SEC_002,240,15,Not Completed,True,225,93.8,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000105,TDMS_TASK_008748,TRD,SEC_005,90,75,Partially Completed,False,15,16.7,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000106,TDMS_TASK_007954,Engineering,SEC_004,120,15,Not Completed,True,105,87.5,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000107,TDMS_TASK_007430,TRD,SEC_022,90,30,Partially Completed,False,60,66.7,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000108,SMMS_TASK_023189,TRD,SEC_031,180,135,Partially Completed,False,45,25.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000109,SMMS_TASK_007726,Engineering,SEC_011,90,90,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000110,TDMS_TASK_001414,S&T,SEC_043,180,90,Partially Completed,True,90,50.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000111,TMS_TASK_022170,S&T,SEC_060,180,15,Not Completed,True,165,91.7,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000112,TDMS_TASK_007459,S&T,SEC_063,180,180,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000113,SMMS_TASK_014452,Engineering,SEC_045,300,150,Partially Completed,False,150,50.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000114,SMMS_TASK_006714,S&T,SEC_021,240,135,Partially Completed,False,105,43.8,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000115,SMMS_TASK_010449,TRD,SEC_068,90,90,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000116,SMMS_TASK_015500,S&T,SEC_003,90,60,Partially Completed,False,30,33.3,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000117,TMS_TASK_002981,S&T,SEC_058,120,120,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000118,TMS_TASK_011184,TRD,SEC_056,240,240,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000119,TMS_TASK_019639,TRD,SEC_017,120,120,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000120,TMS_TASK_009163,TRD,SEC_031,90,0,Not Completed,True,90,100.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000121,SMMS_TASK_005170,S&T,SEC_061,240,180,Partially Completed,False,60,25.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000122,SMMS_TASK_023473,Engineering,SEC_054,60,0,Not Completed,True,60,100.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000123,SMMS_TASK_022355,Engineering,SEC_032,300,300,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000124,SMMS_TASK_007688,Engineering,SEC_032,240,240,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000125,TDMS_TASK_013407,Engineering,SEC_006,60,15,Partially Completed,False,45,75.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000126,SMMS_TASK_015219,Engineering,SEC_053,240,240,Fully Completed,False,0,0.0,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
HIST_000127,TMS_TASK_006336,S&T,SEC_037,180,30,Not Completed,True,150,83.3,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Historical Simulator / CAG Report 45 Calibration
