date,season,risk_factor,operational_speed_penalty
2024-02-29,Pre-Monsoon,1.0,0.0
2024-03-01,Pre-Monsoon,1.0,0.0
2024-03-02,Pre-Monsoon,1.0,0.0
2024-03-03,Pre-Monsoon,1.0,0.0
2024-03-04,Pre-Monsoon,1.0,0.0
2024-03-05,Pre-Monsoon,1.0,0.0
2024-03-06,Pre-Monsoon,1.0,0.0
2024-03-07,Pre-Monsoon,1.0,0.0
2024-03-08,Pre-Monsoon,1.0,0.0
2024-03-09,Pre-Monsoon,1.0,0.0
2024-03-10,Pre-Monsoon,1.0,0.0
2024-03-11,Pre-Monsoon,1.0,0.0
2024-03-12,Pre-Monsoon,1.0,0.0
2024-03-13,Pre-Monsoon,1.0,0.0
2024-03-14,Pre-Monsoon,1.0,0.0
2024-03-15,Pre-Monsoon,1.0,0.0
2024-03-16,Pre-Monsoon,1.0,0.0
2024-03-17,Pre-Monsoon,1.0,0.0
2024-03-18,Pre-Monsoon,1.0,0.0
2024-03-19,Pre-Monsoon,1.0,0.0
2024-03-20,Pre-Monsoon,1.0,0.0
2024-03-21,Pre-Monsoon,1.0,0.0
2024-03-22,Pre-Monsoon,1.0,0.0
2024-03-23,Pre-Monsoon,1.0,0.0
2024-03-24,Pre-Monsoon,1.0,0.0
2024-03-25,Pre-Monsoon,1.0,0.0
2024-03-26,Pre-Monsoon,1.0,0.0
2024-03-27,Pre-Monsoon,1.0,0.0
2024-03-28,Pre-Monsoon,1.0,0.0
2024-03-29,Pre-Monsoon,1.0,0.0
2024-03-30,Pre-Monsoon,1.0,0.0
2024-03-31,Pre-Monsoon,1.0,0.0
2024-04-01,Pre-Monsoon,1.0,0.0
2024-04-02,Pre-Monsoon,1.0,0.0
2024-04-03,Pre-Monsoon,1.0,0.0
2024-04-04,Pre-Monsoon,1.0,0.0
2024-04-05,Pre-Monsoon,1.0,0.0
2024-04-06,Pre-Monsoon,1.0,0.0
2024-04-07,Pre-Monsoon,1.0,0.0
2024-04-08,Pre-Monsoon,1.0,0.0
2024-04-09,Pre-Monsoon,1.0,0.0
2024-04-10,Pre-Monsoon,1.0,0.0
2024-04-11,Pre-Monsoon,1.0,0.0
2024-04-12,Pre-Monsoon,1.0,0.0
2024-04-13,Pre-Monsoon,1.0,0.0
2024-04-14,Pre-Monsoon,1.0,0.0
2024-04-15,Pre-Monsoon,1.0,0.0
2024-04-16,Pre-Monsoon,1.0,0.0
2024-04-17,Pre-Monsoon,1.0,0.0
2024-04-18,Pre-Monsoon,1.0,0.0
2024-04-19,Pre-Monsoon,1.0,0.0
2024-04-20,Pre-Monsoon,1.0,0.0
2024-04-21,Pre-Monsoon,1.0,0.0
2024-04-22,Pre-Monsoon,1.0,0.0
2024-04-23,Pre-Monsoon,1.0,0.0
2024-04-24,Pre-Monsoon,1.0,0.0
2024-04-25,Pre-Monsoon,1.0,0.0
2024-04-26,Pre-Monsoon,1.0,0.0
2024-04-27,Pre-Monsoon,1.0,0.0
2024-04-28,Pre-Monsoon,1.0,0.0
2024-04-29,Pre-Monsoon,1.0,0.0
2024-04-30,Pre-Monsoon,1.0,0.0
2024-05-01,Summer,1.1,0.05
2024-05-02,Summer,1.1,0.05
2024-05-03,Summer,1.1,0.05
2024-05-04,Summer,1.1,0.05
2024-05-05,Summer,1.1,0.05
2024-05-06,Summer,1.1,0.05
2024-05-07,Summer,1.1,0.05
2024-05-08,Summer,1.1,0.05
2024-05-09,Summer,1.1,0.05
2024-05-10,Summer,1.1,0.05
2024-05-11,Summer,1.1,0.05
2024-05-12,Summer,1.1,0.05
2024-05-13,Summer,1.1,0.05
2024-05-14,Summer,1.1,0.05
2024-05-15,Summer,1.1,0.05
2024-05-16,Summer,1.1,0.05
2024-05-17,Summer,1.1,0.05
2024-05-18,Summer,1.1,0.05
2024-05-19,Summer,1.1,0.05
2024-05-20,Summer,1.1,0.05
2024-05-21,Summer,1.1,0.05
2024-05-22,Summer,1.1,0.05
2024-05-23,Summer,1.1,0.05
2024-05-24,Summer,1.1,0.05
2024-05-25,Summer,1.1,0.05
2024-05-26,Summer,1.1,0.05
2024-05-27,Summer,1.1,0.05
2024-05-28,Summer,1.1,0.05
2024-05-29,Summer,1.1,0.05
2024-05-30,Summer,1.1,0.05
2024-05-31,Summer,1.1,0.05
2024-06-01,Summer,1.1,0.05
2024-06-02,Summer,1.1,0.05
2024-06-03,Summer,1.1,0.05
2024-06-04,Summer,1.1,0.05
2024-06-05,Summer,1.1,0.05
2024-06-06,Summer,1.1,0.05
2024-06-07,Summer,1.1,0.05
2024-06-08,Summer,1.1,0.05
2024-06-09,Summer,1.1,0.05
2024-06-10,Summer,1.1,0.05
2024-06-11,Summer,1.1,0.05
2024-06-12,Summer,1.1,0.05
2024-06-13,Summer,1.1,0.05
2024-06-14,Summer,1.1,0.05
2024-06-15,Summer,1.1,0.05
2024-06-16,Summer,1.1,0.05
2024-06-17,Summer,1.1,0.05
2024-06-18,Summer,1.1,0.05
2024-06-19,Summer,1.1,0.05
2024-06-20,Summer,1.1,0.05
2024-06-21,Summer,1.1,0.05
2024-06-22,Summer,1.1,0.05
2024-06-23,Summer,1.1,0.05
2024-06-24,Summer,1.1,0.05
2024-06-25,Summer,1.1,0.05
2024-06-26,Summer,1.1,0.05
2024-06-27,Summer,1.1,0.05
2024-06-28,Summer,1.1,0.05
2024-06-29,Summer,1.1,0.05
2024-06-30,Summer,1.1,0.05
2024-07-01,Monsoon,1.45,0.15
2024-07-02,Monsoon,1.45,0.15
2024-07-03,Monsoon,1.45,0.15
2024-07-04,Monsoon,1.45,0.15
2024-07-05,Monsoon,1.45,0.15
2024-07-06,Monsoon,1.45,0.15
2024-07-07,Monsoon,1.45,0.15
2024-07-08,Monsoon,1.45,0.15
2024-07-09,Monsoon,1.45,0.15
2024-07-10,Monsoon,1.45,0.15
2024-07-11,Monsoon,1.45,0.15
2024-07-12,Monsoon,1.45,0.15
2024-07-13,Monsoon,1.45,0.15
2024-07-14,Monsoon,1.45,0.15
2024-07-15,Monsoon,1.45,0.15
2024-07-16,Monsoon,1.45,0.15
2024-07-17,Monsoon,1.45,0.15
2024-07-18,Monsoon,1.45,0.15
2024-07-19,Monsoon,1.45,0.15
2024-07-20,Monsoon,1.45,0.15
2024-07-21,Monsoon,1.45,0.15
2024-07-22,Monsoon,1.45,0.15
2024-07-23,Monsoon,1.45,0.15
2024-07-24,Monsoon,1.45,0.15
2024-07-25,Monsoon,1.45,0.15
2024-07-26,Monsoon,1.45,0.15
2024-07-27,Monsoon,1.45,0.15
2024-07-28,Monsoon,1.45,0.15
2024-07-29,Monsoon,1.45,0.15
2024-07-30,Monsoon,1.45,0.15
2024-07-31,Monsoon,1.45,0.15
2024-08-01,Monsoon,1.45,0.15
2024-08-02,Monsoon,1.45,0.15
2024-08-03,Monsoon,1.45,0.15
2024-08-04,Monsoon,1.45,0.15
2024-08-05,Monsoon,1.45,0.15
2024-08-06,Monsoon,1.45,0.15
2024-08-07,Monsoon,1.45,0.15
2024-08-08,Monsoon,1.45,0.15
2024-08-09,Monsoon,1.45,0.15
2024-08-10,Monsoon,1.45,0.15
2024-08-11,Monsoon,1.45,0.15
2024-08-12,Monsoon,1.45,0.15
2024-08-13,Monsoon,1.45,0.15
2024-08-14,Monsoon,1.45,0.15
2024-08-15,Monsoon,1.45,0.15
2024-08-16,Monsoon,1.45,0.15
2024-08-17,Monsoon,1.45,0.15
2024-08-18,Monsoon,1.45,0.15
2024-08-19,Monsoon,1.45,0.15
2024-08-20,Monsoon,1.45,0.15
2024-08-21,Monsoon,1.45,0.15
2024-08-22,Monsoon,1.45,0.15
2024-08-23,Monsoon,1.45,0.15
2024-08-24,Monsoon,1.45,0.15
2024-08-25,Monsoon,1.45,0.15
2024-08-26,Monsoon,1.45,0.15
2024-08-27,Monsoon,1.45,0.15
2024-08-28,Monsoon,1.45,0.15
2024-08-29,Monsoon,1.45,0.15
2024-08-30,Monsoon,1.45,0.15
2024-08-31,Monsoon,1.45,0.15
2024-09-01,Monsoon,1.45,0.15
2024-09-02,Monsoon,1.45,0.15
2024-09-03,Monsoon,1.45,0.15
2024-09-04,Monsoon,1.45,0.15
2024-09-05,Monsoon,1.45,0.15
2024-09-06,Monsoon,1.45,0.15
2024-09-07,Monsoon,1.45,0.15
2024-09-08,Monsoon,1.45,0.15
2024-09-09,Monsoon,1.45,0.15
2024-09-10,Monsoon,1.45,0.15
2024-09-11,Monsoon,1.45,0.15
2024-09-12,Monsoon,1.45,0.15
2024-09-13,Monsoon,1.45,0.15
2024-09-14,Monsoon,1.45,0.15
2024-09-15,Monsoon,1.45,0.15
2024-09-16,Monsoon,1.45,0.15
2024-09-17,Monsoon,1.45,0.15
2024-09-18,Monsoon,1.45,0.15
2024-09-19,Monsoon,1.45,0.15
2024-09-20,Monsoon,1.45,0.15
2024-09-21,Monsoon,1.45,0.15
2024-09-22,Monsoon,1.45,0.15
2024-09-23,Monsoon,1.45,0.15
2024-09-24,Monsoon,1.45,0.15
2024-09-25,Monsoon,1.45,0.15
2024-09-26,Monsoon,1.45,0.15
2024-09-27,Monsoon,1.45,0.15
2024-09-28,Monsoon,1.45,0.15
2024-09-29,Monsoon,1.45,0.15
2024-09-30,Monsoon,1.45,0.15
2024-10-01,Festival-Peak,1.25,0.1
2024-10-02,Festival-Peak,1.25,0.1
2024-10-03,Festival-Peak,1.25,0.1
2024-10-04,Festival-Peak,1.25,0.1
2024-10-05,Festival-Peak,1.25,0.1
2024-10-06,Festival-Peak,1.25,0.1
2024-10-07,Festival-Peak,1.25,0.1
2024-10-08,Festival-Peak,1.25,0.1
2024-10-09,Festival-Peak,1.25,0.1
2024-10-10,Festival-Peak,1.25,0.1
2024-10-11,Festival-Peak,1.25,0.1
2024-10-12,Festival-Peak,1.25,0.1
2024-10-13,Festival-Peak,1.25,0.1
2024-10-14,Festival-Peak,1.25,0.1
2024-10-15,Festival-Peak,1.25,0.1
2024-10-16,Festival-Peak,1.25,0.1
2024-10-17,Festival-Peak,1.25,0.1
2024-10-18,Festival-Peak,1.25,0.1
2024-10-19,Festival-Peak,1.25,0.1
2024-10-20,Festival-Peak,1.25,0.1
2024-10-21,Festival-Peak,1.25,0.1
2024-10-22,Festival-Peak,1.25,0.1
2024-10-23,Festival-Peak,1.25,0.1
2024-10-24,Festival-Peak,1.25,0.1
2024-10-25,Festival-Peak,1.25,0.1
2024-10-26,Festival-Peak,1.25,0.1
2024-10-27,Festival-Peak,1.25,0.1
2024-10-28,Festival-Peak,1.25,0.1
2024-10-29,Festival-Peak,1.25,0.1
2024-10-30,Festival-Peak,1.25,0.1
2024-10-31,Festival-Peak,1.25,0.1
2024-11-01,Festival-Peak,1.25,0.1
2024-11-02,Festival-Peak,1.25,0.1
2024-11-03,Festival-Peak,1.25,0.1
2024-11-04,Festival-Peak,1.25,0.1
2024-11-05,Festival-Peak,1.25,0.1
2024-11-06,Festival-Peak,1.25,0.1
2024-11-07,Festival-Peak,1.25,0.1
2024-11-08,Festival-Peak,1.25,0.1
2024-11-09,Festival-Peak,1.25,0.1
2024-11-10,Festival-Peak,1.25,0.1
2024-11-11,Festival-Peak,1.25,0.1
2024-11-12,Festival-Peak,1.25,0.1
2024-11-13,Festival-Peak,1.25,0.1
2024-11-14,Festival-Peak,1.25,0.1
2024-11-15,Festival-Peak,1.25,0.1
2024-11-16,Festival-Peak,1.25,0.1
2024-11-17,Festival-Peak,1.25,0.1
2024-11-18,Festival-Peak,1.25,0.1
2024-11-19,Festival-Peak,1.25,0.1
2024-11-20,Festival-Peak,1.25,0.1
2024-11-21,Festival-Peak,1.25,0.1
2024-11-22,Festival-Peak,1.25,0.1
2024-11-23,Festival-Peak,1.25,0.1
2024-11-24,Festival-Peak,1.25,0.1
2024-11-25,Festival-Peak,1.25,0.1
2024-11-26,Festival-Peak,1.25,0.1
2024-11-27,Festival-Peak,1.25,0.1
2024-11-28,Festival-Peak,1.25,0.1
2024-11-29,Festival-Peak,1.25,0.1
2024-11-30,Festival-Peak,1.25,0.1
2024-12-01,Winter-Fog,1.35,0.25
2024-12-02,Winter-Fog,1.35,0.25
2024-12-03,Winter-Fog,1.35,0.25
2024-12-04,Winter-Fog,1.35,0.25
2024-12-05,Winter-Fog,1.35,0.25
2024-12-06,Winter-Fog,1.35,0.25
2024-12-07,Winter-Fog,1.35,0.25
2024-12-08,Winter-Fog,1.35,0.25
2024-12-09,Winter-Fog,1.35,0.25
2024-12-10,Winter-Fog,1.35,0.25
2024-12-11,Winter-Fog,1.35,0.25
2024-12-12,Winter-Fog,1.35,0.25
2024-12-13,Winter-Fog,1.35,0.25
2024-12-14,Winter-Fog,1.35,0.25
2024-12-15,Winter-Fog,1.35,0.25
2024-12-16,Winter-Fog,1.35,0.25
2024-12-17,Winter-Fog,1.35,0.25
2024-12-18,Winter-Fog,1.35,0.25
2024-12-19,Winter-Fog,1.35,0.25
2024-12-20,Winter-Fog,1.35,0.25
2024-12-21,Winter-Fog,1.35,0.25
2024-12-22,Winter-Fog,1.35,0.25
2024-12-23,Winter-Fog,1.35,0.25
2024-12-24,Winter-Fog,1.35,0.25
2024-12-25,Winter-Fog,1.35,0.25
2024-12-26,Winter-Fog,1.35,0.25
2024-12-27,Winter-Fog,1.35,0.25
2024-12-28,Winter-Fog,1.35,0.25
2024-12-29,Winter-Fog,1.35,0.25
2024-12-30,Winter-Fog,1.35,0.25
2024-12-31,Winter-Fog,1.35,0.25
