machine_id,machine_type,home_depot,assigned_section_id,latitude,longitude,operational_status,daily_productivity_meters,fuel_consumption_litres_per_hour,last_overhaul_date,next_calibration_date,corridor_id,source_type,source
RB-MCH-000029,Dynamic Track Stabilizer (DTS),Viluppuram,SEC_023,12.359087,79.774878,UNDER_MAINTENANCE,2103,73,2023-09-15,2024-06-26,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000030,Dynamic Track Stabilizer (DTS),Viluppuram,SEC_044,10.980715,78.963117,UNDER_MAINTENANCE,2165,32,2023-01-04,2024-10-31,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000031,Utility Track Vehicle (UTV),Chennai Egmore,SEC_057,10.578102,78.371527,UNDER_MAINTENANCE,510,49,2023-09-07,2024-09-24,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000032,Mobile Flash Butt Welding Plant,Thoothukudi,SEC_059,10.535397,78.284878,IDLE_STANDBY,444,61,2023-01-10,2024-06-17,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000033,Mobile Flash Butt Welding Plant,Viluppuram,SEC_061,10.448369,78.11585,ACTIVE,1316,33,2023-09-21,2024-11-16,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000034,Ballast Cleaning Machine (BCM),Tambaram,SEC_066,9.123753,78.057043,EN_ROUTE,1022,50,2023-01-16,2024-09-15,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000035,Track Tamping Machine (CSM/Duomatic),Chennai Egmore,SEC_061,10.446385,78.113582,UNDER_MAINTENANCE,867,50,2023-07-05,2024-11-04,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000036,Dynamic Track Stabilizer (DTS),Tiruchirappalli,SEC_065,9.581397,78.096838,ACTIVE,1219,89,2023-01-24,2024-08-31,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000037,Mobile Flash Butt Welding Plant,Madurai,SEC_033,11.751267,79.376606,ACTIVE,1419,60,2023-05-12,2024-07-28,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000038,Ballast Regulating Machine (BRM),Thoothukudi,SEC_058,10.563077,78.345116,ACTIVE,688,59,2023-04-30,2024-11-15,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000039,OHE Tower Wagon (8-Wheeler),Tambaram,SEC_002,13.031601,80.224439,ACTIVE,1317,27,2023-10-30,2024-10-05,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000040,Dynamic Track Stabilizer (DTS),Tiruchirappalli,SEC_041,11.154356,79.071265,EN_ROUTE,2017,66,2023-01-13,2024-10-21,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000041,Ballast Cleaning Machine (BCM),Madurai,SEC_012,12.895412,80.087785,ACTIVE,933,79,2023-09-06,2024-10-29,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000042,Mobile Flash Butt Welding Plant,Chennai Egmore,SEC_020,12.521455,79.904439,ACTIVE,583,73,2023-06-26,2024-11-06,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000043,Mobile Flash Butt Welding Plant,Madurai,SEC_009,12.938082,80.131474,IDLE_STANDBY,1701,73,2023-05-15,2024-09-05,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000044,Utility Track Vehicle (UTV),Thoothukudi,SEC_007,12.975956,80.160988,ACTIVE,966,66,2023-09-03,2024-10-03,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000045,Mobile Flash Butt Welding Plant,Madurai,SEC_040,11.223067,79.112604,ACTIVE,1395,68,2023-06-06,2024-08-16,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000046,Ballast Cleaning Machine (BCM),Viluppuram,SEC_036,11.424035,79.238334,ACTIVE,683,31,2023-04-23,2024-06-20,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000047,Track Relaying Train (TRT),Chennai Egmore,SEC_010,12.93028,80.123057,ACTIVE,1521,85,2023-07-15,2024-07-13,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000048,OHE Tower Wagon (8-Wheeler),Madurai,SEC_066,9.088778,78.053043,ACTIVE,745,49,2023-09-11,2024-07-23,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000049,Ballast Regulating Machine (BRM),Tambaram,SEC_037,11.37233,79.219475,ACTIVE,1398,67,2023-08-28,2024-08-09,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000050,Ballast Regulating Machine (BRM),Chennai Egmore,SEC_053,10.806671,78.693401,IDLE_STANDBY,1847,46,2023-05-27,2024-08-26,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000051,Ballast Regulating Machine (BRM),Tambaram,SEC_047,10.891123,78.845856,ACTIVE,795,85,2023-09-13,2024-08-28,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000052,Track Relaying Train (TRT),Madurai,SEC_036,11.420948,79.236239,ACTIVE,1082,36,2023-08-20,2024-07-30,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000053,Dynamic Track Stabilizer (DTS),Tiruchirappalli,SEC_044,11.007126,78.988014,UNDER_MAINTENANCE,1464,54,2023-06-24,2024-09-28,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000054,OHE Tower Wagon (8-Wheeler),Chennai Egmore,SEC_007,12.971011,80.155715,ACTIVE,1351,31,2023-10-28,2024-11-08,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000055,OHE Tower Wagon (8-Wheeler),Tiruchirappalli,SEC_067,8.819692,78.055504,ACTIVE,1253,91,2023-07-01,2024-07-28,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000056,OHE Tower Wagon (8-Wheeler),Tiruchirappalli,SEC_040,11.22827,79.121479,ACTIVE,1084,75,2023-12-01,2024-08-19,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000057,Ballast Regulating Machine (BRM),Chennai Egmore,SEC_028,12.050065,79.543458,EN_ROUTE,1076,91,2023-07-13,2024-08-28,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000058,Mobile Flash Butt Welding Plant,Viluppuram,SEC_036,11.408719,79.227939,ACTIVE,478,26,2023-04-07,2024-08-16,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000059,Dynamic Track Stabilizer (DTS),Thoothukudi,SEC_044,11.012973,78.993526,ACTIVE,766,49,2023-08-19,2024-10-04,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000060,Ballast Regulating Machine (BRM),Viluppuram,SEC_028,12.096929,79.551255,EN_ROUTE,1206,57,2023-07-12,2024-06-27,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000061,Track Tamping Machine (CSM/Duomatic),Thoothukudi,SEC_059,10.534366,78.281816,IDLE_STANDBY,1150,36,2023-05-09,2024-09-22,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000062,Mobile Flash Butt Welding Plant,Thoothukudi,SEC_065,9.813446,78.072139,ACTIVE,578,32,2023-01-14,2024-11-24,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000063,Track Tamping Machine (CSM/Duomatic),Tambaram,SEC_038,11.365729,79.218145,ACTIVE,2089,28,2023-06-23,2024-10-02,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000064,Track Relaying Train (TRT),Chennai Egmore,SEC_040,11.220501,79.108227,ACTIVE,1042,48,2023-10-27,2024-11-20,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000065,Ballast Cleaning Machine (BCM),Thoothukudi,SEC_019,12.615345,79.970071,ACTIVE,1282,75,2023-04-04,2024-07-18,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000066,Ballast Cleaning Machine (BCM),Thoothukudi,SEC_011,12.921462,80.1131,ACTIVE,978,68,2023-08-13,2024-11-05,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000067,Mobile Flash Butt Welding Plant,Tiruchirappalli,SEC_059,10.528896,78.265571,UNDER_MAINTENANCE,1255,28,2023-05-18,2024-10-05,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000068,Ballast Cleaning Machine (BCM),Madurai,SEC_032,11.87916,79.441223,UNDER_MAINTENANCE,846,50,2023-11-06,2024-08-26,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000069,Ballast Regulating Machine (BRM),Thoothukudi,SEC_062,9.996606,78.104904,ACTIVE,1315,68,2023-04-03,2024-10-14,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000070,Mobile Flash Butt Welding Plant,Viluppuram,SEC_066,9.480593,78.097846,IDLE_STANDBY,1428,72,2023-11-02,2024-09-05,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000071,Utility Track Vehicle (UTV),Madurai,SEC_044,10.971868,78.954777,ACTIVE,1506,67,2023-05-12,2024-10-09,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000072,Ballast Cleaning Machine (BCM),Chennai Egmore,SEC_022,12.421535,79.827116,ACTIVE,1394,70,2023-03-19,2024-07-20,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000073,Track Relaying Train (TRT),Thoothukudi,SEC_044,11.013842,78.994345,ACTIVE,1291,28,2023-09-18,2024-10-09,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000074,Utility Track Vehicle (UTV),Tiruchirappalli,SEC_051,10.827871,78.697484,ACTIVE,811,41,2023-09-10,2024-11-04,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000075,Dynamic Track Stabilizer (DTS),Thoothukudi,SEC_041,11.164867,79.07633,ACTIVE,1299,52,2023-07-26,2024-11-13,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000076,Dynamic Track Stabilizer (DTS),Viluppuram,SEC_032,11.86127,79.427922,UNDER_MAINTENANCE,1660,70,2023-03-01,2024-09-06,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000077,Track Tamping Machine (CSM/Duomatic),Thoothukudi,SEC_001,13.063983,80.249642,ACTIVE,668,93,2023-03-23,2024-08-13,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000078,Dynamic Track Stabilizer (DTS),Tambaram,SEC_016,12.769207,80.005096,ACTIVE,1404,53,2023-09-11,2024-06-24,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000079,OHE Tower Wagon (8-Wheeler),Thoothukudi,SEC_048,10.874265,78.792217,IDLE_STANDBY,613,51,2023-09-29,2024-07-17,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000080,Ballast Regulating Machine (BRM),Madurai,SEC_043,11.029919,79.007166,ACTIVE,1574,67,2023-01-09,2024-11-20,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000081,Track Relaying Train (TRT),Tiruchirappalli,SEC_055,10.71455,78.568771,ACTIVE,1461,77,2023-05-09,2024-10-16,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000082,Mobile Flash Butt Welding Plant,Tiruchirappalli,SEC_040,11.225381,79.116552,ACTIVE,1686,59,2023-04-22,2024-11-20,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000083,Ballast Cleaning Machine (BCM),Chennai Egmore,SEC_040,11.239157,79.140048,IDLE_STANDBY,2011,73,2023-04-19,2024-08-21,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000084,Ballast Cleaning Machine (BCM),Viluppuram,SEC_032,11.886656,79.446796,ACTIVE,1087,58,2023-08-20,2024-07-16,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000085,Ballast Cleaning Machine (BCM),Tiruchirappalli,SEC_067,8.82487,78.034773,UNDER_MAINTENANCE,988,59,2023-06-23,2024-10-29,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000086,Dynamic Track Stabilizer (DTS),Thoothukudi,SEC_022,12.414095,79.821124,UNDER_MAINTENANCE,2140,50,2023-01-30,2024-10-22,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000087,Dynamic Track Stabilizer (DTS),Thoothukudi,SEC_042,11.120158,79.051335,ACTIVE,956,89,2023-10-07,2024-09-17,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000088,Utility Track Vehicle (UTV),Tambaram,SEC_019,12.551515,79.92517,ACTIVE,580,43,2023-10-29,2024-10-13,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000089,Mobile Flash Butt Welding Plant,Tiruchirappalli,SEC_045,10.955925,78.936864,UNDER_MAINTENANCE,1105,78,2023-06-07,2024-08-29,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000090,Ballast Cleaning Machine (BCM),Tiruchirappalli,SEC_001,13.041877,80.23099,ACTIVE,1924,82,2023-02-11,2024-08-25,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000091,Ballast Regulating Machine (BRM),Madurai,SEC_052,10.817718,78.691332,ACTIVE,745,48,2023-05-25,2024-09-01,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000092,Track Tamping Machine (CSM/Duomatic),Chennai Egmore,SEC_005,12.989406,80.185276,ACTIVE,1360,31,2023-10-17,2024-11-14,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000093,Ballast Regulating Machine (BRM),Thoothukudi,SEC_066,9.247305,78.07117,ACTIVE,771,75,2023-08-27,2024-08-26,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000094,Track Relaying Train (TRT),Viluppuram,SEC_015,12.831879,80.047212,IDLE_STANDBY,1272,31,2023-03-29,2024-09-28,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000095,Ballast Regulating Machine (BRM),Thoothukudi,SEC_068,8.811194,78.093125,ACTIVE,2131,58,2023-04-02,2024-06-22,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000096,Track Relaying Train (TRT),Chennai Egmore,SEC_066,8.93278,78.035206,ACTIVE,1627,67,2023-11-11,2024-09-19,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000097,Utility Track Vehicle (UTV),Viluppuram,SEC_007,12.979452,80.164717,ACTIVE,758,59,2023-10-01,2024-11-26,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
