scenario_id,scenario_type,primary_section_id,latitude,longitude,simulated_duration_hours,affected_train_count,required_machines_count,required_gangs_count,urgency_level,corridor_id,source_type,source
RB-SCN-000033,Post-Derailment Caution Speed Order,SEC_039,11.295497,79.192105,7.7,21,3,4,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000034,OHE Catenary Parting Incident,SEC_046,10.906579,78.870341,4.6,11,3,5,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000035,Post-Derailment Caution Speed Order,SEC_049,10.859673,78.704194,3.6,18,3,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000036,OHE Catenary Parting Incident,SEC_005,12.989324,80.185098,2.4,19,1,4,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000037,Monsoon Heavy Flood Waterlogging,SEC_037,11.372234,79.21947,7.8,11,3,1,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000038,OHE Catenary Parting Incident,SEC_026,12.166737,79.606784,5.9,19,1,1,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000039,Peak Festival Unscheduled Surge,SEC_024,12.307597,79.723572,2.8,3,3,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000040,Peak Festival Unscheduled Surge,SEC_058,10.54822,78.317564,5.5,17,3,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000041,Peak Festival Unscheduled Surge,SEC_063,9.94116,78.106199,6.1,17,3,2,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000042,Signal Cable Cut by Road Construction,SEC_028,12.083974,79.549099,3.0,15,2,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000043,Signal Cable Cut by Road Construction,SEC_051,10.828134,78.698502,5.9,5,2,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000044,Signal Cable Cut by Road Construction,SEC_016,12.767041,80.003812,4.3,10,2,1,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000045,OHE Catenary Parting Incident,SEC_032,11.870855,79.435048,2.1,3,3,5,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000046,Signal Cable Cut by Road Construction,SEC_019,12.5967,79.956955,2.7,20,1,4,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000047,OHE Catenary Parting Incident,SEC_013,12.880814,80.079208,2.3,6,3,2,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000048,Peak Festival Unscheduled Surge,SEC_059,10.530511,78.270365,1.8,10,1,4,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000049,High Ambient Temperature Rail Expansion Risk,SEC_036,11.439879,79.249087,7.8,12,1,5,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000050,OHE Catenary Parting Incident,SEC_052,10.822605,78.689935,4.1,19,1,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000051,Monsoon Heavy Flood Waterlogging,SEC_060,10.501243,78.194525,5.3,16,3,1,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000052,High Ambient Temperature Rail Expansion Risk,SEC_013,12.873875,80.0755,5.8,17,3,1,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000053,High Ambient Temperature Rail Expansion Risk,SEC_022,12.387562,79.799755,2.3,21,3,1,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000054,Post-Derailment Caution Speed Order,SEC_028,12.068389,79.546507,2.8,20,3,1,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000055,Emergency Broken Rail Renewal,SEC_015,12.823308,80.040511,5.0,6,1,5,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000056,Emergency Broken Rail Renewal,SEC_055,10.728089,78.589489,3.2,12,1,3,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000057,Peak Festival Unscheduled Surge,SEC_038,11.333676,79.21001,5.9,7,2,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000058,Post-Derailment Caution Speed Order,SEC_001,13.07497,80.258913,4.5,13,1,2,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000059,Post-Derailment Caution Speed Order,SEC_014,12.861639,80.068303,2.5,5,2,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000060,Monsoon Heavy Flood Waterlogging,SEC_023,12.363098,79.778902,5.9,18,2,5,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000061,OHE Catenary Parting Incident,SEC_037,11.381109,79.219975,7.6,9,2,1,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000062,Emergency Broken Rail Renewal,SEC_066,9.198883,78.065633,5.7,6,1,2,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000063,Post-Derailment Caution Speed Order,SEC_047,10.893008,78.849522,7.7,21,1,4,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000064,Monsoon Heavy Flood Waterlogging,SEC_039,11.279148,79.182123,4.8,4,3,2,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000065,High Ambient Temperature Rail Expansion Risk,SEC_001,13.040737,80.230029,3.5,9,1,1,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000066,Post-Derailment Caution Speed Order,SEC_065,9.787207,78.074932,6.5,9,1,1,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000067,Monsoon Heavy Flood Waterlogging,SEC_017,12.727907,79.990711,5.4,4,3,5,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000068,Signal Cable Cut by Road Construction,SEC_065,9.802959,78.073255,5.1,12,2,3,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000069,Emergency Broken Rail Renewal,SEC_057,10.574886,78.366404,1.8,7,1,5,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000070,Monsoon Heavy Flood Waterlogging,SEC_036,11.433688,79.244885,6.2,5,1,4,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000071,OHE Catenary Parting Incident,SEC_042,11.138823,79.062569,4.7,17,3,2,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000072,OHE Catenary Parting Incident,SEC_065,9.735771,78.080407,5.0,13,2,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000073,Post-Derailment Caution Speed Order,SEC_016,12.789556,80.017153,2.0,2,2,1,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000074,OHE Catenary Parting Incident,SEC_035,11.51275,79.301255,5.5,16,2,1,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000075,Monsoon Heavy Flood Waterlogging,SEC_014,12.854303,80.06354,5.4,2,3,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000076,Post-Derailment Caution Speed Order,SEC_067,8.814858,78.074859,7.2,6,2,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000077,Signal Cable Cut by Road Construction,SEC_062,10.198326,78.103853,5.3,3,3,3,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000078,Signal Cable Cut by Road Construction,SEC_020,12.509529,79.896515,6.4,14,3,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000079,High Ambient Temperature Rail Expansion Risk,SEC_021,12.486468,79.878807,4.9,6,2,1,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000080,Signal Cable Cut by Road Construction,SEC_026,12.174039,79.612019,7.1,10,2,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000081,Signal Cable Cut by Road Construction,SEC_051,10.829105,78.702265,4.9,4,3,2,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000082,Monsoon Heavy Flood Waterlogging,SEC_030,11.986284,79.509505,5.0,4,2,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000083,Monsoon Heavy Flood Waterlogging,SEC_044,11.018693,78.998918,4.7,5,2,3,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000084,Post-Derailment Caution Speed Order,SEC_034,11.544909,79.316385,2.1,10,3,5,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000085,Peak Festival Unscheduled Surge,SEC_014,12.848169,80.059558,2.6,5,3,1,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000086,Monsoon Heavy Flood Waterlogging,SEC_057,10.583046,78.379406,3.1,17,3,2,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000087,OHE Catenary Parting Incident,SEC_063,9.926605,78.108907,5.6,10,2,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000088,Peak Festival Unscheduled Surge,SEC_028,12.09248,79.550514,7.1,6,2,2,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000089,OHE Catenary Parting Incident,SEC_029,12.00468,79.517452,3.8,19,3,1,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000090,OHE Catenary Parting Incident,SEC_036,11.439849,79.249067,7.4,15,1,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000091,Signal Cable Cut by Road Construction,SEC_047,10.893676,78.850821,6.7,19,2,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000092,Peak Festival Unscheduled Surge,SEC_058,10.558762,78.337113,4.2,19,1,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000093,High Ambient Temperature Rail Expansion Risk,SEC_005,12.98542,80.176656,4.3,5,1,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000094,Peak Festival Unscheduled Surge,SEC_059,10.523902,78.250735,2.3,18,1,5,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000095,Monsoon Heavy Flood Waterlogging,SEC_023,12.356948,79.772733,4.2,9,3,4,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000096,High Ambient Temperature Rail Expansion Risk,SEC_027,12.130041,79.575865,5.2,7,1,5,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000097,High Ambient Temperature Rail Expansion Risk,SEC_039,11.30888,79.200276,7.7,18,3,4,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000098,Post-Derailment Caution Speed Order,SEC_049,10.860705,78.708502,4.2,17,3,5,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000099,Peak Festival Unscheduled Surge,SEC_061,10.451631,78.11958,3.5,9,2,2,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000100,Signal Cable Cut by Road Construction,SEC_043,11.056825,79.019274,3.0,18,1,2,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000101,OHE Catenary Parting Incident,SEC_020,12.519958,79.903445,6.1,15,2,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000102,Emergency Broken Rail Renewal,SEC_029,12.014346,79.523428,6.1,4,3,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000103,OHE Catenary Parting Incident,SEC_011,12.90676,80.096735,7.4,21,1,1,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000104,Emergency Broken Rail Renewal,SEC_011,12.91484,80.105729,1.7,17,3,2,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000105,High Ambient Temperature Rail Expansion Risk,SEC_066,9.473019,78.09698,6.3,11,3,5,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000106,Signal Cable Cut by Road Construction,SEC_050,10.833067,78.702102,3.7,18,3,5,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000107,OHE Catenary Parting Incident,SEC_058,10.569935,78.357833,6.9,17,1,5,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000108,Signal Cable Cut by Road Construction,SEC_003,12.999532,80.203908,4.0,16,2,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000109,High Ambient Temperature Rail Expansion Risk,SEC_043,11.06734,79.024006,2.1,6,2,3,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000110,Peak Festival Unscheduled Surge,SEC_052,10.811841,78.693012,1.7,9,2,4,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000111,Post-Derailment Caution Speed Order,SEC_052,10.816691,78.691626,3.1,8,1,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000112,Emergency Broken Rail Renewal,SEC_007,12.974181,80.159096,5.7,15,1,3,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000113,High Ambient Temperature Rail Expansion Risk,SEC_037,11.377239,79.219755,7.8,15,3,1,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000114,OHE Catenary Parting Incident,SEC_037,11.39424,79.220723,7.6,11,3,3,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000115,OHE Catenary Parting Incident,SEC_027,12.116343,79.563954,3.2,15,1,1,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000116,Post-Derailment Caution Speed Order,SEC_007,12.979135,80.164379,4.5,19,3,2,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000117,Monsoon Heavy Flood Waterlogging,SEC_064,9.909196,78.098687,3.7,6,3,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000118,Emergency Broken Rail Renewal,SEC_008,12.963265,80.149002,5.8,4,2,5,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000119,Post-Derailment Caution Speed Order,SEC_020,12.516562,79.901188,1.8,18,2,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000120,Signal Cable Cut by Road Construction,SEC_037,11.390326,79.2205,2.6,8,3,1,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000121,OHE Catenary Parting Incident,SEC_045,10.943174,78.92136,2.2,11,2,5,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000122,Monsoon Heavy Flood Waterlogging,SEC_023,12.345799,79.761549,7.6,14,1,4,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000123,Monsoon Heavy Flood Waterlogging,SEC_039,11.290994,79.189356,6.9,6,3,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000124,Peak Festival Unscheduled Surge,SEC_015,12.837216,80.051385,6.9,8,3,3,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000125,Peak Festival Unscheduled Surge,SEC_007,12.97223,80.157016,6.9,19,3,4,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000126,Post-Derailment Caution Speed Order,SEC_041,11.186445,79.086728,3.6,17,2,3,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000127,High Ambient Temperature Rail Expansion Risk,SEC_028,12.09365,79.550709,3.9,19,1,5,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000128,Peak Festival Unscheduled Surge,SEC_067,8.820205,78.05345,3.3,12,1,5,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000129,OHE Catenary Parting Incident,SEC_012,12.894949,80.087443,2.4,5,3,3,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000130,OHE Catenary Parting Incident,SEC_053,10.803717,78.69147,4.2,4,3,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000131,Post-Derailment Caution Speed Order,SEC_050,10.853167,78.697093,1.6,14,1,3,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000132,OHE Catenary Parting Incident,SEC_059,10.530419,78.270094,6.1,20,1,5,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000133,Post-Derailment Caution Speed Order,SEC_044,11.003034,78.984157,7.9,14,3,2,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000134,OHE Catenary Parting Incident,SEC_056,10.693648,78.537765,7.2,20,1,3,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
