date,location,station_code,district,latitude,longitude,rainfall_mm,rainfall_category,spatial_resolution,source,source_url
2024-01-21,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,0.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-21,Dindigul Junction,DG,Dindigul,10.3644,77.9803,2.1,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-23,Ariyalur,ALU,Ariyalur,11.1401,79.0768,0.5,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-23,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,4.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-25,Tambaram,TBM,Chengalpattu,12.9248,80.1202,6.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-25,Madurai Junction,MDU,Madurai,9.9195,78.1111,1.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-26,Tindivanam,TMV,Viluppuram,12.2312,79.6508,5.5,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-29,Tambaram,TBM,Chengalpattu,12.9248,80.1202,2.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-01,Madurai Junction,MDU,Madurai,9.9195,78.1111,5.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-03,Thoothukudi,TN,Thoothukudi,8.8053,78.146,5.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-04,Satur,SRT,Virudhunagar,9.3592,77.9255,1.7,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-05,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,2.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-13,Madurai Junction,MDU,Madurai,9.9195,78.1111,1.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-15,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,3.1,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-16,Tindivanam,TMV,Viluppuram,12.2312,79.6508,8.9,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-16,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,1.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-17,Tambaram,TBM,Chengalpattu,12.9248,80.1202,3.1,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-18,Vriddhachalam Junction,VRI,Cuddalore,11.5305,79.3242,9.2,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-20,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,1.6,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-22,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,4.6,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-23,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,3.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-24,Viluppuram Junction,VM,Viluppuram,11.9398,79.4975,0.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-28,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,8.3,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-02-29,Thoothukudi,TN,Thoothukudi,8.8053,78.146,1.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-01,Kovilpatti,CVP,Thoothukudi,9.1725,77.8683,9.8,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-02,Vriddhachalam Junction,VRI,Cuddalore,11.5305,79.3242,3.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-03,Chennai Egmore,MS,Chennai,13.0777,80.2613,22.7,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-03,Satur,SRT,Virudhunagar,9.3592,77.9255,5.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-04,Viluppuram Junction,VM,Viluppuram,11.9398,79.4975,11.6,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-04,Vriddhachalam Junction,VRI,Cuddalore,11.5305,79.3242,10.2,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-06,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,2.1,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-08,Tambaram,TBM,Chengalpattu,12.9248,80.1202,14.1,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-09,Kovilpatti,CVP,Thoothukudi,9.1725,77.8683,0.7,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-11,Tambaram,TBM,Chengalpattu,12.9248,80.1202,0.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-11,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,0.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-13,Madurai Junction,MDU,Madurai,9.9195,78.1111,3.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-14,Dindigul Junction,DG,Dindigul,10.3644,77.9803,1.2,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-14,Satur,SRT,Virudhunagar,9.3592,77.9255,3.7,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-16,Tambaram,TBM,Chengalpattu,12.9248,80.1202,6.6,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-16,Vriddhachalam Junction,VRI,Cuddalore,11.5305,79.3242,12.9,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-16,Ariyalur,ALU,Ariyalur,11.1401,79.0768,0.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-16,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,0.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-17,Chennai Egmore,MS,Chennai,13.0777,80.2613,4.1,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-18,Virudhunagar Junction,VPT,Virudhunagar,9.5872,77.9575,9.0,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-19,Viluppuram Junction,VM,Viluppuram,11.9398,79.4975,2.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-20,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,32.3,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-20,Thoothukudi,TN,Thoothukudi,8.8053,78.146,4.5,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-22,Tambaram,TBM,Chengalpattu,12.9248,80.1202,4.5,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-22,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,2.5,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-22,Vriddhachalam Junction,VRI,Cuddalore,11.5305,79.3242,1.2,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-22,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,3.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-24,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,0.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-26,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,4.7,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-26,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,3.2,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-29,Madurai Junction,MDU,Madurai,9.9195,78.1111,3.7,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-29,Kovilpatti,CVP,Thoothukudi,9.1725,77.8683,9.4,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-30,Viluppuram Junction,VM,Viluppuram,11.9398,79.4975,0.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-30,Ariyalur,ALU,Ariyalur,11.1401,79.0768,4.2,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-03-31,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,2.2,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-02,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,0.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-03,Vriddhachalam Junction,VRI,Cuddalore,11.5305,79.3242,11.9,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-03,Virudhunagar Junction,VPT,Virudhunagar,9.5872,77.9575,5.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-03,Kovilpatti,CVP,Thoothukudi,9.1725,77.8683,0.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-04,Tindivanam,TMV,Viluppuram,12.2312,79.6508,11.0,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-04,Madurai Junction,MDU,Madurai,9.9195,78.1111,4.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-05,Chennai Egmore,MS,Chennai,13.0777,80.2613,0.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-06,Tindivanam,TMV,Viluppuram,12.2312,79.6508,1.1,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-06,Kovilpatti,CVP,Thoothukudi,9.1725,77.8683,3.2,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-07,Madurai Junction,MDU,Madurai,9.9195,78.1111,1.2,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-07,Kovilpatti,CVP,Thoothukudi,9.1725,77.8683,0.6,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-08,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,7.7,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-08,Ariyalur,ALU,Ariyalur,11.1401,79.0768,0.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-09,Dindigul Junction,DG,Dindigul,10.3644,77.9803,8.5,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-11,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,2.6,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-12,Virudhunagar Junction,VPT,Virudhunagar,9.5872,77.9575,0.7,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-12,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,2.1,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-13,Ariyalur,ALU,Ariyalur,11.1401,79.0768,0.2,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-14,Tambaram,TBM,Chengalpattu,12.9248,80.1202,2.5,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-14,Tindivanam,TMV,Viluppuram,12.2312,79.6508,0.5,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-14,Vriddhachalam Junction,VRI,Cuddalore,11.5305,79.3242,0.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-14,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,3.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-14,Madurai Junction,MDU,Madurai,9.9195,78.1111,6.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-16,Ariyalur,ALU,Ariyalur,11.1401,79.0768,5.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-16,Dindigul Junction,DG,Dindigul,10.3644,77.9803,1.5,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-17,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,4.1,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-17,Satur,SRT,Virudhunagar,9.3592,77.9255,0.7,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-19,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,7.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-19,Virudhunagar Junction,VPT,Virudhunagar,9.5872,77.9575,1.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-20,Ariyalur,ALU,Ariyalur,11.1401,79.0768,8.6,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-20,Thoothukudi,TN,Thoothukudi,8.8053,78.146,4.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-21,Chennai Egmore,MS,Chennai,13.0777,80.2613,1.5,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-22,Chennai Egmore,MS,Chennai,13.0777,80.2613,1.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-23,Chennai Egmore,MS,Chennai,13.0777,80.2613,4.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-24,Chennai Egmore,MS,Chennai,13.0777,80.2613,4.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-24,Tindivanam,TMV,Viluppuram,12.2312,79.6508,5.2,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-24,Madurai Junction,MDU,Madurai,9.9195,78.1111,0.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-25,Chennai Egmore,MS,Chennai,13.0777,80.2613,5.1,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-25,Viluppuram Junction,VM,Viluppuram,11.9398,79.4975,13.8,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-25,Virudhunagar Junction,VPT,Virudhunagar,9.5872,77.9575,3.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-25,Thoothukudi,TN,Thoothukudi,8.8053,78.146,11.2,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-26,Ariyalur,ALU,Ariyalur,11.1401,79.0768,3.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-27,Thoothukudi,TN,Thoothukudi,8.8053,78.146,16.0,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-28,Viluppuram Junction,VM,Viluppuram,11.9398,79.4975,1.7,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-29,Virudhunagar Junction,VPT,Virudhunagar,9.5872,77.9575,1.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-29,Satur,SRT,Virudhunagar,9.3592,77.9255,3.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-04-30,Satur,SRT,Virudhunagar,9.3592,77.9255,1.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-01,Madurai Junction,MDU,Madurai,9.9195,78.1111,7.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-02,Vriddhachalam Junction,VRI,Cuddalore,11.5305,79.3242,5.6,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-02,Ariyalur,ALU,Ariyalur,11.1401,79.0768,6.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-03,Ariyalur,ALU,Ariyalur,11.1401,79.0768,3.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-04,Chennai Egmore,MS,Chennai,13.0777,80.2613,6.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-06,Thoothukudi,TN,Thoothukudi,8.8053,78.146,0.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-07,Tindivanam,TMV,Viluppuram,12.2312,79.6508,0.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-09,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,4.6,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-10,Chennai Egmore,MS,Chennai,13.0777,80.2613,5.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-11,Viluppuram Junction,VM,Viluppuram,11.9398,79.4975,5.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-12,Ariyalur,ALU,Ariyalur,11.1401,79.0768,1.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-12,Thoothukudi,TN,Thoothukudi,8.8053,78.146,7.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-13,Virudhunagar Junction,VPT,Virudhunagar,9.5872,77.9575,6.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-14,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,3.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-14,Tindivanam,TMV,Viluppuram,12.2312,79.6508,11.9,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-15,Chennai Egmore,MS,Chennai,13.0777,80.2613,4.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-15,Tindivanam,TMV,Viluppuram,12.2312,79.6508,3.7,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-16,Chennai Egmore,MS,Chennai,13.0777,80.2613,0.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-16,Kovilpatti,CVP,Thoothukudi,9.1725,77.8683,5.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-17,Tambaram,TBM,Chengalpattu,12.9248,80.1202,14.5,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-18,Ariyalur,ALU,Ariyalur,11.1401,79.0768,1.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-19,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,9.3,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-19,Dindigul Junction,DG,Dindigul,10.3644,77.9803,1.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-20,Tindivanam,TMV,Viluppuram,12.2312,79.6508,1.1,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-21,Ariyalur,ALU,Ariyalur,11.1401,79.0768,10.4,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-21,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,11.6,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-22,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,4.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-22,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,4.1,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-22,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,10.9,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-23,Ariyalur,ALU,Ariyalur,11.1401,79.0768,8.7,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-27,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,3.9,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-28,Madurai Junction,MDU,Madurai,9.9195,78.1111,2.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-28,Virudhunagar Junction,VPT,Virudhunagar,9.5872,77.9575,2.5,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-30,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,3.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-31,Madurai Junction,MDU,Madurai,9.9195,78.1111,2.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-05-31,Virudhunagar Junction,VPT,Virudhunagar,9.5872,77.9575,3.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-01,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,2.5,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-01,Virudhunagar Junction,VPT,Virudhunagar,9.5872,77.9575,35.4,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-02,Thoothukudi,TN,Thoothukudi,8.8053,78.146,21.3,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-03,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,28.0,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-03,Tindivanam,TMV,Viluppuram,12.2312,79.6508,7.2,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-03,Satur,SRT,Virudhunagar,9.3592,77.9255,3.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-04,Ariyalur,ALU,Ariyalur,11.1401,79.0768,0.7,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-05,Virudhunagar Junction,VPT,Virudhunagar,9.5872,77.9575,21.4,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-05,Thoothukudi,TN,Thoothukudi,8.8053,78.146,3.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-07,Vriddhachalam Junction,VRI,Cuddalore,11.5305,79.3242,10.2,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-08,Chennai Egmore,MS,Chennai,13.0777,80.2613,7.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-08,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,3.2,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-08,Vriddhachalam Junction,VRI,Cuddalore,11.5305,79.3242,4.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-08,Virudhunagar Junction,VPT,Virudhunagar,9.5872,77.9575,29.7,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-08,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,9.6,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-10,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,2.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-10,Madurai Junction,MDU,Madurai,9.9195,78.1111,24.3,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-06-10,Satur,SRT,Virudhunagar,9.3592,77.9255,1.4,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
