task_id,department,section_id,severity_num,priority_rank,estimated_duration_hours,deferred_count,days_until_target,total_trains_daily,capacity_utilization_percent,festival_traffic_multiplier
TMS_TASK_000046,ENGINEERING,SEC_047,2,2,4.9,1,7,55,91.7,1.0
TMS_TASK_000047,ENGINEERING,SEC_035,4,4,2.5,0,7,68,113.3,1.0
TMS_TASK_000048,ENGINEERING,SEC_036,2,2,4.6,0,7,37,61.7,1.0
TMS_TASK_000049,ENGINEERING,SEC_050,3,3,3.4,4,7,42,70.0,1.0
TMS_TASK_000050,ENGINEERING,SEC_004,2,2,3.6,0,7,70,116.7,1.0
TMS_TASK_000051,ENGINEERING,SEC_002,3,3,1.8,0,7,70,116.7,1.0
TMS_TASK_000052,ENGINEERING,SEC_006,2,2,4.5,0,7,62,103.3,1.0
TMS_TASK_000053,ENGINEERING,SEC_054,3,3,2.7,3,7,68,113.3,1.0
TMS_TASK_000054,ENGINEERING,SEC_004,3,3,2.5,2,7,70,116.7,1.0
TMS_TASK_000055,ENGINEERING,SEC_054,2,2,4.3,2,7,68,113.3,1.65
TMS_TASK_000056,ENGINEERING,SEC_063,3,3,2.2,4,7,59,98.3,1.0
TMS_TASK_000057,ENGINEERING,SEC_018,2,2,2.4,0,7,44,73.3,1.0
TMS_TASK_000058,ENGINEERING,SEC_044,3,3,4.4,4,7,45,75.0,1.0
TMS_TASK_000059,ENGINEERING,SEC_034,4,4,2.3,0,7,56,93.3,1.0
TMS_TASK_000060,ENGINEERING,SEC_062,3,3,2.3,0,7,64,106.7,1.0
TMS_TASK_000061,ENGINEERING,SEC_014,3,3,2.7,3,7,55,91.7,1.25
TMS_TASK_000062,ENGINEERING,SEC_048,2,2,3.4,3,7,36,60.0,1.0
TMS_TASK_000063,ENGINEERING,SEC_015,2,2,3.3,0,7,50,83.3,1.0
TMS_TASK_000064,ENGINEERING,SEC_062,3,3,2.1,0,7,64,106.7,1.0
TMS_TASK_000065,ENGINEERING,SEC_040,3,3,4.6,0,7,59,98.3,1.3
TMS_TASK_000066,ENGINEERING,SEC_053,4,4,3.9,2,7,57,95.0,1.0
TMS_TASK_000067,ENGINEERING,SEC_024,3,3,3.5,0,7,68,113.3,1.0
TMS_TASK_000068,ENGINEERING,SEC_026,3,3,2.6,0,7,45,75.0,1.0
TMS_TASK_000069,ENGINEERING,SEC_060,3,3,3.5,0,7,47,78.3,1.0
TMS_TASK_000070,ENGINEERING,SEC_041,3,3,3.6,0,7,37,61.7,1.0
TMS_TASK_000071,ENGINEERING,SEC_029,4,4,4.1,0,7,57,95.0,1.0
TMS_TASK_000072,ENGINEERING,SEC_015,4,4,4.1,0,7,50,83.3,1.0
TMS_TASK_000073,ENGINEERING,SEC_045,3,3,4.4,1,7,43,71.7,1.0
TMS_TASK_000074,ENGINEERING,SEC_065,3,3,3.5,0,7,68,113.3,1.0
TMS_TASK_000075,ENGINEERING,SEC_009,3,3,4.4,1,7,47,78.3,1.0
TMS_TASK_000076,ENGINEERING,SEC_001,3,3,3.9,0,7,69,115.0,1.0
TMS_TASK_000077,ENGINEERING,SEC_008,4,4,4.9,3,7,50,83.3,1.0
TMS_TASK_000078,ENGINEERING,SEC_063,3,3,2.2,0,7,59,98.3,1.0
TMS_TASK_000079,ENGINEERING,SEC_011,2,2,3.6,0,7,73,121.7,1.0
TMS_TASK_000080,ENGINEERING,SEC_008,3,3,4.0,1,7,50,83.3,1.0
TMS_TASK_000081,ENGINEERING,SEC_035,3,3,4.9,0,7,68,113.3,1.0
TMS_TASK_000082,ENGINEERING,SEC_035,4,4,2.1,0,7,68,113.3,1.0
TMS_TASK_000083,ENGINEERING,SEC_033,3,3,2.9,0,7,70,116.7,1.0
TMS_TASK_000084,ENGINEERING,SEC_005,2,2,3.6,0,7,72,120.0,1.0
TMS_TASK_000085,ENGINEERING,SEC_041,4,4,3.9,0,7,37,61.7,1.0
TMS_TASK_000086,ENGINEERING,SEC_028,4,4,4.0,0,7,59,98.3,1.0
TMS_TASK_000087,ENGINEERING,SEC_007,4,4,4.2,0,7,40,66.7,1.0
TMS_TASK_000088,ENGINEERING,SEC_012,3,3,2.4,0,7,69,115.0,1.0
TMS_TASK_000089,ENGINEERING,SEC_034,4,4,4.2,0,7,56,93.3,1.0
TMS_TASK_000090,ENGINEERING,SEC_033,3,3,2.0,0,7,70,116.7,1.0
TMS_TASK_000091,ENGINEERING,SEC_048,4,4,3.9,0,7,36,60.0,1.0
TMS_TASK_000092,ENGINEERING,SEC_023,2,2,3.1,4,7,68,113.3,1.75
TMS_TASK_000093,ENGINEERING,SEC_062,4,4,2.0,0,7,64,106.7,1.0
TMS_TASK_000094,ENGINEERING,SEC_037,4,4,3.8,0,7,45,75.0,1.0
TMS_TASK_000095,ENGINEERING,SEC_044,3,3,4.7,0,7,45,75.0,1.0
TMS_TASK_000096,ENGINEERING,SEC_035,3,3,2.4,0,7,68,113.3,1.0
TMS_TASK_000097,ENGINEERING,SEC_065,4,4,2.7,0,7,68,113.3,1.0
TMS_TASK_000098,ENGINEERING,SEC_047,3,3,5.0,4,7,55,91.7,1.0
TMS_TASK_000099,ENGINEERING,SEC_003,3,3,3.5,0,7,60,100.0,1.0
TMS_TASK_000100,ENGINEERING,SEC_001,2,2,3.5,4,7,69,115.0,1.0
TMS_TASK_000101,ENGINEERING,SEC_005,3,3,2.1,0,7,72,120.0,1.0
TMS_TASK_000102,ENGINEERING,SEC_014,2,2,3.4,2,7,55,91.7,1.0
TMS_TASK_000103,ENGINEERING,SEC_027,3,3,2.5,2,7,51,85.0,1.0
TMS_TASK_000104,ENGINEERING,SEC_009,2,2,3.4,0,7,47,78.3,1.0
TMS_TASK_000105,ENGINEERING,SEC_015,2,2,3.8,2,7,50,83.3,1.0
TMS_TASK_000106,ENGINEERING,SEC_042,3,3,2.0,0,7,60,100.0,1.0
TMS_TASK_000107,ENGINEERING,SEC_051,4,4,1.8,2,7,47,78.3,1.0
TMS_TASK_000108,ENGINEERING,SEC_063,2,2,1.8,4,7,59,98.3,1.0
TMS_TASK_000109,ENGINEERING,SEC_052,3,3,3.8,0,7,52,86.7,1.0
TMS_TASK_000110,ENGINEERING,SEC_004,2,2,3.4,4,7,70,116.7,1.0
TMS_TASK_000111,ENGINEERING,SEC_023,3,3,4.7,0,7,68,113.3,1.0
TMS_TASK_000112,ENGINEERING,SEC_015,2,2,3.7,3,7,50,83.3,1.0
TMS_TASK_000113,ENGINEERING,SEC_043,4,4,4.2,1,7,39,65.0,1.0
TMS_TASK_000114,ENGINEERING,SEC_029,2,2,3.5,0,7,57,95.0,1.0
TMS_TASK_000115,ENGINEERING,SEC_036,4,4,2.7,0,7,37,61.7,1.0
TMS_TASK_000116,ENGINEERING,SEC_013,4,4,3.5,3,7,50,83.3,1.0
TMS_TASK_000117,ENGINEERING,SEC_032,3,3,3.1,3,7,68,113.3,1.0
TMS_TASK_000118,ENGINEERING,SEC_059,3,3,3.7,0,7,51,85.0,1.0
TMS_TASK_000119,ENGINEERING,SEC_028,3,3,3.4,1,7,59,98.3,1.25
TMS_TASK_000120,ENGINEERING,SEC_066,3,3,4.0,3,7,71,253.6,1.0
TMS_TASK_000121,ENGINEERING,SEC_042,2,2,2.4,1,7,60,100.0,1.0
TMS_TASK_000122,ENGINEERING,SEC_045,3,3,2.6,2,7,43,71.7,1.0
TMS_TASK_000123,ENGINEERING,SEC_062,2,2,2.0,0,7,64,106.7,1.0
TMS_TASK_000124,ENGINEERING,SEC_057,2,2,3.5,0,7,64,106.7,1.0
TMS_TASK_000125,ENGINEERING,SEC_006,2,2,4.8,3,7,62,103.3,1.0
TMS_TASK_000126,ENGINEERING,SEC_028,4,4,2.0,0,7,59,98.3,1.0
TMS_TASK_000127,ENGINEERING,SEC_028,3,3,3.5,3,7,59,98.3,1.0
TMS_TASK_000128,ENGINEERING,SEC_044,3,3,4.2,3,7,45,75.0,1.0
TMS_TASK_000129,ENGINEERING,SEC_030,3,3,4.7,4,7,56,93.3,1.0
TMS_TASK_000130,ENGINEERING,SEC_062,2,2,2.2,0,7,64,106.7,1.0
TMS_TASK_000131,ENGINEERING,SEC_062,3,3,2.4,1,7,64,106.7,1.0
TMS_TASK_000132,ENGINEERING,SEC_001,3,3,4.6,3,7,69,115.0,1.0
TMS_TASK_000133,ENGINEERING,SEC_027,3,3,3.5,3,7,51,85.0,1.0
TMS_TASK_000134,ENGINEERING,SEC_062,2,2,3.5,0,7,64,106.7,1.0
TMS_TASK_000135,ENGINEERING,SEC_003,2,2,3.3,2,7,60,100.0,1.0
TMS_TASK_000136,ENGINEERING,SEC_027,3,3,3.5,0,7,51,85.0,1.0
TMS_TASK_000137,ENGINEERING,SEC_009,3,3,2.2,0,7,47,78.3,1.0
TMS_TASK_000138,ENGINEERING,SEC_062,4,4,4.3,0,7,64,106.7,1.0
TMS_TASK_000139,ENGINEERING,SEC_037,3,3,3.7,0,7,45,75.0,1.0
TMS_TASK_000140,ENGINEERING,SEC_051,3,3,1.9,3,7,47,78.3,1.0
TMS_TASK_000141,ENGINEERING,SEC_044,3,3,4.3,2,7,45,75.0,1.0
TMS_TASK_000142,ENGINEERING,SEC_024,3,3,3.7,1,7,68,113.3,1.0
TMS_TASK_000143,ENGINEERING,SEC_059,3,3,3.7,0,7,51,85.0,1.0
TMS_TASK_000144,ENGINEERING,SEC_032,2,2,3.7,0,7,68,113.3,1.3
TMS_TASK_000145,ENGINEERING,SEC_052,2,2,3.4,0,7,52,86.7,1.0
TMS_TASK_000146,ENGINEERING,SEC_062,3,3,3.8,3,7,64,106.7,1.0
TMS_TASK_000147,ENGINEERING,SEC_058,2,2,3.8,3,7,72,120.0,1.0
TMS_TASK_000148,ENGINEERING,SEC_052,3,3,4.7,0,7,52,86.7,1.0
TMS_TASK_000149,ENGINEERING,SEC_012,4,4,4.3,0,7,69,115.0,1.0
TMS_TASK_000150,ENGINEERING,SEC_039,3,3,2.1,3,7,60,100.0,1.0
TMS_TASK_000151,ENGINEERING,SEC_002,3,3,2.1,0,7,70,116.7,1.0
TMS_TASK_000152,ENGINEERING,SEC_003,3,3,4.1,0,7,60,100.0,1.0
TMS_TASK_000153,ENGINEERING,SEC_056,4,4,3.9,0,7,71,118.3,1.0
TMS_TASK_000154,ENGINEERING,SEC_059,2,2,2.4,2,7,51,85.0,1.0
TMS_TASK_000155,ENGINEERING,SEC_002,3,3,4.4,0,7,70,116.7,1.0
TMS_TASK_000156,ENGINEERING,SEC_002,3,3,4.5,0,7,70,116.7,1.0
TMS_TASK_000157,ENGINEERING,SEC_054,3,3,4.8,0,7,68,113.3,1.0
TMS_TASK_000158,ENGINEERING,SEC_001,4,4,4.7,0,7,69,115.0,1.0
TMS_TASK_000159,ENGINEERING,SEC_019,3,3,4.3,0,7,76,126.7,1.0
TMS_TASK_000160,ENGINEERING,SEC_002,3,3,3.8,2,7,70,116.7,1.0
TMS_TASK_000161,ENGINEERING,SEC_053,3,3,4.8,2,7,57,95.0,1.0
TMS_TASK_000162,ENGINEERING,SEC_044,2,2,2.6,4,7,45,75.0,1.0
TMS_TASK_000163,ENGINEERING,SEC_032,4,4,2.1,1,7,68,113.3,1.0
TMS_TASK_000164,ENGINEERING,SEC_032,3,3,2.1,0,7,68,113.3,1.0
TMS_TASK_000165,ENGINEERING,SEC_068,3,3,3.4,0,7,77,275.0,1.0
TMS_TASK_000166,ENGINEERING,SEC_055,4,4,2.3,0,7,69,115.0,1.0
TMS_TASK_000167,ENGINEERING,SEC_056,4,4,2.6,0,7,71,118.3,1.0
TMS_TASK_000168,ENGINEERING,SEC_017,4,4,4.4,0,7,64,106.7,1.0
TMS_TASK_000169,ENGINEERING,SEC_038,2,2,4.4,3,7,48,80.0,1.0
TMS_TASK_000170,ENGINEERING,SEC_024,3,3,2.4,2,7,68,113.3,1.0
TMS_TASK_000171,ENGINEERING,SEC_011,4,4,2.7,0,7,73,121.7,1.0
TMS_TASK_000172,ENGINEERING,SEC_016,2,2,3.4,0,7,72,120.0,1.0
TMS_TASK_000173,ENGINEERING,SEC_059,2,2,3.3,1,7,51,85.0,1.0
TMS_TASK_000174,ENGINEERING,SEC_003,4,4,3.8,3,7,60,100.0,1.0
TMS_TASK_000175,ENGINEERING,SEC_020,4,4,2.5,0,7,52,86.7,1.0
TMS_TASK_000176,ENGINEERING,SEC_059,3,3,4.7,0,7,51,85.0,1.0
TMS_TASK_000177,ENGINEERING,SEC_036,3,3,4.0,0,7,37,61.7,1.0
TMS_TASK_000178,ENGINEERING,SEC_019,4,4,4.0,0,7,76,126.7,1.0
TMS_TASK_000179,ENGINEERING,SEC_067,4,4,4.0,2,7,59,210.7,1.0
TMS_TASK_000180,ENGINEERING,SEC_019,3,3,1.9,3,7,76,126.7,1.0
TMS_TASK_000181,ENGINEERING,SEC_020,3,3,1.8,2,7,52,86.7,1.0
TMS_TASK_000182,ENGINEERING,SEC_052,4,4,2.4,0,7,52,86.7,1.0
TMS_TASK_000183,ENGINEERING,SEC_033,4,4,3.9,0,7,70,116.7,1.0
TMS_TASK_000184,ENGINEERING,SEC_040,2,2,4.5,2,7,59,98.3,1.0
TMS_TASK_000185,ENGINEERING,SEC_039,3,3,3.4,2,7,60,100.0,1.0
TMS_TASK_000186,ENGINEERING,SEC_001,4,4,2.5,0,7,69,115.0,1.0
TMS_TASK_000187,ENGINEERING,SEC_011,4,4,4.5,0,7,73,121.7,1.0
TMS_TASK_000188,ENGINEERING,SEC_057,3,3,4.4,0,7,64,106.7,1.0
TMS_TASK_000189,ENGINEERING,SEC_050,3,3,2.3,2,7,42,70.0,1.0
TMS_TASK_000190,ENGINEERING,SEC_023,2,2,2.1,0,7,68,113.3,1.0
TMS_TASK_000191,ENGINEERING,SEC_031,3,3,4.0,4,7,43,71.7,1.0
TMS_TASK_000192,ENGINEERING,SEC_042,3,3,3.4,1,7,60,100.0,1.0
TMS_TASK_000193,ENGINEERING,SEC_007,2,2,3.7,3,7,40,66.7,1.0
TMS_TASK_000194,ENGINEERING,SEC_016,2,2,4.3,3,7,72,120.0,1.0
TMS_TASK_000195,ENGINEERING,SEC_060,3,3,3.8,0,7,47,78.3,1.0
TMS_TASK_000196,ENGINEERING,SEC_002,2,2,4.2,0,7,70,116.7,1.0
TMS_TASK_000197,ENGINEERING,SEC_001,2,2,5.1,4,7,69,115.0,1.0
TMS_TASK_000198,ENGINEERING,SEC_048,2,2,3.4,0,7,36,60.0,1.0
TMS_TASK_000199,ENGINEERING,SEC_012,4,4,3.7,0,7,69,115.0,1.0
TMS_TASK_000200,ENGINEERING,SEC_037,4,4,2.4,0,7,45,75.0,1.0
TMS_TASK_000201,ENGINEERING,SEC_032,3,3,2.4,0,7,68,113.3,1.0
TMS_TASK_000202,ENGINEERING,SEC_009,3,3,4.4,0,7,47,78.3,1.0
TMS_TASK_000203,ENGINEERING,SEC_019,2,2,2.6,0,7,76,126.7,1.0
TMS_TASK_000204,ENGINEERING,SEC_048,4,4,2.6,0,7,36,60.0,1.0
TMS_TASK_000205,ENGINEERING,SEC_003,3,3,2.6,3,7,60,100.0,1.0
TMS_TASK_000206,ENGINEERING,SEC_020,2,2,4.5,2,7,52,86.7,1.0
TMS_TASK_000207,ENGINEERING,SEC_024,3,3,1.7,1,7,68,113.3,1.0
TMS_TASK_000208,ENGINEERING,SEC_054,4,4,4.0,0,7,68,113.3,1.0
TMS_TASK_000209,ENGINEERING,SEC_033,2,2,4.5,2,7,70,116.7,1.0
TMS_TASK_000210,ENGINEERING,SEC_024,2,2,1.9,0,7,68,113.3,1.0
TMS_TASK_000211,ENGINEERING,SEC_036,4,4,4.1,2,7,37,61.7,1.0
TMS_TASK_000212,ENGINEERING,SEC_038,3,3,4.7,0,7,48,80.0,1.0
TMS_TASK_000213,ENGINEERING,SEC_025,3,3,2.4,0,7,37,61.7,1.0
TMS_TASK_000214,ENGINEERING,SEC_018,3,3,1.9,0,7,44,73.3,1.0
TMS_TASK_000215,ENGINEERING,SEC_066,2,2,3.1,4,7,71,253.6,1.0
TMS_TASK_000216,ENGINEERING,SEC_054,3,3,2.3,3,7,68,113.3,1.0
TMS_TASK_000217,ENGINEERING,SEC_035,3,3,3.4,0,7,68,113.3,1.0
TMS_TASK_000218,ENGINEERING,SEC_061,4,4,2.0,0,7,37,61.7,1.0
TMS_TASK_000219,ENGINEERING,SEC_041,3,3,3.5,0,7,37,61.7,1.0
TMS_TASK_000220,ENGINEERING,SEC_033,3,3,3.3,0,7,70,116.7,1.0
TMS_TASK_000221,ENGINEERING,SEC_068,2,2,3.7,0,7,77,275.0,1.0
TMS_TASK_000222,ENGINEERING,SEC_033,3,3,2.7,0,7,70,116.7,1.0
TMS_TASK_000223,ENGINEERING,SEC_014,2,2,4.7,0,7,55,91.7,1.0
TMS_TASK_000224,ENGINEERING,SEC_021,3,3,2.8,0,7,36,60.0,1.0
TMS_TASK_000225,ENGINEERING,SEC_048,2,2,3.3,1,7,36,60.0,1.0
TMS_TASK_000226,ENGINEERING,SEC_020,2,2,3.6,3,7,52,86.7,1.0
TMS_TASK_000227,ENGINEERING,SEC_008,3,3,4.7,0,7,50,83.3,1.45
TMS_TASK_000228,ENGINEERING,SEC_007,2,2,4.0,1,7,40,66.7,1.0
TMS_TASK_000229,ENGINEERING,SEC_067,3,3,2.3,0,7,59,210.7,1.0
TMS_TASK_000230,ENGINEERING,SEC_017,4,4,3.9,0,7,64,106.7,1.4
TMS_TASK_000231,ENGINEERING,SEC_033,2,2,3.2,1,7,70,116.7,1.0
TMS_TASK_000232,ENGINEERING,SEC_048,3,3,1.8,3,7,36,60.0,1.0
TMS_TASK_000233,ENGINEERING,SEC_059,4,4,4.1,0,7,51,85.0,1.0
TMS_TASK_000234,ENGINEERING,SEC_022,4,4,4.0,0,7,54,90.0,1.6
TMS_TASK_000235,ENGINEERING,SEC_030,2,2,4.4,3,7,56,93.3,1.0
TMS_TASK_000236,ENGINEERING,SEC_038,3,3,3.1,2,7,48,80.0,1.0
TMS_TASK_000237,ENGINEERING,SEC_051,2,2,4.7,3,7,47,78.3,1.0
TMS_TASK_000238,ENGINEERING,SEC_054,2,2,1.8,0,7,68,113.3,1.0
TMS_TASK_000239,ENGINEERING,SEC_008,3,3,2.8,0,7,50,83.3,1.0
TMS_TASK_000240,ENGINEERING,SEC_027,3,3,1.8,4,7,51,85.0,1.0
TMS_TASK_000241,ENGINEERING,SEC_027,4,4,2.4,3,7,51,85.0,1.0
TMS_TASK_000242,ENGINEERING,SEC_021,4,4,2.4,0,7,36,60.0,1.0
TMS_TASK_000243,ENGINEERING,SEC_030,4,4,4.1,0,7,56,93.3,1.0
TMS_TASK_000244,ENGINEERING,SEC_028,2,2,1.9,3,7,59,98.3,1.0
TMS_TASK_000245,ENGINEERING,SEC_064,2,2,2.5,4,7,56,93.3,1.0
TMS_TASK_000246,ENGINEERING,SEC_061,4,4,3.9,0,7,37,61.7,1.0
TMS_TASK_000247,ENGINEERING,SEC_048,4,4,2.3,0,7,36,60.0,1.0
TMS_TASK_000248,ENGINEERING,SEC_019,3,3,4.5,0,7,76,126.7,1.0
TMS_TASK_000249,ENGINEERING,SEC_004,3,3,2.1,2,7,70,116.7,1.0
TMS_TASK_000250,ENGINEERING,SEC_035,3,3,2.1,3,7,68,113.3,1.0
TMS_TASK_000251,ENGINEERING,SEC_064,2,2,2.1,0,7,56,93.3,1.65
TMS_TASK_000252,ENGINEERING,SEC_049,3,3,2.1,0,7,71,118.3,1.0
TMS_TASK_000253,ENGINEERING,SEC_017,4,4,1.6,0,7,64,106.7,1.0
TMS_TASK_000254,ENGINEERING,SEC_044,2,2,3.5,0,7,45,75.0,1.0
TMS_TASK_000255,ENGINEERING,SEC_030,4,4,4.3,0,7,56,93.3,1.0
TMS_TASK_000256,ENGINEERING,SEC_046,3,3,4.0,0,7,75,125.0,1.0
TMS_TASK_000257,ENGINEERING,SEC_006,2,2,3.5,0,7,62,103.3,1.0
TMS_TASK_000258,ENGINEERING,SEC_037,4,4,4.0,3,7,45,75.0,1.0
TMS_TASK_000259,ENGINEERING,SEC_024,4,4,3.7,0,7,68,113.3,1.7
TMS_TASK_000260,ENGINEERING,SEC_046,2,2,2.5,0,7,75,125.0,1.0
TMS_TASK_000261,ENGINEERING,SEC_053,4,4,3.0,0,7,57,95.0,1.0
TMS_TASK_000262,ENGINEERING,SEC_060,3,3,4.4,3,7,47,78.3,1.0
TMS_TASK_000263,ENGINEERING,SEC_063,2,2,4.3,0,7,59,98.3,1.0
TMS_TASK_000264,ENGINEERING,SEC_032,4,4,4.6,0,7,68,113.3,1.2
TMS_TASK_000265,ENGINEERING,SEC_033,3,3,2.2,2,7,70,116.7,1.3
TMS_TASK_000266,ENGINEERING,SEC_067,3,3,4.6,0,7,59,210.7,1.0
TMS_TASK_000267,ENGINEERING,SEC_018,3,3,4.3,1,7,44,73.3,1.0
TMS_TASK_000268,ENGINEERING,SEC_025,2,2,2.3,3,7,37,61.7,1.0
TMS_TASK_000269,ENGINEERING,SEC_054,2,2,4.3,0,7,68,113.3,1.0
TMS_TASK_000270,ENGINEERING,SEC_058,3,3,2.0,4,7,72,120.0,1.0
TMS_TASK_000271,ENGINEERING,SEC_067,4,4,2.8,0,7,59,210.7,1.35
TMS_TASK_000272,ENGINEERING,SEC_046,2,2,1.9,0,7,75,125.0,1.0
TMS_TASK_000273,ENGINEERING,SEC_024,3,3,4.5,0,7,68,113.3,1.0
TMS_TASK_000274,ENGINEERING,SEC_032,4,4,4.2,0,7,68,113.3,1.0
TMS_TASK_000275,ENGINEERING,SEC_047,3,3,4.3,0,7,55,91.7,1.0
TMS_TASK_000276,ENGINEERING,SEC_023,3,3,2.7,0,7,68,113.3,1.0
TMS_TASK_000277,ENGINEERING,SEC_066,4,4,4.3,0,7,71,253.6,1.0
TMS_TASK_000278,ENGINEERING,SEC_027,3,3,4.5,1,7,51,85.0,1.0
TMS_TASK_000279,ENGINEERING,SEC_002,3,3,2.7,3,7,70,116.7,1.0
TMS_TASK_000280,ENGINEERING,SEC_017,3,3,1.8,0,7,64,106.7,1.0
TMS_TASK_000281,ENGINEERING,SEC_033,3,3,4.2,0,7,70,116.7,1.0
TMS_TASK_000282,ENGINEERING,SEC_009,3,3,1.6,3,7,47,78.3,1.0
TMS_TASK_000283,ENGINEERING,SEC_043,2,2,4.6,0,7,39,65.0,1.0
TMS_TASK_000284,ENGINEERING,SEC_048,4,4,3.6,0,7,36,60.0,1.0
TMS_TASK_000285,ENGINEERING,SEC_039,4,4,4.4,0,7,60,100.0,1.0
TMS_TASK_000286,ENGINEERING,SEC_042,4,4,4.2,0,7,60,100.0,1.0
TMS_TASK_000287,ENGINEERING,SEC_026,4,4,2.4,0,7,45,75.0,1.0
TMS_TASK_000288,ENGINEERING,SEC_050,3,3,1.8,0,7,42,70.0,1.0
TMS_TASK_000289,ENGINEERING,SEC_025,3,3,1.8,4,7,37,61.7,1.0
TMS_TASK_000290,ENGINEERING,SEC_024,4,4,2.8,0,7,68,113.3,1.0
TMS_TASK_000291,ENGINEERING,SEC_013,4,4,4.2,1,7,50,83.3,1.0
TMS_TASK_000292,ENGINEERING,SEC_060,4,4,4.0,0,7,47,78.3,1.0
TMS_TASK_000293,ENGINEERING,SEC_007,3,3,3.9,0,7,40,66.7,1.0
TMS_TASK_000294,ENGINEERING,SEC_057,3,3,3.4,0,7,64,106.7,1.0
