event_id,event_type,section_id,detected_at,affected_block_id,impact_description,severity
DIS_000125,Machine Breakdown,SEC_042,2024-10-05 22:25:00,SLOT_008474,Tamping/BCM machine breakdown during block operation in SEC_042,Low
DIS_000126,Emergency Defect,SEC_028,2024-11-29 01:20:00,SLOT_049339,Emergency rail/OHE defect detected requiring urgent track access in SEC_028,Low
DIS_000127,Emergency Defect,SEC_004,2024-04-19 09:10:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_004,Medium
DIS_000128,Late Train,SEC_038,2024-02-27 23:49:00,,Late express train delay cascading in section SEC_038 (Severity High),High
DIS_000129,Late Train,SEC_029,2024-03-31 01:00:00,SLOT_027272,Late express train delay cascading in section SEC_029 (Severity High),High
DIS_000130,Emergency Defect,SEC_032,2024-10-23 15:28:00,SLOT_016460,Emergency rail/OHE defect detected requiring urgent track access in SEC_032,Low
DIS_000131,Late Train,SEC_028,2024-05-03 13:25:00,SLOT_018536,Late express train delay cascading in section SEC_028 (Severity High),High
DIS_000132,Emergency Defect,SEC_028,2024-11-12 09:39:00,SLOT_028355,Emergency rail/OHE defect detected requiring urgent track access in SEC_028,Medium
DIS_000133,Machine Breakdown,SEC_005,2024-06-29 18:30:00,SLOT_045190,Tamping/BCM machine breakdown during block operation in SEC_005,Medium
DIS_000134,Late Train,SEC_028,2024-06-01 15:18:00,SLOT_037503,Late express train delay cascading in section SEC_028 (Severity High),High
DIS_000135,Late Train,SEC_039,2024-09-22 11:49:00,SLOT_042014,Late express train delay cascading in section SEC_039 (Severity Low),Low
DIS_000136,Emergency Defect,SEC_015,2024-12-25 17:10:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_015,Low
DIS_000137,Late Train,SEC_030,2024-10-01 16:38:00,SLOT_032923,Late express train delay cascading in section SEC_030 (Severity High),High
DIS_000138,Emergency Defect,SEC_002,2024-03-18 04:28:00,SLOT_003524,Emergency rail/OHE defect detected requiring urgent track access in SEC_002,Low
DIS_000139,Emergency Defect,SEC_018,2024-04-28 07:25:00,SLOT_037690,Emergency rail/OHE defect detected requiring urgent track access in SEC_018,Medium
DIS_000140,Late Train,SEC_022,2024-02-10 07:26:00,SLOT_043696,Late express train delay cascading in section SEC_022 (Severity Medium),Medium
DIS_000141,Emergency Defect,SEC_049,2024-08-04 08:47:00,SLOT_014814,Emergency rail/OHE defect detected requiring urgent track access in SEC_049,High
DIS_000142,Emergency Defect,SEC_011,2024-12-21 09:32:00,SLOT_048633,Emergency rail/OHE defect detected requiring urgent track access in SEC_011,Low
DIS_000143,Late Train,SEC_014,2024-04-25 21:02:00,,Late express train delay cascading in section SEC_014 (Severity Medium),Medium
DIS_000144,Late Train,SEC_021,2024-04-03 08:33:00,,Late express train delay cascading in section SEC_021 (Severity Low),Low
DIS_000145,Late Train,SEC_049,2024-12-05 15:09:00,SLOT_034689,Late express train delay cascading in section SEC_049 (Severity High),High
DIS_000146,Machine Breakdown,SEC_042,2024-01-11 21:30:00,SLOT_021493,Tamping/BCM machine breakdown during block operation in SEC_042,Low
DIS_000147,Late Train,SEC_002,2024-03-18 16:38:00,SLOT_018281,Late express train delay cascading in section SEC_002 (Severity Medium),Medium
DIS_000148,Late Train,SEC_012,2024-05-23 18:03:00,,Late express train delay cascading in section SEC_012 (Severity High),High
DIS_000149,Late Train,SEC_041,2024-12-09 05:52:00,SLOT_002685,Late express train delay cascading in section SEC_041 (Severity Medium),Medium
DIS_000150,Late Train,SEC_003,2024-12-28 23:59:00,,Late express train delay cascading in section SEC_003 (Severity Medium),Medium
DIS_000151,Late Train,SEC_042,2024-11-23 07:28:00,,Late express train delay cascading in section SEC_042 (Severity Low),Low
DIS_000152,Emergency Defect,SEC_014,2024-11-03 13:04:00,SLOT_015277,Emergency rail/OHE defect detected requiring urgent track access in SEC_014,Medium
DIS_000153,Late Train,SEC_045,2024-01-11 21:31:00,SLOT_034012,Late express train delay cascading in section SEC_045 (Severity Medium),Medium
DIS_000154,Emergency Defect,SEC_015,2024-02-05 19:58:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_015,Medium
DIS_000155,Late Train,SEC_022,2024-11-22 13:58:00,SLOT_041208,Late express train delay cascading in section SEC_022 (Severity Low),Low
DIS_000156,Late Train,SEC_033,2024-05-11 00:52:00,,Late express train delay cascading in section SEC_033 (Severity Low),Low
DIS_000157,Late Train,SEC_007,2024-02-29 23:21:00,SLOT_027515,Late express train delay cascading in section SEC_007 (Severity Low),Low
DIS_000158,Emergency Defect,SEC_028,2024-07-15 11:52:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_028,Low
DIS_000159,Machine Breakdown,SEC_025,2024-12-02 23:00:00,SLOT_008732,Tamping/BCM machine breakdown during block operation in SEC_025,Medium
DIS_000160,Late Train,SEC_039,2024-10-18 23:18:00,,Late express train delay cascading in section SEC_039 (Severity Medium),Medium
DIS_000161,Machine Breakdown,SEC_049,2024-06-02 14:58:00,SLOT_032902,Tamping/BCM machine breakdown during block operation in SEC_049,Low
DIS_000162,Late Train,SEC_033,2024-03-11 10:41:00,SLOT_028318,Late express train delay cascading in section SEC_033 (Severity Medium),Medium
DIS_000163,Emergency Defect,SEC_021,2024-10-07 08:52:00,SLOT_044471,Emergency rail/OHE defect detected requiring urgent track access in SEC_021,Low
DIS_000164,Emergency Defect,SEC_020,2024-02-03 07:25:00,SLOT_035402,Emergency rail/OHE defect detected requiring urgent track access in SEC_020,Medium
DIS_000165,Late Train,SEC_021,2024-02-11 22:52:00,SLOT_013466,Late express train delay cascading in section SEC_021 (Severity Low),Low
DIS_000166,Late Train,SEC_040,2024-09-25 07:23:00,SLOT_017901,Late express train delay cascading in section SEC_040 (Severity Low),Low
DIS_000167,Late Train,SEC_016,2024-03-08 04:28:00,SLOT_049801,Late express train delay cascading in section SEC_016 (Severity Low),Low
DIS_000168,Emergency Defect,SEC_009,2024-01-08 05:23:00,SLOT_014334,Emergency rail/OHE defect detected requiring urgent track access in SEC_009,Low
DIS_000169,Late Train,SEC_017,2024-12-28 15:20:00,,Late express train delay cascading in section SEC_017 (Severity Medium),Medium
DIS_000170,Machine Breakdown,SEC_002,2024-07-07 02:38:00,,Tamping/BCM machine breakdown during block operation in SEC_002,Medium
DIS_000171,Late Train,SEC_006,2024-10-13 12:50:00,,Late express train delay cascading in section SEC_006 (Severity Low),Low
DIS_000172,Machine Breakdown,SEC_005,2024-09-15 00:17:00,,Tamping/BCM machine breakdown during block operation in SEC_005,Medium
DIS_000173,Late Train,SEC_038,2024-10-28 01:46:00,SLOT_039671,Late express train delay cascading in section SEC_038 (Severity Low),Low
DIS_000174,Emergency Defect,SEC_036,2024-09-01 13:33:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_036,Medium
DIS_000175,Late Train,SEC_035,2024-09-16 18:14:00,SLOT_019192,Late express train delay cascading in section SEC_035 (Severity Low),Low
DIS_000176,Late Train,SEC_023,2024-07-05 10:23:00,,Late express train delay cascading in section SEC_023 (Severity Medium),Medium
DIS_000177,Late Train,SEC_036,2024-02-28 03:01:00,SLOT_045607,Late express train delay cascading in section SEC_036 (Severity Medium),Medium
DIS_000178,Emergency Defect,SEC_008,2024-10-12 04:59:00,SLOT_040306,Emergency rail/OHE defect detected requiring urgent track access in SEC_008,Medium
DIS_000179,Late Train,SEC_045,2024-06-26 22:50:00,,Late express train delay cascading in section SEC_045 (Severity Low),Low
DIS_000180,Emergency Defect,SEC_025,2024-08-03 07:36:00,SLOT_045223,Emergency rail/OHE defect detected requiring urgent track access in SEC_025,Low
DIS_000181,Machine Breakdown,SEC_046,2024-04-21 23:01:00,SLOT_007258,Tamping/BCM machine breakdown during block operation in SEC_046,Low
DIS_000182,Late Train,SEC_008,2024-10-28 10:24:00,,Late express train delay cascading in section SEC_008 (Severity Medium),Medium
DIS_000183,Late Train,SEC_025,2024-10-03 23:19:00,,Late express train delay cascading in section SEC_025 (Severity Medium),Medium
DIS_000184,Late Train,SEC_035,2024-07-31 15:38:00,,Late express train delay cascading in section SEC_035 (Severity Medium),Medium
DIS_000185,Late Train,SEC_025,2024-03-07 09:18:00,,Late express train delay cascading in section SEC_025 (Severity Medium),Medium
DIS_000186,Late Train,SEC_022,2024-06-07 06:00:00,,Late express train delay cascading in section SEC_022 (Severity Low),Low
DIS_000187,Emergency Defect,SEC_009,2024-04-04 15:05:00,SLOT_007568,Emergency rail/OHE defect detected requiring urgent track access in SEC_009,Low
DIS_000188,Late Train,SEC_019,2024-08-06 22:11:00,SLOT_009606,Late express train delay cascading in section SEC_019 (Severity Medium),Medium
DIS_000189,Late Train,SEC_012,2024-01-25 19:34:00,SLOT_020869,Late express train delay cascading in section SEC_012 (Severity Low),Low
DIS_000190,Emergency Defect,SEC_015,2024-06-04 19:53:00,SLOT_009007,Emergency rail/OHE defect detected requiring urgent track access in SEC_015,High
DIS_000191,Late Train,SEC_034,2024-12-24 11:25:00,SLOT_023768,Late express train delay cascading in section SEC_034 (Severity Low),Low
DIS_000192,Emergency Defect,SEC_031,2024-03-17 23:00:00,SLOT_005383,Emergency rail/OHE defect detected requiring urgent track access in SEC_031,Medium
DIS_000193,Machine Breakdown,SEC_030,2024-06-29 03:06:00,SLOT_008180,Tamping/BCM machine breakdown during block operation in SEC_030,Low
DIS_000194,Late Train,SEC_018,2024-06-21 11:49:00,SLOT_026253,Late express train delay cascading in section SEC_018 (Severity High),High
DIS_000195,Emergency Defect,SEC_048,2024-11-13 07:50:00,SLOT_028991,Emergency rail/OHE defect detected requiring urgent track access in SEC_048,Medium
DIS_000196,Machine Breakdown,SEC_005,2024-12-12 10:31:00,SLOT_037305,Tamping/BCM machine breakdown during block operation in SEC_005,Low
DIS_000197,Emergency Defect,SEC_017,2024-11-01 20:43:00,SLOT_005804,Emergency rail/OHE defect detected requiring urgent track access in SEC_017,Low
DIS_000198,Emergency Defect,SEC_006,2024-08-03 13:08:00,SLOT_034208,Emergency rail/OHE defect detected requiring urgent track access in SEC_006,High
DIS_000199,Emergency Defect,SEC_017,2024-06-02 02:11:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_017,Medium
DIS_000200,Emergency Defect,SEC_048,2024-09-23 14:04:00,SLOT_027775,Emergency rail/OHE defect detected requiring urgent track access in SEC_048,Low
DIS_000201,Emergency Defect,SEC_018,2024-01-19 15:26:00,SLOT_039174,Emergency rail/OHE defect detected requiring urgent track access in SEC_018,Medium
DIS_000202,Emergency Defect,SEC_045,2024-08-28 20:56:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_045,Low
DIS_000203,Emergency Defect,SEC_025,2024-04-24 07:42:00,SLOT_048295,Emergency rail/OHE defect detected requiring urgent track access in SEC_025,Low
DIS_000204,Emergency Defect,SEC_035,2024-06-17 16:51:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_035,Medium
DIS_000205,Late Train,SEC_023,2024-08-25 23:36:00,,Late express train delay cascading in section SEC_023 (Severity High),High
DIS_000206,Machine Breakdown,SEC_014,2024-05-29 06:25:00,,Tamping/BCM machine breakdown during block operation in SEC_014,Low
