section_id,from_station,to_station,start_km,end_km,section_length_km,line_type,num_lines,max_speed_kmph,passenger_trains_daily,freight_rakes_daily,total_trains_daily,average_headway_minutes,capacity_utilization_percent,corridor_id,source_type,source
SEC_015,GI,CTM,36.855,42.432,5.58,HDN,2,130,34,16,50,28.8,83.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_016,CTM,SKL,42.432,48.066,5.63,HDN,2,130,60,12,72,20.0,120.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_017,SKL,CGL,48.066,56.42,8.35,HDN,2,130,52,12,64,22.5,106.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_018,CGL,OV,56.42,64.77,8.35,HDN,2,130,32,12,44,32.7,73.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_019,OV,KGZ,64.77,77.232,12.46,HDN,2,130,60,16,76,18.9,126.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_020,KGZ,MMK,77.232,80.898,3.67,HDN,2,130,40,12,52,27.7,86.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_021,MMK,MLMR,80.898,91.831,10.93,HDN,2,130,24,12,36,40.0,60.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_022,MLMR,TZD,91.831,100.425,8.59,HDN,2,130,44,10,54,26.7,90.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_023,TZD,KSGL,100.425,105.744,5.32,HDN,2,130,60,8,68,21.2,113.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_024,KSGL,OLA,105.744,110.378,4.63,HDN,2,130,60,8,68,21.2,113.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_025,OLA,TMV,110.378,121.852,11.47,HDN,2,130,29,8,37,38.9,61.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_026,TMV,MTL,121.852,131.32,9.47,HDN,2,130,31,14,45,32.0,75.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_027,MTL,PEI,131.32,140.03,8.71,HDN,2,130,43,8,51,28.2,85.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_028,PEI,VVN,140.03,146.518,6.49,HDN,2,130,43,16,59,24.4,98.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_029,VVN,MYP,146.518,153.125,6.61,HDN,2,130,43,14,57,25.3,95.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_030,MYP,VM,153.125,162.847,9.72,HDN,2,130,46,10,56,25.7,93.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_031,VM,KDMD,162.847,171.29,8.44,HDN,2,130,35,8,43,33.5,71.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_032,KDMD,TVNL,171.29,179.578,8.29,HDN,2,130,58,10,68,21.2,113.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_033,TVNL,PVN,179.578,208.649,29.07,HDN,2,130,54,16,70,20.6,116.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_034,PVN,VRI,208.649,222.364,13.72,HDN,2,130,40,16,56,25.7,93.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_035,VRI,TLNR,222.364,231.225,8.86,HDN,2,130,60,8,68,21.2,113.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_036,TLNR,PNDM,231.225,241.073,9.85,HDN,2,130,29,8,37,38.9,61.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_037,PNDM,ICG,241.073,244.317,3.24,HDN,2,130,31,14,45,32.0,75.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_038,ICG,MTUR,244.317,250.437,6.12,HDN,2,130,30,18,48,30.0,80.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_039,MTUR,SNDI,250.437,258.852,8.41,HDN,2,130,42,18,60,24.0,100.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_040,SNDI,OTK,258.852,267.341,8.49,HDN,2,130,45,14,59,24.4,98.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_041,OTK,ALU,267.341,275.909,8.57,HDN,2,130,29,8,37,38.9,61.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_042,ALU,SLTH,275.909,282.838,6.93,HDN,2,130,52,8,60,24.0,100.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_043,SLTH,KLGM,282.838,291.726,8.89,HDN,2,130,25,14,39,36.9,65.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_044,KLGM,KKPM,291.726,300.65,8.92,HDN,2,130,27,18,45,32.0,75.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_045,KKPM,PMB,300.65,305.296,4.65,HDN,2,130,29,14,43,33.5,71.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_046,PMB,KTTR,305.296,313.75,8.45,HDN,2,130,61,14,75,19.2,125.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_047,KTTR,LLI,313.75,318.922,5.17,HDN,2,130,37,18,55,26.2,91.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_048,LLI,VLDE,318.922,325.209,6.29,HDN,2,130,28,8,36,40.0,60.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_049,VLDE,SRGM,325.209,332.857,7.65,HDN,2,130,59,12,71,20.3,118.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_050,SRGM,TPTN,332.857,336.293,3.44,HDN,2,130,30,12,42,34.3,70.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_051,TPTN,TP,336.293,341.285,4.99,HDN,2,130,31,16,47,30.6,78.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_052,TP,TPE,341.285,343.38,2.09,HDN,2,130,36,16,52,27.7,86.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_053,TPE,TPJ,343.38,347.271,3.89,HDN,2,130,41,16,57,25.3,95.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_054,TPJ,PUG,347.271,358.247,10.98,HDN,2,120,50,18,68,21.2,113.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_055,PUG,KLS,358.247,367.743,9.5,HDN,2,120,53,16,69,20.9,115.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_056,KLS,MPA,367.743,385.526,17.78,HDN,2,120,61,10,71,20.3,118.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_057,MPA,CII,385.526,392.787,7.26,HDN,2,120,48,16,64,22.5,106.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_058,CII,VPJ,392.787,399.593,6.81,HDN,2,120,56,16,72,20.0,120.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_059,VPJ,KFC,399.593,407.844,8.25,HDN,2,120,39,12,51,28.2,85.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_060,KFC,AYR,407.844,419.702,11.86,HDN,2,120,35,12,47,30.6,78.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_061,AYR,VDM,419.702,428.05,8.35,HDN,2,120,25,12,37,38.9,61.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_062,VDM,KON,428.05,482.544,54.49,HDN,2,120,54,10,64,22.5,106.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_063,KON,MDU,482.544,486.205,3.66,HDN,2,120,41,18,59,24.4,98.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_064,MDU,TDN,486.205,510.761,24.56,HDN,2,120,44,12,56,25.7,93.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_065,TDN,APK,510.761,550.669,39.91,HUN,2,110,50,18,68,21.2,113.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_066,APK,TIP,550.669,628.649,77.98,HUN,1,110,59,12,71,20.3,253.6,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_067,TIP,MVN,628.649,640.733,12.08,HUN,1,110,47,12,59,24.4,210.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_068,MVN,TN,640.733,648.228,7.5,HUN,1,110,59,18,77,18.7,275.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
