signal_id,signal_type,section_id,equivalent_km
SIG_SEC_024_0091,Home,SEC_024,110.378
SIG_SEC_025_0092,Distant,SEC_025,110.378
SIG_SEC_025_0093,Point Machine,SEC_025,117.26
SIG_SEC_025_0094,Starter,SEC_025,118.727
SIG_SEC_025_0095,Starter,SEC_025,121.852
SIG_SEC_026_0096,Axle Counter,SEC_026,121.852
SIG_SEC_026_0097,Point Machine,SEC_026,131.32
SIG_SEC_027_0098,Starter,SEC_027,131.32
SIG_SEC_027_0099,Home,SEC_027,134.196
SIG_SEC_027_0100,Distant,SEC_027,135.362
SIG_SEC_027_0101,Home,SEC_027,140.03
SIG_SEC_028_0102,Distant,SEC_028,140.03
SIG_SEC_028_0103,Starter,SEC_028,146.518
SIG_SEC_029_0104,Point Machine,SEC_029,146.518
SIG_SEC_029_0105,Axle Counter,SEC_029,147.348
SIG_SEC_029_0106,Distant,SEC_029,148.637
SIG_SEC_029_0107,Distant,SEC_029,150.904
SIG_SEC_029_0108,Axle Counter,SEC_029,153.125
SIG_SEC_030_0109,Distant,SEC_030,153.125
SIG_SEC_030_0110,Axle Counter,SEC_030,156.524
SIG_SEC_030_0111,Point Machine,SEC_030,162.847
SIG_SEC_031_0112,Starter,SEC_031,162.847
SIG_SEC_031_0113,Axle Counter,SEC_031,171.29
SIG_SEC_032_0114,Distant,SEC_032,171.29
SIG_SEC_032_0115,Axle Counter,SEC_032,179.578
SIG_SEC_033_0116,Distant,SEC_033,179.578
SIG_SEC_033_0117,Starter,SEC_033,208.649
SIG_SEC_034_0118,Point Machine,SEC_034,208.649
SIG_SEC_034_0119,Axle Counter,SEC_034,209.6
SIG_SEC_034_0120,Distant,SEC_034,214.488
SIG_SEC_034_0121,Point Machine,SEC_034,217.928
SIG_SEC_034_0122,Starter,SEC_034,222.364
SIG_SEC_035_0123,Starter,SEC_035,222.364
SIG_SEC_035_0124,Point Machine,SEC_035,231.225
SIG_SEC_036_0125,Axle Counter,SEC_036,231.225
SIG_SEC_036_0126,Axle Counter,SEC_036,239.427
SIG_SEC_036_0127,Axle Counter,SEC_036,241.073
SIG_SEC_037_0128,Home,SEC_037,241.073
SIG_SEC_037_0129,Distant,SEC_037,241.266
SIG_SEC_037_0130,Starter,SEC_037,242.681
SIG_SEC_037_0131,Point Machine,SEC_037,244.317
SIG_SEC_038_0132,Point Machine,SEC_038,244.317
SIG_SEC_038_0133,Home,SEC_038,245.428
SIG_SEC_038_0134,Axle Counter,SEC_038,250.437
SIG_SEC_039_0135,Home,SEC_039,250.437
SIG_SEC_039_0136,Home,SEC_039,254.25
SIG_SEC_039_0137,Distant,SEC_039,257.948
SIG_SEC_039_0138,Home,SEC_039,258.852
SIG_SEC_040_0139,Axle Counter,SEC_040,258.852
SIG_SEC_040_0140,Home,SEC_040,267.032
SIG_SEC_040_0141,Distant,SEC_040,267.341
SIG_SEC_041_0142,Starter,SEC_041,267.341
SIG_SEC_041_0143,Distant,SEC_041,275.015
SIG_SEC_041_0144,Distant,SEC_041,275.909
SIG_SEC_042_0145,Distant,SEC_042,275.909
SIG_SEC_042_0146,Distant,SEC_042,277.539
SIG_SEC_042_0147,Axle Counter,SEC_042,279.781
SIG_SEC_042_0148,Starter,SEC_042,282.838
SIG_SEC_043_0149,Home,SEC_043,282.838
SIG_SEC_043_0150,Home,SEC_043,291.726
SIG_SEC_044_0151,Home,SEC_044,291.726
SIG_SEC_044_0152,Axle Counter,SEC_044,292.992
SIG_SEC_044_0153,Home,SEC_044,293.484
SIG_SEC_044_0154,Home,SEC_044,300.65
SIG_SEC_045_0155,Home,SEC_045,300.65
SIG_SEC_045_0156,Starter,SEC_045,305.296
SIG_SEC_046_0157,Starter,SEC_046,305.296
SIG_SEC_046_0158,Distant,SEC_046,313.75
SIG_SEC_047_0159,Distant,SEC_047,313.75
SIG_SEC_047_0160,Axle Counter,SEC_047,314.434
SIG_SEC_047_0161,Starter,SEC_047,317.159
SIG_SEC_047_0162,Starter,SEC_047,318.317
SIG_SEC_047_0163,Axle Counter,SEC_047,318.922
SIG_SEC_048_0164,Starter,SEC_048,318.922
SIG_SEC_048_0165,Point Machine,SEC_048,319.33
SIG_SEC_048_0166,Home,SEC_048,323.586
SIG_SEC_048_0167,Point Machine,SEC_048,325.209
SIG_SEC_049_0168,Distant,SEC_049,325.209
SIG_SEC_049_0169,Axle Counter,SEC_049,330.663
SIG_SEC_049_0170,Home,SEC_049,332.857
SIG_SEC_050_0171,Starter,SEC_050,333.544
SIG_SEC_050_0172,Distant,SEC_050,334.231
SIG_SEC_050_0173,Point Machine,SEC_050,334.919
SIG_SEC_050_0174,Home,SEC_050,335.606
SIG_SEC_051_0175,Starter,SEC_051,337.291
SIG_SEC_051_0176,Distant,SEC_051,338.29
SIG_SEC_051_0177,Point Machine,SEC_051,339.288
SIG_SEC_051_0178,Home,SEC_051,340.287
SIG_SEC_052_0179,Starter,SEC_052,341.704
SIG_SEC_052_0180,Distant,SEC_052,342.123
SIG_SEC_052_0181,Point Machine,SEC_052,342.542
SIG_SEC_052_0182,Home,SEC_052,342.961
SIG_SEC_053_0183,Starter,SEC_053,344.158
SIG_SEC_053_0184,Distant,SEC_053,344.936
SIG_SEC_053_0185,Point Machine,SEC_053,345.715
SIG_SEC_053_0186,Home,SEC_053,346.493
SIG_SEC_054_0187,Starter,SEC_054,349.466
SIG_SEC_054_0188,Distant,SEC_054,351.661
SIG_SEC_054_0189,Point Machine,SEC_054,353.857
SIG_SEC_054_0190,Home,SEC_054,356.052
SIG_SEC_055_0191,Starter,SEC_055,360.146
SIG_SEC_055_0192,Distant,SEC_055,362.045
SIG_SEC_055_0193,Point Machine,SEC_055,363.945
SIG_SEC_055_0194,Home,SEC_055,365.844
SIG_SEC_056_0195,Starter,SEC_056,371.3
SIG_SEC_056_0196,Distant,SEC_056,374.856
SIG_SEC_056_0197,Point Machine,SEC_056,378.413
SIG_SEC_056_0198,Home,SEC_056,381.969
SIG_SEC_057_0199,Starter,SEC_057,386.978
SIG_SEC_057_0200,Distant,SEC_057,388.43
SIG_SEC_057_0201,Point Machine,SEC_057,389.883
SIG_SEC_057_0202,Home,SEC_057,391.335
SIG_SEC_058_0203,Starter,SEC_058,394.148
SIG_SEC_058_0204,Distant,SEC_058,395.509
SIG_SEC_058_0205,Point Machine,SEC_058,396.871
SIG_SEC_058_0206,Home,SEC_058,398.232
SIG_SEC_059_0207,Starter,SEC_059,401.243
SIG_SEC_059_0208,Distant,SEC_059,402.893
SIG_SEC_059_0209,Point Machine,SEC_059,404.544
SIG_SEC_059_0210,Home,SEC_059,406.194
SIG_SEC_060_0211,Starter,SEC_060,410.216
SIG_SEC_060_0212,Distant,SEC_060,412.587
SIG_SEC_060_0213,Point Machine,SEC_060,414.959
SIG_SEC_060_0214,Home,SEC_060,417.33
SIG_SEC_061_0215,Starter,SEC_061,421.372
SIG_SEC_061_0216,Distant,SEC_061,423.041
SIG_SEC_061_0217,Point Machine,SEC_061,424.711
SIG_SEC_061_0218,Home,SEC_061,426.38
SIG_SEC_062_0219,Starter,SEC_062,438.949
SIG_SEC_062_0220,Distant,SEC_062,449.848
SIG_SEC_062_0221,Point Machine,SEC_062,460.746
SIG_SEC_062_0222,Home,SEC_062,471.645
SIG_SEC_063_0223,Starter,SEC_063,483.276
SIG_SEC_063_0224,Distant,SEC_063,484.008
SIG_SEC_063_0225,Point Machine,SEC_063,484.741
SIG_SEC_063_0226,Home,SEC_063,485.473
SIG_SEC_064_0227,Starter,SEC_064,491.116
SIG_SEC_064_0228,Distant,SEC_064,496.027
SIG_SEC_064_0229,Point Machine,SEC_064,500.939
SIG_SEC_064_0230,Home,SEC_064,505.85
SIG_SEC_065_0231,Starter,SEC_065,518.743
SIG_SEC_065_0232,Distant,SEC_065,526.724
SIG_SEC_065_0233,Point Machine,SEC_065,534.706
SIG_SEC_065_0234,Home,SEC_065,542.687
SIG_SEC_066_0235,Starter,SEC_066,566.265
SIG_SEC_066_0236,Distant,SEC_066,581.861
SIG_SEC_066_0237,Point Machine,SEC_066,597.457
SIG_SEC_066_0238,Home,SEC_066,613.053
SIG_SEC_067_0239,Starter,SEC_067,631.066
SIG_SEC_067_0240,Distant,SEC_067,633.483
SIG_SEC_067_0241,Point Machine,SEC_067,635.899
SIG_SEC_067_0242,Home,SEC_067,638.316
SIG_SEC_068_0243,Starter,SEC_068,642.232
SIG_SEC_068_0244,Distant,SEC_068,643.731
SIG_SEC_068_0245,Point Machine,SEC_068,645.23
SIG_SEC_068_0246,Home,SEC_068,646.729
