segment_id,section_id,start_km,end_km,latitude_start,longitude_start,latitude_end,longitude_end
SEG_00091,SEC_024,94.739,94.88,27.606913,78.701801,27.60518,78.703916
SEG_00092,SEC_024,94.88,95.19,27.60518,78.703916,27.601371,78.708566
SEG_00093,SEC_025,95.19,97.614,27.601371,78.708566,27.574975,78.746451
SEG_00094,SEC_025,97.614,110.808,27.574975,78.746451,27.4313,78.952659
SEG_00095,SEC_026,110.808,113.754,27.4313,78.952659,27.398773,78.998839
SEG_00096,SEC_026,113.754,114.94,27.398773,78.998839,27.385678,79.017429
SEG_00097,SEC_026,114.94,121.643,27.385678,79.017429,27.31167,79.122501
SEG_00098,SEC_026,121.643,122.02,27.31167,79.122501,27.307507,79.128411
SEG_00099,SEC_026,122.02,126.07,27.307507,79.128411,27.262791,79.191896
SEG_00100,SEC_027,126.07,126.202,27.262791,79.191896,27.261309,79.193992
SEG_00101,SEC_027,126.202,127.547,27.261309,79.193992,27.246207,79.215348
SEG_00102,SEC_027,127.547,127.558,27.246207,79.215348,27.246084,79.215523
SEG_00103,SEC_027,127.558,128.485,27.246084,79.215523,27.235675,79.230242
SEG_00104,SEC_028,128.485,128.703,27.235675,79.230242,27.233299,79.233707
SEG_00105,SEC_028,128.703,129.375,27.233299,79.233707,27.225973,79.24439
SEG_00106,SEC_028,129.375,132.131,27.225973,79.24439,27.195929,79.2882
SEG_00107,SEC_028,132.131,133.028,27.195929,79.2882,27.186151,79.302459
SEG_00108,SEC_028,133.028,133.623,27.186151,79.302459,27.179665,79.311917
SEG_00109,SEC_029,133.623,134.104,27.179665,79.311917,27.174445,79.319035
SEG_00110,SEC_029,134.104,136.192,27.174445,79.319035,27.151784,79.349932
SEG_00111,SEC_029,136.192,136.244,27.151784,79.349932,27.15122,79.350701
SEG_00112,SEC_030,136.244,137.544,27.15122,79.350701,27.138302,79.371672
SEG_00113,SEC_030,137.544,139.079,27.138302,79.371672,27.123048,79.396434
SEG_00114,SEC_031,139.079,139.162,27.123048,79.396434,27.121712,79.397659
SEG_00115,SEC_031,139.162,139.407,27.121712,79.397659,27.11777,79.401274
SEG_00116,SEC_031,139.407,139.444,27.11777,79.401274,27.117174,79.40182
SEG_00117,SEC_031,139.444,139.652,27.117174,79.40182,27.113827,79.404889
SEG_00118,SEC_032,139.652,142.307,27.113827,79.404889,27.085271,79.446495
SEG_00119,SEC_032,142.307,144.745,27.085271,79.446495,27.059048,79.4847
SEG_00120,SEC_032,144.745,145.818,27.059048,79.4847,27.047508,79.501515
SEG_00121,SEC_032,145.818,147.987,27.047508,79.501515,27.024179,79.535505
SEG_00122,SEC_032,147.987,148.463,27.024179,79.535505,27.019059,79.542964
SEG_00123,SEC_033,148.463,148.855,27.019059,79.542964,27.01451,79.549298
SEG_00124,SEC_033,148.855,150.944,27.01451,79.549298,26.99027,79.58305
SEG_00125,SEC_033,150.944,151.101,26.99027,79.58305,26.988448,79.585587
SEG_00126,SEC_034,151.101,151.345,26.988448,79.585587,26.986517,79.589219
SEG_00127,SEC_034,151.345,151.388,26.986517,79.589219,26.986177,79.589859
SEG_00128,SEC_034,151.388,151.409,26.986177,79.589859,26.986011,79.590171
SEG_00129,SEC_034,151.409,151.706,26.986011,79.590171,26.983661,79.594592
SEG_00130,SEC_035,151.706,152.046,26.983661,79.594592,26.979867,79.600021
SEG_00131,SEC_035,152.046,154.243,26.979867,79.600021,26.95535,79.635103
SEG_00132,SEC_036,154.243,154.487,26.95535,79.635103,26.952529,79.638507
SEG_00133,SEC_036,154.487,155.12,26.952529,79.638507,26.94521,79.647339
SEG_00134,SEC_037,155.12,155.771,26.94521,79.647339,26.938135,79.657297
SEG_00135,SEC_037,155.771,156.641,26.938135,79.657297,26.92868,79.670606
SEG_00136,SEC_038,156.641,158.903,26.92868,79.670606,26.903549,79.706301
SEG_00137,SEC_038,158.903,158.99,26.903549,79.706301,26.902583,79.707674
SEG_00138,SEC_038,158.99,160.343,26.902583,79.707674,26.887551,79.729025
SEG_00139,SEC_039,160.343,161.119,26.887551,79.729025,26.879298,79.741273
SEG_00140,SEC_039,161.119,161.473,26.879298,79.741273,26.875533,79.746861
SEG_00141,SEC_039,161.473,161.8,26.875533,79.746861,26.872056,79.752022
SEG_00142,SEC_039,161.8,162.44,26.872056,79.752022,26.865249,79.762124
SEG_00143,SEC_039,162.44,163.907,26.865249,79.762124,26.849648,79.785279
SEG_00144,SEC_040,163.907,163.942,26.849648,79.785279,26.849232,79.785824
SEG_00145,SEC_040,163.942,164.31,26.849232,79.785824,26.844861,79.791559
SEG_00146,SEC_040,164.31,164.871,26.844861,79.791559,26.838197,79.800302
SEG_00147,SEC_041,164.871,165.078,26.838197,79.800302,26.835757,79.803257
SEG_00148,SEC_041,165.078,165.395,26.835757,79.803257,26.832021,79.807783
SEG_00149,SEC_041,165.395,165.787,26.832021,79.807783,26.827401,79.81338
SEG_00150,SEC_042,165.787,165.834,26.827401,79.81338,26.826857,79.814781
SEG_00151,SEC_042,165.834,165.845,26.826857,79.814781,26.82673,79.815109
SEG_00152,SEC_042,165.845,165.87,26.82673,79.815109,26.826441,79.815854
SEG_00153,SEC_043,165.87,167.493,26.826441,79.815854,26.809138,79.841302
SEG_00154,SEC_043,167.493,169.218,26.809138,79.841302,26.790747,79.86835
SEG_00155,SEC_043,169.218,169.911,26.790747,79.86835,26.783359,79.879216
SEG_00156,SEC_043,169.911,171.002,26.783359,79.879216,26.771727,79.896323
SEG_00157,SEC_044,171.002,173.951,26.771727,79.896323,26.74006,79.943471
SEG_00158,SEC_044,173.951,174.756,26.74006,79.943471,26.731415,79.956341
SEG_00159,SEC_044,174.756,175.281,26.731415,79.956341,26.725778,79.964735
SEG_00160,SEC_044,175.281,177.838,26.725778,79.964735,26.69832,80.005616
SEG_00161,SEC_045,177.838,181.253,26.69832,80.005616,26.660219,80.058743
SEG_00162,SEC_045,181.253,182.745,26.660219,80.058743,26.643572,80.081953
SEG_00163,SEC_045,182.745,183.742,26.643572,80.081953,26.632449,80.097463
SEG_00164,SEC_045,183.742,184.499,26.632449,80.097463,26.624003,80.10924
SEG_00165,SEC_046,184.499,188.562,26.624003,80.10924,26.579397,80.171463
SEG_00166,SEC_046,188.562,191.93,26.579397,80.171463,26.542421,80.223043
SEG_00167,SEC_046,191.93,192.567,26.542421,80.223043,26.535428,80.232798
SEG_00168,SEC_047,192.567,192.765,26.535428,80.232798,26.533388,80.236075
SEG_00169,SEC_047,192.765,193.072,26.533388,80.236075,26.530225,80.241156
SEG_00170,SEC_047,193.072,193.095,26.530225,80.241156,26.529988,80.241536
SEG_00171,SEC_047,193.095,193.198,26.529988,80.241536,26.528927,80.243241
SEG_00172,SEC_048,193.198,193.268,26.528927,80.243241,26.528234,80.244252
SEG_00173,SEC_048,193.268,193.311,26.528234,80.244252,26.527809,80.244874
SEG_00174,SEC_048,193.311,193.68,26.527809,80.244874,26.524156,80.250205
SEG_00175,SEC_048,193.68,194.173,26.524156,80.250205,26.519277,80.257327
SEG_00176,SEC_049,194.173,194.497,26.519277,80.257327,26.515671,80.262447
SEG_00177,SEC_049,194.497,195.181,26.515671,80.262447,26.508057,80.273256
SEG_00178,SEC_049,195.181,195.808,26.508057,80.273256,26.501078,80.283164
SEG_00179,SEC_049,195.808,196.12,26.501078,80.283164,26.497606,80.288095
SEG_00180,SEC_049,196.12,200.0,26.497606,80.288095,26.454419,80.349409
