event_id,event_type,section_id,detected_at,affected_block_id,impact_description,severity,latitude,longitude,corridor_id,source_type,source
RB-DIS-000027,Emergency Defect,SEC_068,2024-06-06 16:23:00,SLOT_013802,Emergency rail/OHE defect detected requiring urgent track access in SEC_020,Medium,8.811275,78.092155,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000028,Late Train,SEC_044,2024-01-12 20:49:00,,Late express train delay cascading in section SEC_041 (Severity Low),Low,11.001996,78.983178,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000029,Emergency Defect,SEC_023,2024-09-03 13:45:00,SLOT_040801,Emergency rail/OHE defect detected requiring urgent track access in SEC_027,Medium,12.336934,79.752656,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000030,Late Train,SEC_058,2024-03-14 18:41:00,SLOT_014495,Late express train delay cascading in section SEC_022 (Severity High),High,10.560479,78.340298,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000031,Late Train,SEC_055,2024-09-27 07:21:00,,Late express train delay cascading in section SEC_023 (Severity Low),Low,10.744054,78.613919,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000032,Emergency Defect,SEC_035,2024-04-10 08:14:00,SLOT_028317,Emergency rail/OHE defect detected requiring urgent track access in SEC_012,Low,11.519412,79.306195,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000033,Late Train,SEC_050,2024-09-04 06:35:00,SLOT_022961,Late express train delay cascading in section SEC_005 (Severity Low),Low,10.851153,78.697595,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000034,Late Train,SEC_001,2024-03-02 12:43:00,SLOT_034969,Late express train delay cascading in section SEC_028 (Severity Medium),Medium,13.073827,80.257948,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000035,Late Train,SEC_024,2024-08-14 15:00:00,SLOT_015691,Late express train delay cascading in section SEC_044 (Severity Medium),Medium,12.331016,79.746767,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000036,Machine Breakdown,SEC_042,2024-02-13 07:13:00,SLOT_007349,Tamping/BCM machine breakdown during block operation in SEC_004,High,11.129605,79.057021,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000037,Late Train,SEC_064,2024-04-18 20:31:00,,Late express train delay cascading in section SEC_043 (Severity Low),Low,9.88496,78.071691,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000038,Emergency Defect,SEC_007,2024-10-06 07:00:00,SLOT_014507,Emergency rail/OHE defect detected requiring urgent track access in SEC_041,Low,12.976798,80.161887,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000039,Machine Breakdown,SEC_006,2024-04-08 16:00:00,SLOT_026708,Tamping/BCM machine breakdown during block operation in SEC_014,Low,12.983508,80.172481,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000040,Emergency Defect,SEC_010,2024-06-02 20:33:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_031,Low,12.933768,80.12705,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000041,Late Train,SEC_037,2024-06-07 14:24:00,SLOT_020734,Late express train delay cascading in section SEC_009 (Severity Medium),Medium,11.382627,79.220061,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000042,Emergency Defect,SEC_012,2024-04-03 00:38:00,SLOT_015517,Emergency rail/OHE defect detected requiring urgent track access in SEC_038,High,12.898623,80.090157,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000043,Late Train,SEC_063,2024-07-30 00:11:00,,Late express train delay cascading in section SEC_035 (Severity Low),Low,9.922162,78.109734,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000044,Emergency Defect,SEC_019,2024-04-21 13:11:00,SLOT_018421,Emergency rail/OHE defect detected requiring urgent track access in SEC_018,Medium,12.566401,79.935641,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000045,Late Train,SEC_036,2024-07-12 09:47:00,SLOT_024212,Late express train delay cascading in section SEC_004 (Severity Low),Low,11.444564,79.252266,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000046,Emergency Defect,SEC_009,2024-10-17 06:59:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_048,High,12.948033,80.138312,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000047,Machine Breakdown,SEC_056,2024-10-02 18:12:00,SLOT_009240,Tamping/BCM machine breakdown during block operation in SEC_022,High,10.621004,78.437055,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000048,Late Train,SEC_022,2024-03-23 00:00:00,SLOT_023504,Late express train delay cascading in section SEC_044 (Severity High),High,12.384024,79.796905,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000049,Late Train,SEC_031,2024-09-08 06:12:00,,Late express train delay cascading in section SEC_034 (Severity Low),Low,11.927489,79.48484,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000050,Late Train,SEC_049,2024-10-05 19:34:00,,Late express train delay cascading in section SEC_039 (Severity Low),Low,10.861352,78.711205,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000051,Emergency Defect,SEC_025,2024-07-24 02:04:00,SLOT_010750,Emergency rail/OHE defect detected requiring urgent track access in SEC_038,Low,12.293076,79.710074,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000052,Late Train,SEC_034,2024-09-24 14:53:00,SLOT_040942,Late express train delay cascading in section SEC_010 (Severity Low),Low,11.578514,79.315983,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000053,Emergency Defect,SEC_035,2024-06-02 00:45:00,SLOT_002591,Emergency rail/OHE defect detected requiring urgent track access in SEC_018,Medium,11.495618,79.288548,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000054,Emergency Defect,SEC_006,2024-01-25 03:53:00,SLOT_035612,Emergency rail/OHE defect detected requiring urgent track access in SEC_023,High,12.981935,80.169029,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000055,Machine Breakdown,SEC_056,2024-07-29 04:44:00,SLOT_048366,Tamping/BCM machine breakdown during block operation in SEC_025,Medium,10.646089,78.471832,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000056,Late Train,SEC_058,2024-11-27 15:52:00,SLOT_002497,Late express train delay cascading in section SEC_003 (Severity Low),Low,10.551494,78.323635,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000057,Late Train,SEC_001,2024-06-25 12:26:00,,Late express train delay cascading in section SEC_027 (Severity Low),Low,13.062645,80.248513,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000058,Late Train,SEC_061,2024-07-25 22:33:00,,Late express train delay cascading in section SEC_008 (Severity Medium),Medium,10.466925,78.137069,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000059,Emergency Defect,SEC_015,2024-09-03 03:11:00,SLOT_021211,Emergency rail/OHE defect detected requiring urgent track access in SEC_037,Low,12.814646,80.033739,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000060,Late Train,SEC_029,2024-11-02 02:01:00,SLOT_020057,Late express train delay cascading in section SEC_034 (Severity Low),Low,12.006881,79.518812,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000061,Late Train,SEC_013,2024-06-28 02:33:00,SLOT_046918,Late express train delay cascading in section SEC_046 (Severity Low),Low,12.868935,80.072861,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000062,Late Train,SEC_053,2024-04-26 01:26:00,,Late express train delay cascading in section SEC_037 (Severity High),High,10.802701,78.690806,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000063,Emergency Defect,SEC_031,2024-08-18 13:30:00,SLOT_027990,Emergency rail/OHE defect detected requiring urgent track access in SEC_018,Low,11.906873,79.464077,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000064,Machine Breakdown,SEC_032,2024-09-09 15:58:00,SLOT_009885,Tamping/BCM machine breakdown during block operation in SEC_048,High,11.845315,79.41606,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000065,Late Train,SEC_034,2024-09-02 10:57:00,,Late express train delay cascading in section SEC_021 (Severity Low),Low,11.575926,79.316014,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000066,Late Train,SEC_039,2024-08-08 13:20:00,,Late express train delay cascading in section SEC_016 (Severity Medium),Medium,11.280671,79.183053,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000067,Late Train,SEC_064,2024-12-31 18:52:00,SLOT_044609,Late express train delay cascading in section SEC_045 (Severity Medium),Medium,9.914832,78.104965,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000068,Late Train,SEC_012,2024-04-08 22:46:00,,Late express train delay cascading in section SEC_019 (Severity High),High,12.900699,80.09169,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000069,Machine Breakdown,SEC_048,2024-04-25 11:20:00,SLOT_027484,Tamping/BCM machine breakdown during block operation in SEC_004,Low,10.875018,78.807275,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000070,Late Train,SEC_001,2024-11-07 13:08:00,SLOT_027937,Late express train delay cascading in section SEC_024 (Severity Low),Low,13.056857,80.24363,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000071,Emergency Defect,SEC_038,2024-03-07 00:01:00,SLOT_038420,Emergency rail/OHE defect detected requiring urgent track access in SEC_039,Low,11.338749,79.211297,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000072,Machine Breakdown,SEC_060,2024-10-24 14:01:00,,Tamping/BCM machine breakdown during block operation in SEC_010,Low,10.493222,78.175519,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000073,Emergency Defect,SEC_033,2024-03-31 05:36:00,SLOT_033993,Emergency rail/OHE defect detected requiring urgent track access in SEC_023,Low,11.710273,79.360006,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000074,Late Train,SEC_034,2024-09-02 04:25:00,SLOT_037171,Late express train delay cascading in section SEC_007 (Severity Medium),Medium,11.549821,79.316326,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000075,Emergency Defect,SEC_067,2024-11-08 17:00:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_034,Low,8.817088,78.06593,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000076,Late Train,SEC_010,2024-11-13 20:17:00,,Late express train delay cascading in section SEC_024 (Severity High),High,12.934587,80.127988,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000077,Late Train,SEC_022,2024-08-09 16:24:00,,Late express train delay cascading in section SEC_017 (Severity Medium),Medium,12.391938,79.803279,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000078,Machine Breakdown,SEC_060,2024-03-21 09:25:00,,Tamping/BCM machine breakdown during block operation in SEC_012,Medium,10.505538,78.204702,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000079,Late Train,SEC_008,2024-05-03 09:57:00,SLOT_009762,Late express train delay cascading in section SEC_028 (Severity Medium),Medium,12.96375,80.149345,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000080,Late Train,SEC_040,2024-09-16 00:04:00,,Late express train delay cascading in section SEC_033 (Severity Low),Low,11.236379,79.13531,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000081,Late Train,SEC_022,2024-08-21 10:10:00,,Late express train delay cascading in section SEC_047 (Severity Low),Low,12.40381,79.812841,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000082,Late Train,SEC_046,2024-04-15 13:15:00,SLOT_013335,Late express train delay cascading in section SEC_022 (Severity Low),Low,10.905356,78.868612,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000083,Emergency Defect,SEC_041,2024-07-28 06:13:00,SLOT_041595,Emergency rail/OHE defect detected requiring urgent track access in SEC_008,High,11.16288,79.075372,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000084,Emergency Defect,SEC_038,2024-12-09 08:21:00,SLOT_015589,Emergency rail/OHE defect detected requiring urgent track access in SEC_041,Low,11.355544,79.21556,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000085,Emergency Defect,SEC_047,2024-01-22 17:07:00,SLOT_024279,Emergency rail/OHE defect detected requiring urgent track access in SEC_031,Low,10.889025,78.841778,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000086,Late Train,SEC_059,2024-07-25 17:05:00,SLOT_045416,Late express train delay cascading in section SEC_035 (Severity Medium),Medium,10.525449,78.255331,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000087,Late Train,SEC_010,2024-07-21 18:39:00,SLOT_034533,Late express train delay cascading in section SEC_005 (Severity Low),Low,12.931879,80.124887,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000088,Late Train,SEC_060,2024-11-06 21:49:00,SLOT_034753,Late express train delay cascading in section SEC_016 (Severity High),High,10.503951,78.200943,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000089,Emergency Defect,SEC_008,2024-04-04 00:15:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_038,High,12.954416,80.142742,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000090,Emergency Defect,SEC_063,2024-03-06 04:45:00,SLOT_042920,Emergency rail/OHE defect detected requiring urgent track access in SEC_041,Low,9.928183,78.108614,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000091,Emergency Defect,SEC_027,2024-06-10 15:04:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_022,Medium,12.106806,79.555661,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000092,Machine Breakdown,SEC_016,2024-04-26 04:44:00,,Tamping/BCM machine breakdown during block operation in SEC_040,Low,12.799255,80.022899,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000093,Emergency Defect,SEC_005,2024-11-21 23:51:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_042,Low,12.986074,80.178069,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000094,Late Train,SEC_007,2024-10-06 20:31:00,SLOT_014304,Late express train delay cascading in section SEC_019 (Severity High),High,12.969925,80.154557,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000095,Emergency Defect,SEC_062,2024-05-23 09:08:00,SLOT_030606,Emergency rail/OHE defect detected requiring urgent track access in SEC_045,Low,10.306847,78.103288,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000096,Emergency Defect,SEC_045,2024-05-11 02:16:00,SLOT_034583,Emergency rail/OHE defect detected requiring urgent track access in SEC_015,High,10.95389,78.934388,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000097,Machine Breakdown,SEC_024,2024-01-05 06:51:00,,Tamping/BCM machine breakdown during block operation in SEC_012,High,12.314019,79.729933,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000098,Late Train,SEC_042,2024-02-02 08:57:00,SLOT_017808,Late express train delay cascading in section SEC_034 (Severity Medium),Medium,11.103406,79.041252,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000099,Emergency Defect,SEC_063,2024-07-22 19:10:00,SLOT_014642,Emergency rail/OHE defect detected requiring urgent track access in SEC_032,Low,9.937634,78.106855,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000100,Late Train,SEC_045,2024-08-28 17:45:00,SLOT_005169,Late express train delay cascading in section SEC_007 (Severity Low),Low,10.953492,78.933905,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000101,Emergency Defect,SEC_067,2024-10-17 21:14:00,SLOT_043766,Emergency rail/OHE defect detected requiring urgent track access in SEC_041,Low,8.82199,78.046304,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000102,Machine Breakdown,SEC_049,2024-02-10 15:25:00,,Tamping/BCM machine breakdown during block operation in SEC_010,Low,10.868866,78.742597,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000103,Machine Breakdown,SEC_020,2024-02-28 15:42:00,SLOT_013681,Tamping/BCM machine breakdown during block operation in SEC_040,Low,12.513776,79.899336,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000104,Late Train,SEC_055,2024-07-22 09:08:00,,Late express train delay cascading in section SEC_001 (Severity Low),Low,10.705326,78.554657,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000105,Late Train,SEC_048,2024-02-02 10:44:00,SLOT_044137,Late express train delay cascading in section SEC_040 (Severity Medium),Medium,10.87423,78.791517,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000106,Emergency Defect,SEC_032,2024-11-02 14:06:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_039,Low,11.870405,79.434714,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000107,Emergency Defect,SEC_032,2024-06-11 17:27:00,SLOT_042673,Emergency rail/OHE defect detected requiring urgent track access in SEC_039,Low,11.890434,79.449605,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000108,Machine Breakdown,SEC_044,2024-08-01 23:10:00,SLOT_049791,Tamping/BCM machine breakdown during block operation in SEC_033,Medium,11.019914,79.000069,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000109,Late Train,SEC_017,2024-10-12 12:56:00,SLOT_030883,Late express train delay cascading in section SEC_024 (Severity Low),Low,12.725819,79.990093,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000110,Machine Breakdown,SEC_035,2024-07-02 04:23:00,SLOT_032836,Tamping/BCM machine breakdown during block operation in SEC_035,Low,11.493224,79.286773,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000111,Emergency Defect,SEC_020,2024-01-27 03:44:00,SLOT_013895,Emergency rail/OHE defect detected requiring urgent track access in SEC_014,Low,12.518163,79.902252,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000112,Late Train,SEC_011,2024-03-24 11:03:00,SLOT_034089,Late express train delay cascading in section SEC_039 (Severity Low),Low,12.92016,80.111651,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000113,Late Train,SEC_021,2024-05-07 11:17:00,SLOT_029648,Late express train delay cascading in section SEC_028 (Severity Low),Low,12.461808,79.859204,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
