operational_event_id,event_timestamp,event_type,section_id,latitude,longitude,train_number,delay_minutes,subsequent_block_impact,corridor_id,source_type,source
RB-OPS-000015,2023-06-15 18:00:00,Precedence Crossing at Loop Line,SEC_052,10.817138,78.691498,20605,28,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000016,2023-06-16 21:00:00,Precedence Crossing at Loop Line,SEC_003,13.004962,80.209077,20605,35,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000017,2023-06-17 00:00:00,Unscheduled Halt at Home Signal,SEC_050,10.836483,78.701251,20605,35,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000018,2023-06-18 03:00:00,Speed Restriction Slowdown,SEC_001,13.063813,80.249499,12693,40,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000019,2023-06-19 06:00:00,Unscheduled Halt at Home Signal,SEC_033,11.711762,79.360609,20606,37,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000020,2023-06-20 09:00:00,Unscheduled Halt at Home Signal,SEC_026,12.175778,79.613265,16102,21,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000021,2023-06-21 12:00:00,Crew Changeover Delay,SEC_017,12.744374,79.995585,20605,50,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000022,2023-06-22 15:00:00,Precedence Crossing at Loop Line,SEC_057,10.584112,78.381103,20606,25,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000023,2023-06-23 18:00:00,Unscheduled Halt at Home Signal,SEC_037,11.375575,79.21966,16127,12,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000024,2023-06-24 21:00:00,Crew Changeover Delay,SEC_051,10.826929,78.693832,20605,51,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000025,2023-06-25 00:00:00,Precedence Crossing at Loop Line,SEC_007,12.971674,80.156422,20606,15,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000026,2023-06-26 03:00:00,Precedence Crossing at Loop Line,SEC_049,10.865503,78.72855,20605,35,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000027,2023-06-27 06:00:00,Unscheduled Halt at Home Signal,SEC_005,12.98569,80.177238,12694,8,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000028,2023-06-28 09:00:00,Crew Changeover Delay,SEC_056,10.677944,78.515994,16127,34,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000029,2023-06-29 12:00:00,Precedence Crossing at Loop Line,SEC_040,11.220079,79.107508,20606,42,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000030,2023-06-30 15:00:00,Precedence Crossing at Loop Line,SEC_053,10.804913,78.692253,16102,50,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000031,2023-07-01 18:00:00,Locomotive Power Inefficiency,SEC_050,10.848085,78.698359,20606,16,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000032,2023-07-02 21:00:00,Locomotive Power Inefficiency,SEC_067,8.825583,78.031918,16127,45,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000033,2023-07-03 00:00:00,Speed Restriction Slowdown,SEC_034,11.563928,79.316158,12693,24,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000034,2023-07-04 03:00:00,Crew Changeover Delay,SEC_020,12.511843,79.898052,12693,45,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000035,2023-07-05 06:00:00,Crew Changeover Delay,SEC_053,10.796237,78.686581,12694,8,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000036,2023-07-06 09:00:00,Speed Restriction Slowdown,SEC_046,10.936752,78.912974,20605,10,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000037,2023-07-07 12:00:00,Unscheduled Halt at Home Signal,SEC_001,13.072143,80.256527,16101,12,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000038,2023-07-08 15:00:00,Speed Restriction Slowdown,SEC_062,9.976274,78.10501,20606,26,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000039,2023-07-09 18:00:00,Precedence Crossing at Loop Line,SEC_048,10.874753,78.801975,12693,52,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000040,2023-07-10 21:00:00,Unscheduled Halt at Home Signal,SEC_007,12.972703,80.15752,16128,38,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000041,2023-07-11 00:00:00,Crew Changeover Delay,SEC_027,12.151229,79.594289,20605,29,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000042,2023-07-12 03:00:00,Locomotive Power Inefficiency,SEC_037,11.374092,79.219575,16102,12,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000043,2023-07-13 06:00:00,Precedence Crossing at Loop Line,SEC_023,12.360115,79.775909,20605,7,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000044,2023-07-14 09:00:00,Crew Changeover Delay,SEC_034,11.552928,79.316289,16101,33,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000045,2023-07-15 12:00:00,Crew Changeover Delay,SEC_007,12.972167,80.156948,20605,10,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000046,2023-07-16 15:00:00,Precedence Crossing at Loop Line,SEC_029,12.009644,79.520521,16102,22,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000047,2023-07-17 18:00:00,Speed Restriction Slowdown,SEC_064,9.894847,78.082704,16127,14,SEVERE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000048,2023-07-18 21:00:00,Unscheduled Halt at Home Signal,SEC_013,12.874051,80.075594,12693,50,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000049,2023-07-19 00:00:00,Precedence Crossing at Loop Line,SEC_005,12.985763,80.177396,12693,50,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000050,2023-07-20 03:00:00,Locomotive Power Inefficiency,SEC_063,9.932802,78.107754,16127,47,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000051,2023-07-21 06:00:00,Unscheduled Halt at Home Signal,SEC_050,10.840779,78.70018,12693,43,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000052,2023-07-22 09:00:00,Precedence Crossing at Loop Line,SEC_057,10.593526,78.396102,16102,53,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000053,2023-07-23 12:00:00,Speed Restriction Slowdown,SEC_039,11.270721,79.176978,20606,32,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000054,2023-07-24 15:00:00,Precedence Crossing at Loop Line,SEC_051,10.827313,78.695322,16127,23,SEVERE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000055,2023-07-25 18:00:00,Locomotive Power Inefficiency,SEC_027,12.134077,79.579375,16128,46,SEVERE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000056,2023-07-26 21:00:00,Speed Restriction Slowdown,SEC_059,10.539831,78.298048,16102,38,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000057,2023-07-27 00:00:00,Speed Restriction Slowdown,SEC_030,11.96471,79.504494,16128,47,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000058,2023-07-28 03:00:00,Unscheduled Halt at Home Signal,SEC_033,11.726298,79.366495,20605,23,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000059,2023-07-29 06:00:00,Unscheduled Halt at Home Signal,SEC_033,11.717266,79.362838,12693,50,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000060,2023-07-30 09:00:00,Precedence Crossing at Loop Line,SEC_016,12.783429,80.013523,12694,26,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000061,2023-07-31 12:00:00,Speed Restriction Slowdown,SEC_016,12.767102,80.003848,20605,19,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000062,2023-08-01 15:00:00,Locomotive Power Inefficiency,SEC_045,10.9441,78.922485,20606,49,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000063,2023-08-02 18:00:00,Locomotive Power Inefficiency,SEC_025,12.256915,79.676952,12693,32,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000064,2023-08-03 21:00:00,Precedence Crossing at Loop Line,SEC_026,12.211526,79.63889,12694,36,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000065,2023-08-04 00:00:00,Speed Restriction Slowdown,SEC_049,10.86531,78.727743,12694,17,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000066,2023-08-05 03:00:00,Speed Restriction Slowdown,SEC_066,9.278365,78.074722,16101,14,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000067,2023-08-06 06:00:00,Unscheduled Halt at Home Signal,SEC_064,9.917288,78.1077,20605,12,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000068,2023-08-07 09:00:00,Speed Restriction Slowdown,SEC_035,11.518708,79.305674,20606,12,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000069,2023-08-08 12:00:00,Crew Changeover Delay,SEC_068,8.808257,78.128357,20605,24,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000070,2023-08-09 15:00:00,Crew Changeover Delay,SEC_006,12.98073,80.166383,20605,35,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000071,2023-08-10 18:00:00,Precedence Crossing at Loop Line,SEC_006,12.983571,80.172619,16102,14,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000072,2023-08-11 21:00:00,Crew Changeover Delay,SEC_025,12.267223,79.686393,16128,20,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000073,2023-08-12 00:00:00,Locomotive Power Inefficiency,SEC_016,12.780723,80.011919,12693,47,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000074,2023-08-13 03:00:00,Precedence Crossing at Loop Line,SEC_052,10.817816,78.691304,16128,44,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000075,2023-08-14 06:00:00,Locomotive Power Inefficiency,SEC_039,11.275374,79.179819,16102,13,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000076,2023-08-15 09:00:00,Speed Restriction Slowdown,SEC_034,11.572906,79.31605,20605,27,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000077,2023-08-16 12:00:00,Precedence Crossing at Loop Line,SEC_028,12.073121,79.547294,16101,5,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000078,2023-08-17 15:00:00,Precedence Crossing at Loop Line,SEC_061,10.441703,78.108227,16127,11,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000079,2023-08-18 18:00:00,Precedence Crossing at Loop Line,SEC_039,11.281591,79.183614,16101,8,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000080,2023-08-19 21:00:00,Locomotive Power Inefficiency,SEC_015,12.842551,80.055556,16102,36,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000081,2023-08-20 00:00:00,Crew Changeover Delay,SEC_030,11.964589,79.504466,12694,50,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000082,2023-08-21 03:00:00,Locomotive Power Inefficiency,SEC_061,10.451366,78.119278,12694,21,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000083,2023-08-22 06:00:00,Speed Restriction Slowdown,SEC_032,11.887565,79.447471,16128,5,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000084,2023-08-23 09:00:00,Speed Restriction Slowdown,SEC_034,11.548162,79.316346,12694,9,SEVERE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000085,2023-08-24 12:00:00,Speed Restriction Slowdown,SEC_067,8.826412,78.028597,12693,8,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000086,2023-08-25 15:00:00,Speed Restriction Slowdown,SEC_047,10.891841,78.847254,16102,42,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000087,2023-08-26 18:00:00,Crew Changeover Delay,SEC_004,12.993627,80.196219,16101,40,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000088,2023-08-27 21:00:00,Unscheduled Halt at Home Signal,SEC_042,11.131995,79.058459,16127,42,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000089,2023-08-28 00:00:00,Locomotive Power Inefficiency,SEC_009,12.951127,80.140438,16102,10,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000090,2023-08-29 03:00:00,Locomotive Power Inefficiency,SEC_066,8.957358,78.038016,16127,43,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000091,2023-08-30 06:00:00,Unscheduled Halt at Home Signal,SEC_035,11.474375,79.272792,16102,29,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000092,2023-08-31 09:00:00,Precedence Crossing at Loop Line,SEC_051,10.826978,78.694025,20605,18,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000093,2023-09-01 12:00:00,Precedence Crossing at Loop Line,SEC_028,12.064007,79.545777,12693,10,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000094,2023-09-02 15:00:00,Locomotive Power Inefficiency,SEC_054,10.758834,78.635192,16127,18,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000095,2023-09-03 18:00:00,Locomotive Power Inefficiency,SEC_060,10.492497,78.173799,16128,43,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000096,2023-09-04 21:00:00,Locomotive Power Inefficiency,SEC_023,12.363297,79.779102,12693,40,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000097,2023-09-05 00:00:00,Locomotive Power Inefficiency,SEC_032,11.854619,79.422978,16127,10,SEVERE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000098,2023-09-06 03:00:00,Unscheduled Halt at Home Signal,SEC_065,9.770907,78.076667,20606,49,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000099,2023-09-07 06:00:00,Precedence Crossing at Loop Line,SEC_016,12.770458,80.005837,12693,25,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000100,2023-09-08 09:00:00,Precedence Crossing at Loop Line,SEC_011,12.909934,80.100268,12694,7,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000101,2023-09-09 12:00:00,Precedence Crossing at Loop Line,SEC_042,11.104406,79.041854,12693,39,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000102,2023-09-10 15:00:00,Unscheduled Halt at Home Signal,SEC_024,12.325574,79.741377,20606,43,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000103,2023-09-11 18:00:00,Unscheduled Halt at Home Signal,SEC_037,11.376153,79.219693,16127,53,SEVERE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000104,2023-09-12 21:00:00,Unscheduled Halt at Home Signal,SEC_045,10.947817,78.927005,16101,36,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000105,2023-09-13 00:00:00,Precedence Crossing at Loop Line,SEC_005,12.9881,80.182451,12694,9,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000106,2023-09-14 03:00:00,Unscheduled Halt at Home Signal,SEC_026,12.187772,79.621863,20605,39,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000107,2023-09-15 06:00:00,Speed Restriction Slowdown,SEC_039,11.305168,79.19801,16101,30,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000108,2023-09-16 09:00:00,Locomotive Power Inefficiency,SEC_001,13.068867,80.253763,12693,5,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000109,2023-09-17 12:00:00,Precedence Crossing at Loop Line,SEC_041,11.183167,79.085149,12694,52,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000110,2023-09-18 15:00:00,Speed Restriction Slowdown,SEC_054,10.772371,78.654332,20606,7,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000111,2023-09-19 18:00:00,Unscheduled Halt at Home Signal,SEC_040,11.243284,79.147087,16102,52,SEVERE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000112,2023-09-20 21:00:00,Crew Changeover Delay,SEC_019,12.552887,79.926135,20606,7,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000113,2023-09-21 00:00:00,Crew Changeover Delay,SEC_006,12.980873,80.166698,16127,16,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000114,2023-09-22 03:00:00,Unscheduled Halt at Home Signal,SEC_010,12.930035,80.122777,16102,39,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000115,2023-09-23 06:00:00,Precedence Crossing at Loop Line,SEC_024,12.331647,79.747392,16102,9,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000116,2023-09-24 09:00:00,Speed Restriction Slowdown,SEC_001,13.059075,80.245501,16127,25,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000117,2023-09-25 12:00:00,Speed Restriction Slowdown,SEC_028,12.064688,79.545891,16127,28,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000118,2023-09-26 15:00:00,Unscheduled Halt at Home Signal,SEC_032,11.876786,79.439458,16102,33,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000119,2023-09-27 18:00:00,Crew Changeover Delay,SEC_051,10.827786,78.697152,16128,10,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000120,2023-09-28 21:00:00,Locomotive Power Inefficiency,SEC_060,10.51068,78.216887,20605,12,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000121,2023-09-29 00:00:00,Crew Changeover Delay,SEC_032,11.894621,79.452717,20605,12,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000122,2023-09-30 03:00:00,Crew Changeover Delay,SEC_024,12.325398,79.741203,12694,50,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000123,2023-10-01 06:00:00,Unscheduled Halt at Home Signal,SEC_034,11.597076,79.315762,16101,37,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000124,2023-10-02 09:00:00,Crew Changeover Delay,SEC_027,12.147231,79.590812,16102,14,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000125,2023-10-03 12:00:00,Speed Restriction Slowdown,SEC_059,10.525177,78.254524,20606,17,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000126,2023-10-04 15:00:00,Unscheduled Halt at Home Signal,SEC_022,12.3779,79.791973,16102,10,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000127,2023-10-05 18:00:00,Locomotive Power Inefficiency,SEC_059,10.536012,78.286704,12694,15,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000128,2023-10-06 21:00:00,Locomotive Power Inefficiency,SEC_050,10.831558,78.702478,20606,46,MODERATE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000129,2023-10-07 00:00:00,Unscheduled Halt at Home Signal,SEC_063,9.925804,78.109056,20605,42,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
