record_id,task_id,department,section_id,requested_window_minutes,granted_window_minutes,outcome,was_deferred
HIST_000170,TMS_TASK_001817,S&T,SEC_032,240,0,Not Completed,True
HIST_000171,TMS_TASK_008492,S&T,SEC_032,60,30,Partially Completed,True
HIST_000172,TMS_TASK_007204,S&T,SEC_039,90,30,Not Completed,True
HIST_000173,TDMS_TASK_006725,Engineering,SEC_011,180,180,Fully Completed,False
HIST_000174,TDMS_TASK_002789,TRD,SEC_008,60,30,Partially Completed,False
HIST_000175,TDMS_TASK_000742,TRD,SEC_029,240,120,Partially Completed,False
HIST_000176,SMMS_TASK_006951,S&T,SEC_048,60,45,Partially Completed,False
HIST_000177,TDMS_TASK_002365,S&T,SEC_039,300,120,Partially Completed,False
HIST_000178,TMS_TASK_012902,TRD,SEC_011,120,15,Not Completed,True
HIST_000179,TDMS_TASK_017050,S&T,SEC_020,180,180,Fully Completed,False
HIST_000180,SMMS_TASK_010084,Engineering,SEC_014,300,165,Partially Completed,True
HIST_000181,TDMS_TASK_020045,Engineering,SEC_039,180,105,Partially Completed,True
HIST_000182,TMS_TASK_012185,S&T,SEC_026,180,120,Partially Completed,False
HIST_000183,SMMS_TASK_009787,TRD,SEC_022,300,300,Fully Completed,False
HIST_000184,TDMS_TASK_000706,Engineering,SEC_001,240,15,Not Completed,True
HIST_000185,SMMS_TASK_009651,Engineering,SEC_032,120,120,Fully Completed,False
HIST_000186,SMMS_TASK_005693,TRD,SEC_022,120,90,Partially Completed,False
HIST_000187,TMS_TASK_013298,Engineering,SEC_002,180,60,Partially Completed,True
HIST_000188,SMMS_TASK_000482,S&T,SEC_010,90,90,Fully Completed,False
HIST_000189,TMS_TASK_019102,Engineering,SEC_036,60,30,Partially Completed,False
HIST_000190,TMS_TASK_024121,S&T,SEC_037,180,180,Fully Completed,False
HIST_000191,SMMS_TASK_024697,S&T,SEC_025,180,30,Not Completed,True
HIST_000192,SMMS_TASK_020423,Engineering,SEC_038,180,15,Not Completed,True
HIST_000193,SMMS_TASK_018576,Engineering,SEC_037,90,90,Fully Completed,False
HIST_000194,TMS_TASK_028946,S&T,SEC_031,60,30,Partially Completed,False
HIST_000195,TDMS_TASK_021776,Engineering,SEC_011,90,75,Partially Completed,True
HIST_000196,TMS_TASK_007012,S&T,SEC_021,180,0,Not Completed,True
HIST_000197,TMS_TASK_027408,TRD,SEC_041,60,30,Partially Completed,False
HIST_000198,TMS_TASK_009441,Engineering,SEC_016,180,90,Partially Completed,False
HIST_000199,TMS_TASK_027116,TRD,SEC_033,90,45,Partially Completed,False
HIST_000200,TDMS_TASK_021952,TRD,SEC_041,120,0,Not Completed,True
HIST_000201,TMS_TASK_029302,Engineering,SEC_027,300,30,Not Completed,True
HIST_000202,TDMS_TASK_017687,S&T,SEC_025,120,15,Not Completed,True
HIST_000203,SMMS_TASK_009606,S&T,SEC_010,120,120,Fully Completed,False
HIST_000204,TDMS_TASK_000977,S&T,SEC_025,240,30,Not Completed,True
HIST_000205,SMMS_TASK_006594,S&T,SEC_003,60,60,Fully Completed,False
HIST_000206,TMS_TASK_021270,S&T,SEC_006,120,15,Not Completed,True
HIST_000207,TDMS_TASK_006139,S&T,SEC_027,120,30,Not Completed,True
HIST_000208,TDMS_TASK_022535,TRD,SEC_011,90,60,Partially Completed,True
HIST_000209,TMS_TASK_021082,TRD,SEC_018,300,15,Not Completed,True
HIST_000210,TDMS_TASK_007301,Engineering,SEC_018,240,150,Partially Completed,False
HIST_000211,TMS_TASK_020892,Engineering,SEC_024,60,60,Fully Completed,False
HIST_000212,TDMS_TASK_002352,S&T,SEC_035,300,300,Fully Completed,False
HIST_000213,TDMS_TASK_008121,S&T,SEC_022,90,45,Partially Completed,True
HIST_000214,SMMS_TASK_005949,TRD,SEC_042,90,45,Partially Completed,True
HIST_000215,TDMS_TASK_003954,S&T,SEC_024,240,75,Partially Completed,False
HIST_000216,TMS_TASK_021780,Engineering,SEC_049,120,120,Fully Completed,False
HIST_000217,TMS_TASK_006341,TRD,SEC_049,60,15,Not Completed,True
HIST_000218,TMS_TASK_007712,TRD,SEC_021,60,30,Partially Completed,False
HIST_000219,SMMS_TASK_005762,Engineering,SEC_038,240,15,Not Completed,True
HIST_000220,TDMS_TASK_017209,TRD,SEC_023,120,120,Fully Completed,False
HIST_000221,TMS_TASK_010207,S&T,SEC_043,120,30,Not Completed,True
HIST_000222,SMMS_TASK_006463,Engineering,SEC_038,90,30,Not Completed,True
HIST_000223,TDMS_TASK_001323,Engineering,SEC_017,90,0,Not Completed,True
HIST_000224,TMS_TASK_016190,Engineering,SEC_016,240,0,Not Completed,True
HIST_000225,TDMS_TASK_002730,Engineering,SEC_044,120,75,Partially Completed,True
HIST_000226,TMS_TASK_024477,TRD,SEC_027,300,300,Fully Completed,False
HIST_000227,TDMS_TASK_009693,TRD,SEC_035,180,180,Fully Completed,False
HIST_000228,SMMS_TASK_016338,TRD,SEC_034,60,60,Fully Completed,False
HIST_000229,SMMS_TASK_013753,S&T,SEC_009,120,90,Partially Completed,False
HIST_000230,TMS_TASK_014142,Engineering,SEC_012,300,300,Fully Completed,False
HIST_000231,SMMS_TASK_007057,TRD,SEC_045,60,30,Not Completed,True
HIST_000232,TDMS_TASK_013530,TRD,SEC_014,90,90,Fully Completed,False
HIST_000233,TMS_TASK_001562,S&T,SEC_043,180,60,Partially Completed,False
HIST_000234,TDMS_TASK_005682,Engineering,SEC_018,90,90,Fully Completed,False
HIST_000235,SMMS_TASK_009421,TRD,SEC_042,180,120,Partially Completed,False
HIST_000236,TDMS_TASK_002558,S&T,SEC_029,300,240,Partially Completed,False
HIST_000237,SMMS_TASK_023064,S&T,SEC_005,240,240,Fully Completed,False
HIST_000238,SMMS_TASK_004568,TRD,SEC_014,120,15,Not Completed,True
HIST_000239,TMS_TASK_024694,Engineering,SEC_047,240,240,Fully Completed,False
HIST_000240,SMMS_TASK_020185,Engineering,SEC_011,60,45,Partially Completed,False
HIST_000241,TMS_TASK_011218,Engineering,SEC_012,240,15,Not Completed,True
HIST_000242,SMMS_TASK_016728,TRD,SEC_008,60,30,Partially Completed,False
HIST_000243,TMS_TASK_007576,Engineering,SEC_030,90,45,Partially Completed,False
HIST_000244,SMMS_TASK_021988,Engineering,SEC_040,120,120,Fully Completed,False
HIST_000245,SMMS_TASK_020300,Engineering,SEC_046,60,60,Fully Completed,False
HIST_000246,TMS_TASK_006756,S&T,SEC_044,300,300,Fully Completed,False
HIST_000247,TDMS_TASK_005600,TRD,SEC_044,180,75,Partially Completed,False
HIST_000248,SMMS_TASK_003265,TRD,SEC_045,60,15,Not Completed,True
HIST_000249,TDMS_TASK_007951,S&T,SEC_028,240,240,Fully Completed,False
HIST_000250,TMS_TASK_003330,Engineering,SEC_041,90,90,Fully Completed,False
HIST_000251,TMS_TASK_014357,S&T,SEC_032,240,0,Not Completed,True
HIST_000252,SMMS_TASK_009520,TRD,SEC_007,300,30,Not Completed,True
HIST_000253,TMS_TASK_015059,Engineering,SEC_002,60,30,Partially Completed,True
HIST_000254,TMS_TASK_026389,TRD,SEC_005,120,60,Partially Completed,False
HIST_000255,SMMS_TASK_022848,S&T,SEC_017,180,30,Not Completed,True
HIST_000256,TMS_TASK_011562,TRD,SEC_025,300,15,Not Completed,True
HIST_000257,SMMS_TASK_024217,Engineering,SEC_032,180,30,Not Completed,True
HIST_000258,TMS_TASK_008273,TRD,SEC_026,120,30,Not Completed,True
HIST_000259,TMS_TASK_014015,TRD,SEC_018,60,60,Fully Completed,False
HIST_000260,SMMS_TASK_017012,TRD,SEC_036,180,135,Partially Completed,False
HIST_000261,TDMS_TASK_008479,S&T,SEC_043,120,120,Fully Completed,False
HIST_000262,TMS_TASK_013648,Engineering,SEC_011,300,225,Partially Completed,False
HIST_000263,TMS_TASK_024000,S&T,SEC_013,180,90,Partially Completed,False
HIST_000264,TDMS_TASK_019010,S&T,SEC_046,300,300,Fully Completed,False
HIST_000265,TDMS_TASK_024175,S&T,SEC_048,180,90,Partially Completed,False
HIST_000266,SMMS_TASK_016485,S&T,SEC_016,60,60,Fully Completed,False
HIST_000267,SMMS_TASK_005764,S&T,SEC_025,60,60,Fully Completed,False
HIST_000268,TMS_TASK_027750,TRD,SEC_029,240,30,Not Completed,True
HIST_000269,SMMS_TASK_018997,S&T,SEC_032,90,60,Partially Completed,False
HIST_000270,SMMS_TASK_017274,TRD,SEC_043,120,0,Not Completed,True
HIST_000271,TMS_TASK_023581,Engineering,SEC_006,240,240,Fully Completed,False
HIST_000272,TMS_TASK_001825,Engineering,SEC_026,60,60,Fully Completed,False
HIST_000273,TMS_TASK_012120,TRD,SEC_011,60,60,Fully Completed,False
HIST_000274,TDMS_TASK_021685,TRD,SEC_037,60,45,Partially Completed,True
HIST_000275,SMMS_TASK_003453,TRD,SEC_030,90,60,Partially Completed,True
HIST_000276,SMMS_TASK_008585,S&T,SEC_037,180,75,Partially Completed,False
HIST_000277,SMMS_TASK_007369,S&T,SEC_045,120,75,Partially Completed,True
HIST_000278,TDMS_TASK_007619,S&T,SEC_039,60,60,Fully Completed,False
HIST_000279,TMS_TASK_005197,TRD,SEC_042,180,15,Not Completed,True
HIST_000280,TMS_TASK_006619,S&T,SEC_040,300,300,Fully Completed,False
HIST_000281,TMS_TASK_022068,TRD,SEC_031,90,90,Fully Completed,False
HIST_000282,SMMS_TASK_008933,S&T,SEC_020,90,75,Partially Completed,False
HIST_000283,SMMS_TASK_023690,Engineering,SEC_017,60,30,Partially Completed,True
HIST_000284,SMMS_TASK_009257,TRD,SEC_018,120,60,Partially Completed,True
HIST_000285,SMMS_TASK_005294,TRD,SEC_030,60,45,Partially Completed,False
HIST_000286,TDMS_TASK_020027,S&T,SEC_040,240,240,Fully Completed,False
HIST_000287,TMS_TASK_012882,TRD,SEC_018,180,120,Partially Completed,True
HIST_000288,SMMS_TASK_015739,TRD,SEC_029,180,120,Partially Completed,True
HIST_000289,SMMS_TASK_013380,Engineering,SEC_021,60,15,Partially Completed,True
HIST_000290,SMMS_TASK_007880,TRD,SEC_030,120,60,Partially Completed,False
HIST_000291,TDMS_TASK_009608,TRD,SEC_041,180,0,Not Completed,True
HIST_000292,TMS_TASK_021359,TRD,SEC_021,180,60,Partially Completed,True
HIST_000293,TDMS_TASK_021302,S&T,SEC_020,300,15,Not Completed,True
HIST_000294,TMS_TASK_026526,TRD,SEC_010,90,30,Not Completed,True
HIST_000295,SMMS_TASK_013601,TRD,SEC_025,300,210,Partially Completed,False
HIST_000296,SMMS_TASK_011654,TRD,SEC_023,120,90,Partially Completed,False
HIST_000297,TDMS_TASK_012983,Engineering,SEC_008,120,75,Partially Completed,False
HIST_000298,SMMS_TASK_005113,Engineering,SEC_048,300,300,Fully Completed,False
HIST_000299,TMS_TASK_022765,TRD,SEC_043,90,90,Fully Completed,False
HIST_000300,TMS_TASK_001729,S&T,SEC_015,240,240,Fully Completed,False
HIST_000301,TMS_TASK_029095,TRD,SEC_047,180,105,Partially Completed,True
HIST_000302,TDMS_TASK_011104,Engineering,SEC_014,120,45,Partially Completed,False
HIST_000303,TMS_TASK_000794,Engineering,SEC_021,90,60,Partially Completed,False
HIST_000304,TDMS_TASK_016693,S&T,SEC_007,300,225,Partially Completed,False
HIST_000305,SMMS_TASK_013427,S&T,SEC_030,240,30,Not Completed,True
HIST_000306,TMS_TASK_011220,TRD,SEC_024,300,300,Fully Completed,False
HIST_000307,TMS_TASK_024175,TRD,SEC_014,240,135,Partially Completed,True
HIST_000308,SMMS_TASK_014323,TRD,SEC_015,90,90,Fully Completed,False
HIST_000309,TMS_TASK_025256,S&T,SEC_046,300,300,Fully Completed,False
HIST_000310,TMS_TASK_008687,S&T,SEC_034,300,165,Partially Completed,False
HIST_000311,SMMS_TASK_023280,Engineering,SEC_008,240,240,Fully Completed,False
HIST_000312,SMMS_TASK_023780,TRD,SEC_007,120,120,Fully Completed,False
HIST_000313,TMS_TASK_009510,Engineering,SEC_004,180,60,Partially Completed,False
HIST_000314,TMS_TASK_022499,Engineering,SEC_013,300,225,Partially Completed,False
HIST_000315,TMS_TASK_019510,Engineering,SEC_037,120,0,Not Completed,True
HIST_000316,SMMS_TASK_022754,TRD,SEC_004,180,0,Not Completed,True
HIST_000317,TDMS_TASK_003424,Engineering,SEC_013,300,300,Fully Completed,False
HIST_000318,TDMS_TASK_003160,Engineering,SEC_003,60,60,Fully Completed,False
HIST_000319,TDMS_TASK_020101,TRD,SEC_032,180,75,Partially Completed,True
HIST_000320,TDMS_TASK_006492,Engineering,SEC_040,60,60,Fully Completed,False
HIST_000321,TMS_TASK_025655,S&T,SEC_026,300,210,Partially Completed,True
HIST_000322,TMS_TASK_008620,Engineering,SEC_045,120,30,Not Completed,True
HIST_000323,SMMS_TASK_019172,S&T,SEC_034,180,75,Partially Completed,False
HIST_000324,TDMS_TASK_018281,TRD,SEC_038,60,45,Partially Completed,False
HIST_000325,TDMS_TASK_023013,Engineering,SEC_016,60,30,Partially Completed,False
HIST_000326,TMS_TASK_018418,S&T,SEC_043,240,30,Not Completed,True
HIST_000327,TMS_TASK_018917,TRD,SEC_031,300,225,Partially Completed,False
HIST_000328,TMS_TASK_002994,S&T,SEC_005,90,30,Not Completed,True
HIST_000329,TMS_TASK_011301,TRD,SEC_005,180,120,Partially Completed,False
HIST_000330,SMMS_TASK_014389,S&T,SEC_045,60,60,Fully Completed,False
HIST_000331,SMMS_TASK_013745,Engineering,SEC_014,60,60,Fully Completed,False
HIST_000332,TMS_TASK_029674,Engineering,SEC_023,180,75,Partially Completed,True
HIST_000333,TMS_TASK_024797,S&T,SEC_038,90,90,Fully Completed,False
