task_id,department,section_id,location_reference_type,location_reference_id,start_km,end_km,defect_type,severity_class,logged_date,target_completion_date,deferred_count,status,overdue_days,required_resource_type,estimated_duration_minutes,gps_latitude,gps_longitude,mapped_chainage_km,spatial_mapping_method,spatial_mapping_confidence,spatial_mapping_status,spatial_error_estimate_km
SMMS_TASK_000011,S&T,SEC_024,SIGNAL,SIG_SEC_024_0090,,,Track Circuit Failure,A,2024-07-14,2024-07-17,0,Completed,167,S&T crew,60,27.611951,78.69565,94.329,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000012,S&T,SEC_048,SIGNAL,SIG_SEC_048_0166,,,Interlocking Fault,A,2024-06-04,2024-06-05,0,Open,209,S&T crew,150,26.521385,80.25425,193.96,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000013,S&T,SEC_036,SIGNAL,SIG_SEC_036_0126,,,Cable Fault,C,2024-02-24,2024-03-18,0,Open,288,S&T crew,120,26.950887,79.640489,154.629,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000014,S&T,SEC_037,SIGNAL,SIG_SEC_037_0130,,,Cable Fault,A,2024-06-26,2024-06-30,0,In-Progress,184,S&T crew,120,26.940863,79.653458,155.52,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000015,S&T,SEC_034,SIGNAL,SIG_SEC_034_0122,,,Point Machine Issue,A,2024-07-03,2024-07-05,0,Open,179,S&T crew,90,26.983922,79.594101,151.673,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000016,S&T,SEC_038,SIGNAL,SIG_SEC_038_0134,,,Axle Counter Error,B,2024-03-08,2024-03-20,0,Open,286,S&T crew,45,26.912737,79.693251,158.076,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000017,S&T,SEC_023,SIGNAL,SIG_SEC_023_0088,,,Track Circuit Failure,B,2024-08-10,2024-08-21,0,In-Progress,132,S&T crew,60,27.617123,78.688334,93.87,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000018,S&T,SEC_006,SIGNAL,SIG_SEC_006_0022,,,Point Machine Issue,A,2024-11-13,2024-11-18,0,Open,43,S&T crew,90,28.341684,77.650625,27.629,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000019,S&T,SEC_041,SIGNAL,SIG_SEC_041_0143,,,Track Circuit Failure,A,2024-02-01,2024-02-06,0,Open,329,S&T crew,60,26.830076,79.810139,165.56,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000020,S&T,SEC_020,SIGNAL,SIG_SEC_020_0077,,,Cable Fault,B,2024-01-30,2024-02-12,0,Open,323,S&T crew,120,27.6722,78.60618,88.568,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000021,S&T,SEC_023,SIGNAL,SIG_SEC_023_0086,,,Point Machine Issue,C,2024-07-26,2024-08-08,0,Completed,145,S&T crew,90,27.619278,78.682953,93.59,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000022,S&T,SEC_017,SIGNAL,SIG_SEC_017_0064,,,Interlocking Fault,A,2024-10-12,2024-10-15,0,Open,77,S&T crew,150,27.82462,78.391235,74.865,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000023,S&T,SEC_009,SIGNAL,SIG_SEC_009_0032,,,Point Machine Issue,B,2024-02-07,2024-02-15,1,In-Progress,320,S&T crew,90,28.184409,77.876189,41.894,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000024,S&T,SEC_046,SIGNAL,SIG_SEC_046_0158,,,Track Circuit Failure,A,2024-12-11,2024-12-12,0,Deferred,19,S&T crew,60,26.549151,80.213655,191.317,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000025,S&T,SEC_038,SIGNAL,SIG_SEC_038_0133,,,Axle Counter Error,B,2024-06-23,2024-06-28,0,Open,186,S&T crew,45,26.923658,79.677739,157.093,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000026,S&T,SEC_030,SIGNAL,SIG_SEC_030_0110,,,Track Circuit Failure,B,2024-02-08,2024-02-15,0,Deferred,320,S&T crew,60,27.136334,79.374866,137.742,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000027,S&T,SEC_018,SIGNAL,SIG_SEC_018_0069,,,Interlocking Fault,B,2024-06-12,2024-06-25,0,Open,189,S&T crew,150,27.732682,78.5215,83.178,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000028,S&T,SEC_040,SIGNAL,SIG_SEC_040_0140,,,Cable Fault,B,2024-06-07,2024-06-15,0,Open,199,S&T crew,120,26.844029,79.79265,164.38,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000029,S&T,SEC_025,SIGNAL,SIG_SEC_025_0093,,,Axle Counter Error,A,2024-05-22,2024-05-23,1,In-Progress,222,S&T crew,45,27.479562,78.883391,106.376,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000030,S&T,SEC_020,SIGNAL,SIG_SEC_020_0076,,,Axle Counter Error,A,2024-08-02,2024-08-04,0,Open,149,S&T crew,45,27.672514,78.605797,88.541,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000031,S&T,SEC_020,SIGNAL,SIG_SEC_020_0077,,,Axle Counter Error,B,2024-03-31,2024-04-14,0,Completed,261,S&T crew,45,27.6722,78.60618,88.568,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000032,S&T,SEC_010,SIGNAL,SIG_SEC_010_0039,,,Cable Fault,A,2024-12-28,2024-12-30,0,Open,1,S&T crew,120,28.137778,77.938832,45.984,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000033,S&T,SEC_004,SIGNAL,SIG_SEC_004_0016,,,Point Machine Issue,B,2024-04-14,2024-04-20,3,Deferred,255,S&T crew,90,28.36695,77.614768,25.232,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000034,S&T,SEC_025,SIGNAL,SIG_SEC_025_0095,,,Axle Counter Error,B,2024-11-12,2024-11-25,0,Completed,36,S&T crew,45,27.432062,78.951565,110.738,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000035,S&T,SEC_044,SIGNAL,SIG_SEC_044_0151,,,Interlocking Fault,A,2024-10-26,2024-10-30,0,Completed,62,S&T crew,150,26.770524,79.898114,171.114,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000036,S&T,SEC_003,SIGNAL,SIG_SEC_003_0011,,,Track Circuit Failure,B,2024-05-31,2024-06-08,0,Deferred,206,S&T crew,60,28.47832,77.45364,14.922,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000037,S&T,SEC_042,SIGNAL,SIG_SEC_042_0146,,,Axle Counter Error,B,2024-03-11,2024-03-25,0,Deferred,281,S&T crew,45,26.827066,79.814244,165.816,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000038,S&T,SEC_040,SIGNAL,SIG_SEC_040_0141,,,Interlocking Fault,B,2024-12-20,2025-01-04,0,In-Progress,0,S&T crew,150,26.843839,79.7929,164.396,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000039,S&T,SEC_013,SIGNAL,SIG_SEC_013_0048,,,Track Circuit Failure,A,2024-07-28,2024-07-30,0,Completed,154,S&T crew,60,27.953623,78.203154,62.918,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000040,S&T,SEC_029,SIGNAL,SIG_SEC_029_0108,,,Track Circuit Failure,A,2024-05-01,2024-05-02,0,Deferred,243,S&T crew,60,27.15288,79.348437,136.091,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000041,S&T,SEC_008,SIGNAL,SIG_SEC_008_0029,,,Point Machine Issue,A,2024-02-25,2024-02-29,0,Open,306,S&T crew,90,28.220725,77.82825,38.79,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000042,S&T,SEC_037,SIGNAL,SIG_SEC_037_0129,,,Axle Counter Error,A,2024-05-04,2024-05-09,0,Completed,236,S&T crew,45,26.943656,79.649526,155.263,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000043,S&T,SEC_034,SIGNAL,SIG_SEC_034_0120,,,Point Machine Issue,B,2024-08-26,2024-09-09,0,Open,113,S&T crew,90,26.985299,79.591511,151.499,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000044,S&T,SEC_016,SIGNAL,SIG_SEC_016_0061,,,Axle Counter Error,B,2024-07-04,2024-07-13,0,Deferred,171,S&T crew,45,27.8296,78.384153,74.413,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000045,S&T,SEC_003,SIGNAL,SIG_SEC_003_0012,,,Axle Counter Error,A,2024-01-25,2024-01-26,0,Open,340,S&T crew,45,28.466833,77.470379,15.979,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000046,S&T,SEC_048,SIGNAL,SIG_SEC_048_0166,,,Point Machine Issue,C,2024-10-12,2024-11-02,0,In-Progress,59,S&T crew,90,26.521385,80.25425,193.96,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000047,S&T,SEC_020,SIGNAL,SIG_SEC_020_0076,,,Cable Fault,A,2024-04-27,2024-04-28,0,Deferred,247,S&T crew,120,27.672514,78.605797,88.541,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000048,S&T,SEC_044,SIGNAL,SIG_SEC_044_0152,,,Track Circuit Failure,A,2024-03-11,2024-03-15,0,Deferred,291,S&T crew,60,26.761193,79.912007,171.983,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000049,S&T,SEC_033,SIGNAL,SIG_SEC_033_0116,,,Track Circuit Failure,B,2024-09-13,2024-09-24,0,Completed,98,S&T crew,60,27.001943,79.566796,149.938,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000050,S&T,SEC_038,SIGNAL,SIG_SEC_038_0133,,,Cable Fault,B,2024-09-28,2024-10-10,0,Open,82,S&T crew,120,26.923658,79.677739,157.093,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000051,S&T,SEC_037,SIGNAL,SIG_SEC_037_0130,,,Interlocking Fault,A,2024-10-27,2024-11-01,0,Open,60,S&T crew,150,26.940863,79.653458,155.52,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000052,S&T,SEC_009,SIGNAL,SIG_SEC_009_0034,,,Interlocking Fault,C,2024-01-01,2024-01-22,1,Deferred,344,S&T crew,150,28.156577,77.914469,44.387,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000053,S&T,SEC_016,SIGNAL,SIG_SEC_016_0062,,,Interlocking Fault,A,2024-05-21,2024-05-26,0,In-Progress,219,S&T crew,150,27.829607,78.384174,74.414,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000054,S&T,SEC_021,SIGNAL,SIG_SEC_021_0080,,,Cable Fault,A,2024-04-06,2024-04-09,0,Completed,266,S&T crew,120,27.668977,78.610313,88.852,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000055,S&T,SEC_022,SIGNAL,SIG_SEC_022_0085,,,Axle Counter Error,A,2024-07-31,2024-08-01,0,Completed,152,S&T crew,45,27.624732,78.673925,93.034,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000056,S&T,SEC_002,SIGNAL,SIG_SEC_002_0008,,,Interlocking Fault,B,2024-12-22,2025-01-02,0,Deferred,0,S&T crew,150,28.494673,77.430006,13.425,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000057,S&T,SEC_025,SIGNAL,SIG_SEC_025_0093,,,Cable Fault,A,2024-02-13,2024-02-14,0,Completed,321,S&T crew,120,27.479562,78.883391,106.376,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000058,S&T,SEC_007,SIGNAL,SIG_SEC_007_0027,,,Cable Fault,C,2024-08-28,2024-09-08,3,Deferred,114,S&T crew,120,28.255643,77.777452,35.626,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000059,S&T,SEC_036,SIGNAL,SIG_SEC_036_0127,,,Cable Fault,A,2024-06-11,2024-06-12,0,Open,202,S&T crew,120,26.950159,79.641367,154.692,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000060,S&T,SEC_033,SIGNAL,SIG_SEC_033_0117,,,Interlocking Fault,A,2024-06-18,2024-06-22,0,In-Progress,192,S&T crew,150,26.995155,79.576248,150.523,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000061,S&T,SEC_046,SIGNAL,SIG_SEC_046_0157,,,Point Machine Issue,C,2024-12-10,2025-01-05,0,Open,0,S&T crew,90,26.623037,80.110588,184.587,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000062,S&T,SEC_036,SIGNAL,SIG_SEC_036_0127,,,Interlocking Fault,C,2024-09-24,2024-10-19,1,In-Progress,73,S&T crew,150,26.950159,79.641367,154.692,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000063,S&T,SEC_017,SIGNAL,SIG_SEC_017_0063,,,Axle Counter Error,A,2024-02-04,2024-02-08,0,Open,327,S&T crew,45,27.827604,78.387084,74.599,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000064,S&T,SEC_048,SIGNAL,SIG_SEC_048_0165,,,Axle Counter Error,A,2024-06-08,2024-06-09,0,Open,205,S&T crew,45,26.525305,80.248529,193.564,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000065,S&T,SEC_018,SIGNAL,SIG_SEC_018_0070,,,Track Circuit Failure,B,2024-09-28,2024-10-03,0,In-Progress,89,S&T crew,60,27.707229,78.557917,85.497,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000066,S&T,SEC_015,SIGNAL,SIG_SEC_015_0056,,,Track Circuit Failure,B,2024-02-09,2024-02-21,0,Completed,314,S&T crew,60,27.836891,78.37185,73.635,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000067,S&T,SEC_044,SIGNAL,SIG_SEC_044_0154,,,Interlocking Fault,A,2024-07-04,2024-07-08,2,Deferred,176,S&T crew,150,26.704731,79.996071,177.241,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000068,S&T,SEC_017,SIGNAL,SIG_SEC_017_0063,,,Axle Counter Error,A,2024-07-01,2024-07-05,0,Open,179,S&T crew,45,27.827604,78.387084,74.599,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000069,S&T,SEC_003,SIGNAL,SIG_SEC_003_0013,,,Cable Fault,C,2024-01-27,2024-02-20,2,Deferred,315,S&T crew,120,28.450585,77.494056,17.474,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000070,S&T,SEC_021,SIGNAL,SIG_SEC_021_0080,,,Track Circuit Failure,A,2024-12-15,2024-12-16,0,Open,15,S&T crew,60,27.668977,78.610313,88.852,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000071,S&T,SEC_039,SIGNAL,SIG_SEC_039_0136,,,Axle Counter Error,A,2024-05-15,2024-05-16,0,Open,229,S&T crew,45,26.875895,79.746324,161.439,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000072,S&T,SEC_009,SIGNAL,SIG_SEC_009_0033,,,Point Machine Issue,B,2024-04-09,2024-04-24,0,Completed,251,S&T crew,90,28.163086,77.905517,43.804,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000073,S&T,SEC_020,SIGNAL,SIG_SEC_020_0079,,,Track Circuit Failure,A,2024-02-02,2024-02-07,0,Deferred,328,S&T crew,60,27.671337,78.607229,88.642,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000074,S&T,SEC_006,SIGNAL,SIG_SEC_006_0023,,,Track Circuit Failure,B,2024-01-20,2024-01-29,0,Open,337,S&T crew,60,28.328893,77.669295,28.824,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000075,S&T,SEC_033,SIGNAL,SIG_SEC_033_0117,,,Interlocking Fault,A,2024-03-12,2024-03-17,0,In-Progress,289,S&T crew,150,26.995155,79.576248,150.523,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000076,S&T,SEC_021,SIGNAL,SIG_SEC_021_0081,,,Axle Counter Error,B,2024-09-28,2024-10-05,0,In-Progress,87,S&T crew,45,27.657967,78.627844,89.944,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000077,S&T,SEC_015,SIGNAL,SIG_SEC_015_0057,,,Track Circuit Failure,A,2024-04-08,2024-04-13,0,Open,262,S&T crew,60,27.834095,78.375819,73.894,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000078,S&T,SEC_010,SIGNAL,SIG_SEC_010_0039,,,Point Machine Issue,A,2024-06-15,2024-06-17,0,Completed,197,S&T crew,90,28.137778,77.938832,45.984,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000079,S&T,SEC_026,SIGNAL,SIG_SEC_026_0096,,,Track Circuit Failure,B,2024-08-30,2024-09-09,1,Open,113,S&T crew,60,27.334514,79.090069,119.574,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000080,S&T,SEC_032,SIGNAL,SIG_SEC_032_0114,,,Cable Fault,B,2024-05-02,2024-05-09,0,In-Progress,236,S&T crew,120,27.098726,79.426891,141.056,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000081,S&T,SEC_047,SIGNAL,SIG_SEC_047_0160,,,Interlocking Fault,A,2024-05-29,2024-06-01,0,Completed,213,S&T crew,150,26.533615,80.235711,192.743,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000082,S&T,SEC_020,SIGNAL,SIG_SEC_020_0075,,,Track Circuit Failure,A,2024-06-27,2024-07-01,0,Deferred,183,S&T crew,60,27.672771,78.605484,88.519,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000083,S&T,SEC_008,SIGNAL,SIG_SEC_008_0028,,,Interlocking Fault,A,2024-11-26,2024-11-28,0,Completed,33,S&T crew,150,28.222692,77.825939,38.643,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000084,S&T,SEC_041,SIGNAL,SIG_SEC_041_0142,,,Axle Counter Error,B,2024-12-06,2024-12-15,3,Deferred,16,S&T crew,45,26.835133,79.804014,165.131,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000085,S&T,SEC_029,SIGNAL,SIG_SEC_029_0108,,,Interlocking Fault,B,2024-04-16,2024-04-21,1,Deferred,254,S&T crew,150,27.15288,79.348437,136.091,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000086,S&T,SEC_034,SIGNAL,SIG_SEC_034_0120,,,Interlocking Fault,B,2024-04-01,2024-04-08,0,Open,267,S&T crew,150,26.985299,79.591511,151.499,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000087,S&T,SEC_004,SIGNAL,SIG_SEC_004_0017,,,Axle Counter Error,A,2024-05-27,2024-06-01,3,Open,213,S&T crew,45,28.366746,77.615061,25.251,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000088,S&T,SEC_014,SIGNAL,SIG_SEC_014_0054,,,Axle Counter Error,C,2024-03-14,2024-04-13,0,In-Progress,262,S&T crew,45,27.864888,78.332054,71.044,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000089,S&T,SEC_037,SIGNAL,SIG_SEC_037_0131,,,Track Circuit Failure,A,2024-07-27,2024-07-30,4,Open,154,S&T crew,60,26.937635,79.658001,155.817,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000090,S&T,SEC_041,SIGNAL,SIG_SEC_041_0142,,,Axle Counter Error,A,2024-07-14,2024-07-17,0,Completed,167,S&T crew,45,26.835133,79.804014,165.131,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000091,S&T,SEC_019,SIGNAL,SIG_SEC_019_0074,,,Axle Counter Error,B,2024-06-19,2024-07-01,0,Deferred,183,S&T crew,45,27.682846,78.592731,87.688,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000092,S&T,SEC_039,SIGNAL,SIG_SEC_039_0137,,,Cable Fault,A,2024-06-18,2024-06-19,0,Open,195,S&T crew,120,26.872503,79.751359,161.758,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000093,S&T,SEC_041,SIGNAL,SIG_SEC_041_0144,,,Axle Counter Error,B,2024-11-10,2024-11-19,0,Completed,42,S&T crew,45,26.829487,79.810853,165.61,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000094,S&T,SEC_017,SIGNAL,SIG_SEC_017_0066,,,Point Machine Issue,A,2024-02-24,2024-02-28,0,Completed,307,S&T crew,90,27.801138,78.423896,76.958,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000095,S&T,SEC_044,SIGNAL,SIG_SEC_044_0153,,,Track Circuit Failure,B,2024-10-07,2024-10-21,0,In-Progress,71,S&T crew,60,26.757563,79.917411,172.321,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000096,S&T,SEC_013,SIGNAL,SIG_SEC_013_0050,,,Interlocking Fault,B,2024-07-31,2024-08-15,0,In-Progress,138,S&T crew,150,27.937269,78.226989,64.433,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000097,S&T,SEC_011,SIGNAL,SIG_SEC_011_0041,,,Axle Counter Error,B,2024-10-17,2024-10-25,1,Deferred,67,S&T crew,45,28.072682,78.034316,52.027,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
