task_id,department,section_id,location_reference_type,location_reference_id,start_km,end_km,defect_type,severity_class,logged_date,target_completion_date,deferred_count,status,overdue_days,required_resource_type,estimated_duration_minutes
SMMS_TASK_000014,S&T,SEC_037,SIGNAL,SIG_SEC_037_0130,,,Cable Fault,A,2024-06-26,2024-06-30,0,In-Progress,184,S&T crew,120
SMMS_TASK_000015,S&T,SEC_034,SIGNAL,SIG_SEC_034_0122,,,Point Machine Issue,A,2024-07-03,2024-07-05,0,Open,179,S&T crew,90
SMMS_TASK_000016,S&T,SEC_038,SIGNAL,SIG_SEC_038_0134,,,Axle Counter Error,B,2024-03-08,2024-03-20,0,Open,286,S&T crew,45
SMMS_TASK_000017,S&T,SEC_023,SIGNAL,SIG_SEC_023_0088,,,Track Circuit Failure,B,2024-08-10,2024-08-21,0,In-Progress,132,S&T crew,60
SMMS_TASK_000018,S&T,SEC_006,SIGNAL,SIG_SEC_006_0022,,,Point Machine Issue,A,2024-11-13,2024-11-18,0,Open,43,S&T crew,90
SMMS_TASK_000019,S&T,SEC_041,SIGNAL,SIG_SEC_041_0143,,,Track Circuit Failure,A,2024-02-01,2024-02-06,0,Open,329,S&T crew,60
SMMS_TASK_000020,S&T,SEC_020,SIGNAL,SIG_SEC_020_0077,,,Cable Fault,B,2024-01-30,2024-02-12,0,Open,323,S&T crew,120
SMMS_TASK_000021,S&T,SEC_023,SIGNAL,SIG_SEC_023_0086,,,Point Machine Issue,C,2024-07-26,2024-08-08,0,Completed,145,S&T crew,90
SMMS_TASK_000022,S&T,SEC_017,SIGNAL,SIG_SEC_017_0064,,,Interlocking Fault,A,2024-10-12,2024-10-15,0,Open,77,S&T crew,150
SMMS_TASK_000023,S&T,SEC_009,SIGNAL,SIG_SEC_009_0032,,,Point Machine Issue,B,2024-02-07,2024-02-15,1,In-Progress,320,S&T crew,90
SMMS_TASK_000024,S&T,SEC_046,SIGNAL,SIG_SEC_046_0158,,,Track Circuit Failure,A,2024-12-11,2024-12-12,0,Deferred,19,S&T crew,60
SMMS_TASK_000025,S&T,SEC_038,SIGNAL,SIG_SEC_038_0133,,,Axle Counter Error,B,2024-06-23,2024-06-28,0,Open,186,S&T crew,45
SMMS_TASK_000026,S&T,SEC_030,SIGNAL,SIG_SEC_030_0110,,,Track Circuit Failure,B,2024-02-08,2024-02-15,0,Deferred,320,S&T crew,60
SMMS_TASK_000027,S&T,SEC_018,SIGNAL,SIG_SEC_018_0069,,,Interlocking Fault,B,2024-06-12,2024-06-25,0,Open,189,S&T crew,150
SMMS_TASK_000028,S&T,SEC_040,SIGNAL,SIG_SEC_040_0140,,,Cable Fault,B,2024-06-07,2024-06-15,0,Open,199,S&T crew,120
SMMS_TASK_000029,S&T,SEC_025,SIGNAL,SIG_SEC_025_0093,,,Axle Counter Error,A,2024-05-22,2024-05-23,1,In-Progress,222,S&T crew,45
SMMS_TASK_000030,S&T,SEC_020,SIGNAL,SIG_SEC_020_0076,,,Axle Counter Error,A,2024-08-02,2024-08-04,0,Open,149,S&T crew,45
SMMS_TASK_000031,S&T,SEC_020,SIGNAL,SIG_SEC_020_0077,,,Axle Counter Error,B,2024-03-31,2024-04-14,0,Completed,261,S&T crew,45
SMMS_TASK_000032,S&T,SEC_010,SIGNAL,SIG_SEC_010_0039,,,Cable Fault,A,2024-12-28,2024-12-30,0,Open,1,S&T crew,120
SMMS_TASK_000033,S&T,SEC_004,SIGNAL,SIG_SEC_004_0016,,,Point Machine Issue,B,2024-04-14,2024-04-20,3,Deferred,255,S&T crew,90
SMMS_TASK_000034,S&T,SEC_025,SIGNAL,SIG_SEC_025_0095,,,Axle Counter Error,B,2024-11-12,2024-11-25,0,Completed,36,S&T crew,45
SMMS_TASK_000035,S&T,SEC_044,SIGNAL,SIG_SEC_044_0151,,,Interlocking Fault,A,2024-10-26,2024-10-30,0,Completed,62,S&T crew,150
SMMS_TASK_000036,S&T,SEC_003,SIGNAL,SIG_SEC_003_0011,,,Track Circuit Failure,B,2024-05-31,2024-06-08,0,Deferred,206,S&T crew,60
SMMS_TASK_000037,S&T,SEC_042,SIGNAL,SIG_SEC_042_0146,,,Axle Counter Error,B,2024-03-11,2024-03-25,0,Deferred,281,S&T crew,45
SMMS_TASK_000038,S&T,SEC_040,SIGNAL,SIG_SEC_040_0141,,,Interlocking Fault,B,2024-12-20,2025-01-04,0,In-Progress,0,S&T crew,150
SMMS_TASK_000039,S&T,SEC_013,SIGNAL,SIG_SEC_013_0048,,,Track Circuit Failure,A,2024-07-28,2024-07-30,0,Completed,154,S&T crew,60
SMMS_TASK_000040,S&T,SEC_029,SIGNAL,SIG_SEC_029_0108,,,Track Circuit Failure,A,2024-05-01,2024-05-02,0,Deferred,243,S&T crew,60
SMMS_TASK_000041,S&T,SEC_008,SIGNAL,SIG_SEC_008_0029,,,Point Machine Issue,A,2024-02-25,2024-02-29,0,Open,306,S&T crew,90
SMMS_TASK_000042,S&T,SEC_037,SIGNAL,SIG_SEC_037_0129,,,Axle Counter Error,A,2024-05-04,2024-05-09,0,Completed,236,S&T crew,45
SMMS_TASK_000043,S&T,SEC_034,SIGNAL,SIG_SEC_034_0120,,,Point Machine Issue,B,2024-08-26,2024-09-09,0,Open,113,S&T crew,90
SMMS_TASK_000044,S&T,SEC_016,SIGNAL,SIG_SEC_016_0061,,,Axle Counter Error,B,2024-07-04,2024-07-13,0,Deferred,171,S&T crew,45
SMMS_TASK_000045,S&T,SEC_003,SIGNAL,SIG_SEC_003_0012,,,Axle Counter Error,A,2024-01-25,2024-01-26,0,Open,340,S&T crew,45
SMMS_TASK_000046,S&T,SEC_048,SIGNAL,SIG_SEC_048_0166,,,Point Machine Issue,C,2024-10-12,2024-11-02,0,In-Progress,59,S&T crew,90
SMMS_TASK_000047,S&T,SEC_020,SIGNAL,SIG_SEC_020_0076,,,Cable Fault,A,2024-04-27,2024-04-28,0,Deferred,247,S&T crew,120
SMMS_TASK_000048,S&T,SEC_044,SIGNAL,SIG_SEC_044_0152,,,Track Circuit Failure,A,2024-03-11,2024-03-15,0,Deferred,291,S&T crew,60
SMMS_TASK_000049,S&T,SEC_033,SIGNAL,SIG_SEC_033_0116,,,Track Circuit Failure,B,2024-09-13,2024-09-24,0,Completed,98,S&T crew,60
SMMS_TASK_000050,S&T,SEC_038,SIGNAL,SIG_SEC_038_0133,,,Cable Fault,B,2024-09-28,2024-10-10,0,Open,82,S&T crew,120
SMMS_TASK_000051,S&T,SEC_037,SIGNAL,SIG_SEC_037_0130,,,Interlocking Fault,A,2024-10-27,2024-11-01,0,Open,60,S&T crew,150
SMMS_TASK_000052,S&T,SEC_009,SIGNAL,SIG_SEC_009_0034,,,Interlocking Fault,C,2024-01-01,2024-01-22,1,Deferred,344,S&T crew,150
SMMS_TASK_000053,S&T,SEC_016,SIGNAL,SIG_SEC_016_0062,,,Interlocking Fault,A,2024-05-21,2024-05-26,0,In-Progress,219,S&T crew,150
SMMS_TASK_000054,S&T,SEC_021,SIGNAL,SIG_SEC_021_0080,,,Cable Fault,A,2024-04-06,2024-04-09,0,Completed,266,S&T crew,120
SMMS_TASK_000055,S&T,SEC_022,SIGNAL,SIG_SEC_022_0085,,,Axle Counter Error,A,2024-07-31,2024-08-01,0,Completed,152,S&T crew,45
SMMS_TASK_000056,S&T,SEC_002,SIGNAL,SIG_SEC_002_0008,,,Interlocking Fault,B,2024-12-22,2025-01-02,0,Deferred,0,S&T crew,150
SMMS_TASK_000057,S&T,SEC_025,SIGNAL,SIG_SEC_025_0093,,,Cable Fault,A,2024-02-13,2024-02-14,0,Completed,321,S&T crew,120
SMMS_TASK_000058,S&T,SEC_007,SIGNAL,SIG_SEC_007_0027,,,Cable Fault,C,2024-08-28,2024-09-08,3,Deferred,114,S&T crew,120
SMMS_TASK_000059,S&T,SEC_036,SIGNAL,SIG_SEC_036_0127,,,Cable Fault,A,2024-06-11,2024-06-12,0,Open,202,S&T crew,120
SMMS_TASK_000060,S&T,SEC_033,SIGNAL,SIG_SEC_033_0117,,,Interlocking Fault,A,2024-06-18,2024-06-22,0,In-Progress,192,S&T crew,150
SMMS_TASK_000061,S&T,SEC_046,SIGNAL,SIG_SEC_046_0157,,,Point Machine Issue,C,2024-12-10,2025-01-05,0,Open,0,S&T crew,90
SMMS_TASK_000062,S&T,SEC_036,SIGNAL,SIG_SEC_036_0127,,,Interlocking Fault,C,2024-09-24,2024-10-19,1,In-Progress,73,S&T crew,150
SMMS_TASK_000063,S&T,SEC_017,SIGNAL,SIG_SEC_017_0063,,,Axle Counter Error,A,2024-02-04,2024-02-08,0,Open,327,S&T crew,45
SMMS_TASK_000064,S&T,SEC_048,SIGNAL,SIG_SEC_048_0165,,,Axle Counter Error,A,2024-06-08,2024-06-09,0,Open,205,S&T crew,45
SMMS_TASK_000065,S&T,SEC_018,SIGNAL,SIG_SEC_018_0070,,,Track Circuit Failure,B,2024-09-28,2024-10-03,0,In-Progress,89,S&T crew,60
SMMS_TASK_000066,S&T,SEC_015,SIGNAL,SIG_SEC_015_0056,,,Track Circuit Failure,B,2024-02-09,2024-02-21,0,Completed,314,S&T crew,60
SMMS_TASK_000067,S&T,SEC_044,SIGNAL,SIG_SEC_044_0154,,,Interlocking Fault,A,2024-07-04,2024-07-08,2,Deferred,176,S&T crew,150
SMMS_TASK_000068,S&T,SEC_017,SIGNAL,SIG_SEC_017_0063,,,Axle Counter Error,A,2024-07-01,2024-07-05,0,Open,179,S&T crew,45
SMMS_TASK_000069,S&T,SEC_003,SIGNAL,SIG_SEC_003_0013,,,Cable Fault,C,2024-01-27,2024-02-20,2,Deferred,315,S&T crew,120
SMMS_TASK_000070,S&T,SEC_021,SIGNAL,SIG_SEC_021_0080,,,Track Circuit Failure,A,2024-12-15,2024-12-16,0,Open,15,S&T crew,60
SMMS_TASK_000071,S&T,SEC_039,SIGNAL,SIG_SEC_039_0136,,,Axle Counter Error,A,2024-05-15,2024-05-16,0,Open,229,S&T crew,45
SMMS_TASK_000072,S&T,SEC_009,SIGNAL,SIG_SEC_009_0033,,,Point Machine Issue,B,2024-04-09,2024-04-24,0,Completed,251,S&T crew,90
SMMS_TASK_000073,S&T,SEC_020,SIGNAL,SIG_SEC_020_0079,,,Track Circuit Failure,A,2024-02-02,2024-02-07,0,Deferred,328,S&T crew,60
SMMS_TASK_000074,S&T,SEC_006,SIGNAL,SIG_SEC_006_0023,,,Track Circuit Failure,B,2024-01-20,2024-01-29,0,Open,337,S&T crew,60
SMMS_TASK_000075,S&T,SEC_033,SIGNAL,SIG_SEC_033_0117,,,Interlocking Fault,A,2024-03-12,2024-03-17,0,In-Progress,289,S&T crew,150
SMMS_TASK_000076,S&T,SEC_021,SIGNAL,SIG_SEC_021_0081,,,Axle Counter Error,B,2024-09-28,2024-10-05,0,In-Progress,87,S&T crew,45
SMMS_TASK_000077,S&T,SEC_015,SIGNAL,SIG_SEC_015_0057,,,Track Circuit Failure,A,2024-04-08,2024-04-13,0,Open,262,S&T crew,60
SMMS_TASK_000078,S&T,SEC_010,SIGNAL,SIG_SEC_010_0039,,,Point Machine Issue,A,2024-06-15,2024-06-17,0,Completed,197,S&T crew,90
SMMS_TASK_000079,S&T,SEC_026,SIGNAL,SIG_SEC_026_0096,,,Track Circuit Failure,B,2024-08-30,2024-09-09,1,Open,113,S&T crew,60
SMMS_TASK_000080,S&T,SEC_032,SIGNAL,SIG_SEC_032_0114,,,Cable Fault,B,2024-05-02,2024-05-09,0,In-Progress,236,S&T crew,120
SMMS_TASK_000081,S&T,SEC_047,SIGNAL,SIG_SEC_047_0160,,,Interlocking Fault,A,2024-05-29,2024-06-01,0,Completed,213,S&T crew,150
SMMS_TASK_000082,S&T,SEC_020,SIGNAL,SIG_SEC_020_0075,,,Track Circuit Failure,A,2024-06-27,2024-07-01,0,Deferred,183,S&T crew,60
SMMS_TASK_000083,S&T,SEC_008,SIGNAL,SIG_SEC_008_0028,,,Interlocking Fault,A,2024-11-26,2024-11-28,0,Completed,33,S&T crew,150
SMMS_TASK_000084,S&T,SEC_041,SIGNAL,SIG_SEC_041_0142,,,Axle Counter Error,B,2024-12-06,2024-12-15,3,Deferred,16,S&T crew,45
SMMS_TASK_000085,S&T,SEC_029,SIGNAL,SIG_SEC_029_0108,,,Interlocking Fault,B,2024-04-16,2024-04-21,1,Deferred,254,S&T crew,150
SMMS_TASK_000086,S&T,SEC_034,SIGNAL,SIG_SEC_034_0120,,,Interlocking Fault,B,2024-04-01,2024-04-08,0,Open,267,S&T crew,150
SMMS_TASK_000087,S&T,SEC_004,SIGNAL,SIG_SEC_004_0017,,,Axle Counter Error,A,2024-05-27,2024-06-01,3,Open,213,S&T crew,45
SMMS_TASK_000088,S&T,SEC_014,SIGNAL,SIG_SEC_014_0054,,,Axle Counter Error,C,2024-03-14,2024-04-13,0,In-Progress,262,S&T crew,45
SMMS_TASK_000089,S&T,SEC_037,SIGNAL,SIG_SEC_037_0131,,,Track Circuit Failure,A,2024-07-27,2024-07-30,4,Open,154,S&T crew,60
SMMS_TASK_000090,S&T,SEC_041,SIGNAL,SIG_SEC_041_0142,,,Axle Counter Error,A,2024-07-14,2024-07-17,0,Completed,167,S&T crew,45
SMMS_TASK_000091,S&T,SEC_019,SIGNAL,SIG_SEC_019_0074,,,Axle Counter Error,B,2024-06-19,2024-07-01,0,Deferred,183,S&T crew,45
SMMS_TASK_000092,S&T,SEC_039,SIGNAL,SIG_SEC_039_0137,,,Cable Fault,A,2024-06-18,2024-06-19,0,Open,195,S&T crew,120
SMMS_TASK_000093,S&T,SEC_041,SIGNAL,SIG_SEC_041_0144,,,Axle Counter Error,B,2024-11-10,2024-11-19,0,Completed,42,S&T crew,45
SMMS_TASK_000094,S&T,SEC_017,SIGNAL,SIG_SEC_017_0066,,,Point Machine Issue,A,2024-02-24,2024-02-28,0,Completed,307,S&T crew,90
SMMS_TASK_000095,S&T,SEC_044,SIGNAL,SIG_SEC_044_0153,,,Track Circuit Failure,B,2024-10-07,2024-10-21,0,In-Progress,71,S&T crew,60
SMMS_TASK_000096,S&T,SEC_013,SIGNAL,SIG_SEC_013_0050,,,Interlocking Fault,B,2024-07-31,2024-08-15,0,In-Progress,138,S&T crew,150
SMMS_TASK_000097,S&T,SEC_011,SIGNAL,SIG_SEC_011_0041,,,Axle Counter Error,B,2024-10-17,2024-10-25,1,Deferred,67,S&T crew,45
SMMS_TASK_000098,S&T,SEC_033,SIGNAL,SIG_SEC_033_0117,,,Interlocking Fault,A,2024-07-29,2024-08-01,0,In-Progress,152,S&T crew,150
SMMS_TASK_000099,S&T,SEC_030,SIGNAL,SIG_SEC_030_0109,,,Cable Fault,B,2024-10-09,2024-10-24,1,Deferred,68,S&T crew,120
SMMS_TASK_000100,S&T,SEC_006,SIGNAL,SIG_SEC_006_0024,,,Track Circuit Failure,B,2024-08-09,2024-08-23,4,Deferred,130,S&T crew,60
SMMS_TASK_000101,S&T,SEC_041,SIGNAL,SIG_SEC_041_0142,,,Track Circuit Failure,B,2024-09-17,2024-09-26,0,In-Progress,96,S&T crew,60
SMMS_TASK_000102,S&T,SEC_009,SIGNAL,SIG_SEC_009_0034,,,Axle Counter Error,B,2024-05-31,2024-06-13,0,Open,201,S&T crew,45
SMMS_TASK_000103,S&T,SEC_039,SIGNAL,SIG_SEC_039_0137,,,Interlocking Fault,A,2024-11-23,2024-11-26,0,In-Progress,35,S&T crew,150
SMMS_TASK_000104,S&T,SEC_001,SIGNAL,SIG_SEC_001_0002,,,Track Circuit Failure,A,2024-04-16,2024-04-21,0,Open,254,S&T crew,60
SMMS_TASK_000105,S&T,SEC_039,SIGNAL,SIG_SEC_039_0136,,,Point Machine Issue,B,2024-09-19,2024-09-28,0,Open,94,S&T crew,90
SMMS_TASK_000106,S&T,SEC_038,SIGNAL,SIG_SEC_038_0134,,,Cable Fault,B,2024-04-30,2024-05-07,0,In-Progress,238,S&T crew,120
SMMS_TASK_000107,S&T,SEC_038,SIGNAL,SIG_SEC_038_0133,,,Axle Counter Error,B,2024-10-16,2024-10-27,0,Open,65,S&T crew,45
SMMS_TASK_000108,S&T,SEC_032,SIGNAL,SIG_SEC_032_0114,,,Axle Counter Error,C,2024-11-01,2024-11-22,0,In-Progress,39,S&T crew,45
SMMS_TASK_000109,S&T,SEC_021,SIGNAL,SIG_SEC_021_0081,,,Axle Counter Error,B,2024-03-08,2024-03-20,4,Deferred,286,S&T crew,45
SMMS_TASK_000110,S&T,SEC_034,SIGNAL,SIG_SEC_034_0120,,,Point Machine Issue,B,2024-08-16,2024-08-23,0,Open,130,S&T crew,90
SMMS_TASK_000111,S&T,SEC_013,SIGNAL,SIG_SEC_013_0048,,,Point Machine Issue,B,2024-07-12,2024-07-27,4,Deferred,157,S&T crew,90
SMMS_TASK_000112,S&T,SEC_038,SIGNAL,SIG_SEC_038_0133,,,Axle Counter Error,A,2024-05-25,2024-05-28,0,Open,217,S&T crew,45
SMMS_TASK_000113,S&T,SEC_025,SIGNAL,SIG_SEC_025_0095,,,Point Machine Issue,B,2024-04-12,2024-04-24,4,Deferred,251,S&T crew,90
SMMS_TASK_000114,S&T,SEC_020,SIGNAL,SIG_SEC_020_0079,,,Interlocking Fault,B,2024-08-12,2024-08-23,2,Open,130,S&T crew,150
SMMS_TASK_000115,S&T,SEC_023,SIGNAL,SIG_SEC_023_0086,,,Track Circuit Failure,A,2024-10-28,2024-10-30,0,Completed,62,S&T crew,60
SMMS_TASK_000116,S&T,SEC_026,SIGNAL,SIG_SEC_026_0097,,,Track Circuit Failure,A,2024-05-07,2024-05-08,0,Completed,237,S&T crew,60
SMMS_TASK_000117,S&T,SEC_002,SIGNAL,SIG_SEC_002_0007,,,Cable Fault,B,2024-05-02,2024-05-08,0,In-Progress,237,S&T crew,120
SMMS_TASK_000118,S&T,SEC_006,SIGNAL,SIG_SEC_006_0024,,,Cable Fault,B,2024-11-11,2024-11-19,0,Completed,42,S&T crew,120
SMMS_TASK_000119,S&T,SEC_011,SIGNAL,SIG_SEC_011_0042,,,Axle Counter Error,A,2024-10-03,2024-10-04,0,In-Progress,88,S&T crew,45
SMMS_TASK_000120,S&T,SEC_005,SIGNAL,SIG_SEC_005_0020,,,Track Circuit Failure,A,2024-09-23,2024-09-28,0,Deferred,94,S&T crew,60
SMMS_TASK_000121,S&T,SEC_020,SIGNAL,SIG_SEC_020_0075,,,Axle Counter Error,A,2024-08-04,2024-08-08,0,Completed,145,S&T crew,45
SMMS_TASK_000122,S&T,SEC_032,SIGNAL,SIG_SEC_032_0114,,,Track Circuit Failure,B,2024-02-06,2024-02-21,4,Deferred,314,S&T crew,60
SMMS_TASK_000123,S&T,SEC_031,SIGNAL,SIG_SEC_031_0112,,,Axle Counter Error,C,2024-02-25,2024-03-12,3,Deferred,294,S&T crew,45
SMMS_TASK_000124,S&T,SEC_021,SIGNAL,SIG_SEC_021_0081,,,Track Circuit Failure,C,2024-01-21,2024-02-07,0,Completed,328,S&T crew,60
SMMS_TASK_000125,S&T,SEC_042,SIGNAL,SIG_SEC_042_0146,,,Point Machine Issue,C,2024-04-25,2024-05-19,4,Open,226,S&T crew,90
SMMS_TASK_000126,S&T,SEC_026,SIGNAL,SIG_SEC_026_0097,,,Cable Fault,A,2024-01-13,2024-01-14,0,Deferred,352,S&T crew,120
SMMS_TASK_000127,S&T,SEC_003,SIGNAL,SIG_SEC_003_0014,,,Interlocking Fault,A,2024-06-21,2024-06-22,0,Open,192,S&T crew,150
SMMS_TASK_000128,S&T,SEC_037,SIGNAL,SIG_SEC_037_0131,,,Point Machine Issue,B,2024-01-11,2024-01-26,2,Deferred,340,S&T crew,90
SMMS_TASK_000129,S&T,SEC_027,SIGNAL,SIG_SEC_027_0098,,,Cable Fault,B,2024-12-30,2025-01-13,2,Deferred,0,S&T crew,120
SMMS_TASK_000130,S&T,SEC_029,SIGNAL,SIG_SEC_029_0108,,,Track Circuit Failure,B,2024-06-30,2024-07-11,0,In-Progress,173,S&T crew,60
SMMS_TASK_000131,S&T,SEC_026,SIGNAL,SIG_SEC_026_0097,,,Axle Counter Error,A,2024-01-05,2024-01-08,0,Open,358,S&T crew,45
SMMS_TASK_000132,S&T,SEC_025,SIGNAL,SIG_SEC_025_0095,,,Interlocking Fault,B,2024-03-07,2024-03-17,0,Completed,289,S&T crew,150
SMMS_TASK_000133,S&T,SEC_004,SIGNAL,SIG_SEC_004_0016,,,Interlocking Fault,A,2024-03-09,2024-03-11,0,Deferred,295,S&T crew,150
SMMS_TASK_000134,S&T,SEC_026,SIGNAL,SIG_SEC_026_0096,,,Axle Counter Error,B,2024-09-03,2024-09-13,0,Open,109,S&T crew,45
SMMS_TASK_000135,S&T,SEC_039,SIGNAL,SIG_SEC_039_0136,,,Cable Fault,C,2024-10-08,2024-11-04,3,Deferred,57,S&T crew,120
SMMS_TASK_000136,S&T,SEC_014,SIGNAL,SIG_SEC_014_0052,,,Track Circuit Failure,B,2024-06-25,2024-07-07,0,Open,177,S&T crew,60
SMMS_TASK_000137,S&T,SEC_028,SIGNAL,SIG_SEC_028_0103,,,Track Circuit Failure,B,2024-09-23,2024-09-28,0,In-Progress,94,S&T crew,60
SMMS_TASK_000138,S&T,SEC_002,SIGNAL,SIG_SEC_002_0006,,,Point Machine Issue,B,2024-02-04,2024-02-14,0,Completed,321,S&T crew,90
SMMS_TASK_000139,S&T,SEC_016,SIGNAL,SIG_SEC_016_0060,,,Point Machine Issue,B,2024-04-24,2024-05-04,0,Open,241,S&T crew,90
SMMS_TASK_000140,S&T,SEC_020,SIGNAL,SIG_SEC_020_0075,,,Axle Counter Error,B,2024-01-03,2024-01-15,0,Completed,351,S&T crew,45
SMMS_TASK_000141,S&T,SEC_049,SIGNAL,SIG_SEC_049_0168,,,Interlocking Fault,A,2024-05-29,2024-05-30,0,In-Progress,215,S&T crew,150
SMMS_TASK_000142,S&T,SEC_010,SIGNAL,SIG_SEC_010_0037,,,Cable Fault,B,2024-01-14,2024-01-29,0,Open,337,S&T crew,120
SMMS_TASK_000143,S&T,SEC_013,SIGNAL,SIG_SEC_013_0048,,,Cable Fault,C,2024-10-16,2024-11-02,4,In-Progress,59,S&T crew,120
SMMS_TASK_000144,S&T,SEC_018,SIGNAL,SIG_SEC_018_0070,,,Point Machine Issue,B,2024-07-14,2024-07-24,0,In-Progress,160,S&T crew,90
SMMS_TASK_000145,S&T,SEC_049,SIGNAL,SIG_SEC_049_0169,,,Point Machine Issue,B,2024-10-02,2024-10-12,0,In-Progress,80,S&T crew,90
SMMS_TASK_000146,S&T,SEC_042,SIGNAL,SIG_SEC_042_0146,,,Cable Fault,B,2024-08-02,2024-08-08,0,Completed,145,S&T crew,120
SMMS_TASK_000147,S&T,SEC_002,SIGNAL,SIG_SEC_002_0006,,,Interlocking Fault,A,2024-01-14,2024-01-17,0,Open,349,S&T crew,150
SMMS_TASK_000148,S&T,SEC_011,SIGNAL,SIG_SEC_011_0040,,,Track Circuit Failure,B,2024-05-09,2024-05-16,0,Open,229,S&T crew,60
SMMS_TASK_000149,S&T,SEC_040,SIGNAL,SIG_SEC_040_0140,,,Cable Fault,C,2024-01-05,2024-02-01,0,Completed,334,S&T crew,120
SMMS_TASK_000150,S&T,SEC_003,SIGNAL,SIG_SEC_003_0010,,,Cable Fault,A,2024-01-29,2024-02-03,0,In-Progress,332,S&T crew,120
SMMS_TASK_000151,S&T,SEC_042,SIGNAL,SIG_SEC_042_0146,,,Axle Counter Error,A,2024-12-10,2024-12-15,0,Open,16,S&T crew,45
SMMS_TASK_000152,S&T,SEC_013,SIGNAL,SIG_SEC_013_0048,,,Axle Counter Error,A,2024-12-08,2024-12-12,0,Open,19,S&T crew,45
SMMS_TASK_000153,S&T,SEC_046,SIGNAL,SIG_SEC_046_0157,,,Cable Fault,B,2024-02-13,2024-02-22,0,Completed,313,S&T crew,120
SMMS_TASK_000154,S&T,SEC_013,SIGNAL,SIG_SEC_013_0050,,,Axle Counter Error,A,2024-05-28,2024-05-29,0,Open,216,S&T crew,45
SMMS_TASK_000155,S&T,SEC_019,SIGNAL,SIG_SEC_019_0074,,,Interlocking Fault,B,2024-04-15,2024-04-27,0,Completed,248,S&T crew,150
SMMS_TASK_000156,S&T,SEC_031,SIGNAL,SIG_SEC_031_0113,,,Point Machine Issue,A,2024-06-06,2024-06-09,0,Open,205,S&T crew,90
SMMS_TASK_000157,S&T,SEC_006,SIGNAL,SIG_SEC_006_0022,,,Track Circuit Failure,A,2024-08-11,2024-08-12,0,In-Progress,141,S&T crew,60
SMMS_TASK_000158,S&T,SEC_025,SIGNAL,SIG_SEC_025_0095,,,Track Circuit Failure,A,2024-05-19,2024-05-21,0,Open,224,S&T crew,60
SMMS_TASK_000159,S&T,SEC_023,SIGNAL,SIG_SEC_023_0086,,,Interlocking Fault,A,2024-10-24,2024-10-26,0,In-Progress,66,S&T crew,150
SMMS_TASK_000160,S&T,SEC_038,SIGNAL,SIG_SEC_038_0134,,,Axle Counter Error,B,2024-01-22,2024-02-06,0,Completed,329,S&T crew,45
SMMS_TASK_000161,S&T,SEC_049,SIGNAL,SIG_SEC_049_0170,,,Point Machine Issue,C,2024-08-01,2024-08-22,3,Deferred,131,S&T crew,90
SMMS_TASK_000162,S&T,SEC_031,SIGNAL,SIG_SEC_031_0113,,,Interlocking Fault,B,2024-09-17,2024-09-27,0,Open,95,S&T crew,150
