date,section_id,from_station,to_station,rainfall_24h_mm,temperature_c,wind_speed_kmph,humidity_percent,weather_risk_level,source_type,source
2024-01-15,SEC_035,VRI,TLNR,-9.4,26.4,14.1,47,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_036,TLNR,PNDM,0.4,24.2,15.6,44,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_037,PNDM,ICG,-3.0,23.5,13.0,50,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_038,ICG,MTUR,1.1,23.2,15.4,47,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_039,MTUR,SNDI,6.0,29.3,10.6,51,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_040,SNDI,OTK,-0.6,27.6,11.8,51,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_041,OTK,ALU,1.2,24.4,13.9,50,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_042,ALU,SLTH,2.5,24.9,11.2,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_043,SLTH,KLGM,2.8,25.4,14.9,59,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_044,KLGM,KKPM,-2.6,24.8,12.0,44,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_045,KKPM,PMB,2.9,25.7,10.2,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_046,PMB,KTTR,-2.3,22.3,12.3,44,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_047,KTTR,LLI,0.8,25.0,13.2,52,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_048,LLI,VLDE,7.7,23.3,10.9,53,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_049,VLDE,SRGM,-0.6,26.2,13.5,59,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_050,SRGM,TPTN,-0.4,22.3,13.1,49,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_051,TPTN,TP,2.7,25.6,11.3,45,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_052,TP,TPE,-0.7,21.0,12.5,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_053,TPE,TPJ,4.4,21.6,12.4,58,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_054,TPJ,PUG,3.4,26.0,13.1,41,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_055,PUG,KLS,0.9,25.2,10.2,49,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_056,KLS,MPA,-14.5,24.1,11.5,57,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_057,MPA,CII,-3.0,24.2,12.2,47,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_058,CII,VPJ,3.7,21.6,14.7,50,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_059,VPJ,KFC,6.6,20.4,7.5,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_060,KFC,AYR,2.6,23.7,13.6,55,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_061,AYR,VDM,3.4,24.7,12.6,47,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_062,VDM,KON,-0.2,23.0,10.8,52,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_063,KON,MDU,-2.3,23.5,13.3,52,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_064,MDU,TDN,-1.0,24.3,13.2,54,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_065,TDN,APK,1.1,22.8,11.9,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_066,APK,TIP,-5.2,25.3,13.5,53,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_067,TIP,MVN,-4.9,24.8,12.4,51,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_068,MVN,TN,0.7,24.5,12.1,55,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_001,MS,MBM,0.0,31.9,13.7,56,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_002,MBM,GDY,0.0,32.0,12.6,54,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_003,GDY,STM,0.0,31.1,15.4,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_004,STM,PZA,0.0,33.8,11.6,56,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_005,PZA,MN,0.0,31.4,15.5,44,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_006,MN,TLM,0.0,35.9,13.9,60,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_007,TLM,PV,0.0,32.0,13.2,56,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_008,PV,CMP,0.0,31.1,12.7,53,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_009,CMP,TBMS,0.0,31.7,15.1,51,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_010,TBMS,TBM,0.0,30.9,16.0,44,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_011,TBM,PRGL,0.0,34.4,14.3,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_012,PRGL,VDR,0.0,31.6,14.7,46,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_013,VDR,UPM,0.0,35.0,16.6,58,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_014,UPM,GI,0.0,33.6,13.3,49,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_015,GI,CTM,0.0,32.7,14.6,52,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_016,CTM,SKL,0.0,35.1,14.1,43,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_017,SKL,CGL,0.0,32.6,17.2,42,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_018,CGL,OV,0.0,34.3,13.3,46,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_019,OV,KGZ,0.0,33.8,17.2,52,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_020,KGZ,MMK,0.0,32.8,11.5,50,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_021,MMK,MLMR,0.0,31.2,13.5,50,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_022,MLMR,TZD,0.0,29.7,16.9,44,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_023,TZD,KSGL,0.0,32.9,15.2,57,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_024,KSGL,OLA,0.0,32.0,9.1,56,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_025,OLA,TMV,0.0,31.3,14.8,52,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_026,TMV,MTL,0.0,28.3,10.9,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_027,MTL,PEI,0.0,29.3,11.4,51,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_028,PEI,VVN,0.0,33.1,14.7,52,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_029,VVN,MYP,0.0,30.7,11.5,54,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_030,MYP,VM,0.0,35.5,12.2,51,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_031,VM,KDMD,0.0,34.4,14.6,49,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_032,KDMD,TVNL,0.0,32.3,18.1,51,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_033,TVNL,PVN,0.0,33.8,14.7,46,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_034,PVN,VRI,0.0,33.3,13.4,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_035,VRI,TLNR,0.0,33.7,12.3,44,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_036,TLNR,PNDM,0.0,34.0,13.0,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_037,PNDM,ICG,0.0,30.3,16.0,53,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_038,ICG,MTUR,0.0,34.3,14.9,43,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_039,MTUR,SNDI,0.0,33.6,12.9,45,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_040,SNDI,OTK,0.0,34.0,17.4,58,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_041,OTK,ALU,0.0,34.1,14.0,49,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_042,ALU,SLTH,0.0,31.9,13.5,55,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_043,SLTH,KLGM,0.0,35.9,12.5,40,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_044,KLGM,KKPM,0.0,32.4,15.9,61,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_045,KKPM,PMB,0.0,35.2,16.7,46,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_046,PMB,KTTR,0.0,32.0,11.4,47,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_047,KTTR,LLI,0.0,34.6,17.3,52,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_048,LLI,VLDE,0.0,32.8,12.0,50,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_049,VLDE,SRGM,0.0,33.5,11.2,55,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_050,SRGM,TPTN,0.0,32.6,15.8,50,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_051,TPTN,TP,0.0,33.7,12.7,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_052,TP,TPE,0.0,34.2,13.8,45,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_053,TPE,TPJ,0.0,33.4,14.9,57,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_054,TPJ,PUG,0.0,34.9,14.0,47,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_055,PUG,KLS,0.0,32.9,13.0,53,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_056,KLS,MPA,0.0,34.8,16.6,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_057,MPA,CII,0.0,32.4,13.2,41,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_058,CII,VPJ,0.0,31.4,14.0,52,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_059,VPJ,KFC,0.0,34.0,12.5,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_060,KFC,AYR,0.0,32.8,13.3,54,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_061,AYR,VDM,0.0,31.3,11.8,49,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_062,VDM,KON,0.0,31.2,10.3,43,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_063,KON,MDU,0.0,32.8,15.3,53,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_064,MDU,TDN,0.0,35.6,14.3,51,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_065,TDN,APK,0.0,32.8,13.7,61,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_066,APK,TIP,0.0,33.6,14.8,44,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_067,TIP,MVN,0.0,33.8,15.4,56,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-04-15,SEC_068,MVN,TN,0.0,34.2,13.8,49,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_001,MS,MBM,1.0,27.3,17.2,65,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_002,MBM,GDY,5.1,30.2,9.4,57,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_003,GDY,STM,1.3,26.2,12.8,51,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_004,STM,PZA,-0.2,28.5,16.2,56,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_005,PZA,MN,2.4,29.2,11.6,59,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_006,MN,TLM,2.8,27.2,16.4,52,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_007,TLM,PV,-3.7,28.2,11.3,63,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_008,PV,CMP,3.6,28.3,13.7,62,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_009,CMP,TBMS,-4.5,26.6,14.8,55,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_010,TBMS,TBM,2.4,25.5,15.2,68,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_011,TBM,PRGL,-5.0,27.1,11.4,55,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_012,PRGL,VDR,4.8,26.5,16.2,61,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_013,VDR,UPM,1.0,25.6,16.1,61,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_014,UPM,GI,-6.3,25.7,9.1,52,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_015,GI,CTM,-0.2,25.6,13.0,66,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_016,CTM,SKL,6.5,26.1,16.3,65,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_017,SKL,CGL,4.4,27.6,16.9,63,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_018,CGL,OV,-4.7,26.9,13.6,65,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_019,OV,KGZ,-1.6,26.1,16.7,61,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_020,KGZ,MMK,11.9,25.9,13.6,65,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_021,MMK,MLMR,-5.1,29.2,12.3,62,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_022,MLMR,TZD,-7.9,27.2,11.9,69,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_023,TZD,KSGL,-4.0,25.9,15.8,56,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_024,KSGL,OLA,4.8,26.1,13.1,59,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_025,OLA,TMV,-4.8,27.8,16.4,62,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_026,TMV,MTL,4.5,24.3,13.8,58,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_027,MTL,PEI,8.6,26.3,10.1,54,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_028,PEI,VVN,-2.0,23.9,16.6,51,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_029,VVN,MYP,3.6,25.5,17.7,58,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_030,MYP,VM,-1.1,28.0,12.7,62,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_031,VM,KDMD,-1.1,26.3,14.5,54,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_032,KDMD,TVNL,0.4,27.7,10.1,65,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_033,TVNL,PVN,5.4,24.4,10.7,64,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_034,PVN,VRI,5.1,28.1,11.8,68,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_035,VRI,TLNR,-2.4,27.5,15.2,67,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_036,TLNR,PNDM,2.0,27.8,14.5,53,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_037,PNDM,ICG,-10.3,27.2,11.9,61,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_038,ICG,MTUR,2.1,27.4,12.6,64,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_039,MTUR,SNDI,3.7,25.4,18.8,58,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_040,SNDI,OTK,-5.3,26.0,11.7,66,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_041,OTK,ALU,6.7,28.3,15.8,66,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_042,ALU,SLTH,0.1,27.8,13.1,59,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_043,SLTH,KLGM,3.6,22.6,13.4,60,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_044,KLGM,KKPM,0.9,26.5,15.9,56,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_045,KKPM,PMB,-4.8,29.0,16.8,56,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_046,PMB,KTTR,1.0,28.4,14.8,62,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_047,KTTR,LLI,3.7,26.7,15.7,54,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_048,LLI,VLDE,3.3,27.1,14.0,53,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_049,VLDE,SRGM,2.0,27.2,13.0,51,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_050,SRGM,TPTN,-6.9,26.8,15.3,69,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_051,TPTN,TP,1.1,24.7,14.3,66,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_052,TP,TPE,-2.1,28.9,15.0,63,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_053,TPE,TPJ,10.6,24.4,16.5,59,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_054,TPJ,PUG,-3.4,27.0,18.1,66,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_055,PUG,KLS,-8.7,26.0,16.6,59,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_056,KLS,MPA,1.2,24.8,13.2,53,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_057,MPA,CII,-6.9,25.3,12.8,55,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_058,CII,VPJ,-2.9,28.7,12.9,66,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_059,VPJ,KFC,-1.1,27.8,15.6,55,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_060,KFC,AYR,-0.3,26.4,15.4,59,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_061,AYR,VDM,-2.4,27.4,15.4,69,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_062,VDM,KON,1.7,27.2,15.5,55,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_063,KON,MDU,-7.3,26.7,16.8,65,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_064,MDU,TDN,-8.1,28.2,10.3,62,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_065,TDN,APK,3.3,24.6,16.7,68,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-07-15,SEC_066,APK,TIP,1.0,27.4,17.6,54,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
