train_number,train_type,section_id,scheduled_departure,scheduled_arrival,priority_class,day_of_week
22495,Freight,SEC_012,00:24:38,00:52:38,Goods,Friday
12142,Express,SEC_005,12:57:33,13:03:33,Superfast,Wednesday
12432,Passenger,SEC_028,19:08:06,19:18:06,Mail Passenger,Friday
22409,Passenger,SEC_044,18:56:13,19:08:13,Mail Passenger,Tuesday
22207,Express,SEC_004,07:22:33,07:31:33,Superfast,Monday
12096,Express,SEC_043,06:47:33,06:54:33,Superfast,Saturday
22483,Freight,SEC_041,14:52:45,15:11:45,Goods,Tuesday
12286,Freight,SEC_014,14:29:31,14:57:31,Goods,Monday
22165,Passenger,SEC_031,18:08:51,18:22:51,Mail Passenger,Saturday
22075,Express,SEC_009,18:01:06,18:10:06,Superfast,Friday
22169,Passenger,SEC_038,19:10:25,19:27:25,Mail Passenger,Sunday
12326,Express,SEC_035,20:17:02,20:28:02,Rajdhani,Friday
22253,Express,SEC_018,20:44:23,20:55:23,Superfast,Thursday
22033,Express,SEC_004,21:45:10,21:53:10,Rajdhani,Friday
22389,Freight,SEC_048,02:16:41,02:32:41,Goods,Saturday
12160,Express,SEC_022,10:18:25,10:24:25,Rajdhani,Friday
12096,Express,SEC_044,02:54:35,03:00:35,Superfast,Wednesday
22349,Passenger,SEC_034,19:53:49,20:09:49,Mail Passenger,Sunday
22371,Express,SEC_039,04:45:52,04:50:52,Rajdhani,Friday
12410,Passenger,SEC_038,19:56:44,20:15:44,Mail Passenger,Sunday
22001,Freight,SEC_010,22:51:00,23:20:00,Goods,Thursday
22193,Express,SEC_018,20:27:36,20:32:36,Superfast,Thursday
22131,Passenger,SEC_023,09:51:57,10:09:57,Mail Passenger,Saturday
12290,Freight,SEC_025,22:01:21,22:28:21,Goods,Friday
22487,Express,SEC_003,06:07:06,06:18:06,Rajdhani,Saturday
22059,Freight,SEC_027,11:33:39,11:54:39,Goods,Sunday
12328,Freight,SEC_008,13:42:42,13:57:42,Goods,Tuesday
12222,Express,SEC_037,17:52:40,18:00:40,Superfast,Tuesday
22231,Express,SEC_034,20:25:51,20:36:51,Superfast,Tuesday
12470,Freight,SEC_046,14:24:32,14:53:32,Goods,Friday
22365,Express,SEC_037,14:30:08,14:40:08,Rajdhani,Saturday
22047,Express,SEC_018,16:30:27,16:37:27,Superfast,Sunday
22217,Passenger,SEC_048,06:33:22,06:48:22,Mail Passenger,Monday
22371,Express,SEC_021,20:02:38,20:10:38,Superfast,Monday
22053,Freight,SEC_016,22:47:35,23:10:35,Goods,Friday
12252,Passenger,SEC_045,07:58:43,08:17:43,Mail Passenger,Tuesday
12248,Express,SEC_019,05:06:33,05:13:33,Superfast,Thursday
12036,Express,SEC_004,07:10:37,07:18:37,Superfast,Monday
22477,Express,SEC_024,10:30:03,10:37:03,Superfast,Monday
22185,Express,SEC_039,23:39:49,23:44:49,Superfast,Thursday
12136,Freight,SEC_010,00:32:09,00:48:09,Goods,Friday
12044,Passenger,SEC_023,09:33:25,09:46:25,Mail Passenger,Sunday
12026,Express,SEC_007,18:45:30,18:56:30,Superfast,Thursday
12098,Express,SEC_034,19:28:49,19:38:49,Superfast,Friday
12370,Express,SEC_024,16:38:13,16:44:13,Rajdhani,Sunday
22133,Express,SEC_017,09:25:05,09:30:05,Rajdhani,Thursday
22227,Express,SEC_012,10:47:58,10:54:58,Superfast,Tuesday
12330,Express,SEC_028,21:02:37,21:12:37,Superfast,Saturday
22167,Passenger,SEC_033,15:09:12,15:21:12,Mail Passenger,Monday
22203,Freight,SEC_047,11:25:58,11:47:58,Goods,Tuesday
22243,Passenger,SEC_022,10:45:03,10:57:03,Mail Passenger,Monday
12452,Freight,SEC_008,22:03:14,22:25:14,Goods,Friday
12464,Freight,SEC_041,12:39:19,13:01:19,Goods,Tuesday
12144,Freight,SEC_031,11:04:19,11:25:19,Goods,Wednesday
22125,Freight,SEC_035,11:40:47,12:00:47,Goods,Friday
12202,Freight,SEC_005,03:45:33,04:14:33,Goods,Wednesday
12100,Passenger,SEC_016,20:58:47,21:16:47,Mail Passenger,Wednesday
12284,Passenger,SEC_038,17:52:35,18:08:35,Mail Passenger,Thursday
12266,Express,SEC_041,07:35:00,07:44:00,Superfast,Monday
12232,Passenger,SEC_022,10:41:08,10:52:08,Mail Passenger,Sunday
22231,Express,SEC_040,09:25:47,09:30:47,Superfast,Sunday
22429,Freight,SEC_042,22:16:24,22:39:24,Goods,Friday
12074,Express,SEC_019,17:59:15,18:06:15,Superfast,Monday
22383,Express,SEC_045,08:05:32,08:14:32,Rajdhani,Thursday
12290,Passenger,SEC_015,20:00:43,20:16:43,Mail Passenger,Wednesday
12396,Express,SEC_012,09:07:33,09:15:33,Superfast,Tuesday
22287,Freight,SEC_034,14:14:46,14:30:46,Goods,Sunday
22385,Express,SEC_032,00:54:49,01:02:49,Rajdhani,Wednesday
12302,Freight,SEC_007,23:11:48,23:39:48,Goods,Friday
22355,Express,SEC_041,04:20:57,04:25:57,Superfast,Friday
12206,Express,SEC_010,08:41:19,08:50:19,Superfast,Wednesday
12446,Passenger,SEC_040,19:41:18,19:53:18,Mail Passenger,Wednesday
22145,Freight,SEC_001,00:39:24,01:05:24,Goods,Sunday
12358,Express,SEC_040,07:18:11,07:28:11,Superfast,Saturday
12164,Express,SEC_039,00:06:10,00:14:10,Rajdhani,Thursday
22395,Passenger,SEC_039,21:00:10,21:12:10,Mail Passenger,Thursday
22417,Express,SEC_033,17:49:29,17:54:29,Rajdhani,Monday
12092,Express,SEC_024,10:31:03,10:39:03,Superfast,Tuesday
12312,Freight,SEC_035,13:06:16,13:21:16,Goods,Monday
12264,Express,SEC_014,08:36:32,08:46:32,Superfast,Saturday
22199,Passenger,SEC_039,18:26:56,18:38:56,Mail Passenger,Sunday
22139,Freight,SEC_028,23:19:22,23:46:22,Goods,Tuesday
12306,Freight,SEC_023,03:15:40,03:42:40,Goods,Tuesday
22411,Freight,SEC_025,23:36:00,00:03:00,Goods,Wednesday
12174,Express,SEC_028,09:59:40,10:07:40,Superfast,Saturday
22167,Express,SEC_002,12:51:36,12:56:36,Superfast,Wednesday
22431,Passenger,SEC_007,21:43:48,21:58:48,Mail Passenger,Monday
22377,Express,SEC_013,08:39:43,08:44:43,Rajdhani,Friday
22363,Freight,SEC_006,13:23:22,13:38:22,Goods,Tuesday
12296,Freight,SEC_022,11:10:58,11:25:58,Goods,Friday
12050,Express,SEC_033,19:50:37,19:58:37,Superfast,Saturday
22075,Express,SEC_033,15:51:07,15:56:07,Superfast,Monday
12028,Freight,SEC_024,03:21:14,03:41:14,Goods,Sunday
22157,Passenger,SEC_042,12:25:07,12:41:07,Mail Passenger,Friday
12016,Express,SEC_028,20:25:54,20:35:54,Rajdhani,Monday
22235,Express,SEC_004,20:42:46,20:47:46,Rajdhani,Tuesday
22013,Passenger,SEC_038,17:08:41,17:24:41,Mail Passenger,Tuesday
22497,Passenger,SEC_029,02:43:37,02:56:37,Mail Passenger,Sunday
12248,Express,SEC_032,21:09:08,21:18:08,Superfast,Saturday
12006,Passenger,SEC_028,10:43:15,10:53:15,Mail Passenger,Wednesday
12090,Passenger,SEC_028,07:41:03,07:55:03,Mail Passenger,Thursday
22093,Express,SEC_005,15:52:47,15:59:47,Rajdhani,Wednesday
22337,Passenger,SEC_028,06:05:30,06:20:30,Mail Passenger,Wednesday
12384,Express,SEC_039,10:55:45,11:04:45,Rajdhani,Friday
22241,Passenger,SEC_015,09:24:22,09:41:22,Mail Passenger,Tuesday
22363,Passenger,SEC_030,19:08:09,19:18:09,Mail Passenger,Saturday
12046,Freight,SEC_002,01:42:30,02:03:30,Goods,Sunday
12156,Express,SEC_018,19:46:41,19:55:41,Superfast,Sunday
12002,Freight,SEC_022,02:04:50,02:28:50,Goods,Tuesday
22203,Freight,SEC_049,14:17:01,14:43:01,Goods,Wednesday
12018,Express,SEC_011,04:53:08,05:04:08,Superfast,Tuesday
22395,Freight,SEC_014,14:41:11,15:04:11,Goods,Friday
12266,Passenger,SEC_021,07:48:29,08:00:29,Mail Passenger,Wednesday
12376,Passenger,SEC_049,20:06:06,20:23:06,Mail Passenger,Wednesday
22293,Passenger,SEC_042,21:23:44,21:35:44,Mail Passenger,Monday
12018,Passenger,SEC_002,10:41:27,10:55:27,Mail Passenger,Thursday
12176,Passenger,SEC_012,18:22:05,18:35:05,Mail Passenger,Thursday
12006,Passenger,SEC_041,11:43:41,12:01:41,Mail Passenger,Thursday
22039,Freight,SEC_003,23:11:44,23:33:44,Goods,Wednesday
12470,Passenger,SEC_042,19:56:01,20:11:01,Mail Passenger,Saturday
22467,Passenger,SEC_014,09:04:09,09:14:09,Mail Passenger,Friday
22059,Express,SEC_045,17:06:00,17:15:00,Superfast,Tuesday
12202,Freight,SEC_015,00:01:04,00:23:04,Goods,Wednesday
12144,Express,SEC_022,09:38:55,09:46:55,Superfast,Friday
12214,Freight,SEC_033,22:29:58,22:58:58,Goods,Monday
12304,Express,SEC_007,18:09:19,18:17:19,Superfast,Wednesday
12190,Express,SEC_028,18:16:27,18:25:27,Rajdhani,Sunday
12406,Express,SEC_025,09:57:45,10:04:45,Superfast,Thursday
22029,Passenger,SEC_039,18:16:45,18:30:45,Mail Passenger,Thursday
22291,Express,SEC_049,02:21:55,02:28:55,Superfast,Friday
22355,Express,SEC_033,21:38:57,21:48:57,Rajdhani,Wednesday
22277,Express,SEC_021,20:37:43,20:44:43,Superfast,Saturday
12332,Express,SEC_020,10:40:36,10:46:36,Rajdhani,Monday
22309,Express,SEC_021,19:18:26,19:28:26,Superfast,Thursday
12082,Passenger,SEC_040,08:55:15,09:11:15,Mail Passenger,Friday
12394,Express,SEC_016,10:10:34,10:16:34,Superfast,Tuesday
12134,Express,SEC_009,14:58:17,15:07:17,Superfast,Saturday
22089,Express,SEC_017,01:24:59,01:35:59,Superfast,Monday
22273,Passenger,SEC_002,19:00:57,19:16:57,Mail Passenger,Friday
22317,Freight,SEC_006,13:08:08,13:36:08,Goods,Friday
12188,Express,SEC_005,09:13:07,09:18:07,Superfast,Saturday
12030,Express,SEC_038,17:40:24,17:48:24,Superfast,Tuesday
12498,Express,SEC_036,13:53:12,14:02:12,Rajdhani,Tuesday
12406,Express,SEC_035,23:31:43,23:36:43,Rajdhani,Friday
12248,Passenger,SEC_023,17:17:14,17:33:14,Mail Passenger,Sunday
12174,Express,SEC_036,12:18:55,12:23:55,Superfast,Saturday
22441,Express,SEC_008,18:31:46,18:42:46,Superfast,Tuesday
22177,Freight,SEC_045,11:52:18,12:13:18,Goods,Wednesday
12102,Passenger,SEC_025,03:00:32,03:10:32,Mail Passenger,Tuesday
12126,Freight,SEC_046,04:26:23,04:53:23,Goods,Saturday
12278,Express,SEC_008,20:45:04,20:51:04,Rajdhani,Thursday
22373,Freight,SEC_025,03:46:21,04:02:21,Goods,Thursday
12160,Express,SEC_035,20:47:58,20:55:58,Superfast,Monday
12096,Passenger,SEC_025,19:24:21,19:35:21,Mail Passenger,Friday
22467,Express,SEC_022,08:52:54,09:00:54,Superfast,Thursday
12048,Freight,SEC_009,01:59:03,02:20:03,Goods,Monday
22275,Freight,SEC_019,23:44:10,00:02:10,Goods,Tuesday
12088,Express,SEC_012,04:58:13,05:05:13,Rajdhani,Saturday
12326,Passenger,SEC_015,09:46:41,09:56:41,Mail Passenger,Saturday
22187,Express,SEC_034,21:32:27,21:40:27,Superfast,Thursday
12038,Express,SEC_031,13:34:18,13:40:18,Superfast,Saturday
22083,Freight,SEC_030,14:17:29,14:44:29,Goods,Saturday
22243,Freight,SEC_018,02:51:50,03:16:50,Goods,Friday
12072,Freight,SEC_048,14:53:37,15:22:37,Goods,Tuesday
22289,Express,SEC_005,03:08:04,03:17:04,Rajdhani,Wednesday
12400,Passenger,SEC_017,08:16:43,08:27:43,Mail Passenger,Saturday
22145,Express,SEC_006,09:17:41,09:23:41,Superfast,Wednesday
12468,Express,SEC_017,20:16:38,20:27:38,Superfast,Friday
22367,Passenger,SEC_048,19:45:16,19:55:16,Mail Passenger,Saturday
12042,Express,SEC_018,03:04:56,03:13:56,Superfast,Thursday
22233,Passenger,SEC_045,10:28:41,10:42:41,Mail Passenger,Thursday
12276,Freight,SEC_025,03:40:24,03:59:24,Goods,Tuesday
12280,Freight,SEC_035,11:26:33,11:42:33,Goods,Thursday
12230,Express,SEC_023,19:49:48,19:55:48,Superfast,Monday
12180,Express,SEC_014,11:02:48,11:11:48,Superfast,Monday
12284,Passenger,SEC_038,09:14:46,09:24:46,Mail Passenger,Thursday
12338,Freight,SEC_048,14:45:50,15:01:50,Goods,Tuesday
22423,Passenger,SEC_013,20:06:22,20:20:22,Mail Passenger,Wednesday
22051,Express,SEC_039,09:21:17,09:28:17,Superfast,Wednesday
22069,Express,SEC_013,10:39:30,10:49:30,Superfast,Thursday
22253,Express,SEC_036,09:21:28,09:29:28,Superfast,Friday
12212,Passenger,SEC_039,18:31:55,18:43:55,Mail Passenger,Thursday
22447,Express,SEC_023,15:48:07,15:57:07,Superfast,Saturday
12286,Express,SEC_037,14:54:28,15:04:28,Superfast,Thursday
22117,Passenger,SEC_014,20:26:04,20:41:04,Mail Passenger,Sunday
22425,Passenger,SEC_004,19:35:13,19:54:13,Mail Passenger,Sunday
12434,Express,SEC_005,10:41:45,10:52:45,Rajdhani,Wednesday
12020,Freight,SEC_022,13:24:10,13:47:10,Goods,Saturday
12442,Express,SEC_045,19:47:21,19:56:21,Superfast,Thursday
22181,Freight,SEC_007,03:20:47,03:36:47,Goods,Sunday
22115,Passenger,SEC_023,20:53:52,21:11:52,Mail Passenger,Saturday
22057,Passenger,SEC_035,06:33:14,06:47:14,Mail Passenger,Wednesday
12040,Passenger,SEC_010,15:41:08,15:54:08,Mail Passenger,Wednesday
22029,Freight,SEC_036,02:56:14,03:23:14,Goods,Sunday
12382,Express,SEC_015,18:48:38,18:54:38,Rajdhani,Thursday
12452,Passenger,SEC_040,17:49:25,18:03:25,Mail Passenger,Friday
22479,Passenger,SEC_029,10:02:50,10:21:50,Mail Passenger,Friday
22255,Passenger,SEC_027,08:01:44,08:17:44,Mail Passenger,Tuesday
22127,Freight,SEC_009,00:28:01,00:52:01,Goods,Tuesday
12444,Freight,SEC_023,12:29:25,12:56:25,Goods,Sunday
12456,Express,SEC_042,08:56:29,09:01:29,Rajdhani,Tuesday
12200,Passenger,SEC_001,20:51:38,21:07:38,Mail Passenger,Sunday
12104,Freight,SEC_038,12:44:26,13:04:26,Goods,Wednesday
22419,Express,SEC_025,12:01:39,12:10:39,Superfast,Saturday
22179,Express,SEC_036,20:58:12,21:08:12,Superfast,Friday
12268,Passenger,SEC_033,07:14:19,07:29:19,Mail Passenger,Monday
12442,Express,SEC_022,15:27:07,15:34:07,Superfast,Tuesday
22083,Freight,SEC_016,04:40:14,05:01:14,Goods,Sunday
12152,Freight,SEC_031,04:12:15,04:28:15,Goods,Tuesday
22105,Express,SEC_007,02:58:35,03:03:35,Superfast,Tuesday
22377,Freight,SEC_029,11:49:13,12:06:13,Goods,Tuesday
12058,Passenger,SEC_005,09:12:40,09:25:40,Mail Passenger,Friday
22073,Express,SEC_032,07:27:20,07:35:20,Superfast,Saturday
22165,Passenger,SEC_031,21:00:31,21:15:31,Mail Passenger,Sunday
22189,Express,SEC_005,21:59:53,22:08:53,Rajdhani,Sunday
12372,Passenger,SEC_038,09:40:33,09:54:33,Mail Passenger,Sunday
12470,Freight,SEC_021,14:18:10,14:36:10,Goods,Sunday
22297,Express,SEC_039,17:06:31,17:14:31,Superfast,Thursday
22113,Passenger,SEC_003,03:23:24,03:37:24,Mail Passenger,Saturday
12330,Passenger,SEC_009,09:24:43,09:34:43,Mail Passenger,Friday
12350,Express,SEC_025,02:23:04,02:31:04,Superfast,Monday
12042,Passenger,SEC_010,20:36:34,20:55:34,Mail Passenger,Monday
22459,Passenger,SEC_017,18:20:50,18:32:50,Mail Passenger,Monday
22255,Express,SEC_033,17:37:23,17:47:23,Superfast,Wednesday
12392,Express,SEC_008,21:18:07,21:26:07,Superfast,Thursday
22025,Passenger,SEC_034,18:36:25,18:52:25,Mail Passenger,Friday
22473,Freight,SEC_006,12:44:12,13:02:12,Goods,Thursday
12486,Freight,SEC_009,23:07:05,23:24:05,Goods,Wednesday
22471,Freight,SEC_029,01:06:18,01:33:18,Goods,Saturday
12264,Passenger,SEC_039,02:33:03,02:50:03,Mail Passenger,Sunday
12056,Freight,SEC_009,12:44:03,13:03:03,Goods,Tuesday
22225,Freight,SEC_015,13:28:38,13:45:38,Goods,Tuesday
12300,Freight,SEC_046,03:24:57,03:42:57,Goods,Sunday
12224,Passenger,SEC_049,22:50:39,23:02:39,Mail Passenger,Sunday
22213,Passenger,SEC_029,08:30:59,08:41:59,Mail Passenger,Wednesday
12174,Express,SEC_022,10:44:58,10:52:58,Superfast,Thursday
22341,Express,SEC_017,08:15:39,08:21:39,Superfast,Friday
12286,Passenger,SEC_031,21:20:17,21:35:17,Mail Passenger,Friday
22371,Express,SEC_029,14:22:02,14:30:02,Superfast,Sunday
12040,Express,SEC_015,04:08:05,04:18:05,Superfast,Monday
12122,Freight,SEC_002,00:12:28,00:33:28,Goods,Thursday
22439,Express,SEC_008,03:42:45,03:53:45,Superfast,Tuesday
22399,Passenger,SEC_047,04:14:17,04:26:17,Mail Passenger,Saturday
12336,Passenger,SEC_021,19:02:13,19:17:13,Mail Passenger,Friday
12204,Express,SEC_024,17:50:20,17:56:20,Rajdhani,Saturday
22213,Express,SEC_023,08:04:04,08:09:04,Superfast,Sunday
12328,Freight,SEC_039,00:02:19,00:26:19,Goods,Saturday
22385,Express,SEC_004,03:58:44,04:09:44,Superfast,Saturday
22213,Freight,SEC_005,01:04:57,01:27:57,Goods,Saturday
12448,Passenger,SEC_014,09:12:16,09:26:16,Mail Passenger,Friday
22173,Freight,SEC_024,02:48:34,03:15:34,Goods,Wednesday
12160,Express,SEC_033,21:56:20,22:04:20,Superfast,Wednesday
12346,Passenger,SEC_025,02:24:27,02:37:27,Mail Passenger,Wednesday
22395,Express,SEC_022,22:59:47,23:10:47,Rajdhani,Friday
12270,Freight,SEC_046,22:12:43,22:28:43,Goods,Saturday
22475,Express,SEC_008,02:46:51,02:51:51,Superfast,Wednesday
12426,Passenger,SEC_029,08:15:19,08:32:19,Mail Passenger,Friday
22103,Freight,SEC_027,11:35:54,11:50:54,Goods,Wednesday
22393,Express,SEC_024,06:50:34,06:58:34,Superfast,Friday
22405,Express,SEC_040,06:56:20,07:04:20,Superfast,Saturday
12434,Freight,SEC_014,01:47:31,02:13:31,Goods,Wednesday
12262,Freight,SEC_047,01:08:39,01:23:39,Goods,Wednesday
12382,Express,SEC_017,07:03:34,07:11:34,Superfast,Tuesday
22361,Passenger,SEC_027,22:17:30,22:29:30,Mail Passenger,Thursday
12458,Express,SEC_026,18:29:34,18:38:34,Rajdhani,Thursday
12148,Passenger,SEC_042,11:04:08,11:19:08,Mail Passenger,Tuesday
12078,Express,SEC_022,19:38:32,19:45:32,Superfast,Sunday
22383,Express,SEC_014,22:39:22,22:44:22,Superfast,Sunday
12320,Freight,SEC_002,12:03:51,12:23:51,Goods,Wednesday
12488,Express,SEC_018,05:16:58,05:25:58,Superfast,Sunday
22041,Passenger,SEC_041,19:01:05,19:16:05,Mail Passenger,Tuesday
22017,Freight,SEC_001,04:14:21,04:40:21,Goods,Wednesday
22249,Passenger,SEC_044,21:19:46,21:37:46,Mail Passenger,Monday
22303,Express,SEC_027,21:42:24,21:48:24,Superfast,Friday
12430,Express,SEC_007,01:33:03,01:38:03,Superfast,Thursday
12334,Freight,SEC_015,11:45:47,12:14:47,Goods,Tuesday
12362,Express,SEC_028,18:44:50,18:55:50,Rajdhani,Wednesday
22193,Express,SEC_016,07:28:54,07:39:54,Superfast,Sunday
22291,Passenger,SEC_006,20:37:55,20:51:55,Mail Passenger,Friday
12070,Passenger,SEC_033,07:38:36,07:54:36,Mail Passenger,Tuesday
12346,Express,SEC_033,17:32:43,17:38:43,Rajdhani,Monday
12070,Freight,SEC_006,01:42:03,02:00:03,Goods,Monday
12086,Freight,SEC_014,00:35:01,00:54:01,Goods,Tuesday
12082,Freight,SEC_012,11:30:12,11:51:12,Goods,Saturday
22465,Express,SEC_033,07:17:26,07:27:26,Superfast,Monday
12086,Express,SEC_036,09:20:06,09:29:06,Superfast,Tuesday
12106,Express,SEC_036,19:19:31,19:30:31,Rajdhani,Monday
22497,Express,SEC_046,02:40:07,02:50:07,Superfast,Friday
22083,Express,SEC_038,10:48:11,10:55:11,Superfast,Saturday
22271,Passenger,SEC_016,03:05:03,03:16:03,Mail Passenger,Thursday
12070,Freight,SEC_006,12:29:22,12:46:22,Goods,Sunday
22223,Freight,SEC_031,12:10:28,12:38:28,Goods,Friday
12468,Freight,SEC_045,02:48:43,03:10:43,Goods,Saturday
12164,Passenger,SEC_048,08:56:34,09:09:34,Mail Passenger,Wednesday
12230,Passenger,SEC_012,19:11:24,19:29:24,Mail Passenger,Sunday
12438,Express,SEC_012,20:57:19,21:06:19,Superfast,Friday
12266,Passenger,SEC_002,20:34:33,20:53:33,Mail Passenger,Monday
12474,Express,SEC_007,21:10:54,21:19:54,Superfast,Monday
22189,Passenger,SEC_028,17:23:37,17:42:37,Mail Passenger,Sunday
22115,Passenger,SEC_027,03:47:34,03:59:34,Mail Passenger,Tuesday
22013,Passenger,SEC_019,06:57:14,07:07:14,Mail Passenger,Thursday
22197,Express,SEC_016,07:18:27,07:27:27,Rajdhani,Saturday
22033,Express,SEC_041,12:06:06,12:12:06,Superfast,Saturday
22287,Express,SEC_023,21:18:34,21:25:34,Superfast,Monday
22007,Freight,SEC_040,12:45:48,13:06:48,Goods,Friday
22051,Express,SEC_048,13:00:47,13:08:47,Superfast,Sunday
22269,Express,SEC_016,22:01:16,22:08:16,Superfast,Wednesday
22303,Passenger,SEC_010,09:07:01,09:19:01,Mail Passenger,Thursday
12096,Express,SEC_047,14:57:58,15:06:58,Superfast,Tuesday
22371,Express,SEC_032,11:40:53,11:46:53,Rajdhani,Saturday
22201,Freight,SEC_015,14:43:43,15:01:43,Goods,Monday
22093,Freight,SEC_031,02:44:27,03:12:27,Goods,Thursday
12230,Freight,SEC_026,22:00:38,22:23:38,Goods,Wednesday
22461,Express,SEC_045,20:30:27,20:40:27,Superfast,Friday
12266,Express,SEC_013,16:28:20,16:34:20,Superfast,Thursday
22427,Passenger,SEC_049,09:27:27,09:42:27,Mail Passenger,Sunday
12446,Express,SEC_046,20:53:49,20:58:49,Rajdhani,Sunday
22113,Freight,SEC_009,01:57:42,02:20:42,Goods,Tuesday
22021,Freight,SEC_009,23:31:32,23:46:32,Goods,Monday
22335,Express,SEC_027,08:58:34,09:05:34,Superfast,Thursday
22247,Express,SEC_003,16:12:29,16:21:29,Rajdhani,Friday
22179,Freight,SEC_015,04:48:12,05:09:12,Goods,Saturday
22065,Express,SEC_022,09:16:30,09:21:30,Superfast,Thursday
22073,Express,SEC_048,20:53:58,21:02:58,Rajdhani,Friday
22463,Freight,SEC_049,03:44:05,04:09:05,Goods,Monday
22071,Passenger,SEC_008,02:05:33,02:21:33,Mail Passenger,Saturday
12458,Passenger,SEC_044,18:39:39,18:57:39,Mail Passenger,Wednesday
12132,Express,SEC_005,07:52:42,08:03:42,Superfast,Wednesday
22069,Freight,SEC_037,23:41:58,00:08:58,Goods,Wednesday
22259,Freight,SEC_042,11:18:07,11:36:07,Goods,Monday
12058,Freight,SEC_044,23:51:06,00:10:06,Goods,Thursday
12136,Express,SEC_011,02:45:34,02:50:34,Superfast,Wednesday
12054,Passenger,SEC_044,17:15:20,17:28:20,Mail Passenger,Tuesday
22009,Freight,SEC_006,03:01:25,03:26:25,Goods,Tuesday
22049,Passenger,SEC_026,18:53:38,19:10:38,Mail Passenger,Monday
12484,Passenger,SEC_024,10:54:07,11:13:07,Mail Passenger,Sunday
22079,Passenger,SEC_016,20:58:19,21:08:19,Mail Passenger,Wednesday
12110,Freight,SEC_002,01:17:48,01:39:48,Goods,Sunday
22077,Express,SEC_038,07:18:10,07:26:10,Superfast,Saturday
22037,Freight,SEC_017,02:13:17,02:33:17,Goods,Thursday
22081,Express,SEC_033,17:11:25,17:20:25,Superfast,Saturday
22051,Express,SEC_021,10:43:23,10:48:23,Superfast,Tuesday
12074,Passenger,SEC_019,19:42:35,19:52:35,Mail Passenger,Tuesday
12228,Express,SEC_044,03:17:05,03:25:05,Superfast,Sunday
12188,Express,SEC_005,11:59:24,12:07:24,Rajdhani,Friday
22089,Express,SEC_037,22:05:36,22:13:36,Superfast,Friday
12126,Express,SEC_037,10:13:33,10:20:33,Superfast,Sunday
12232,Express,SEC_019,07:46:33,07:54:33,Superfast,Monday
12208,Passenger,SEC_013,17:02:07,17:20:07,Mail Passenger,Tuesday
12060,Freight,SEC_001,03:08:06,03:36:06,Goods,Sunday
12446,Freight,SEC_046,11:42:11,12:03:11,Goods,Monday
12194,Express,SEC_047,17:14:08,17:23:08,Superfast,Thursday
22175,Freight,SEC_012,02:52:20,03:19:20,Goods,Monday
12286,Express,SEC_002,21:50:12,21:59:12,Superfast,Wednesday
22143,Passenger,SEC_007,08:31:19,08:43:19,Mail Passenger,Tuesday
22311,Passenger,SEC_004,06:01:11,06:15:11,Mail Passenger,Tuesday
22457,Freight,SEC_041,04:32:23,04:52:23,Goods,Saturday
12422,Passenger,SEC_044,19:33:57,19:45:57,Mail Passenger,Tuesday
12160,Freight,SEC_008,01:05:01,01:30:01,Goods,Saturday
