slot_id,section_id,window_start,window_end,passenger_traffic_density,is_blocked
SLOT_000120,SEC_006,2024-02-23 08:45:00,2024-02-23 10:45:00,0.97,True
SLOT_000121,SEC_022,2024-08-24 19:00:00,2024-08-24 20:30:00,0.97,True
SLOT_000122,SEC_033,2024-11-09 08:30:00,2024-11-09 08:45:00,0.75,False
SLOT_000123,SEC_033,2024-01-25 14:30:00,2024-01-25 14:45:00,0.4,True
SLOT_000124,SEC_024,2024-12-29 04:45:00,2024-12-29 05:00:00,0.31,False
SLOT_000125,SEC_042,2024-08-30 23:30:00,2024-08-31 00:00:00,0.58,False
SLOT_000126,SEC_028,2024-01-20 03:00:00,2024-01-20 03:15:00,0.22,False
SLOT_000127,SEC_004,2024-03-21 22:15:00,2024-03-21 23:15:00,0.55,True
SLOT_000128,SEC_038,2024-03-02 16:45:00,2024-03-02 17:00:00,0.49,False
SLOT_000129,SEC_029,2024-11-19 07:15:00,2024-11-19 10:15:00,0.8,True
SLOT_000130,SEC_032,2024-09-21 11:45:00,2024-09-21 12:45:00,0.5,True
SLOT_000131,SEC_028,2024-05-16 01:00:00,2024-05-16 01:15:00,0.32,True
SLOT_000132,SEC_028,2024-07-12 12:30:00,2024-07-12 13:00:00,0.28,False
SLOT_000133,SEC_005,2024-05-07 20:00:00,2024-05-07 20:30:00,0.89,True
SLOT_000134,SEC_028,2024-05-28 12:45:00,2024-05-28 14:45:00,0.38,True
SLOT_000135,SEC_039,2024-08-21 13:30:00,2024-08-21 15:30:00,0.43,False
SLOT_000136,SEC_015,2024-03-12 18:00:00,2024-03-12 19:00:00,0.82,True
SLOT_000137,SEC_030,2024-10-05 06:45:00,2024-10-05 08:45:00,0.72,True
SLOT_000138,SEC_002,2024-12-12 04:45:00,2024-12-12 05:00:00,0.17,False
SLOT_000139,SEC_018,2024-12-22 20:15:00,2024-12-22 20:45:00,0.95,False
SLOT_000140,SEC_022,2024-03-04 04:15:00,2024-03-04 04:30:00,0.11,False
SLOT_000141,SEC_049,2024-05-30 03:15:00,2024-05-30 04:15:00,0.44,False
SLOT_000142,SEC_011,2024-04-07 07:30:00,2024-04-07 07:45:00,0.88,True
SLOT_000143,SEC_014,2024-08-20 17:30:00,2024-08-20 19:30:00,0.78,True
SLOT_000144,SEC_021,2024-04-28 00:30:00,2024-04-28 02:00:00,0.66,True
SLOT_000145,SEC_049,2024-05-24 18:30:00,2024-05-24 20:30:00,0.75,True
SLOT_000146,SEC_042,2024-02-20 04:45:00,2024-02-20 06:15:00,0.25,True
SLOT_000147,SEC_002,2024-07-23 19:45:00,2024-07-23 20:00:00,0.73,True
SLOT_000148,SEC_012,2024-07-15 10:15:00,2024-07-15 11:15:00,0.54,True
SLOT_000149,SEC_041,2024-07-20 04:15:00,2024-07-20 04:30:00,0.15,True
SLOT_000150,SEC_003,2024-05-04 09:00:00,2024-05-04 09:15:00,0.93,True
SLOT_000151,SEC_042,2024-10-03 12:15:00,2024-10-03 15:15:00,0.3,True
SLOT_000152,SEC_014,2024-08-10 10:30:00,2024-08-10 13:30:00,0.56,False
SLOT_000153,SEC_045,2024-03-05 17:00:00,2024-03-05 17:15:00,0.72,True
SLOT_000154,SEC_015,2024-05-14 02:15:00,2024-05-14 03:15:00,0.14,False
SLOT_000155,SEC_022,2024-08-29 13:45:00,2024-08-29 14:15:00,0.29,False
SLOT_000156,SEC_033,2024-02-12 15:15:00,2024-02-12 16:15:00,0.48,False
SLOT_000157,SEC_007,2024-05-08 22:15:00,2024-05-08 23:45:00,0.7,False
SLOT_000158,SEC_028,2024-11-15 08:15:00,2024-11-15 09:15:00,0.94,True
SLOT_000159,SEC_025,2024-06-10 23:30:00,2024-06-11 01:30:00,0.69,True
SLOT_000160,SEC_039,2024-07-05 17:30:00,2024-07-05 17:45:00,0.81,False
SLOT_000161,SEC_049,2024-09-06 16:30:00,2024-09-06 18:00:00,0.48,False
SLOT_000162,SEC_033,2024-04-27 18:45:00,2024-04-27 20:45:00,0.94,True
SLOT_000163,SEC_021,2024-10-29 02:30:00,2024-10-29 04:00:00,0.29,False
SLOT_000164,SEC_020,2024-01-06 19:30:00,2024-01-06 21:00:00,0.79,True
SLOT_000165,SEC_021,2024-06-21 00:15:00,2024-06-21 01:45:00,0.63,True
SLOT_000166,SEC_040,2024-08-06 05:45:00,2024-08-06 06:00:00,0.54,True
SLOT_000167,SEC_016,2024-03-28 10:45:00,2024-03-28 12:45:00,0.46,True
SLOT_000168,SEC_009,2024-10-13 00:00:00,2024-10-13 00:30:00,0.58,True
SLOT_000169,SEC_017,2024-01-30 16:45:00,2024-01-30 17:15:00,0.59,True
SLOT_000170,SEC_002,2024-08-25 21:30:00,2024-08-25 23:00:00,0.73,False
SLOT_000171,SEC_006,2024-08-19 03:00:00,2024-08-19 04:30:00,0.41,False
SLOT_000172,SEC_005,2024-10-15 05:15:00,2024-10-15 06:15:00,0.58,False
SLOT_000173,SEC_038,2024-03-16 12:15:00,2024-03-16 12:30:00,0.33,True
SLOT_000174,SEC_036,2024-02-26 11:15:00,2024-02-26 14:15:00,0.73,True
SLOT_000175,SEC_035,2024-07-31 21:30:00,2024-07-31 23:30:00,0.43,True
SLOT_000176,SEC_023,2024-12-21 22:00:00,2024-12-21 23:00:00,0.65,True
SLOT_000177,SEC_036,2024-10-14 21:30:00,2024-10-14 22:30:00,0.49,True
SLOT_000178,SEC_008,2024-03-18 16:30:00,2024-03-18 19:30:00,0.59,False
SLOT_000179,SEC_045,2024-05-29 02:30:00,2024-05-29 03:30:00,0.21,True
SLOT_000180,SEC_025,2024-04-07 02:30:00,2024-04-07 03:00:00,0.22,True
SLOT_000181,SEC_046,2024-10-12 03:30:00,2024-10-12 04:00:00,0.33,False
SLOT_000182,SEC_008,2024-07-06 08:30:00,2024-07-06 10:00:00,0.72,True
SLOT_000183,SEC_025,2024-06-09 04:00:00,2024-06-09 06:00:00,0.34,False
SLOT_000184,SEC_035,2024-01-02 00:00:00,2024-01-02 00:30:00,0.41,False
SLOT_000185,SEC_025,2024-08-19 15:45:00,2024-08-19 16:15:00,0.53,False
SLOT_000186,SEC_022,2024-06-10 19:45:00,2024-06-10 22:45:00,0.73,True
SLOT_000187,SEC_009,2024-01-15 21:15:00,2024-01-15 21:30:00,0.48,True
SLOT_000188,SEC_019,2024-03-12 08:45:00,2024-03-12 10:15:00,0.89,True
SLOT_000189,SEC_012,2024-09-22 01:30:00,2024-09-22 02:00:00,0.24,False
SLOT_000190,SEC_015,2024-10-01 00:30:00,2024-10-01 02:00:00,0.55,True
SLOT_000191,SEC_034,2024-06-29 03:00:00,2024-06-29 04:00:00,0.38,False
SLOT_000192,SEC_031,2024-10-04 12:15:00,2024-10-04 12:30:00,0.15,False
SLOT_000193,SEC_030,2024-09-27 03:15:00,2024-09-27 03:45:00,0.37,False
SLOT_000194,SEC_018,2024-08-13 09:45:00,2024-08-13 10:45:00,0.72,True
SLOT_000195,SEC_048,2024-03-17 12:45:00,2024-03-17 13:00:00,0.2,False
SLOT_000196,SEC_005,2024-06-03 17:15:00,2024-06-03 18:45:00,0.88,True
SLOT_000197,SEC_017,2024-10-25 04:45:00,2024-10-25 06:45:00,0.43,False
SLOT_000198,SEC_006,2024-04-23 18:30:00,2024-04-23 19:00:00,0.86,True
SLOT_000199,SEC_017,2024-08-29 08:30:00,2024-08-29 11:30:00,0.93,True
SLOT_000200,SEC_048,2024-10-29 23:30:00,2024-10-30 01:30:00,0.47,True
SLOT_000201,SEC_018,2024-07-14 02:45:00,2024-07-14 03:00:00,0.3,False
SLOT_000202,SEC_045,2024-07-04 23:15:00,2024-07-05 00:15:00,0.49,False
SLOT_000203,SEC_025,2024-03-09 08:00:00,2024-03-09 09:30:00,0.9,True
SLOT_000204,SEC_035,2024-06-30 04:30:00,2024-06-30 06:00:00,0.11,False
SLOT_000205,SEC_023,2024-01-16 02:15:00,2024-01-16 03:15:00,0.3,False
SLOT_000206,SEC_014,2024-02-11 11:30:00,2024-02-11 12:30:00,0.68,False
SLOT_000207,SEC_038,2024-07-17 23:00:00,2024-07-18 00:30:00,0.58,False
SLOT_000208,SEC_048,2024-03-20 23:30:00,2024-03-21 01:30:00,0.73,False
SLOT_000209,SEC_013,2024-05-07 23:30:00,2024-05-08 02:30:00,0.44,True
SLOT_000210,SEC_039,2024-05-11 03:00:00,2024-05-11 03:15:00,0.15,False
SLOT_000211,SEC_013,2024-06-22 02:00:00,2024-06-22 02:15:00,0.14,False
SLOT_000212,SEC_036,2024-09-12 18:45:00,2024-09-12 20:15:00,0.71,True
SLOT_000213,SEC_039,2024-06-12 18:00:00,2024-06-12 19:00:00,0.96,True
SLOT_000214,SEC_023,2024-11-05 07:30:00,2024-11-05 10:30:00,0.82,True
SLOT_000215,SEC_037,2024-06-25 21:15:00,2024-06-25 22:45:00,0.73,True
SLOT_000216,SEC_014,2024-12-29 21:30:00,2024-12-29 22:00:00,0.43,True
SLOT_000217,SEC_004,2024-12-31 07:30:00,2024-12-31 10:30:00,0.77,True
SLOT_000218,SEC_005,2024-06-05 16:00:00,2024-06-05 19:00:00,0.49,False
SLOT_000219,SEC_022,2024-10-07 01:00:00,2024-10-07 01:15:00,0.42,False
SLOT_000220,SEC_045,2024-06-14 06:45:00,2024-06-14 09:45:00,0.55,False
SLOT_000221,SEC_007,2024-11-16 10:30:00,2024-11-16 11:30:00,0.5,True
SLOT_000222,SEC_023,2024-10-07 23:00:00,2024-10-07 23:30:00,0.71,False
SLOT_000223,SEC_035,2024-05-03 02:15:00,2024-05-03 02:30:00,0.24,False
SLOT_000224,SEC_010,2024-04-27 21:15:00,2024-04-27 21:30:00,0.43,False
SLOT_000225,SEC_036,2024-11-18 22:45:00,2024-11-18 23:00:00,0.52,False
SLOT_000226,SEC_015,2024-07-16 01:00:00,2024-07-16 03:00:00,0.32,False
SLOT_000227,SEC_040,2024-09-11 13:00:00,2024-09-11 16:00:00,0.1,False
SLOT_000228,SEC_029,2024-09-04 08:30:00,2024-09-04 11:30:00,0.77,True
SLOT_000229,SEC_027,2024-03-01 21:30:00,2024-03-01 23:00:00,0.61,True
SLOT_000230,SEC_009,2024-03-27 10:45:00,2024-03-27 11:15:00,0.61,False
SLOT_000231,SEC_023,2024-11-25 08:45:00,2024-11-25 11:45:00,0.89,True
SLOT_000232,SEC_042,2024-04-12 12:30:00,2024-04-12 15:30:00,0.25,True
SLOT_000233,SEC_001,2024-11-13 13:00:00,2024-11-13 14:00:00,0.15,False
SLOT_000234,SEC_038,2024-05-10 23:30:00,2024-05-11 00:00:00,0.74,False
SLOT_000235,SEC_025,2024-11-05 06:00:00,2024-11-05 09:00:00,0.69,False
SLOT_000236,SEC_036,2024-07-30 01:15:00,2024-07-30 02:15:00,0.41,False
SLOT_000237,SEC_033,2024-02-06 04:15:00,2024-02-06 05:45:00,0.1,False
SLOT_000238,SEC_022,2024-04-08 20:45:00,2024-04-08 23:45:00,0.74,False
SLOT_000239,SEC_016,2024-12-14 11:00:00,2024-12-14 11:15:00,0.59,False
SLOT_000240,SEC_031,2024-03-17 09:00:00,2024-03-17 09:30:00,0.71,True
SLOT_000241,SEC_007,2024-03-24 03:15:00,2024-03-24 03:45:00,0.17,False
SLOT_000242,SEC_029,2024-02-24 09:15:00,2024-02-24 11:15:00,0.8,True
SLOT_000243,SEC_005,2024-08-11 15:30:00,2024-08-11 15:45:00,0.71,False
SLOT_000244,SEC_032,2024-10-23 06:15:00,2024-10-23 06:30:00,0.41,False
SLOT_000245,SEC_031,2024-12-08 23:30:00,2024-12-09 00:00:00,0.42,False
SLOT_000246,SEC_005,2024-11-20 11:00:00,2024-11-20 12:00:00,0.5,False
SLOT_000247,SEC_038,2024-11-19 15:00:00,2024-11-19 17:00:00,0.51,False
SLOT_000248,SEC_021,2024-11-27 12:15:00,2024-11-27 15:15:00,0.13,True
SLOT_000249,SEC_039,2024-07-26 14:30:00,2024-07-26 16:00:00,0.75,False
SLOT_000250,SEC_003,2024-10-27 18:45:00,2024-10-27 19:15:00,0.95,False
SLOT_000251,SEC_009,2024-08-20 07:15:00,2024-08-20 08:45:00,0.86,True
SLOT_000252,SEC_025,2024-02-20 03:00:00,2024-02-20 05:00:00,0.12,False
SLOT_000253,SEC_010,2024-01-09 09:15:00,2024-01-09 09:30:00,0.93,True
SLOT_000254,SEC_017,2024-02-05 18:15:00,2024-02-05 21:15:00,0.71,True
SLOT_000255,SEC_033,2024-05-06 01:15:00,2024-05-06 02:45:00,0.38,False
SLOT_000256,SEC_008,2024-07-01 08:00:00,2024-07-01 10:00:00,0.78,True
SLOT_000257,SEC_034,2024-08-21 06:45:00,2024-08-21 07:00:00,0.68,False
SLOT_000258,SEC_006,2024-07-09 08:30:00,2024-07-09 11:30:00,0.96,True
SLOT_000259,SEC_009,2024-05-14 08:00:00,2024-05-14 11:00:00,0.74,True
SLOT_000260,SEC_029,2024-09-25 16:00:00,2024-09-25 19:00:00,0.71,False
SLOT_000261,SEC_039,2024-11-11 05:45:00,2024-11-11 07:15:00,0.75,True
SLOT_000262,SEC_009,2024-03-22 08:45:00,2024-03-22 09:00:00,0.91,True
SLOT_000263,SEC_015,2024-04-05 00:00:00,2024-04-05 01:00:00,0.4,False
SLOT_000264,SEC_046,2024-12-06 04:45:00,2024-12-06 06:15:00,0.24,False
SLOT_000265,SEC_049,2024-12-21 04:00:00,2024-12-21 05:00:00,0.37,True
SLOT_000266,SEC_029,2024-04-23 06:00:00,2024-04-23 07:00:00,0.73,True
SLOT_000267,SEC_022,2024-07-05 22:30:00,2024-07-05 23:30:00,0.56,True
SLOT_000268,SEC_017,2024-07-30 09:30:00,2024-07-30 11:30:00,0.95,True
SLOT_000269,SEC_031,2024-08-20 07:15:00,2024-08-20 08:45:00,0.94,True
SLOT_000270,SEC_029,2024-11-12 11:45:00,2024-11-12 13:45:00,0.7,False
SLOT_000271,SEC_015,2024-02-08 20:30:00,2024-02-08 20:45:00,0.97,False
SLOT_000272,SEC_002,2024-07-10 14:45:00,2024-07-10 15:15:00,0.55,True
SLOT_000273,SEC_008,2024-03-20 00:45:00,2024-03-20 03:45:00,0.45,False
SLOT_000274,SEC_047,2024-10-02 22:30:00,2024-10-03 00:30:00,0.52,True
SLOT_000275,SEC_021,2024-08-06 17:00:00,2024-08-06 19:00:00,0.71,False
SLOT_000276,SEC_024,2024-10-01 09:15:00,2024-10-01 10:15:00,0.78,True
SLOT_000277,SEC_023,2024-11-27 12:00:00,2024-11-27 13:00:00,0.28,False
SLOT_000278,SEC_039,2024-10-16 19:15:00,2024-10-16 20:45:00,0.98,True
SLOT_000279,SEC_004,2024-11-08 02:00:00,2024-11-08 04:00:00,0.36,True
SLOT_000280,SEC_005,2024-10-23 07:15:00,2024-10-23 08:15:00,0.79,True
SLOT_000281,SEC_014,2024-08-16 03:00:00,2024-08-16 06:00:00,0.3,False
SLOT_000282,SEC_024,2024-05-23 04:15:00,2024-05-23 05:15:00,0.27,False
SLOT_000283,SEC_033,2024-05-03 03:45:00,2024-05-03 04:15:00,0.33,False
SLOT_000284,SEC_025,2024-05-13 14:45:00,2024-05-13 16:45:00,0.56,True
SLOT_000285,SEC_022,2024-08-10 04:00:00,2024-08-10 06:00:00,0.3,True
SLOT_000286,SEC_046,2024-10-21 16:45:00,2024-10-21 18:15:00,0.46,True
SLOT_000287,SEC_008,2024-05-14 02:30:00,2024-05-14 05:30:00,0.45,True
SLOT_000288,SEC_029,2024-07-31 19:30:00,2024-07-31 22:30:00,0.84,True
SLOT_000289,SEC_027,2024-05-31 05:00:00,2024-05-31 05:30:00,0.4,False
SLOT_000290,SEC_024,2024-08-10 18:45:00,2024-08-10 20:45:00,0.73,True
SLOT_000291,SEC_040,2024-10-26 11:15:00,2024-10-26 13:15:00,0.44,True
SLOT_000292,SEC_014,2024-05-30 04:00:00,2024-05-30 07:00:00,0.26,True
SLOT_000293,SEC_047,2024-05-25 06:15:00,2024-05-25 07:45:00,0.53,True
SLOT_000294,SEC_017,2024-03-14 23:30:00,2024-03-15 01:30:00,0.58,False
SLOT_000295,SEC_027,2024-07-01 12:45:00,2024-07-01 14:45:00,0.21,False
SLOT_000296,SEC_026,2024-06-16 09:45:00,2024-06-16 12:45:00,0.8,True
SLOT_000297,SEC_042,2024-02-28 04:30:00,2024-02-28 05:00:00,0.19,False
SLOT_000298,SEC_022,2024-12-20 22:00:00,2024-12-20 22:15:00,0.45,False
SLOT_000299,SEC_014,2024-11-10 12:45:00,2024-11-10 14:45:00,0.38,False
SLOT_000300,SEC_002,2024-04-16 21:00:00,2024-04-16 22:30:00,0.59,False
SLOT_000301,SEC_018,2024-12-11 14:45:00,2024-12-11 17:45:00,0.68,False
SLOT_000302,SEC_041,2024-04-09 07:30:00,2024-04-09 07:45:00,0.82,True
