section_id,forecast_date,expected_rakes,commodity_type,seasonal_factor
SEC_015,2024-07-28,7,Foodgrain,0.88
SEC_034,2024-03-02,8,Other,0.96
SEC_031,2024-12-16,13,Other,1.11
SEC_030,2024-12-16,5,Cement,1.2
SEC_018,2024-09-17,5,Foodgrain,1.01
SEC_048,2024-11-26,4,Coal,1.26
SEC_005,2024-08-10,8,Foodgrain,0.73
SEC_017,2024-08-30,3,Coal,0.77
SEC_006,2024-10-30,10,Coal,1.31
SEC_017,2024-01-14,3,Steel,1.07
SEC_048,2024-03-21,3,Cement,1.06
SEC_018,2024-03-15,5,Cement,1.0
SEC_045,2024-08-19,3,Cement,0.75
SEC_025,2024-03-29,15,Steel,1.04
SEC_035,2024-05-22,15,Cement,1.06
SEC_023,2024-06-29,12,Other,0.86
SEC_014,2024-09-29,9,Cement,1.01
SEC_038,2024-07-08,10,Cement,0.89
SEC_048,2024-01-09,4,Other,1.21
SEC_013,2024-09-08,11,Cement,0.99
SEC_039,2024-06-05,8,Other,0.9
SEC_013,2024-02-11,10,Steel,1.22
SEC_036,2024-08-26,11,Steel,0.86
SEC_039,2024-04-08,13,Coal,1.02
SEC_023,2024-06-17,6,Coal,0.8
SEC_037,2024-12-20,13,Foodgrain,1.11
SEC_014,2024-03-28,8,Other,0.97
SEC_004,2024-11-20,19,Steel,1.37
SEC_005,2024-06-18,8,Cement,0.71
SEC_022,2024-12-07,15,Coal,1.18
SEC_045,2024-11-07,15,Other,1.37
SEC_007,2024-10-31,4,Foodgrain,1.23
SEC_023,2024-03-16,14,Foodgrain,1.36
SEC_035,2024-10-16,5,Steel,1.36
SEC_010,2024-05-14,12,Other,0.96
SEC_036,2024-11-29,13,Foodgrain,1.22
SEC_015,2024-12-28,3,Coal,1.13
SEC_040,2024-08-11,7,Foodgrain,0.7
SEC_029,2024-11-30,15,Foodgrain,1.26
SEC_027,2024-07-14,9,Cement,0.81
SEC_009,2024-01-13,13,Foodgrain,1.19
SEC_023,2024-11-15,2,Steel,1.23
SEC_042,2024-07-13,10,Coal,0.83
SEC_001,2024-01-17,12,Other,1.09
SEC_038,2024-01-24,2,Coal,1.2
SEC_025,2024-09-21,10,Steel,0.97
SEC_036,2024-12-04,3,Coal,1.13
SEC_033,2024-09-12,14,Steel,1.09
SEC_022,2024-06-10,9,Coal,0.86
SEC_016,2024-04-22,8,Steel,0.99
SEC_031,2024-06-02,9,Other,0.78
SEC_007,2024-04-28,2,Steel,1.1
SEC_029,2024-04-09,9,Other,1.04
SEC_005,2024-02-16,6,Cement,1.23
SEC_032,2024-07-27,10,Other,0.7
SEC_031,2024-03-20,14,Cement,0.98
SEC_005,2024-02-23,9,Other,1.05
SEC_038,2024-04-10,10,Foodgrain,1.36
SEC_021,2024-10-19,5,Other,1.28
SEC_039,2024-07-28,9,Coal,0.82
SEC_003,2024-06-28,3,Other,0.81
SEC_009,2024-08-04,9,Coal,0.78
SEC_025,2024-07-26,10,Coal,0.71
SEC_010,2024-07-01,9,Cement,0.87
SEC_017,2024-11-03,18,Steel,1.29
SEC_033,2024-09-24,2,Coal,1.05
SEC_008,2024-03-08,3,Other,1.0
SEC_034,2024-10-26,5,Foodgrain,1.2
SEC_006,2024-03-05,13,Foodgrain,1.49
SEC_009,2024-01-29,8,Steel,1.06
SEC_029,2024-06-03,7,Cement,0.84
SEC_039,2024-05-23,11,Steel,1.01
SEC_009,2024-10-14,11,Foodgrain,1.26
SEC_015,2024-09-11,7,Coal,1.04
SEC_046,2024-01-22,2,Steel,1.16
SEC_049,2024-07-01,10,Coal,0.8
SEC_029,2024-10-18,5,Steel,1.28
SEC_022,2024-09-25,7,Steel,1.02
SEC_017,2024-07-02,7,Cement,0.81
SEC_031,2024-08-13,6,Other,0.78
SEC_029,2024-07-24,9,Foodgrain,0.77
SEC_015,2024-03-25,7,Other,1.02
SEC_002,2024-07-25,6,Steel,0.8
SEC_008,2024-09-04,11,Foodgrain,1.07
SEC_047,2024-01-21,12,Cement,1.06
SEC_021,2024-09-11,7,Coal,1.02
SEC_024,2024-04-01,4,Foodgrain,1.45
SEC_023,2024-01-03,10,Other,1.25
SEC_039,2024-10-03,12,Foodgrain,1.24
SEC_004,2024-05-22,2,Other,0.96
SEC_005,2024-05-30,6,Cement,1.03
SEC_014,2024-08-16,4,Coal,0.88
SEC_024,2024-07-24,7,Foodgrain,0.9
SEC_033,2024-08-15,8,Steel,0.77
SEC_025,2024-12-11,2,Other,1.18
SEC_022,2024-08-26,9,Steel,0.74
SEC_046,2024-01-17,5,Foodgrain,1.05
SEC_008,2024-03-22,2,Cement,1.03
SEC_029,2024-06-13,4,Other,0.9
SEC_027,2024-06-21,6,Foodgrain,0.87
SEC_024,2024-05-12,11,Other,1.0
SEC_040,2024-03-08,5,Coal,0.96
SEC_014,2024-02-08,10,Other,1.05
SEC_047,2024-02-23,6,Steel,1.14
SEC_017,2024-12-13,2,Cement,1.16
SEC_027,2024-05-24,11,Foodgrain,1.03
SEC_026,2024-12-17,10,Cement,1.19
SEC_042,2024-05-02,11,Coal,0.98
SEC_022,2024-04-24,7,Foodgrain,1.38
SEC_014,2024-06-28,6,Coal,0.84
SEC_002,2024-12-12,4,Foodgrain,1.23
SEC_018,2024-07-25,7,Foodgrain,0.75
SEC_041,2024-01-13,4,Steel,1.17
SEC_001,2024-04-09,16,Foodgrain,1.36
SEC_044,2024-12-25,7,Steel,1.06
SEC_027,2024-02-26,14,Coal,1.14
SEC_007,2024-11-01,6,Coal,1.19
SEC_015,2024-12-05,10,Steel,1.13
SEC_028,2024-03-19,13,Cement,1.06
SEC_016,2024-07-23,3,Foodgrain,0.77
SEC_006,2024-08-07,10,Coal,0.73
SEC_033,2024-10-17,7,Foodgrain,1.36
SEC_033,2024-10-19,18,Foodgrain,1.29
SEC_006,2024-01-22,14,Steel,1.06
SEC_014,2024-04-26,13,Coal,1.02
SEC_012,2024-12-10,14,Steel,1.08
SEC_033,2024-05-09,13,Coal,1.01
SEC_036,2024-03-31,11,Steel,1.02
SEC_036,2024-08-18,8,Foodgrain,0.88
SEC_046,2024-03-12,10,Other,1.03
SEC_038,2024-02-23,14,Other,1.08
SEC_016,2024-10-19,9,Cement,1.3
SEC_006,2024-02-13,9,Steel,1.12
SEC_031,2024-11-22,13,Other,1.2
SEC_045,2024-04-01,2,Other,0.99
SEC_048,2024-02-09,8,Steel,1.19
SEC_012,2024-09-28,5,Coal,1.06
SEC_012,2024-03-05,12,Foodgrain,1.48
SEC_002,2024-05-14,12,Foodgrain,1.07
SEC_007,2024-05-08,14,Cement,1.04
SEC_028,2024-07-04,12,Coal,0.85
SEC_027,2024-06-22,9,Foodgrain,0.76
SEC_019,2024-03-12,12,Steel,1.05
SEC_016,2024-03-26,4,Foodgrain,1.45
SEC_041,2024-03-12,6,Coal,1.03
SEC_023,2024-01-21,2,Foodgrain,1.23
SEC_040,2024-08-26,11,Coal,0.77
SEC_048,2024-06-21,2,Other,0.8
SEC_016,2024-02-09,7,Cement,1.19
SEC_010,2024-05-01,7,Other,0.96
SEC_047,2024-09-01,14,Cement,1.03
SEC_032,2024-04-14,12,Other,0.99
SEC_015,2024-05-26,2,Steel,1.03
SEC_031,2024-09-29,15,Coal,1.04
SEC_026,2024-09-02,11,Other,1.03
SEC_045,2024-09-13,3,Cement,1.03
SEC_013,2024-05-19,5,Cement,0.98
SEC_049,2024-06-26,2,Steel,0.75
SEC_046,2024-11-05,8,Steel,1.34
SEC_009,2024-11-15,6,Cement,1.18
SEC_009,2024-01-21,11,Foodgrain,1.06
SEC_027,2024-11-02,8,Coal,1.16
SEC_003,2024-11-22,6,Steel,1.24
SEC_015,2024-12-10,9,Steel,1.09
SEC_022,2024-04-08,13,Other,1.0
SEC_048,2024-07-02,6,Steel,0.79
SEC_049,2024-01-16,15,Foodgrain,1.1
SEC_008,2024-02-10,4,Foodgrain,1.17
SEC_044,2024-07-24,8,Coal,0.75
SEC_005,2024-03-16,13,Foodgrain,1.31
SEC_037,2024-03-23,12,Steel,0.99
SEC_042,2024-04-18,3,Other,1.0
SEC_044,2024-06-17,5,Steel,0.71
SEC_011,2024-02-25,17,Steel,1.22
SEC_044,2024-10-20,18,Foodgrain,1.37
SEC_006,2024-09-01,12,Steel,0.98
SEC_026,2024-10-16,18,Foodgrain,1.32
SEC_024,2024-12-04,2,Cement,1.17
SEC_016,2024-08-07,9,Other,0.85
SEC_002,2024-05-12,3,Other,1.01
SEC_038,2024-12-23,11,Steel,1.17
SEC_017,2024-07-26,8,Cement,0.7
SEC_033,2024-06-18,2,Steel,0.79
SEC_021,2024-06-01,9,Other,0.81
SEC_019,2024-01-15,13,Coal,1.2
SEC_044,2024-12-15,15,Other,1.17
SEC_005,2024-10-26,6,Steel,1.3
SEC_037,2024-09-13,11,Cement,0.99
SEC_037,2024-03-21,12,Cement,1.01
SEC_019,2024-12-05,11,Steel,1.23
SEC_013,2024-03-05,3,Other,1.06
SEC_001,2024-03-29,8,Steel,1.01
SEC_046,2024-01-26,3,Cement,1.16
SEC_047,2024-04-15,2,Other,0.98
SEC_012,2024-04-30,5,Coal,1.02
SEC_002,2024-10-17,7,Other,1.24
SEC_007,2024-04-29,7,Other,1.01
SEC_004,2024-12-15,3,Steel,1.05
SEC_041,2024-04-20,6,Other,1.01
SEC_044,2024-07-10,4,Coal,0.82
SEC_008,2024-08-05,6,Coal,0.73
SEC_037,2024-10-30,6,Cement,1.3
SEC_009,2024-10-02,2,Other,1.23
SEC_018,2024-11-13,3,Coal,1.31
SEC_030,2024-12-09,11,Cement,1.09
SEC_036,2024-02-12,2,Coal,1.12
SEC_043,2024-02-04,8,Cement,1.13
SEC_003,2024-06-13,5,Other,0.84
SEC_010,2024-02-25,12,Foodgrain,1.06
SEC_014,2024-06-29,12,Coal,0.85
SEC_016,2024-08-03,11,Steel,0.88
SEC_049,2024-04-11,7,Foodgrain,1.31
SEC_039,2024-02-05,14,Cement,1.08
SEC_016,2024-12-19,3,Foodgrain,1.12
SEC_048,2024-05-15,6,Foodgrain,0.99
SEC_025,2024-11-03,15,Cement,1.22
SEC_025,2024-08-16,3,Other,0.83
SEC_022,2024-08-30,10,Cement,0.82
SEC_008,2024-10-12,12,Coal,1.28
SEC_046,2024-04-07,4,Coal,0.98
SEC_001,2024-03-20,9,Steel,1.05
SEC_009,2024-12-30,12,Steel,1.06
SEC_012,2024-09-01,15,Cement,1.04
SEC_014,2024-04-16,9,Other,1.05
SEC_007,2024-08-24,8,Foodgrain,0.84
SEC_001,2024-05-24,4,Other,1.05
SEC_034,2024-11-10,14,Foodgrain,1.19
SEC_048,2024-07-05,4,Cement,0.73
SEC_006,2024-04-24,4,Cement,1.09
SEC_015,2024-09-09,6,Steel,1.0
SEC_025,2024-10-01,7,Cement,1.21
SEC_046,2024-05-16,4,Foodgrain,1.02
SEC_035,2024-10-02,17,Foodgrain,1.32
SEC_038,2024-03-26,6,Steel,0.98
SEC_029,2024-03-28,13,Steel,1.09
SEC_021,2024-10-29,13,Other,1.33
SEC_010,2024-08-15,7,Cement,0.83
SEC_043,2024-01-13,14,Coal,1.2
SEC_040,2024-09-04,14,Foodgrain,1.05
SEC_002,2024-04-21,11,Cement,1.03
SEC_036,2024-04-10,4,Cement,1.01
SEC_005,2024-06-04,3,Other,0.72
SEC_037,2024-06-14,10,Cement,0.9
SEC_041,2024-11-22,14,Coal,1.17
SEC_007,2024-06-08,6,Foodgrain,0.84
SEC_022,2024-04-18,6,Steel,0.95
SEC_007,2024-10-10,9,Coal,1.35
SEC_028,2024-07-17,3,Other,0.76
SEC_046,2024-01-01,12,Coal,1.17
SEC_004,2024-08-19,6,Steel,0.84
SEC_020,2024-07-02,4,Steel,0.73
SEC_048,2024-07-29,5,Foodgrain,0.7
SEC_015,2024-03-08,8,Cement,0.98
SEC_007,2024-06-24,4,Steel,0.83
SEC_024,2024-08-24,8,Cement,0.87
SEC_025,2024-09-04,6,Coal,1.07
SEC_033,2024-09-06,6,Other,0.99
SEC_016,2024-12-31,13,Other,1.07
SEC_047,2024-07-02,9,Foodgrain,0.8
SEC_026,2024-06-06,5,Coal,0.77
SEC_015,2024-07-17,8,Cement,0.75
SEC_048,2024-04-30,5,Cement,1.02
SEC_046,2024-04-25,7,Cement,0.99
SEC_025,2024-09-09,5,Steel,1.07
SEC_002,2024-04-24,15,Foodgrain,1.4
SEC_030,2024-10-01,4,Foodgrain,1.32
SEC_028,2024-09-29,3,Cement,1.01
SEC_008,2024-12-14,15,Steel,1.17
SEC_032,2024-02-18,8,Foodgrain,1.19
SEC_042,2024-05-12,10,Other,1.03
SEC_006,2024-10-09,8,Foodgrain,1.25
SEC_036,2024-06-06,3,Foodgrain,0.84
SEC_007,2024-08-27,2,Other,0.87
SEC_037,2024-09-26,11,Other,0.96
SEC_021,2024-11-19,4,Foodgrain,1.35
SEC_001,2024-03-23,8,Steel,1.01
SEC_048,2024-04-05,7,Coal,1.01
SEC_009,2024-06-21,4,Other,0.72
SEC_030,2024-07-04,8,Foodgrain,0.84
SEC_009,2024-11-27,17,Foodgrain,1.2
SEC_046,2024-01-15,12,Other,1.07
SEC_037,2024-03-30,10,Steel,1.07
SEC_040,2024-11-29,15,Coal,1.38
SEC_022,2024-08-12,12,Cement,0.86
SEC_023,2024-09-04,13,Other,1.09
SEC_032,2024-04-01,6,Coal,1.08
SEC_039,2024-08-15,9,Other,0.74
SEC_042,2024-05-15,13,Foodgrain,1.06
SEC_001,2024-09-25,11,Foodgrain,1.09
SEC_033,2024-02-03,17,Other,1.19
SEC_006,2024-04-14,5,Steel,0.97
SEC_015,2024-08-23,8,Cement,0.76
SEC_041,2024-08-09,7,Coal,0.83
SEC_013,2024-11-03,7,Cement,1.2
SEC_040,2024-10-20,6,Coal,1.23
SEC_023,2024-01-06,6,Coal,1.21
SEC_012,2024-02-03,6,Steel,1.07
SEC_017,2024-05-09,11,Steel,1.03
SEC_027,2024-12-16,2,Cement,1.18
SEC_038,2024-06-23,2,Other,0.87
SEC_030,2024-11-22,5,Other,1.36
SEC_046,2024-01-22,14,Cement,1.19
SEC_043,2024-12-18,3,Coal,1.1
SEC_037,2024-01-23,13,Cement,1.1
SEC_030,2024-10-22,5,Foodgrain,1.23
SEC_015,2024-11-16,8,Foodgrain,1.38
SEC_021,2024-04-17,6,Foodgrain,1.49
SEC_006,2024-04-20,9,Other,1.03
SEC_019,2024-07-31,7,Steel,0.83
SEC_046,2024-09-21,12,Other,1.07
SEC_021,2024-02-13,15,Foodgrain,1.05
SEC_006,2024-03-27,9,Cement,1.01
SEC_032,2024-10-03,5,Other,1.19
SEC_048,2024-10-22,12,Other,1.19
SEC_043,2024-02-26,12,Foodgrain,1.06
SEC_014,2024-11-21,14,Steel,1.36
SEC_023,2024-11-13,14,Coal,1.25
SEC_027,2024-11-13,16,Steel,1.26
SEC_013,2024-03-29,10,Cement,0.95
SEC_014,2024-09-01,13,Cement,1.01
SEC_012,2024-02-28,4,Coal,1.09
SEC_049,2024-03-12,10,Foodgrain,1.41
SEC_037,2024-01-26,6,Other,1.13
SEC_042,2024-06-29,4,Other,0.84
SEC_041,2024-09-17,10,Other,1.0
SEC_047,2024-03-13,9,Other,0.96
SEC_006,2024-03-09,2,Coal,1.02
SEC_044,2024-04-11,11,Cement,1.01
SEC_004,2024-03-13,16,Foodgrain,1.32
SEC_024,2024-10-31,3,Foodgrain,1.36
SEC_030,2024-03-03,4,Cement,1.0
SEC_018,2024-04-11,12,Other,1.08
SEC_008,2024-04-21,17,Foodgrain,1.4
SEC_010,2024-03-15,3,Cement,0.96
SEC_041,2024-12-10,11,Foodgrain,1.2
SEC_016,2024-03-17,6,Cement,0.99
SEC_016,2024-06-27,3,Other,0.8
SEC_046,2024-07-26,7,Other,0.85
SEC_008,2024-04-05,8,Steel,0.99
SEC_045,2024-06-21,11,Other,0.87
SEC_046,2024-03-03,19,Foodgrain,1.43
SEC_030,2024-06-25,6,Foodgrain,0.71
SEC_009,2024-01-07,6,Coal,1.17
SEC_008,2024-06-09,8,Foodgrain,0.86
SEC_014,2024-05-13,8,Steel,1.0
SEC_029,2024-05-08,15,Coal,1.08
SEC_008,2024-02-10,7,Other,1.23
SEC_023,2024-12-31,13,Coal,1.16
SEC_006,2024-01-10,10,Cement,1.07
SEC_027,2024-02-23,4,Cement,1.1
SEC_002,2024-02-07,17,Cement,1.19
SEC_035,2024-12-23,12,Other,1.15
SEC_003,2024-04-26,8,Coal,0.96
SEC_010,2024-06-06,11,Coal,0.86
SEC_009,2024-10-01,2,Other,1.25
SEC_041,2024-01-19,16,Coal,1.13
SEC_003,2024-01-25,10,Steel,1.13
SEC_022,2024-03-07,10,Cement,1.09
SEC_029,2024-09-05,13,Foodgrain,1.09
SEC_026,2024-12-24,3,Steel,1.15
SEC_034,2024-08-15,4,Steel,0.9
SEC_040,2024-11-15,14,Other,1.17
SEC_020,2024-11-18,16,Foodgrain,1.17
SEC_041,2024-04-11,12,Other,1.07
SEC_016,2024-03-08,17,Foodgrain,1.43
SEC_049,2024-02-28,4,Cement,1.21
SEC_025,2024-10-17,4,Steel,1.24
SEC_037,2024-09-02,12,Coal,1.0
SEC_043,2024-11-12,18,Foodgrain,1.27
SEC_039,2024-07-04,9,Cement,0.71
SEC_042,2024-12-23,6,Foodgrain,1.22
SEC_027,2024-11-23,3,Other,1.37
SEC_003,2024-10-22,17,Cement,1.19
SEC_025,2024-10-20,16,Foodgrain,1.32
SEC_009,2024-02-15,8,Foodgrain,1.2
SEC_044,2024-09-29,5,Steel,1.07
SEC_012,2024-12-12,6,Other,1.15
SEC_012,2024-04-16,5,Coal,1.0
SEC_013,2024-10-25,9,Coal,1.22
SEC_032,2024-05-08,4,Cement,1.0
SEC_028,2024-03-18,5,Coal,0.99
SEC_047,2024-09-24,10,Foodgrain,1.04
SEC_021,2024-03-01,10,Coal,1.09
SEC_014,2024-06-25,5,Cement,0.78
SEC_003,2024-12-08,12,Coal,1.24
SEC_001,2024-02-27,7,Steel,1.14
SEC_019,2024-02-26,15,Foodgrain,1.24
SEC_046,2024-12-11,16,Steel,1.21
SEC_026,2024-10-11,4,Steel,1.2
SEC_044,2024-06-17,2,Coal,0.76
SEC_005,2024-05-28,10,Coal,1.05
SEC_005,2024-12-18,6,Coal,1.08
SEC_041,2024-09-21,7,Steel,1.01
SEC_006,2024-11-28,5,Coal,1.32
SEC_003,2024-02-03,6,Foodgrain,1.1
SEC_020,2024-07-13,10,Other,0.82
SEC_046,2024-09-22,3,Cement,1.05
SEC_034,2024-01-14,13,Steel,1.14
SEC_005,2024-07-06,7,Foodgrain,0.86
SEC_042,2024-01-21,12,Cement,1.09
SEC_042,2024-11-25,6,Other,1.38
SEC_040,2024-09-06,5,Foodgrain,1.06
SEC_045,2024-03-09,5,Coal,1.06
SEC_012,2024-07-09,3,Other,0.79
SEC_048,2024-02-10,12,Foodgrain,1.21
SEC_016,2024-10-21,15,Coal,1.16
