task_id,section_id,start_km,end_km,defect_type,severity_class,logged_date,target_completion_date,deferred_count,status
TMS_TASK_000103,SEC_040,164.072,164.554,Weld Failure,B,2024-06-28,2024-07-06,2,Deferred
TMS_TASK_000104,SEC_001,4.471,5.115,Ballast Issue,C,2024-05-11,2024-06-15,0,Completed
TMS_TASK_000105,SEC_040,164.235,164.717,Ballast Issue,C,2024-08-28,2024-09-29,2,Open
TMS_TASK_000106,SEC_039,162.57,163.369,Track Parameter Deviation,B,2024-11-25,2024-12-02,0,Completed
TMS_TASK_000107,SEC_039,160.46,161.756,Track Parameter Deviation,A,2024-12-10,2024-12-16,2,Deferred
TMS_TASK_000108,SEC_033,149.646,149.797,Track Parameter Deviation,C,2024-06-25,2024-08-02,4,Open
TMS_TASK_000109,SEC_024,94.039,94.648,Rail Fracture Risk,B,2024-07-12,2024-07-26,0,Completed
TMS_TASK_000110,SEC_035,151.88,153.149,Ballast Issue,C,2024-05-19,2024-06-14,4,Open
TMS_TASK_000111,SEC_014,69.228,70.286,Deep Screening Overdue,B,2024-12-08,2024-12-16,0,Completed
TMS_TASK_000112,SEC_039,163.27,163.385,Ballast Issue,C,2024-12-10,2024-12-26,3,Deferred
TMS_TASK_000113,SEC_028,129.05,130.32,Rail Fracture Risk,A,2024-07-02,2024-07-05,1,Deferred
TMS_TASK_000114,SEC_023,93.652,93.933,Ballast Issue,C,2024-01-08,2024-02-12,0,Completed
TMS_TASK_000115,SEC_025,102.051,103.502,Weld Failure,A,2024-05-13,2024-05-20,0,Open
TMS_TASK_000116,SEC_028,129.856,130.089,Ballast Issue,A,2024-07-20,2024-07-26,3,Deferred
TMS_TASK_000117,SEC_002,11.833,12.374,Ballast Issue,B,2024-10-25,2024-11-06,3,In-Progress
TMS_TASK_000118,SEC_007,35.11,36.207,Ballast Issue,B,2024-12-08,2024-12-28,0,In-Progress
TMS_TASK_000119,SEC_013,62.863,64.195,Ballast Issue,B,2024-01-26,2024-02-04,1,In-Progress
TMS_TASK_000120,SEC_006,27.952,28.568,Rail Fracture Risk,B,2024-12-08,2024-12-17,3,Deferred
TMS_TASK_000121,SEC_022,91.602,92.742,Weld Failure,C,2024-03-18,2024-05-01,1,Deferred
TMS_TASK_000122,SEC_033,148.876,150.195,Weld Failure,B,2024-02-27,2024-03-11,2,Deferred
TMS_TASK_000123,SEC_033,149.188,150.479,Track Parameter Deviation,C,2024-12-10,2024-12-29,0,In-Progress
TMS_TASK_000124,SEC_024,94.756,95.028,Ballast Issue,C,2024-10-26,2024-11-23,0,Open
TMS_TASK_000125,SEC_042,165.819,165.86,Deep Screening Overdue,C,2024-11-30,2025-01-10,3,Deferred
TMS_TASK_000126,SEC_028,130.704,131.532,Track Parameter Deviation,A,2024-05-16,2024-05-20,0,Completed
TMS_TASK_000127,SEC_004,25.396,26.221,Ballast Issue,B,2024-07-02,2024-07-11,3,Deferred
TMS_TASK_000128,SEC_038,156.765,157.663,Rail Fracture Risk,B,2024-10-08,2024-10-15,3,Open
TMS_TASK_000129,SEC_029,133.992,135.303,Deep Screening Overdue,B,2024-08-27,2024-09-04,4,Deferred
TMS_TASK_000130,SEC_032,146.302,147.034,Track Parameter Deviation,C,2024-01-02,2024-01-20,0,Open
TMS_TASK_000131,SEC_028,129.64,129.812,Weld Failure,B,2024-10-28,2024-11-17,1,Deferred
TMS_TASK_000132,SEC_028,128.932,130.254,Deep Screening Overdue,B,2024-01-10,2024-01-19,3,Deferred
TMS_TASK_000133,SEC_005,26.399,26.578,Ballast Issue,B,2024-02-05,2024-02-25,3,Open
TMS_TASK_000134,SEC_028,132.101,132.664,Ballast Issue,C,2024-03-17,2024-04-07,0,Completed
TMS_TASK_000135,SEC_039,161.562,163.002,Ballast Issue,C,2024-09-08,2024-09-26,2,Open
TMS_TASK_000136,SEC_015,71.403,71.978,Ballast Issue,B,2024-07-29,2024-08-07,0,Open
TMS_TASK_000137,SEC_030,138.037,138.669,Track Parameter Deviation,B,2024-11-11,2024-11-27,0,Completed
TMS_TASK_000138,SEC_002,10.677,11.824,Rail Fracture Risk,A,2024-12-10,2024-12-12,0,Completed
TMS_TASK_000139,SEC_018,82.907,83.203,Ballast Issue,B,2024-02-14,2024-03-02,0,Completed
TMS_TASK_000140,SEC_022,91.289,92.545,Track Parameter Deviation,B,2024-10-24,2024-11-07,3,Deferred
TMS_TASK_000141,SEC_049,197.701,198.536,Deep Screening Overdue,B,2024-10-07,2024-10-22,2,Deferred
TMS_TASK_000142,SEC_011,53.329,53.567,Rail Fracture Risk,B,2024-03-05,2024-03-16,1,In-Progress
TMS_TASK_000143,SEC_014,66.394,66.558,Ballast Issue,B,2024-01-08,2024-01-25,0,In-Progress
TMS_TASK_000144,SEC_021,89.567,89.692,Ballast Issue,C,2024-03-08,2024-04-01,0,Completed
TMS_TASK_000145,SEC_049,194.823,196.271,Ballast Issue,C,2024-09-10,2024-10-03,0,Open
TMS_TASK_000146,SEC_042,165.824,165.866,Rail Fracture Risk,B,2024-11-20,2024-12-09,3,In-Progress
TMS_TASK_000147,SEC_002,10.807,12.09,Ballast Issue,C,2024-04-16,2024-05-14,3,Deferred
TMS_TASK_000148,SEC_012,58.246,59.376,Deep Screening Overdue,B,2024-09-28,2024-10-11,0,Completed
TMS_TASK_000149,SEC_041,165.203,165.661,Rail Fracture Risk,A,2024-03-28,2024-04-02,0,Completed
TMS_TASK_000150,SEC_003,14.221,15.116,Track Parameter Deviation,B,2024-07-30,2024-08-16,3,In-Progress
TMS_TASK_000151,SEC_042,165.794,165.836,Track Parameter Deviation,B,2024-11-26,2024-12-09,0,Deferred
TMS_TASK_000152,SEC_014,70.501,70.637,Deep Screening Overdue,B,2024-01-18,2024-01-31,0,Completed
TMS_TASK_000153,SEC_045,179.15,179.463,Rail Fracture Risk,A,2024-03-30,2024-04-04,0,Completed
TMS_TASK_000154,SEC_015,71.869,72.935,Track Parameter Deviation,C,2024-02-23,2024-03-29,2,Open
TMS_TASK_000155,SEC_022,90.323,90.96,Deep Screening Overdue,B,2024-05-25,2024-06-05,0,In-Progress
TMS_TASK_000156,SEC_033,149.777,151.096,Deep Screening Overdue,B,2024-07-27,2024-08-03,0,Deferred
TMS_TASK_000157,SEC_007,32.925,33.509,Deep Screening Overdue,B,2024-09-01,2024-09-13,0,Open
TMS_TASK_000158,SEC_028,131.565,132.638,Deep Screening Overdue,A,2024-11-05,2024-11-07,0,Completed
TMS_TASK_000159,SEC_025,102.662,102.934,Deep Screening Overdue,B,2024-02-26,2024-03-13,0,Open
TMS_TASK_000160,SEC_039,161.098,161.432,Rail Fracture Risk,B,2024-08-25,2024-09-07,2,Deferred
TMS_TASK_000161,SEC_049,196.196,196.962,Deep Screening Overdue,B,2024-10-22,2024-11-09,2,Deferred
TMS_TASK_000162,SEC_033,149.193,149.932,Weld Failure,C,2024-06-30,2024-08-10,4,Deferred
TMS_TASK_000163,SEC_021,88.889,89.045,Track Parameter Deviation,A,2024-08-16,2024-08-18,1,Deferred
TMS_TASK_000164,SEC_020,88.143,88.573,Track Parameter Deviation,B,2024-12-02,2024-12-22,0,Completed
TMS_TASK_000165,SEC_021,89.435,89.794,Ballast Issue,B,2024-11-29,2024-12-12,0,In-Progress
TMS_TASK_000166,SEC_040,164.337,164.819,Weld Failure,A,2024-01-19,2024-01-24,0,Open
TMS_TASK_000167,SEC_016,74.363,74.397,Weld Failure,A,2024-08-08,2024-08-10,0,Completed
TMS_TASK_000168,SEC_009,43.891,45.308,Deep Screening Overdue,A,2024-02-22,2024-02-23,0,Open
TMS_TASK_000169,SEC_017,75.452,75.96,Deep Screening Overdue,C,2024-01-08,2024-02-05,3,Deferred
TMS_TASK_000170,SEC_002,12.862,13.156,Weld Failure,B,2024-03-26,2024-04-12,2,Deferred
TMS_TASK_000171,SEC_006,27.549,28.367,Weld Failure,A,2024-03-07,2024-03-13,0,Completed
TMS_TASK_000172,SEC_005,26.518,26.697,Ballast Issue,C,2024-01-04,2024-02-07,0,In-Progress
TMS_TASK_000173,SEC_038,157.715,158.693,Ballast Issue,C,2024-06-30,2024-08-07,1,Open
TMS_TASK_000174,SEC_036,154.632,155.001,Rail Fracture Risk,A,2024-06-11,2024-06-17,3,Deferred
TMS_TASK_000175,SEC_035,152.406,153.573,Weld Failure,A,2024-06-24,2024-06-26,0,In-Progress
TMS_TASK_000176,SEC_023,93.467,93.748,Deep Screening Overdue,B,2024-05-23,2024-06-07,0,Completed
TMS_TASK_000177,SEC_036,154.386,154.824,Rail Fracture Risk,B,2024-08-09,2024-08-28,0,In-Progress
TMS_TASK_000178,SEC_008,38.732,39.244,Rail Fracture Risk,A,2024-02-20,2024-02-22,0,Deferred
TMS_TASK_000179,SEC_045,179.076,179.424,Rail Fracture Risk,A,2024-03-17,2024-03-21,2,Deferred
TMS_TASK_000180,SEC_025,109.303,110.797,Track Parameter Deviation,B,2024-01-21,2024-02-06,3,Deferred
TMS_TASK_000181,SEC_046,187.795,189.004,Track Parameter Deviation,B,2024-04-22,2024-05-10,2,In-Progress
TMS_TASK_000182,SEC_008,38.874,39.386,Weld Failure,A,2024-01-30,2024-02-03,0,In-Progress
TMS_TASK_000183,SEC_025,97.402,97.641,Rail Fracture Risk,A,2024-08-22,2024-08-25,0,Completed
TMS_TASK_000184,SEC_035,152.424,153.045,Deep Screening Overdue,C,2024-06-14,2024-07-14,2,In-Progress
TMS_TASK_000185,SEC_025,99.698,100.426,Ballast Issue,B,2024-07-08,2024-07-26,2,Deferred
TMS_TASK_000186,SEC_022,91.904,92.85,Weld Failure,A,2024-09-20,2024-09-23,0,Completed
TMS_TASK_000187,SEC_009,41.616,42.93,Deep Screening Overdue,A,2024-04-03,2024-04-10,0,Open
TMS_TASK_000188,SEC_019,87.582,87.753,Deep Screening Overdue,B,2024-02-22,2024-03-14,0,Open
TMS_TASK_000189,SEC_012,58.238,59.1,Track Parameter Deviation,B,2024-05-13,2024-05-30,2,In-Progress
TMS_TASK_000190,SEC_015,72.084,73.377,Track Parameter Deviation,C,2024-09-28,2024-11-12,0,Open
TMS_TASK_000191,SEC_034,151.222,151.525,Rail Fracture Risk,B,2024-02-14,2024-03-04,4,Open
TMS_TASK_000192,SEC_031,139.487,139.543,Ballast Issue,B,2024-03-02,2024-03-13,1,In-Progress
TMS_TASK_000193,SEC_030,137.097,137.834,Ballast Issue,C,2024-12-14,2025-01-17,3,Deferred
TMS_TASK_000194,SEC_018,80.739,81.889,Deep Screening Overdue,C,2024-07-29,2024-09-11,3,Deferred
TMS_TASK_000195,SEC_048,193.552,194.039,Ballast Issue,B,2024-11-09,2024-11-17,0,Deferred
TMS_TASK_000196,SEC_005,26.504,26.683,Deep Screening Overdue,C,2024-04-26,2024-05-31,0,Deferred
TMS_TASK_000197,SEC_017,76.43,76.514,Deep Screening Overdue,C,2024-09-03,2024-10-06,4,Deferred
TMS_TASK_000198,SEC_006,27.203,28.146,Ballast Issue,C,2024-02-12,2024-02-27,0,In-Progress
TMS_TASK_000199,SEC_017,75.23,76.367,Rail Fracture Risk,A,2024-12-06,2024-12-07,0,Completed
TMS_TASK_000200,SEC_048,193.329,193.816,Weld Failure,A,2024-09-30,2024-10-01,0,Completed
TMS_TASK_000201,SEC_018,81.494,81.801,Weld Failure,B,2024-12-24,2025-01-13,0,Open
TMS_TASK_000202,SEC_045,184.066,184.415,Deep Screening Overdue,B,2024-06-30,2024-07-08,0,Open
TMS_TASK_000203,SEC_025,95.735,96.839,Weld Failure,C,2024-01-30,2024-02-13,0,Open
TMS_TASK_000204,SEC_035,153.467,154.075,Weld Failure,A,2024-06-25,2024-06-26,0,In-Progress
TMS_TASK_000205,SEC_023,93.547,93.827,Track Parameter Deviation,B,2024-05-09,2024-05-19,3,Deferred
TMS_TASK_000206,SEC_014,66.988,67.817,Deep Screening Overdue,C,2024-06-21,2024-07-10,2,Deferred
TMS_TASK_000207,SEC_038,157.25,157.863,Track Parameter Deviation,B,2024-10-21,2024-11-07,1,Deferred
TMS_TASK_000208,SEC_048,193.313,193.801,Rail Fracture Risk,A,2024-03-28,2024-04-02,0,Completed
TMS_TASK_000209,SEC_013,64.701,65.367,Deep Screening Overdue,C,2024-07-04,2024-08-13,2,Deferred
TMS_TASK_000210,SEC_039,161.329,161.968,Track Parameter Deviation,C,2024-05-17,2024-06-23,0,Open
TMS_TASK_000211,SEC_013,63.347,64.01,Rail Fracture Risk,A,2024-09-21,2024-09-27,2,Deferred
TMS_TASK_000212,SEC_036,154.541,154.979,Deep Screening Overdue,B,2024-08-03,2024-08-15,0,In-Progress
TMS_TASK_000213,SEC_039,161.666,162.082,Weld Failure,B,2024-09-05,2024-09-13,0,Deferred
TMS_TASK_000214,SEC_023,93.654,93.935,Track Parameter Deviation,B,2024-01-05,2024-01-18,0,Open
TMS_TASK_000215,SEC_037,155.689,156.226,Ballast Issue,C,2024-12-01,2024-12-26,4,Deferred
TMS_TASK_000216,SEC_014,66.628,68.041,Weld Failure,B,2024-12-29,2025-01-11,3,In-Progress
TMS_TASK_000217,SEC_004,23.325,24.431,Ballast Issue,B,2024-05-01,2024-05-08,0,Deferred
TMS_TASK_000218,SEC_005,26.542,26.721,Track Parameter Deviation,A,2024-02-02,2024-02-06,0,Open
TMS_TASK_000219,SEC_022,91.055,92.239,Ballast Issue,B,2024-01-30,2024-02-11,0,In-Progress
TMS_TASK_000220,SEC_045,179.931,180.792,Ballast Issue,B,2024-12-09,2024-12-18,0,Open
TMS_TASK_000221,SEC_007,37.407,37.836,Ballast Issue,C,2024-11-06,2024-12-06,0,Deferred
TMS_TASK_000222,SEC_023,93.515,93.795,Weld Failure,B,2024-12-24,2025-01-01,0,Completed
TMS_TASK_000223,SEC_035,152.267,153.536,Deep Screening Overdue,C,2024-08-06,2024-09-06,0,Completed
TMS_TASK_000224,SEC_010,45.933,45.965,Weld Failure,B,2024-12-21,2025-01-03,0,Open
TMS_TASK_000225,SEC_036,154.411,154.849,Ballast Issue,C,2024-08-06,2024-09-14,1,In-Progress
TMS_TASK_000226,SEC_015,72.557,73.18,Ballast Issue,C,2024-11-28,2024-12-29,3,In-Progress
TMS_TASK_000227,SEC_040,164.115,164.597,Deep Screening Overdue,B,2024-12-25,2025-01-15,0,Deferred
TMS_TASK_000228,SEC_029,134.057,135.367,Ballast Issue,C,2024-08-17,2024-09-25,1,Deferred
TMS_TASK_000229,SEC_027,128.261,128.475,Track Parameter Deviation,B,2024-05-20,2024-06-09,0,Completed
TMS_TASK_000230,SEC_009,45.226,45.595,Rail Fracture Risk,A,2024-04-14,2024-04-17,0,Completed
TMS_TASK_000231,SEC_023,93.629,93.91,Ballast Issue,C,2024-05-31,2024-07-05,1,In-Progress
TMS_TASK_000232,SEC_042,165.788,165.83,Track Parameter Deviation,B,2024-05-15,2024-05-25,3,Deferred
TMS_TASK_000233,SEC_001,3.766,4.064,Rail Fracture Risk,A,2024-05-03,2024-05-07,0,Open
TMS_TASK_000234,SEC_038,157.624,158.823,Rail Fracture Risk,A,2024-11-07,2024-11-12,0,Open
TMS_TASK_000235,SEC_025,96.303,96.398,Deep Screening Overdue,C,2024-10-13,2024-11-13,3,Open
TMS_TASK_000236,SEC_036,154.256,154.694,Ballast Issue,B,2024-03-15,2024-03-30,2,In-Progress
TMS_TASK_000237,SEC_033,148.829,149.974,Deep Screening Overdue,C,2024-07-26,2024-08-11,3,In-Progress
TMS_TASK_000238,SEC_022,92.14,92.896,Track Parameter Deviation,C,2024-02-08,2024-03-06,0,In-Progress
TMS_TASK_000239,SEC_016,74.381,74.414,Weld Failure,B,2024-07-08,2024-07-21,0,Completed
TMS_TASK_000240,SEC_031,139.129,139.415,Track Parameter Deviation,B,2024-02-19,2024-03-10,4,Deferred
TMS_TASK_000241,SEC_007,37.498,37.581,Weld Failure,A,2024-06-04,2024-06-08,3,In-Progress
TMS_TASK_000242,SEC_029,135.112,136.113,Weld Failure,A,2024-12-01,2024-12-05,0,Completed
TMS_TASK_000243,SEC_005,26.551,26.722,Rail Fracture Risk,A,2024-11-28,2024-12-04,0,Open
TMS_TASK_000244,SEC_032,141.618,143.096,Track Parameter Deviation,C,2024-06-20,2024-07-24,3,Deferred
