signal_id,signal_type,section_id,equivalent_km
SIG_SEC_022_0085,Distant,SEC_022,93.034
SIG_SEC_023_0086,Axle Counter,SEC_023,93.59
SIG_SEC_023_0087,Point Machine,SEC_023,93.615
SIG_SEC_023_0088,Starter,SEC_023,93.87
SIG_SEC_024_0089,Distant,SEC_024,94.232
SIG_SEC_024_0090,Point Machine,SEC_024,94.329
SIG_SEC_024_0091,Home,SEC_024,95.013
SIG_SEC_025_0092,Distant,SEC_025,99.839
SIG_SEC_025_0093,Point Machine,SEC_025,106.376
SIG_SEC_025_0094,Starter,SEC_025,107.77
SIG_SEC_025_0095,Starter,SEC_025,110.738
SIG_SEC_026_0096,Axle Counter,SEC_026,119.574
SIG_SEC_026_0097,Point Machine,SEC_026,125.983
SIG_SEC_027_0098,Starter,SEC_027,126.431
SIG_SEC_027_0099,Home,SEC_027,127.028
SIG_SEC_027_0100,Distant,SEC_027,127.27
SIG_SEC_027_0101,Home,SEC_027,128.239
SIG_SEC_028_0102,Distant,SEC_028,128.624
SIG_SEC_028_0103,Starter,SEC_028,129.553
SIG_SEC_029_0104,Point Machine,SEC_029,134.538
SIG_SEC_029_0105,Axle Counter,SEC_029,134.733
SIG_SEC_029_0106,Distant,SEC_029,135.036
SIG_SEC_029_0107,Distant,SEC_029,135.569
SIG_SEC_029_0108,Axle Counter,SEC_029,136.091
SIG_SEC_030_0109,Distant,SEC_030,137.184
SIG_SEC_030_0110,Axle Counter,SEC_030,137.742
SIG_SEC_030_0111,Point Machine,SEC_030,138.78
SIG_SEC_031_0112,Starter,SEC_031,139.262
SIG_SEC_031_0113,Axle Counter,SEC_031,139.445
SIG_SEC_032_0114,Distant,SEC_032,141.056
SIG_SEC_032_0115,Axle Counter,SEC_032,142.511
SIG_SEC_033_0116,Distant,SEC_033,149.938
SIG_SEC_033_0117,Starter,SEC_033,150.523
SIG_SEC_034_0118,Point Machine,SEC_034,151.37
SIG_SEC_034_0119,Axle Counter,SEC_034,151.391
SIG_SEC_034_0120,Distant,SEC_034,151.499
SIG_SEC_034_0121,Point Machine,SEC_034,151.575
SIG_SEC_034_0122,Starter,SEC_034,151.673
SIG_SEC_035_0123,Starter,SEC_035,152.004
SIG_SEC_035_0124,Point Machine,SEC_035,153.126
SIG_SEC_036_0125,Axle Counter,SEC_036,154.315
SIG_SEC_036_0126,Axle Counter,SEC_036,154.629
SIG_SEC_036_0127,Axle Counter,SEC_036,154.692
SIG_SEC_037_0128,Home,SEC_037,155.228
SIG_SEC_037_0129,Distant,SEC_037,155.263
SIG_SEC_037_0130,Starter,SEC_037,155.52
SIG_SEC_037_0131,Point Machine,SEC_037,155.817
SIG_SEC_038_0132,Point Machine,SEC_038,156.875
SIG_SEC_038_0133,Home,SEC_038,157.093
SIG_SEC_038_0134,Axle Counter,SEC_038,158.076
SIG_SEC_039_0135,Home,SEC_039,161.11
SIG_SEC_039_0136,Home,SEC_039,161.439
SIG_SEC_039_0137,Distant,SEC_039,161.758
SIG_SEC_039_0138,Home,SEC_039,161.836
SIG_SEC_040_0139,Axle Counter,SEC_040,163.956
SIG_SEC_040_0140,Home,SEC_040,164.38
SIG_SEC_040_0141,Distant,SEC_040,164.396
SIG_SEC_041_0142,Starter,SEC_041,165.131
SIG_SEC_041_0143,Distant,SEC_041,165.56
SIG_SEC_041_0144,Distant,SEC_041,165.61
SIG_SEC_042_0145,Distant,SEC_042,165.808
SIG_SEC_042_0146,Distant,SEC_042,165.816
SIG_SEC_042_0147,Axle Counter,SEC_042,165.827
SIG_SEC_042_0148,Starter,SEC_042,165.842
SIG_SEC_043_0149,Home,SEC_043,168.239
SIG_SEC_043_0150,Home,SEC_043,169.501
SIG_SEC_044_0151,Home,SEC_044,171.114
SIG_SEC_044_0152,Axle Counter,SEC_044,171.983
SIG_SEC_044_0153,Home,SEC_044,172.321
SIG_SEC_044_0154,Home,SEC_044,177.241
SIG_SEC_045_0155,Home,SEC_045,179.473
SIG_SEC_045_0156,Starter,SEC_045,181.957
SIG_SEC_046_0157,Starter,SEC_046,184.587
SIG_SEC_046_0158,Distant,SEC_046,191.317
SIG_SEC_047_0159,Distant,SEC_047,192.691
SIG_SEC_047_0160,Axle Counter,SEC_047,192.743
SIG_SEC_047_0161,Starter,SEC_047,192.95
SIG_SEC_047_0162,Starter,SEC_047,193.038
SIG_SEC_047_0163,Axle Counter,SEC_047,193.084
SIG_SEC_048_0164,Starter,SEC_048,193.526
SIG_SEC_048_0165,Point Machine,SEC_048,193.564
SIG_SEC_048_0166,Home,SEC_048,193.96
SIG_SEC_048_0167,Point Machine,SEC_048,194.111
SIG_SEC_049_0168,Distant,SEC_049,194.67
SIG_SEC_049_0169,Axle Counter,SEC_049,196.042
SIG_SEC_049_0170,Home,SEC_049,196.594
