station_code,field,severity,description,raw_value,detected_at
DPA,station_code,MEDIUM,OGD station code 'DPA' not found in OSM dataset.,DPA,2026-09-06T11:41:48.133697
SWM,station_code,MEDIUM,OGD station code 'SWM' not found in OSM dataset.,SWM,2026-09-06T11:41:48.133697
COR,station_code,MEDIUM,OGD station code 'COR' not found in OSM dataset.,COR,2026-09-06T11:41:48.133697
UDZ,station_code,MEDIUM,OGD station code 'UDZ' not found in OSM dataset.,UDZ,2026-09-06T11:41:48.133697
JSM,station_code,MEDIUM,OGD station code 'JSM' not found in OSM dataset.,JSM,2026-09-06T11:41:48.133697
MDB,station_code,MEDIUM,OGD station code 'MDB' not found in OSM dataset.,MDB,2026-09-06T11:41:48.133697
FL,station_code,MEDIUM,OGD station code 'FL' not found in OSM dataset.,FL,2026-09-06T11:41:48.133697
BTE,station_code,MEDIUM,OGD station code 'BTE' not found in OSM dataset.,BTE,2026-09-06T11:41:48.133697
IDH,station_code,MEDIUM,OGD station code 'IDH' not found in OSM dataset.,IDH,2026-09-06T11:41:48.133697
AGC,station_code,MEDIUM,OGD station code 'AGC' not found in OSM dataset.,AGC,2026-09-06T11:41:48.133697
AWB,station_code,MEDIUM,OGD station code 'AWB' not found in OSM dataset.,AWB,2026-09-06T11:41:48.133697
MMR,station_code,MEDIUM,OGD station code 'MMR' not found in OSM dataset.,MMR,2026-09-06T11:41:48.133697
BSL,station_code,MEDIUM,OGD station code 'BSL' not found in OSM dataset.,BSL,2026-09-06T11:41:48.140262
KNW,station_code,MEDIUM,OGD station code 'KNW' not found in OSM dataset.,KNW,2026-09-06T11:41:48.140262
JHS,station_code,MEDIUM,OGD station code 'JHS' not found in OSM dataset.,JHS,2026-09-06T11:41:48.140262
CNB,station_code,MEDIUM,OGD station code 'CNB' not found in OSM dataset.,CNB,2026-09-06T11:41:48.140262
LKO,station_code,MEDIUM,OGD station code 'LKO' not found in OSM dataset.,LKO,2026-09-06T11:41:48.140262
BBK,station_code,MEDIUM,OGD station code 'BBK' not found in OSM dataset.,BBK,2026-09-06T11:41:48.141066
AY,station_name,LOW,Name matched by fuzzy substring (OGD='Ayodhya' ~ OSM='Ayodhyapattanam'); verify manually.,,2026-09-06T11:41:48.141066
SHG,station_code,MEDIUM,OGD station code 'SHG' not found in OSM dataset.,SHG,2026-09-06T11:41:48.141066
JNU,station_code,MEDIUM,OGD station code 'JNU' not found in OSM dataset.,JNU,2026-09-06T11:41:48.141066
BSB,station_code,MEDIUM,OGD station code 'BSB' not found in OSM dataset.,BSB,2026-09-06T11:41:48.141722
FGR,station_code,MEDIUM,OGD station code 'FGR' not found in OSM dataset.,FGR,2026-09-06T11:41:48.141722
KSJ,station_code,MEDIUM,OGD station code 'KSJ' not found in OSM dataset.,KSJ,2026-09-06T11:41:48.142117
BE,station_code,MEDIUM,OGD station code 'BE' not found in OSM dataset.,BE,2026-09-06T11:41:48.142117
SVDK,station_code,MEDIUM,OGD station code 'SVDK' not found in OSM dataset.,SVDK,2026-09-06T11:41:48.142117
HSR,station_code,MEDIUM,OGD station code 'HSR' not found in OSM dataset.,HSR,2026-09-06T11:41:48.142117
BNW,station_code,MEDIUM,OGD station code 'BNW' not found in OSM dataset.,BNW,2026-09-06T11:41:48.142117
ROK,station_code,MEDIUM,OGD station code 'ROK' not found in OSM dataset.,ROK,2026-09-06T11:41:48.143229
MGS,station_code,MEDIUM,OGD station code 'MGS' not found in OSM dataset.,MGS,2026-09-06T11:41:48.143229
RJPB,station_code,MEDIUM,OGD station code 'RJPB' not found in OSM dataset.,RJPB,2026-09-06T11:41:48.143229
PNP,station_code,MEDIUM,OGD station code 'PNP' not found in OSM dataset.,PNP,2026-09-06T11:41:48.143229
KUN,station_code,MEDIUM,OGD station code 'KUN' not found in OSM dataset.,KUN,2026-09-06T11:41:48.143919
KKDE,station_code,MEDIUM,OGD station code 'KKDE' not found in OSM dataset.,KKDE,2026-09-06T11:41:48.143919
UMB,station_code,MEDIUM,OGD station code 'UMB' not found in OSM dataset.,UMB,2026-09-06T11:41:48.143919
PNBE,station_code,MEDIUM,OGD station code 'PNBE' not found in OSM dataset.,PNBE,2026-09-06T11:41:48.143919
BTI,station_code,MEDIUM,OGD station code 'BTI' not found in OSM dataset.,BTI,2026-09-06T11:41:48.143919
PTA,station_code,MEDIUM,OGD station code 'PTA' not found in OSM dataset.,PTA,2026-09-06T11:41:48.144666
URK,station_code,MEDIUM,OGD station code 'URK' not found in OSM dataset.,URK,2026-09-06T11:41:48.144666
PJP,station_code,MEDIUM,OGD station code 'PJP' not found in OSM dataset.,PJP,2026-09-06T11:41:48.144666
ASR,station_code,MEDIUM,OGD station code 'ASR' not found in OSM dataset.,ASR,2026-09-06T11:41:48.144666
CSMT,station_code,MEDIUM,OGD station code 'CSMT' not found in OSM dataset.,CSMT,2026-09-06T11:41:48.145412
DR,station_code,MEDIUM,OGD station code 'DR' not found in OSM dataset.,DR,2026-09-06T11:41:48.145412
TNA,station_code,MEDIUM,OGD station code 'TNA' not found in OSM dataset.,TNA,2026-09-06T11:41:48.145412
KYN,station_code,MEDIUM,OGD station code 'KYN' not found in OSM dataset.,KYN,2026-09-06T11:41:48.145412
IGP,station_code,MEDIUM,OGD station code 'IGP' not found in OSM dataset.,IGP,2026-09-06T11:41:48.145412
NK,station_code,MEDIUM,OGD station code 'NK' not found in OSM dataset.,NK,2026-09-06T11:41:48.146086
JL,station_code,MEDIUM,OGD station code 'JL' not found in OSM dataset.,JL,2026-09-06T11:41:48.146086
MKU,station_code,MEDIUM,OGD station code 'MKU' not found in OSM dataset.,MKU,2026-09-06T11:41:48.146086
AK,station_code,MEDIUM,OGD station code 'AK' not found in OSM dataset.,AK,2026-09-06T11:41:48.146086
MZR,station_code,MEDIUM,OGD station code 'MZR' not found in OSM dataset.,MZR,2026-09-06T11:41:48.146086
BD,station_code,MEDIUM,OGD station code 'BD' not found in OSM dataset.,BD,2026-09-06T11:41:48.146875
DMN,station_code,MEDIUM,OGD station code 'DMN' not found in OSM dataset.,DMN,2026-09-06T11:41:48.146875
PLO,station_code,MEDIUM,OGD station code 'PLO' not found in OSM dataset.,PLO,2026-09-06T11:41:48.146875
WR,station_code,MEDIUM,OGD station code 'WR' not found in OSM dataset.,WR,2026-09-06T11:41:48.146875
NGP,station_code,MEDIUM,OGD station code 'NGP' not found in OSM dataset.,NGP,2026-09-06T11:41:48.146875
LTT,station_code,MEDIUM,OGD station code 'LTT' not found in OSM dataset.,LTT,2026-09-06T11:41:48.147662
AJNI,station_code,MEDIUM,OGD station code 'AJNI' not found in OSM dataset.,AJNI,2026-09-06T11:41:48.147662
CSN,station_code,MEDIUM,OGD station code 'CSN' not found in OSM dataset.,CSN,2026-09-06T11:41:48.147662
KAWR,station_code,MEDIUM,OGD station code 'KAWR' not found in OSM dataset.,KAWR,2026-09-06T11:41:48.147662
KT,station_code,MEDIUM,OGD station code 'KT' not found in OSM dataset.,KT,2026-09-06T11:41:48.147662
KUDA,station_code,MEDIUM,OGD station code 'KUDA' not found in OSM dataset.,KUDA,2026-09-06T11:41:48.148430
UD,station_code,MEDIUM,OGD station code 'UD' not found in OSM dataset.,UD,2026-09-06T11:41:48.148430
MULK,station_code,MEDIUM,OGD station code 'MULK' not found in OSM dataset.,MULK,2026-09-06T11:41:48.148430
MAJN,station_code,MEDIUM,OGD station code 'MAJN' not found in OSM dataset.,MAJN,2026-09-06T11:41:48.148430
MTJ,station_name,LOW,Name matched by fuzzy substring (OGD='Mathura Jn.' ~ OSM='Mathur'); verify manually.,,2026-09-06T11:41:48.148430
GWL,station_code,MEDIUM,OGD station code 'GWL' not found in OSM dataset.,GWL,2026-09-06T11:41:48.148430
BPL,station_code,MEDIUM,OGD station code 'BPL' not found in OSM dataset.,BPL,2026-09-06T11:41:48.148430
ET,station_code,MEDIUM,OGD station code 'ET' not found in OSM dataset.,ET,2026-09-06T11:41:48.148430
DD,station_code,MEDIUM,OGD station code 'DD' not found in OSM dataset.,DD,2026-09-06T11:41:48.148430
KK,station_code,MEDIUM,OGD station code 'KK' not found in OSM dataset.,KK,2026-09-06T11:41:48.149616
ANG,station_code,MEDIUM,OGD station code 'ANG' not found in OSM dataset.,ANG,2026-09-06T11:41:48.149616
KPG,station_code,MEDIUM,OGD station code 'KPG' not found in OSM dataset.,KPG,2026-09-06T11:41:48.149616
HD,station_code,MEDIUM,OGD station code 'HD' not found in OSM dataset.,HD,2026-09-06T11:41:48.149616
PPI,station_code,MEDIUM,OGD station code 'PPI' not found in OSM dataset.,PPI,2026-09-06T11:41:48.149616
NU,station_code,MEDIUM,OGD station code 'NU' not found in OSM dataset.,NU,2026-09-06T11:41:48.150286
MML,station_code,MEDIUM,OGD station code 'MML' not found in OSM dataset.,MML,2026-09-06T11:41:48.150286
JBP,station_code,MEDIUM,OGD station code 'JBP' not found in OSM dataset.,JBP,2026-09-06T11:41:48.150286
BDTS,station_code,MEDIUM,OGD station code 'BDTS' not found in OSM dataset.,BDTS,2026-09-06T11:41:48.150286
BVI,station_code,MEDIUM,OGD station code 'BVI' not found in OSM dataset.,BVI,2026-09-06T11:41:48.150912
VAPI,station_code,MEDIUM,OGD station code 'VAPI' not found in OSM dataset.,VAPI,2026-09-06T11:41:48.150912
ST,station_code,MEDIUM,OGD station code 'ST' not found in OSM dataset.,ST,2026-09-06T11:41:48.150912
BRC,station_code,MEDIUM,OGD station code 'BRC' not found in OSM dataset.,BRC,2026-09-06T11:41:48.151338
RTM,station_code,MEDIUM,OGD station code 'RTM' not found in OSM dataset.,RTM,2026-09-06T11:41:48.151338
UJN,station_code,MEDIUM,OGD station code 'UJN' not found in OSM dataset.,UJN,2026-09-06T11:41:48.151338
BIH,station_code,MEDIUM,OGD station code 'BIH' not found in OSM dataset.,BIH,2026-09-06T11:41:48.151338
HBD,station_code,MEDIUM,OGD station code 'HBD' not found in OSM dataset.,HBD,2026-09-06T11:41:48.151913
KMZ,station_code,MEDIUM,OGD station code 'KMZ' not found in OSM dataset.,KMZ,2026-09-06T11:41:48.151913
DMO,station_code,MEDIUM,OGD station code 'DMO' not found in OSM dataset.,DMO,2026-09-06T11:41:48.151913
SGO,station_code,MEDIUM,OGD station code 'SGO' not found in OSM dataset.,SGO,2026-09-06T11:41:48.151913
MAKR,station_code,MEDIUM,OGD station code 'MAKR' not found in OSM dataset.,MAKR,2026-09-06T11:41:48.151913
LAR,station_code,MEDIUM,OGD station code 'LAR' not found in OSM dataset.,LAR,2026-09-06T11:41:48.152539
NDLS,station_code,MEDIUM,OGD station code 'NDLS' not found in OSM dataset.,NDLS,2026-09-06T11:41:48.152539
LDH,station_code,MEDIUM,OGD station code 'LDH' not found in OSM dataset.,LDH,2026-09-06T11:41:48.152539
JUC,station_code,MEDIUM,OGD station code 'JUC' not found in OSM dataset.,JUC,2026-09-06T11:41:48.152539
BEAS,station_code,MEDIUM,OGD station code 'BEAS' not found in OSM dataset.,BEAS,2026-09-06T11:41:48.152539
ATT,station_code,MEDIUM,OGD station code 'ATT' not found in OSM dataset.,ATT,2026-09-06T11:41:48.153103
SHR,station_code,MEDIUM,OGD station code 'SHR' not found in OSM dataset.,SHR,2026-09-06T11:41:48.153103
KTE,station_code,MEDIUM,OGD station code 'KTE' not found in OSM dataset.,KTE,2026-09-06T11:41:48.153103
UMR,station_code,MEDIUM,OGD station code 'UMR' not found in OSM dataset.,UMR,2026-09-06T11:41:48.153103
SDL,station_code,MEDIUM,OGD station code 'SDL' not found in OSM dataset.,SDL,2026-09-06T11:41:48.153103
APR,station_code,MEDIUM,OGD station code 'APR' not found in OSM dataset.,APR,2026-09-06T11:41:48.153103
PND,station_code,MEDIUM,OGD station code 'PND' not found in OSM dataset.,PND,2026-09-06T11:41:48.153103
BSP,station_code,MEDIUM,OGD station code 'BSP' not found in OSM dataset.,BSP,2026-09-06T11:41:48.153103
CPH,station_code,MEDIUM,OGD station code 'CPH' not found in OSM dataset.,CPH,2026-09-06T11:41:48.153103
RIG,station_code,MEDIUM,OGD station code 'RIG' not found in OSM dataset.,RIG,2026-09-06T11:41:48.153103
JSG,station_code,MEDIUM,OGD station code 'JSG' not found in OSM dataset.,JSG,2026-09-06T11:41:48.153103
ROU,station_code,MEDIUM,OGD station code 'ROU' not found in OSM dataset.,ROU,2026-09-06T11:41:48.153103
CKP,station_code,MEDIUM,OGD station code 'CKP' not found in OSM dataset.,CKP,2026-09-06T11:41:48.153103
TATA,station_code,MEDIUM,OGD station code 'TATA' not found in OSM dataset.,TATA,2026-09-06T11:41:48.153103
KGP,station_code,MEDIUM,OGD station code 'KGP' not found in OSM dataset.,KGP,2026-09-06T11:41:48.153103
SRC,station_code,MEDIUM,OGD station code 'SRC' not found in OSM dataset.,SRC,2026-09-06T11:41:48.153103
REWA,station_code,MEDIUM,OGD station code 'REWA' not found in OSM dataset.,REWA,2026-09-06T11:41:48.153103
STA,station_code,MEDIUM,OGD station code 'STA' not found in OSM dataset.,STA,2026-09-06T11:41:48.153103
MYR,station_code,MEDIUM,OGD station code 'MYR' not found in OSM dataset.,MYR,2026-09-06T11:41:48.153103
JKE,station_code,MEDIUM,OGD station code 'JKE' not found in OSM dataset.,JKE,2026-09-06T11:41:48.153103
BINA,station_code,MEDIUM,OGD station code 'BINA' not found in OSM dataset.,BINA,2026-09-06T11:41:48.153103
BHS,station_code,MEDIUM,OGD station code 'BHS' not found in OSM dataset.,BHS,2026-09-06T11:41:48.153103
TVC,station_code,MEDIUM,OGD station code 'TVC' not found in OSM dataset.,TVC,2026-09-06T11:41:48.153103
QLN,station_code,MEDIUM,OGD station code 'QLN' not found in OSM dataset.,QLN,2026-09-06T11:41:48.155895
KYJ,station_code,MEDIUM,OGD station code 'KYJ' not found in OSM dataset.,KYJ,2026-09-06T11:41:48.155895
MVLK,station_code,MEDIUM,OGD station code 'MVLK' not found in OSM dataset.,MVLK,2026-09-06T11:41:48.155895
CNGR,station_code,MEDIUM,OGD station code 'CNGR' not found in OSM dataset.,CNGR,2026-09-06T11:41:48.155895
TRVL,station_code,MEDIUM,OGD station code 'TRVL' not found in OSM dataset.,TRVL,2026-09-06T11:41:48.155895
KTYM,station_code,MEDIUM,OGD station code 'KTYM' not found in OSM dataset.,KTYM,2026-09-06T11:41:48.155895
ERN,station_code,MEDIUM,OGD station code 'ERN' not found in OSM dataset.,ERN,2026-09-06T11:41:48.155895
AWY,station_code,MEDIUM,OGD station code 'AWY' not found in OSM dataset.,AWY,2026-09-06T11:41:48.155895
TCR,station_code,MEDIUM,OGD station code 'TCR' not found in OSM dataset.,TCR,2026-09-06T11:41:48.155895
PGT,station_code,MEDIUM,OGD station code 'PGT' not found in OSM dataset.,PGT,2026-09-06T11:41:48.156914
CBE,station_code,MEDIUM,OGD station code 'CBE' not found in OSM dataset.,CBE,2026-09-06T11:41:48.156914
TUP,station_code,MEDIUM,OGD station code 'TUP' not found in OSM dataset.,TUP,2026-09-06T11:41:48.156914
ED,station_code,MEDIUM,OGD station code 'ED' not found in OSM dataset.,ED,2026-09-06T11:41:48.156914
KPD,station_code,MEDIUM,OGD station code 'KPD' not found in OSM dataset.,KPD,2026-09-06T11:41:48.156914
OGL,station_code,MEDIUM,OGD station code 'OGL' not found in OSM dataset.,OGL,2026-09-06T11:41:48.156914
BZA,station_code,MEDIUM,OGD station code 'BZA' not found in OSM dataset.,BZA,2026-09-06T11:41:48.156914
RJY,station_code,MEDIUM,OGD station code 'RJY' not found in OSM dataset.,RJY,2026-09-06T11:41:48.156914
VSKP,station_code,MEDIUM,OGD station code 'VSKP' not found in OSM dataset.,VSKP,2026-09-06T11:41:48.156914
VZM,station_code,MEDIUM,OGD station code 'VZM' not found in OSM dataset.,VZM,2026-09-06T11:41:48.156914
CHE,station_code,MEDIUM,OGD station code 'CHE' not found in OSM dataset.,CHE,2026-09-06T11:41:48.156914
PSA,station_code,MEDIUM,OGD station code 'PSA' not found in OSM dataset.,PSA,2026-09-06T11:41:48.158277
BAM,station_code,MEDIUM,OGD station code 'BAM' not found in OSM dataset.,BAM,2026-09-06T11:41:48.158277
BALU,station_code,MEDIUM,OGD station code 'BALU' not found in OSM dataset.,BALU,2026-09-06T11:41:48.158277
KUR,station_code,MEDIUM,OGD station code 'KUR' not found in OSM dataset.,KUR,2026-09-06T11:41:48.158277
BBS,station_code,MEDIUM,OGD station code 'BBS' not found in OSM dataset.,BBS,2026-09-06T11:41:48.158277
CTC,station_code,MEDIUM,OGD station code 'CTC' not found in OSM dataset.,CTC,2026-09-06T11:41:48.158277
JJKR,station_code,MEDIUM,OGD station code 'JJKR' not found in OSM dataset.,JJKR,2026-09-06T11:41:48.159234
BHC,station_code,MEDIUM,OGD station code 'BHC' not found in OSM dataset.,BHC,2026-09-06T11:41:48.159234
BLS,station_code,MEDIUM,OGD station code 'BLS' not found in OSM dataset.,BLS,2026-09-06T11:41:48.159234
HWH,station_code,MEDIUM,OGD station code 'HWH' not found in OSM dataset.,HWH,2026-09-06T11:41:48.159234
BHP,station_code,MEDIUM,OGD station code 'BHP' not found in OSM dataset.,BHP,2026-09-06T11:41:48.159234
RPH,station_code,MEDIUM,OGD station code 'RPH' not found in OSM dataset.,RPH,2026-09-06T11:41:48.159234
PKR,station_code,MEDIUM,OGD station code 'PKR' not found in OSM dataset.,PKR,2026-09-06T11:41:48.159234
NFK,station_code,MEDIUM,OGD station code 'NFK' not found in OSM dataset.,NFK,2026-09-06T11:41:48.159234
MLDT,station_code,MEDIUM,OGD station code 'MLDT' not found in OSM dataset.,MLDT,2026-09-06T11:41:48.159234
KNE,station_code,MEDIUM,OGD station code 'KNE' not found in OSM dataset.,KNE,2026-09-06T11:41:48.159234
NJP,station_code,MEDIUM,OGD station code 'NJP' not found in OSM dataset.,NJP,2026-09-06T11:41:48.159234
DQG,station_code,MEDIUM,OGD station code 'DQG' not found in OSM dataset.,DQG,2026-09-06T11:41:48.159234
NCB,station_code,MEDIUM,OGD station code 'NCB' not found in OSM dataset.,NCB,2026-09-06T11:41:48.159234
NOQ,station_code,MEDIUM,OGD station code 'NOQ' not found in OSM dataset.,NOQ,2026-09-06T11:41:48.159234
KOJ,station_code,MEDIUM,OGD station code 'KOJ' not found in OSM dataset.,KOJ,2026-09-06T11:41:48.159234
NBQ,station_code,MEDIUM,OGD station code 'NBQ' not found in OSM dataset.,NBQ,2026-09-06T11:41:48.159234
BPRD,station_code,MEDIUM,OGD station code 'BPRD' not found in OSM dataset.,BPRD,2026-09-06T11:41:48.159234
RNY,station_code,MEDIUM,OGD station code 'RNY' not found in OSM dataset.,RNY,2026-09-06T11:41:48.159234
KYQ,station_code,MEDIUM,OGD station code 'KYQ' not found in OSM dataset.,KYQ,2026-09-06T11:41:48.159234
GHY,station_code,MEDIUM,OGD station code 'GHY' not found in OSM dataset.,GHY,2026-09-06T11:41:48.159234
HJI,station_code,MEDIUM,OGD station code 'HJI' not found in OSM dataset.,HJI,2026-09-06T11:41:48.159234
LMG,station_code,MEDIUM,OGD station code 'LMG' not found in OSM dataset.,LMG,2026-09-06T11:41:48.159234
NHGJ,station_code,MEDIUM,OGD station code 'NHGJ' not found in OSM dataset.,NHGJ,2026-09-06T11:41:48.159234
BPB,station_code,MEDIUM,OGD station code 'BPB' not found in OSM dataset.,BPB,2026-09-06T11:41:48.159234
SCL,station_code,MEDIUM,OGD station code 'SCL' not found in OSM dataset.,SCL,2026-09-06T11:41:48.159234
PLNI,station_name,LOW,Name matched by fuzzy substring (OGD='Palani' ~ OSM='Vadapalani'); verify manually.,,2026-09-06T11:41:48.159234
UDT,station_code,MEDIUM,OGD station code 'UDT' not found in OSM dataset.,UDT,2026-09-06T11:41:48.159234
POY,station_code,MEDIUM,OGD station code 'POY' not found in OSM dataset.,POY,2026-09-06T11:41:48.159234
HYB,station_code,MEDIUM,OGD station code 'HYB' not found in OSM dataset.,HYB,2026-09-06T11:41:48.162730
SC,station_code,MEDIUM,OGD station code 'SC' not found in OSM dataset.,SC,2026-09-06T11:41:48.162730
MED,station_code,MEDIUM,OGD station code 'MED' not found in OSM dataset.,MED,2026-09-06T11:41:48.162730
KMC,station_code,MEDIUM,OGD station code 'KMC' not found in OSM dataset.,KMC,2026-09-06T11:41:48.162730
NZB,station_code,MEDIUM,OGD station code 'NZB' not found in OSM dataset.,NZB,2026-09-06T11:41:48.162730
DAB,station_code,MEDIUM,OGD station code 'DAB' not found in OSM dataset.,DAB,2026-09-06T11:41:48.162730
MUE,station_code,MEDIUM,OGD station code 'MUE' not found in OSM dataset.,MUE,2026-09-06T11:41:48.162730
NED,station_code,MEDIUM,OGD station code 'NED' not found in OSM dataset.,NED,2026-09-06T11:41:48.162730
PAU,station_code,MEDIUM,OGD station code 'PAU' not found in OSM dataset.,PAU,2026-09-06T11:41:48.162730
BMF,station_code,MEDIUM,OGD station code 'BMF' not found in OSM dataset.,BMF,2026-09-06T11:41:48.162730
HNL,station_code,MEDIUM,OGD station code 'HNL' not found in OSM dataset.,HNL,2026-09-06T11:41:48.162730
WHM,station_code,MEDIUM,OGD station code 'WHM' not found in OSM dataset.,WHM,2026-09-06T11:41:48.162730
BAU,station_code,MEDIUM,OGD station code 'BAU' not found in OSM dataset.,BAU,2026-09-06T11:41:48.162730
NAD,station_code,MEDIUM,OGD station code 'NAD' not found in OSM dataset.,NAD,2026-09-06T11:41:48.162730
MDS,station_code,MEDIUM,OGD station code 'MDS' not found in OSM dataset.,MDS,2026-09-06T11:41:48.162730
NMH,station_code,MEDIUM,OGD station code 'NMH' not found in OSM dataset.,NMH,2026-09-06T11:41:48.162730
BHL,station_code,MEDIUM,OGD station code 'BHL' not found in OSM dataset.,BHL,2026-09-06T11:41:48.162730
AII,station_code,MEDIUM,OGD station code 'AII' not found in OSM dataset.,AII,2026-09-06T11:41:48.162730
KSG,station_code,MEDIUM,OGD station code 'KSG' not found in OSM dataset.,KSG,2026-09-06T11:41:48.162730
DURG,station_code,MEDIUM,OGD station code 'DURG' not found in OSM dataset.,DURG,2026-09-06T11:41:48.162730
R,station_code,MEDIUM,OGD station code 'R' not found in OSM dataset.,R,2026-09-06T11:41:48.162730
RJT,station_code,MEDIUM,OGD station code 'RJT' not found in OSM dataset.,RJT,2026-09-06T11:41:48.162730
WKR,station_code,MEDIUM,OGD station code 'WKR' not found in OSM dataset.,WKR,2026-09-06T11:41:48.162730
SUNR,station_code,MEDIUM,OGD station code 'SUNR' not found in OSM dataset.,SUNR,2026-09-06T11:41:48.162730
VG,station_code,MEDIUM,OGD station code 'VG' not found in OSM dataset.,VG,2026-09-06T11:41:48.162730
ADI,station_code,MEDIUM,OGD station code 'ADI' not found in OSM dataset.,ADI,2026-09-06T11:41:48.162730
ND,station_code,MEDIUM,OGD station code 'ND' not found in OSM dataset.,ND,2026-09-06T11:41:48.162730
ANND,station_code,MEDIUM,OGD station code 'ANND' not found in OSM dataset.,ANND,2026-09-06T11:41:48.162730
BH,station_code,MEDIUM,OGD station code 'BH' not found in OSM dataset.,BH,2026-09-06T11:41:48.162730
NDB,station_code,MEDIUM,OGD station code 'NDB' not found in OSM dataset.,NDB,2026-09-06T11:41:48.162730
AN,station_code,MEDIUM,OGD station code 'AN' not found in OSM dataset.,AN,2026-09-06T11:41:48.162730
G,station_code,MEDIUM,OGD station code 'G' not found in OSM dataset.,G,2026-09-06T11:41:48.162730
DVD,station_code,MEDIUM,OGD station code 'DVD' not found in OSM dataset.,DVD,2026-09-06T11:41:48.162730
NLR,station_code,MEDIUM,OGD station code 'NLR' not found in OSM dataset.,NLR,2026-09-06T11:41:48.162730
HTE,station_code,MEDIUM,OGD station code 'HTE' not found in OSM dataset.,HTE,2026-09-06T11:41:48.162730
KOAA,station_code,MEDIUM,OGD station code 'KOAA' not found in OSM dataset.,KOAA,2026-09-06T11:41:48.162730
PURI,station_name,LOW,Name matched by fuzzy substring (OGD='Puri' ~ OSM='Dharmapuri'); verify manually.,,2026-09-06T11:41:48.162730
ASN,station_code,MEDIUM,OGD station code 'ASN' not found in OSM dataset.,ASN,2026-09-06T11:41:48.162730
BCQ,station_code,MEDIUM,OGD station code 'BCQ' not found in OSM dataset.,BCQ,2026-09-06T11:41:48.162730
STN,station_code,MEDIUM,OGD station code 'STN' not found in OSM dataset.,STN,2026-09-06T11:41:48.162730
ULT,station_code,MEDIUM,OGD station code 'ULT' not found in OSM dataset.,ULT,2026-09-06T11:41:48.162730
BRR,station_code,MEDIUM,OGD station code 'BRR' not found in OSM dataset.,BRR,2026-09-06T11:41:48.162730
KMME,station_code,MEDIUM,OGD station code 'KMME' not found in OSM dataset.,KMME,2026-09-06T11:41:48.162730
MMU,station_code,MEDIUM,OGD station code 'MMU' not found in OSM dataset.,MMU,2026-09-06T11:41:48.162730
TNW,station_code,MEDIUM,OGD station code 'TNW' not found in OSM dataset.,TNW,2026-09-06T11:41:48.162730
KAO,station_code,MEDIUM,OGD station code 'KAO' not found in OSM dataset.,KAO,2026-09-06T11:41:48.162730
