train_number,train_name,from_station_code,from_station_name,to_station_code,to_station_name,depart_from,arrive_at,from_seq,to_seq,from_distance_km,to_distance_km,section_distance_km,source
12606.0,Kkdi-Ms Pall,LLI,Lalgudi,ALU,Ariyalur,07:15:00,07:49:00,5.0,6.0,116.0,159.0,43.0,derived_from_OGD_timetable
12606.0,Kkdi-Ms Pall,ALU,Ariyalur,VRI,Vridha Chala,07:50:00,08:30:00,6.0,7.0,159.0,212.0,53.0,derived_from_OGD_timetable
12606.0,Kkdi-Ms Pall,VRI,Vridha Chala,VM,Villupuram J,08:32:00,09:20:00,7.0,8.0,212.0,266.0,54.0,derived_from_OGD_timetable
12606.0,Kkdi-Ms Pall,VM,Villupuram J,MLMR,Melmaruvathu,09:22:00,10:18:00,8.0,9.0,266.0,334.0,68.0,derived_from_OGD_timetable
12606.0,Kkdi-Ms Pall,MLMR,Melmaruvathu,CGL,Chengalpattu,10:20:00,10:53:00,9.0,10.0,334.0,369.0,35.0,derived_from_OGD_timetable
12606.0,Kkdi-Ms Pall,CGL,Chengalpattu,TBM,Tambaram,10:55:00,11:23:00,10.0,11.0,369.0,400.0,31.0,derived_from_OGD_timetable
12606.0,Kkdi-Ms Pall,TBM,Tambaram,MBM,Mambalam,11:25:00,11:43:00,11.0,12.0,400.0,418.0,18.0,derived_from_OGD_timetable
12606.0,Kkdi-Ms Pall,MBM,Mambalam,MS,Chennai Egmo,11:45:00,12:10:00,12.0,13.0,418.0,425.0,7.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,MS,Chennai Egmo,TBM,Tambaram,20:10:00,20:38:00,1.0,2.0,0.0,24.0,24.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,TBM,Tambaram,CGL,Chengalpattu,20:40:00,21:08:00,2.0,3.0,24.0,55.0,31.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,CGL,Chengalpattu,MLMR,Melmaruvathu,21:10:00,21:33:00,3.0,4.0,55.0,91.0,36.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,MLMR,Melmaruvathu,TMV,Tindivanam,21:35:00,21:58:00,4.0,5.0,91.0,121.0,30.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,TMV,Tindivanam,VM,Villupuram J,22:00:00,22:40:00,5.0,6.0,121.0,158.0,37.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,VM,Villupuram J,VRI,Vridha Chala,22:45:00,23:30:00,6.0,7.0,158.0,212.0,54.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,VRI,Vridha Chala,TPJ,Tiruchirappa,23:32:00,01:30:00,7.0,8.0,212.0,335.0,123.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,TPJ,Tiruchirappa,DG,Dindigul Jn,01:35:00,02:48:00,8.0,9.0,335.0,429.0,94.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,DG,Dindigul Jn,SDN,Sholavandan,02:50:00,03:18:00,9.0,10.0,429.0,470.0,41.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,SDN,Sholavandan,MDU,Madurai Jn,03:19:00,03:50:00,10.0,11.0,470.0,492.0,22.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,MDU,Madurai Jn,VPT,Virudunagar,03:55:00,04:34:00,11.0,12.0,492.0,535.0,43.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,VPT,Virudunagar,SRT,Satur,04:35:00,04:54:00,12.0,13.0,535.0,562.0,27.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,SRT,Satur,CVP,Kovilpatti,04:55:00,05:16:00,13.0,14.0,562.0,584.0,22.0,derived_from_OGD_timetable
12631.0,Ms-Ten Nella,CVP,Kovilpatti,TEN,Tirunelveli,05:17:00,07:10:00,14.0,15.0,584.0,649.0,65.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,TEN,Tirunelveli,CVP,Kovilpatti,19:45:00,20:33:00,1.0,2.0,0.0,65.0,65.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,CVP,Kovilpatti,SRT,Satur,20:35:00,20:54:00,2.0,3.0,65.0,86.0,21.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,SRT,Satur,VPT,Virudunagar,20:55:00,21:18:00,3.0,4.0,86.0,113.0,27.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,VPT,Virudunagar,MDU,Madurai Jn,21:20:00,22:10:00,4.0,5.0,113.0,156.0,43.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,MDU,Madurai Jn,SDN,Sholavandan,22:15:00,22:29:00,5.0,6.0,156.0,177.0,21.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,SDN,Sholavandan,DG,Dindigul Jn,22:30:00,23:13:00,6.0,7.0,177.0,218.0,41.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,DG,Dindigul Jn,TPJ,Tiruchirappa,23:15:00,00:50:00,7.0,8.0,218.0,313.0,95.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,TPJ,Tiruchirappa,VRI,Vridha Chala,00:55:00,02:38:00,8.0,9.0,313.0,436.0,123.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,VRI,Vridha Chala,VM,Villupuram J,02:40:00,03:40:00,9.0,10.0,436.0,490.0,54.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,VM,Villupuram J,TMV,Tindivanam,03:45:00,04:18:00,10.0,11.0,490.0,528.0,38.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,TMV,Tindivanam,MLMR,Melmaruvathu,04:20:00,04:43:00,11.0,12.0,528.0,558.0,30.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,MLMR,Melmaruvathu,CGL,Chengalpattu,04:45:00,05:18:00,12.0,13.0,558.0,593.0,35.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,CGL,Chengalpattu,TBM,Tambaram,05:20:00,05:48:00,13.0,14.0,593.0,624.0,31.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,TBM,Tambaram,MBM,Mambalam,05:50:00,06:09:00,14.0,15.0,624.0,642.0,18.0,derived_from_OGD_timetable
12632.0,Ten-Ms Nella,MBM,Mambalam,MS,Chennai Egmo,06:10:00,06:55:00,15.0,16.0,642.0,649.0,7.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,MS,Chennai Egmo,TBM,Tambaram,17:15:00,17:43:00,1.0,2.0,0.0,24.0,24.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,TBM,Tambaram,CGL,Chengalpattu,17:45:00,18:13:00,2.0,3.0,24.0,55.0,31.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,CGL,Chengalpattu,MLMR,Melmaruvathu,18:15:00,18:38:00,3.0,4.0,55.0,91.0,36.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,MLMR,Melmaruvathu,TMV,Tindivanam,18:40:00,19:03:00,4.0,5.0,91.0,121.0,30.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,TMV,Tindivanam,VM,Villupuram J,19:05:00,19:50:00,5.0,6.0,121.0,158.0,37.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,VM,Villupuram J,VRI,Vridha Chala,19:55:00,20:35:00,6.0,7.0,158.0,212.0,54.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,VRI,Vridha Chala,TPJ,Tiruchirappa,20:37:00,22:25:00,7.0,8.0,212.0,335.0,123.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,TPJ,Tiruchirappa,DG,Dindigul Jn,22:30:00,00:03:00,8.0,9.0,335.0,429.0,94.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,DG,Dindigul Jn,MDU,Madurai Jn,00:05:00,01:00:00,9.0,10.0,429.0,492.0,63.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,MDU,Madurai Jn,VPT,Virudunagar,01:05:00,02:00:00,10.0,11.0,492.0,535.0,43.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,VPT,Virudunagar,SRT,Satur,02:02:00,02:21:00,11.0,12.0,535.0,562.0,27.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,SRT,Satur,CVP,Kovilpatti,02:22:00,02:41:00,12.0,13.0,562.0,584.0,22.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,CVP,Kovilpatti,TEN,Tirunelveli,02:42:00,04:00:00,13.0,14.0,584.0,649.0,65.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,TEN,Tirunelveli,VLY,Valliyur,04:05:00,04:55:00,14.0,15.0,649.0,691.0,42.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,VLY,Valliyur,NCJ,Nagercoil Jn,04:56:00,05:30:00,15.0,16.0,691.0,722.0,31.0,derived_from_OGD_timetable
12633.0,Ms-Cape Exp.,NCJ,Nagercoil Jn,CAPE,Kanniyakumar,05:35:00,06:15:00,16.0,17.0,722.0,738.0,16.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,CAPE,Kanniyakumar,NCJ,Nagercoil Jn,17:20:00,17:35:00,1.0,2.0,0.0,15.0,15.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,NCJ,Nagercoil Jn,VLY,Valliyur,17:40:00,18:10:00,2.0,3.0,15.0,46.0,31.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,VLY,Valliyur,TEN,Tirunelveli,18:11:00,18:55:00,3.0,4.0,46.0,88.0,42.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,TEN,Tirunelveli,CVP,Kovilpatti,19:05:00,20:09:00,4.0,5.0,88.0,153.0,65.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,CVP,Kovilpatti,SRT,Satur,20:10:00,20:29:00,5.0,6.0,153.0,175.0,22.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,SRT,Satur,VPT,Virudunagar,20:30:00,21:03:00,6.0,7.0,175.0,202.0,27.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,VPT,Virudunagar,MDU,Madurai Jn,21:05:00,21:50:00,7.0,8.0,202.0,245.0,43.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,MDU,Madurai Jn,DG,Dindigul Jn,21:55:00,22:50:00,8.0,9.0,245.0,307.0,62.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,DG,Dindigul Jn,TPJ,Tiruchirappa,22:52:00,00:20:00,9.0,10.0,307.0,402.0,95.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,TPJ,Tiruchirappa,VRI,Vridha Chala,00:25:00,02:10:00,10.0,11.0,402.0,524.0,122.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,VRI,Vridha Chala,VM,Villupuram J,02:12:00,03:10:00,11.0,12.0,524.0,579.0,55.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,VM,Villupuram J,TMV,Tindivanam,03:15:00,03:48:00,12.0,13.0,579.0,616.0,37.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,TMV,Tindivanam,MLMR,Melmaruvathu,03:50:00,04:13:00,13.0,14.0,616.0,646.0,30.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,MLMR,Melmaruvathu,CGL,Chengalpattu,04:15:00,04:48:00,14.0,15.0,646.0,682.0,36.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,CGL,Chengalpattu,TBM,Tambaram,04:50:00,05:18:00,15.0,16.0,682.0,713.0,31.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,TBM,Tambaram,MBM,Mambalam,05:20:00,05:39:00,16.0,17.0,713.0,731.0,18.0,derived_from_OGD_timetable
12634.0,Cape-Ms Exp.,MBM,Mambalam,MS,Chennai Egmo,05:40:00,06:25:00,17.0,18.0,731.0,737.0,6.0,derived_from_OGD_timetable
12635.0,Ms-Mdu Vaiga,MS,Chennai Egmo,TBM,Tambaram,13:40:00,14:08:00,1.0,2.0,0.0,24.0,24.0,derived_from_OGD_timetable
12635.0,Ms-Mdu Vaiga,TBM,Tambaram,CGL,Chengalpattu,14:10:00,14:38:00,2.0,3.0,24.0,55.0,31.0,derived_from_OGD_timetable
12635.0,Ms-Mdu Vaiga,CGL,Chengalpattu,VM,Villupuram J,14:40:00,15:50:00,3.0,4.0,55.0,158.0,103.0,derived_from_OGD_timetable
12635.0,Ms-Mdu Vaiga,VM,Villupuram J,VRI,Vridha Chala,15:55:00,16:28:00,4.0,5.0,158.0,212.0,54.0,derived_from_OGD_timetable
12635.0,Ms-Mdu Vaiga,VRI,Vridha Chala,ALU,Ariyalur,16:30:00,17:04:00,5.0,6.0,212.0,266.0,54.0,derived_from_OGD_timetable
12635.0,Ms-Mdu Vaiga,ALU,Ariyalur,TPJ,Tiruchirappa,17:05:00,18:30:00,6.0,7.0,266.0,335.0,69.0,derived_from_OGD_timetable
12635.0,Ms-Mdu Vaiga,TPJ,Tiruchirappa,DG,Dindigul Jn,18:35:00,20:03:00,7.0,8.0,335.0,429.0,94.0,derived_from_OGD_timetable
12635.0,Ms-Mdu Vaiga,DG,Dindigul Jn,SDN,Sholavandan,20:05:00,20:34:00,8.0,9.0,429.0,470.0,41.0,derived_from_OGD_timetable
12635.0,Ms-Mdu Vaiga,SDN,Sholavandan,MDU,Madurai Jn,20:35:00,21:20:00,9.0,10.0,470.0,492.0,22.0,derived_from_OGD_timetable
12636.0,Mdu-Ms Vaiga,MDU,Madurai Jn,SDN,Sholavandan,07:00:00,07:14:00,1.0,2.0,0.0,21.0,21.0,derived_from_OGD_timetable
12636.0,Mdu-Ms Vaiga,SDN,Sholavandan,DG,Dindigul Jn,07:15:00,07:53:00,2.0,3.0,21.0,62.0,41.0,derived_from_OGD_timetable
12636.0,Mdu-Ms Vaiga,DG,Dindigul Jn,TPJ,Tiruchirappa,07:55:00,09:00:00,3.0,4.0,62.0,156.0,94.0,derived_from_OGD_timetable
12636.0,Mdu-Ms Vaiga,TPJ,Tiruchirappa,ALU,Ariyalur,09:05:00,10:04:00,4.0,5.0,156.0,226.0,70.0,derived_from_OGD_timetable
12636.0,Mdu-Ms Vaiga,ALU,Ariyalur,VRI,Vridha Chala,10:05:00,10:38:00,5.0,6.0,226.0,279.0,53.0,derived_from_OGD_timetable
12636.0,Mdu-Ms Vaiga,VRI,Vridha Chala,VM,Villupuram J,10:40:00,11:45:00,6.0,7.0,279.0,334.0,55.0,derived_from_OGD_timetable
12636.0,Mdu-Ms Vaiga,VM,Villupuram J,CGL,Chengalpattu,11:50:00,13:18:00,7.0,8.0,334.0,437.0,103.0,derived_from_OGD_timetable
12636.0,Mdu-Ms Vaiga,CGL,Chengalpattu,TBM,Tambaram,13:20:00,13:48:00,8.0,9.0,437.0,467.0,30.0,derived_from_OGD_timetable
12636.0,Mdu-Ms Vaiga,TBM,Tambaram,MBM,Mambalam,13:50:00,14:08:00,9.0,10.0,467.0,485.0,18.0,derived_from_OGD_timetable
12636.0,Mdu-Ms Vaiga,MBM,Mambalam,MS,Chennai Egmo,14:10:00,14:35:00,10.0,11.0,485.0,492.0,7.0,derived_from_OGD_timetable
12637.0,Pandian Exp,MS,Chennai Egmo,TBM,Tambaram,21:40:00,22:08:00,1.0,2.0,0.0,24.0,24.0,derived_from_OGD_timetable
12637.0,Pandian Exp,TBM,Tambaram,CGL,Chengalpattu,22:10:00,22:38:00,2.0,3.0,24.0,55.0,31.0,derived_from_OGD_timetable
12637.0,Pandian Exp,CGL,Chengalpattu,VM,Villupuram J,22:40:00,23:53:00,3.0,4.0,55.0,158.0,103.0,derived_from_OGD_timetable
12637.0,Pandian Exp,VM,Villupuram J,VRI,Vridha Chala,23:58:00,00:38:00,4.0,5.0,158.0,212.0,54.0,derived_from_OGD_timetable
12637.0,Pandian Exp,VRI,Vridha Chala,TPJ,Tiruchirappa,00:40:00,02:45:00,5.0,6.0,212.0,335.0,123.0,derived_from_OGD_timetable
12637.0,Pandian Exp,TPJ,Tiruchirappa,MPA,Manaparai,02:50:00,03:20:00,6.0,7.0,335.0,372.0,37.0,derived_from_OGD_timetable
12637.0,Pandian Exp,MPA,Manaparai,DG,Dindigul Jn,03:21:00,04:15:00,7.0,8.0,372.0,429.0,57.0,derived_from_OGD_timetable
12637.0,Pandian Exp,DG,Dindigul Jn,ABI,Ambaturai,04:20:00,04:30:00,8.0,9.0,429.0,440.0,11.0,derived_from_OGD_timetable
12637.0,Pandian Exp,ABI,Ambaturai,KQN,Kodaikkanal,04:31:00,04:40:00,9.0,10.0,440.0,451.0,11.0,derived_from_OGD_timetable
12637.0,Pandian Exp,KQN,Kodaikkanal,MDU,Madurai Jn,04:41:00,05:55:00,10.0,11.0,451.0,492.0,41.0,derived_from_OGD_timetable
12638.0,Mdu-Ms Pandi,MDU,Madurai Jn,KQN,Kodaikkanal,20:35:00,21:09:00,1.0,2.0,0.0,40.0,40.0,derived_from_OGD_timetable
12638.0,Mdu-Ms Pandi,KQN,Kodaikkanal,ABI,Ambaturai,21:10:00,21:23:00,2.0,3.0,40.0,51.0,11.0,derived_from_OGD_timetable
12638.0,Mdu-Ms Pandi,ABI,Ambaturai,DG,Dindigul Jn,21:24:00,21:39:00,3.0,4.0,51.0,62.0,11.0,derived_from_OGD_timetable
12638.0,Mdu-Ms Pandi,DG,Dindigul Jn,MPA,Manaparai,21:40:00,22:24:00,4.0,5.0,62.0,119.0,57.0,derived_from_OGD_timetable
12638.0,Mdu-Ms Pandi,MPA,Manaparai,TPJ,Tiruchirappa,22:25:00,23:05:00,5.0,6.0,119.0,156.0,37.0,derived_from_OGD_timetable
12638.0,Mdu-Ms Pandi,TPJ,Tiruchirappa,VRI,Vridha Chala,23:10:00,00:38:00,6.0,7.0,156.0,279.0,123.0,derived_from_OGD_timetable
12638.0,Mdu-Ms Pandi,VRI,Vridha Chala,VM,Villupuram J,00:40:00,01:55:00,7.0,8.0,279.0,334.0,55.0,derived_from_OGD_timetable
12638.0,Mdu-Ms Pandi,VM,Villupuram J,CGL,Chengalpattu,02:00:00,03:33:00,8.0,9.0,334.0,437.0,103.0,derived_from_OGD_timetable
12638.0,Mdu-Ms Pandi,CGL,Chengalpattu,TBM,Tambaram,03:35:00,04:03:00,9.0,10.0,437.0,467.0,30.0,derived_from_OGD_timetable
12638.0,Mdu-Ms Pandi,TBM,Tambaram,MBM,Mambalam,04:05:00,04:24:00,10.0,11.0,467.0,485.0,18.0,derived_from_OGD_timetable
12638.0,Mdu-Ms Pandi,MBM,Mambalam,MS,Chennai Egmo,04:25:00,04:55:00,11.0,12.0,485.0,492.0,7.0,derived_from_OGD_timetable
12641.0,Cape- Nzm Ti,CAPE,Kanniyakumar,NCJ,Nagercoil Jn,19:15:00,19:35:00,1.0,2.0,0.0,15.0,15.0,derived_from_OGD_timetable
12641.0,Cape- Nzm Ti,NCJ,Nagercoil Jn,TEN,Tirunelveli,19:40:00,21:10:00,2.0,3.0,15.0,88.0,73.0,derived_from_OGD_timetable
12641.0,Cape- Nzm Ti,TEN,Tirunelveli,MEJ,Vanchi Maniy,21:15:00,21:40:00,3.0,4.0,88.0,117.0,29.0,derived_from_OGD_timetable
12641.0,Cape- Nzm Ti,MEJ,Vanchi Maniy,CVP,Kovilpatti,21:41:00,22:14:00,4.0,5.0,117.0,153.0,36.0,derived_from_OGD_timetable
12641.0,Cape- Nzm Ti,CVP,Kovilpatti,SRT,Satur,22:15:00,22:34:00,5.0,6.0,153.0,175.0,22.0,derived_from_OGD_timetable
12641.0,Cape- Nzm Ti,SRT,Satur,VPT,Virudunagar,22:35:00,23:06:00,6.0,7.0,175.0,202.0,27.0,derived_from_OGD_timetable
12641.0,Cape- Nzm Ti,VPT,Virudunagar,MDU,Madurai Jn,23:07:00,00:25:00,7.0,8.0,202.0,245.0,43.0,derived_from_OGD_timetable
12641.0,Cape- Nzm Ti,MDU,Madurai Jn,KQN,Kodaikkanal,00:30:00,01:04:00,8.0,9.0,245.0,285.0,40.0,derived_from_OGD_timetable
12641.0,Cape- Nzm Ti,KQN,Kodaikkanal,DG,Dindigul Jn,01:05:00,01:26:00,9.0,10.0,285.0,307.0,22.0,derived_from_OGD_timetable
