train_number,train_name,station_code,station_name,arrival_time,departure_time,day,sequence,distance_km,source_station_code,source_station_name,destination_station_code,destination_station_name,source,source_url
12605.0,Ms-Kkdi Pall,CGL,Chengalpattu,16:43:00,16:45:00,,3.0,55.0,MS,Chennai Egmore,KKDI,Karaikkudi,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12605.0,Ms-Kkdi Pall,MLMR,Melmaruvathu,17:08:00,17:10:00,,4.0,91.0,MS,Chennai Egmore,KKDI,Karaikkudi,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12605.0,Ms-Kkdi Pall,VM,Villupuram J,18:05:00,18:10:00,,5.0,158.0,MS,Chennai Egmore,KKDI,Karaikkudi,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12605.0,Ms-Kkdi Pall,VRI,Vridha Chala,18:45:00,18:47:00,,6.0,212.0,MS,Chennai Egmore,KKDI,Karaikkudi,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12605.0,Ms-Kkdi Pall,ALU,Ariyalur,19:26:00,19:27:00,,7.0,266.0,MS,Chennai Egmore,KKDI,Karaikkudi,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12605.0,Ms-Kkdi Pall,LLI,Lalgudi,20:01:00,20:02:00,,8.0,309.0,MS,Chennai Egmore,KKDI,Karaikkudi,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12605.0,Ms-Kkdi Pall,SRGM,Srirangam,20:17:00,20:18:00,,9.0,324.0,MS,Chennai Egmore,KKDI,Karaikkudi,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12605.0,Ms-Kkdi Pall,GOC,Ponmalai (Go,20:32:00,20:33:00,,10.0,333.0,MS,Chennai Egmore,KKDI,Karaikkudi,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12605.0,Ms-Kkdi Pall,TPJ,Tiruchirappa,21:00:00,21:10:00,,11.0,335.0,MS,Chennai Egmore,KKDI,Karaikkudi,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12605.0,Ms-Kkdi Pall,PDKT,Pudukkottai,21:59:00,22:00:00,,12.0,388.0,MS,Chennai Egmore,KKDI,Karaikkudi,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12605.0,Ms-Kkdi Pall,KKDI,Karaikkudi,23:00:00,23:00:00,,13.0,425.0,MS,Chennai Egmore,KKDI,Karaikkudi,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12606.0,Kkdi-Ms Pall,KKDI,Karaikkudi,05:05:00,05:05:00,,1.0,0.0,KKDI,Karaikkudi,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12606.0,Kkdi-Ms Pall,PDKT,Pudukkottai,05:34:00,05:35:00,,2.0,36.0,KKDI,Karaikkudi,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12606.0,Kkdi-Ms Pall,TPJ,Tiruchirappa,06:30:00,06:40:00,,3.0,89.0,KKDI,Karaikkudi,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12606.0,Kkdi-Ms Pall,SRGM,Srirangam,06:58:00,07:00:00,,4.0,101.0,KKDI,Karaikkudi,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12606.0,Kkdi-Ms Pall,LLI,Lalgudi,07:14:00,07:15:00,,5.0,116.0,KKDI,Karaikkudi,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12606.0,Kkdi-Ms Pall,ALU,Ariyalur,07:49:00,07:50:00,,6.0,159.0,KKDI,Karaikkudi,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12606.0,Kkdi-Ms Pall,VRI,Vridha Chala,08:30:00,08:32:00,,7.0,212.0,KKDI,Karaikkudi,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12606.0,Kkdi-Ms Pall,VM,Villupuram J,09:20:00,09:22:00,,8.0,266.0,KKDI,Karaikkudi,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12606.0,Kkdi-Ms Pall,MLMR,Melmaruvathu,10:18:00,10:20:00,,9.0,334.0,KKDI,Karaikkudi,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12606.0,Kkdi-Ms Pall,CGL,Chengalpattu,10:53:00,10:55:00,,10.0,369.0,KKDI,Karaikkudi,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12606.0,Kkdi-Ms Pall,TBM,Tambaram,11:23:00,11:25:00,,11.0,400.0,KKDI,Karaikkudi,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12606.0,Kkdi-Ms Pall,MBM,Mambalam,11:43:00,11:45:00,,12.0,418.0,KKDI,Karaikkudi,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12606.0,Kkdi-Ms Pall,MS,Chennai Egmo,12:10:00,12:10:00,,13.0,425.0,KKDI,Karaikkudi,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,MS,Chennai Egmo,20:10:00,20:10:00,,1.0,0.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,TBM,Tambaram,20:38:00,20:40:00,,2.0,24.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,CGL,Chengalpattu,21:08:00,21:10:00,,3.0,55.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,MLMR,Melmaruvathu,21:33:00,21:35:00,,4.0,91.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,TMV,Tindivanam,21:58:00,22:00:00,,5.0,121.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,VM,Villupuram J,22:40:00,22:45:00,,6.0,158.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,VRI,Vridha Chala,23:30:00,23:32:00,,7.0,212.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,TPJ,Tiruchirappa,01:30:00,01:35:00,,8.0,335.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,DG,Dindigul Jn,02:48:00,02:50:00,,9.0,429.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,SDN,Sholavandan,03:18:00,03:19:00,,10.0,470.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,MDU,Madurai Jn,03:50:00,03:55:00,,11.0,492.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,VPT,Virudunagar,04:34:00,04:35:00,,12.0,535.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,SRT,Satur,04:54:00,04:55:00,,13.0,562.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,CVP,Kovilpatti,05:16:00,05:17:00,,14.0,584.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12631.0,Ms-Ten Nella,TEN,Tirunelveli,07:10:00,07:10:00,,15.0,649.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,TEN,Tirunelveli,19:45:00,19:45:00,,1.0,0.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,CVP,Kovilpatti,20:33:00,20:35:00,,2.0,65.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,SRT,Satur,20:54:00,20:55:00,,3.0,86.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,VPT,Virudunagar,21:18:00,21:20:00,,4.0,113.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,MDU,Madurai Jn,22:10:00,22:15:00,,5.0,156.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,SDN,Sholavandan,22:29:00,22:30:00,,6.0,177.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,DG,Dindigul Jn,23:13:00,23:15:00,,7.0,218.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,TPJ,Tiruchirappa,00:50:00,00:55:00,,8.0,313.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,VRI,Vridha Chala,02:38:00,02:40:00,,9.0,436.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,VM,Villupuram J,03:40:00,03:45:00,,10.0,490.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,TMV,Tindivanam,04:18:00,04:20:00,,11.0,528.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,MLMR,Melmaruvathu,04:43:00,04:45:00,,12.0,558.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,CGL,Chengalpattu,05:18:00,05:20:00,,13.0,593.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,TBM,Tambaram,05:48:00,05:50:00,,14.0,624.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,MBM,Mambalam,06:09:00,06:10:00,,15.0,642.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12632.0,Ten-Ms Nella,MS,Chennai Egmo,06:55:00,06:55:00,,16.0,649.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,MS,Chennai Egmo,00:00:00,17:15:00,,1.0,0.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,TBM,Tambaram,17:43:00,17:45:00,,2.0,24.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,CGL,Chengalpattu,18:13:00,18:15:00,,3.0,55.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,MLMR,Melmaruvathu,18:38:00,18:40:00,,4.0,91.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,TMV,Tindivanam,19:03:00,19:05:00,,5.0,121.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,VM,Villupuram J,19:50:00,19:55:00,,6.0,158.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,VRI,Vridha Chala,20:35:00,20:37:00,,7.0,212.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,TPJ,Tiruchirappa,22:25:00,22:30:00,,8.0,335.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,DG,Dindigul Jn,00:03:00,00:05:00,,9.0,429.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,MDU,Madurai Jn,01:00:00,01:05:00,,10.0,492.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,VPT,Virudunagar,02:00:00,02:02:00,,11.0,535.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,SRT,Satur,02:21:00,02:22:00,,12.0,562.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,CVP,Kovilpatti,02:41:00,02:42:00,,13.0,584.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,TEN,Tirunelveli,04:00:00,04:05:00,,14.0,649.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,VLY,Valliyur,04:55:00,04:56:00,,15.0,691.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,NCJ,Nagercoil Jn,05:30:00,05:35:00,,16.0,722.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12633.0,Ms-Cape Exp.,CAPE,Kanniyakumar,06:15:00,00:00:00,,17.0,738.0,MS,Chennai Egmore,CAPE,Kanniyakumari,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,CAPE,Kanniyakumar,00:00:00,17:20:00,,1.0,0.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,NCJ,Nagercoil Jn,17:35:00,17:40:00,,2.0,15.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,VLY,Valliyur,18:10:00,18:11:00,,3.0,46.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,TEN,Tirunelveli,18:55:00,19:05:00,,4.0,88.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,CVP,Kovilpatti,20:09:00,20:10:00,,5.0,153.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,SRT,Satur,20:29:00,20:30:00,,6.0,175.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,VPT,Virudunagar,21:03:00,21:05:00,,7.0,202.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,MDU,Madurai Jn,21:50:00,21:55:00,,8.0,245.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,DG,Dindigul Jn,22:50:00,22:52:00,,9.0,307.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,TPJ,Tiruchirappa,00:20:00,00:25:00,,10.0,402.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,VRI,Vridha Chala,02:10:00,02:12:00,,11.0,524.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,VM,Villupuram J,03:10:00,03:15:00,,12.0,579.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,TMV,Tindivanam,03:48:00,03:50:00,,13.0,616.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,MLMR,Melmaruvathu,04:13:00,04:15:00,,14.0,646.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,CGL,Chengalpattu,04:48:00,04:50:00,,15.0,682.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,TBM,Tambaram,05:18:00,05:20:00,,16.0,713.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,MBM,Mambalam,05:39:00,05:40:00,,17.0,731.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12634.0,Cape-Ms Exp.,MS,Chennai Egmo,06:25:00,00:00:00,,18.0,737.0,CAPE,Kanniyakumari,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12635.0,Ms-Mdu Vaiga,MS,Chennai Egmo,13:40:00,13:40:00,,1.0,0.0,MS,Chennai Egmore,MDU,Madurai Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12635.0,Ms-Mdu Vaiga,TBM,Tambaram,14:08:00,14:10:00,,2.0,24.0,MS,Chennai Egmore,MDU,Madurai Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12635.0,Ms-Mdu Vaiga,CGL,Chengalpattu,14:38:00,14:40:00,,3.0,55.0,MS,Chennai Egmore,MDU,Madurai Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12635.0,Ms-Mdu Vaiga,VM,Villupuram J,15:50:00,15:55:00,,4.0,158.0,MS,Chennai Egmore,MDU,Madurai Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12635.0,Ms-Mdu Vaiga,VRI,Vridha Chala,16:28:00,16:30:00,,5.0,212.0,MS,Chennai Egmore,MDU,Madurai Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12635.0,Ms-Mdu Vaiga,ALU,Ariyalur,17:04:00,17:05:00,,6.0,266.0,MS,Chennai Egmore,MDU,Madurai Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12635.0,Ms-Mdu Vaiga,TPJ,Tiruchirappa,18:30:00,18:35:00,,7.0,335.0,MS,Chennai Egmore,MDU,Madurai Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12635.0,Ms-Mdu Vaiga,DG,Dindigul Jn,20:03:00,20:05:00,,8.0,429.0,MS,Chennai Egmore,MDU,Madurai Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12635.0,Ms-Mdu Vaiga,SDN,Sholavandan,20:34:00,20:35:00,,9.0,470.0,MS,Chennai Egmore,MDU,Madurai Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12635.0,Ms-Mdu Vaiga,MDU,Madurai Jn,21:20:00,21:20:00,,10.0,492.0,MS,Chennai Egmore,MDU,Madurai Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12636.0,Mdu-Ms Vaiga,MDU,Madurai Jn,07:00:00,07:00:00,,1.0,0.0,MDU,Madurai Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
