task_id,severity_class,overdue_days,traffic_density_class,deferred_count,actual_priority_rank
TDMS_TASK_018616,B,27,High,2,73.17
SMMS_TASK_014695,C,38,High,5,71.53
TDMS_TASK_024710,A,22,Low,3,89.04
SMMS_TASK_018555,B,41,Critical Peak,1,74.54
TDMS_TASK_007879,C,1,Medium,1,23.18
TDMS_TASK_004218,A,31,Medium,1,93.98
TMS_TASK_001920,B,38,High,5,88.8
TDMS_TASK_024836,A,17,Medium,4,88.01
TDMS_TASK_002152,B,0,High,1,41.59
SMMS_TASK_000247,B,7,Low,0,37.15
TDMS_TASK_012955,A,10,Medium,0,59.78
TDMS_TASK_011898,C,22,Low,0,33.26
TMS_TASK_008622,A,40,High,1,88.81
SMMS_TASK_002887,A,30,High,2,96.26
SMMS_TASK_020825,C,0,Critical Peak,4,50.39
TDMS_TASK_022549,C,33,Critical Peak,2,70.17
TMS_TASK_021078,B,28,Medium,5,84.92
TMS_TASK_018011,C,44,Low,4,65.08
TDMS_TASK_017581,B,14,Critical Peak,0,53.16
SMMS_TASK_020538,B,43,High,5,94.72
SMMS_TASK_022780,C,0,Medium,5,34.92
TMS_TASK_018517,C,4,High,1,23.97
TMS_TASK_017057,B,42,Critical Peak,3,82.11
TDMS_TASK_010001,B,36,Low,2,71.63
TMS_TASK_026831,A,26,Critical Peak,1,81.9
SMMS_TASK_014856,A,7,Critical Peak,5,90.97
TMS_TASK_028395,B,38,Low,2,72.25
TMS_TASK_019256,B,30,Critical Peak,2,82.57
SMMS_TASK_005133,A,8,Critical Peak,0,68.21
SMMS_TASK_006861,B,25,Critical Peak,4,88.59
TDMS_TASK_024416,B,16,Low,5,67.57
TMS_TASK_006586,A,38,High,5,100.0
TDMS_TASK_018624,B,31,Medium,3,73.6
SMMS_TASK_019765,B,26,Critical Peak,2,79.45
TMS_TASK_025393,A,5,Critical Peak,3,83.16
TMS_TASK_020727,A,36,Medium,1,87.5
SMMS_TASK_004439,B,29,Medium,2,69.21
TMS_TASK_010442,C,36,Critical Peak,5,80.78
SMMS_TASK_013176,B,19,Medium,2,60.69
TDMS_TASK_003142,B,19,Critical Peak,3,68.08
TDMS_TASK_015084,C,29,Medium,0,48.51
TMS_TASK_006652,A,2,High,2,65.2
SMMS_TASK_024417,A,23,High,1,80.63
SMMS_TASK_017446,C,39,Critical Peak,0,59.76
TMS_TASK_014206,B,9,High,2,51.83
TDMS_TASK_012927,B,1,Medium,3,46.59
TMS_TASK_018724,B,8,Medium,3,52.69
TDMS_TASK_005790,A,14,Critical Peak,3,89.98
TMS_TASK_017831,C,15,Critical Peak,5,72.29
TMS_TASK_022998,C,7,Low,0,26.31
SMMS_TASK_017611,B,0,Medium,2,35.7
SMMS_TASK_001345,B,0,High,3,51.61
TDMS_TASK_002388,C,43,Critical Peak,5,75.79
TMS_TASK_000411,B,4,Medium,5,58.26
TMS_TASK_020994,B,23,High,1,67.21
TMS_TASK_018261,B,42,Low,3,75.26
SMMS_TASK_005270,B,17,Medium,0,51.72
SMMS_TASK_012661,B,31,Low,4,83.6
SMMS_TASK_015898,C,27,High,0,51.14
SMMS_TASK_023627,B,9,Critical Peak,4,73.24
SMMS_TASK_008636,B,11,Low,1,46.86
TMS_TASK_022956,B,18,High,4,69.26
TMS_TASK_000296,B,9,Critical Peak,1,54.48
SMMS_TASK_000838,A,8,Medium,5,80.32
TMS_TASK_000581,B,8,Medium,1,43.72
TDMS_TASK_001554,C,34,Low,0,47.55
SMMS_TASK_021790,C,42,Critical Peak,3,70.43
SMMS_TASK_009164,B,0,Medium,3,41.55
SMMS_TASK_007711,A,26,Low,0,80.47
SMMS_TASK_024050,C,7,Low,1,25.91
TDMS_TASK_006909,C,34,Critical Peak,5,80.88
TMS_TASK_020498,C,15,Low,0,34.12
TDMS_TASK_020249,A,38,High,4,100.0
TMS_TASK_017246,C,38,Medium,3,63.18
SMMS_TASK_024422,C,25,Medium,2,51.01
SMMS_TASK_021746,B,10,Critical Peak,2,59.32
TMS_TASK_005503,B,21,Medium,3,69.71
TMS_TASK_027084,C,11,Low,2,38.49
TDMS_TASK_018095,B,33,High,2,71.27
TDMS_TASK_011614,A,20,Low,4,85.74
TMS_TASK_010092,C,3,Medium,0,16.91
TMS_TASK_022151,B,7,Low,1,40.56
TMS_TASK_013142,C,34,High,4,69.89
TMS_TASK_019104,B,37,High,3,85.19
TMS_TASK_029689,C,36,Critical Peak,2,66.78
TMS_TASK_011568,C,27,Critical Peak,0,59.04
SMMS_TASK_006613,B,19,Critical Peak,1,64.55
TMS_TASK_005066,B,35,High,5,89.47
TMS_TASK_029324,A,27,Medium,3,93.9
SMMS_TASK_008796,B,44,Medium,1,66.71
TMS_TASK_029272,A,13,Low,5,86.39
TMS_TASK_016886,B,4,High,2,48.09
SMMS_TASK_004496,B,2,High,2,45.98
SMMS_TASK_007885,C,25,High,4,61.61
TMS_TASK_004611,B,9,Critical Peak,5,75.37
TMS_TASK_016837,B,8,High,5,68.76
TDMS_TASK_011350,B,41,Low,1,66.09
SMMS_TASK_012791,A,0,High,1,58.92
TMS_TASK_028867,B,27,Low,5,78.6
TMS_TASK_008852,A,30,Medium,5,100.0
SMMS_TASK_004988,C,7,Critical Peak,2,44.12
TMS_TASK_029271,B,32,Low,1,68.69
SMMS_TASK_008015,B,39,Medium,1,71.2
TDMS_TASK_023516,B,0,Medium,3,40.21
TDMS_TASK_006025,A,11,Medium,4,81.86
SMMS_TASK_001005,C,35,High,0,49.83
TMS_TASK_015086,A,7,Low,0,58.05
TDMS_TASK_011851,B,26,Critical Peak,2,77.95
TMS_TASK_028782,B,9,High,5,66.37
TMS_TASK_019897,A,23,Low,0,79.29
SMMS_TASK_017152,B,24,Critical Peak,0,67.76
SMMS_TASK_014470,C,5,Critical Peak,1,37.72
SMMS_TASK_000533,A,4,Critical Peak,1,70.49
SMMS_TASK_012138,B,42,Low,4,81.68
TDMS_TASK_016737,B,28,Low,5,85.99
TDMS_TASK_003570,A,5,Critical Peak,0,66.18
TDMS_TASK_020440,B,5,Critical Peak,1,47.49
TMS_TASK_005798,C,41,Medium,4,63.59
TMS_TASK_010838,B,21,Medium,5,78.22
TMS_TASK_000650,B,30,High,5,92.08
SMMS_TASK_003617,C,22,High,1,49.16
SMMS_TASK_013529,A,35,High,1,90.63
TMS_TASK_004867,A,18,Low,5,88.67
SMMS_TASK_002082,B,19,Low,5,72.99
TMS_TASK_004079,A,6,Medium,0,55.42
SMMS_TASK_007683,B,38,Medium,2,71.7
SMMS_TASK_012496,C,13,Medium,4,48.04
SMMS_TASK_003993,C,43,Low,5,71.25
SMMS_TASK_022947,B,28,Critical Peak,5,88.07
TMS_TASK_005705,A,4,High,0,62.28
SMMS_TASK_005637,B,39,Low,0,62.8
TDMS_TASK_001935,B,33,Low,1,69.29
TDMS_TASK_006403,B,15,Medium,3,51.65
TDMS_TASK_005312,B,26,Medium,4,78.71
TMS_TASK_018460,C,43,Medium,4,65.14
TMS_TASK_008409,A,29,Low,3,92.79
TMS_TASK_002795,B,18,Critical Peak,2,68.91
TMS_TASK_028493,B,12,Critical Peak,1,59.92
SMMS_TASK_007550,C,26,Medium,4,61.54
TMS_TASK_006378,A,19,Critical Peak,2,87.83
SMMS_TASK_023243,C,33,High,4,69.27
SMMS_TASK_017993,B,15,Medium,3,62.93
TMS_TASK_023485,B,43,High,4,86.84
TDMS_TASK_023070,B,22,Low,0,55.77
TDMS_TASK_006051,B,17,Medium,2,58.22
TMS_TASK_002731,B,38,Critical Peak,4,95.1
TMS_TASK_001134,B,12,Low,1,43.57
TMS_TASK_015725,B,21,High,5,81.98
TDMS_TASK_019301,B,31,Medium,3,75.82
TDMS_TASK_006163,B,2,Low,2,37.79
TDMS_TASK_017766,B,41,Critical Peak,1,81.1
SMMS_TASK_020762,A,17,Medium,5,90.12
TDMS_TASK_004217,B,18,Low,5,70.87
TDMS_TASK_013774,A,18,Low,5,95.52
TMS_TASK_005719,B,31,Low,2,74.58
TMS_TASK_015730,C,5,Low,2,29.52
TDMS_TASK_019943,A,11,Critical Peak,2,76.46
SMMS_TASK_010989,B,38,Low,2,73.1
SMMS_TASK_001097,B,3,High,4,54.63
SMMS_TASK_008408,A,19,Low,4,85.26
SMMS_TASK_010529,C,14,Low,3,43.28
TMS_TASK_023326,C,19,Low,5,56.97
SMMS_TASK_013394,A,7,Low,1,60.15
SMMS_TASK_020987,A,2,Critical Peak,1,61.31
TDMS_TASK_006755,C,27,High,4,71.79
TMS_TASK_021976,B,26,Medium,1,64.76
TMS_TASK_001838,A,22,High,4,100.0
SMMS_TASK_000996,C,12,High,2,41.9
TDMS_TASK_019606,B,40,Critical Peak,2,81.4
TMS_TASK_012069,B,2,Critical Peak,2,51.45
TMS_TASK_026573,B,10,High,2,52.31
TDMS_TASK_005668,B,13,High,5,68.45
TDMS_TASK_023749,A,33,Low,5,100.0
TMS_TASK_025894,A,14,Low,1,72.97
TMS_TASK_021258,B,38,Medium,5,86.37
TDMS_TASK_001996,B,37,Low,3,75.49
TMS_TASK_006573,B,30,High,5,91.68
TDMS_TASK_004348,A,7,High,4,75.35
SMMS_TASK_022467,B,36,Critical Peak,2,79.38
TMS_TASK_028936,C,10,Critical Peak,5,54.69
TMS_TASK_017201,C,15,Low,4,49.95
TMS_TASK_022527,B,16,High,3,63.75
TMS_TASK_015287,B,20,Low,0,50.04
TDMS_TASK_003177,C,35,Critical Peak,2,65.69
TMS_TASK_004036,C,24,High,0,48.3
TMS_TASK_019231,B,11,Low,1,43.22
TMS_TASK_022225,B,5,Medium,1,38.23
SMMS_TASK_000548,C,2,Medium,5,33.04
SMMS_TASK_002739,C,41,Critical Peak,4,73.76
TDMS_TASK_021568,B,3,Low,2,44.36
SMMS_TASK_023961,C,38,Medium,4,70.61
TMS_TASK_011114,B,17,Medium,3,58.92
TDMS_TASK_008794,C,43,Medium,2,57.1
SMMS_TASK_007811,B,22,High,3,72.16
TDMS_TASK_005658,B,12,Medium,5,65.46
TDMS_TASK_024689,B,7,Critical Peak,0,53.62
TMS_TASK_005380,A,7,Medium,3,72.37
SMMS_TASK_008560,B,30,Low,2,73.92
TMS_TASK_006003,C,27,High,4,64.02
TMS_TASK_002216,C,40,Medium,0,51.16
TDMS_TASK_006853,B,9,Medium,0,36.74
TDMS_TASK_020412,C,32,Critical Peak,2,66.52
TDMS_TASK_023182,C,16,Critical Peak,3,62.37
TDMS_TASK_021022,B,1,Medium,0,32.04
TMS_TASK_020378,B,34,High,5,88.97
TDMS_TASK_006606,C,31,Critical Peak,5,79.12
SMMS_TASK_011613,B,42,Critical Peak,4,91.38
SMMS_TASK_021574,A,39,High,5,100.0
TDMS_TASK_008441,A,25,High,3,96.92
SMMS_TASK_010576,B,26,Low,3,73.71
TMS_TASK_027479,B,25,Critical Peak,4,86.24
TDMS_TASK_002438,C,0,Medium,3,31.31
TMS_TASK_007992,C,6,Medium,3,36.65
SMMS_TASK_016595,C,0,Medium,4,33.1
TMS_TASK_028689,B,11,High,1,48.13
SMMS_TASK_009088,A,0,Critical Peak,0,58.56
SMMS_TASK_001172,A,11,Medium,0,60.72
SMMS_TASK_017178,B,37,Medium,4,79.41
TDMS_TASK_008124,A,26,Critical Peak,0,89.0
TMS_TASK_007125,B,27,Medium,4,83.84
SMMS_TASK_014249,C,30,High,5,72.22
SMMS_TASK_013234,B,17,High,5,74.48
TMS_TASK_024323,A,20,Low,5,93.42
TDMS_TASK_021020,B,39,Low,0,60.21
TMS_TASK_026682,B,28,Critical Peak,0,70.75
TDMS_TASK_022363,B,20,Critical Peak,1,72.58
TMS_TASK_019274,A,8,High,3,80.82
TMS_TASK_003004,C,13,Low,2,32.79
TDMS_TASK_020671,B,34,Critical Peak,5,100.0
TMS_TASK_017046,B,8,Medium,2,43.91
TMS_TASK_027319,B,28,Low,3,74.43
TMS_TASK_022652,A,25,High,1,86.26
TMS_TASK_017979,A,31,Critical Peak,3,100.0
TMS_TASK_011394,B,30,High,2,77.49
SMMS_TASK_002752,B,9,Critical Peak,4,72.64
SMMS_TASK_012949,A,5,Critical Peak,4,80.64
TDMS_TASK_006150,A,11,Medium,5,82.68
TDMS_TASK_016821,C,38,High,1,57.82
TMS_TASK_011141,B,31,Critical Peak,1,74.85
TMS_TASK_021825,B,43,High,5,94.93
SMMS_TASK_022611,C,16,High,0,36.09
TMS_TASK_006547,C,13,Medium,0,27.71
SMMS_TASK_024069,B,25,Low,0,55.36
SMMS_TASK_007899,B,13,High,1,56.93
TDMS_TASK_020940,B,42,Critical Peak,2,80.04
SMMS_TASK_005439,B,42,Critical Peak,0,71.53
TDMS_TASK_003471,A,34,High,4,100.0
TMS_TASK_022523,B,40,Low,0,63.76
SMMS_TASK_007952,C,5,Critical Peak,4,47.51
SMMS_TASK_023316,B,37,Medium,5,84.52
TDMS_TASK_010710,A,1,Critical Peak,2,73.43
TMS_TASK_000196,B,18,Critical Peak,3,79.86
SMMS_TASK_010315,B,20,Critical Peak,3,74.93
TDMS_TASK_010858,A,4,Low,0,50.82
TDMS_TASK_000365,B,32,Critical Peak,5,97.21
TMS_TASK_023690,A,28,High,2,94.77
TMS_TASK_006087,C,15,Critical Peak,1,47.22
TDMS_TASK_017058,B,5,Low,5,59.37
TDMS_TASK_019259,A,20,High,0,79.9
TDMS_TASK_022257,B,24,Low,5,81.52
TMS_TASK_028694,B,2,Low,4,47.75
TMS_TASK_007692,B,12,Medium,2,52.2
TMS_TASK_028749,B,25,High,1,65.4
SMMS_TASK_004218,B,29,Critical Peak,3,91.48
SMMS_TASK_018633,C,17,Medium,4,51.51
TDMS_TASK_024139,B,25,Critical Peak,4,87.85
SMMS_TASK_009725,B,22,Medium,3,64.86
SMMS_TASK_011598,B,13,Medium,5,60.73
TDMS_TASK_014227,A,11,High,5,88.77
TMS_TASK_003836,B,36,High,0,64.5
TMS_TASK_027046,C,39,Medium,1,49.68
SMMS_TASK_002501,C,6,High,2,35.97
TMS_TASK_011283,A,42,Medium,2,95.61
TDMS_TASK_014595,B,36,Medium,4,80.27
TMS_TASK_020262,B,23,High,2,72.57
SMMS_TASK_017365,B,24,Medium,4,73.83
TDMS_TASK_006970,B,33,Critical Peak,0,68.04
TDMS_TASK_015282,B,37,Critical Peak,2,80.08
TDMS_TASK_010121,B,20,Medium,3,71.07
TDMS_TASK_014020,B,6,Low,5,59.54
SMMS_TASK_015744,B,31,Low,0,58.25
TMS_TASK_019440,B,11,Low,2,46.27
TMS_TASK_001767,B,27,Low,5,82.11
SMMS_TASK_010465,B,10,Medium,1,43.1
SMMS_TASK_012807,B,28,Medium,2,73.26
TDMS_TASK_024006,C,25,Medium,1,44.45
TMS_TASK_008398,C,20,Critical Peak,1,56.21
SMMS_TASK_004291,B,18,High,5,77.55
TDMS_TASK_014227,B,23,High,1,64.43
SMMS_TASK_008234,C,33,Low,1,49.73
TMS_TASK_002342,C,20,Medium,1,42.62
SMMS_TASK_009442,C,43,Medium,2,59.39
SMMS_TASK_011275,B,41,Medium,3,75.62
SMMS_TASK_021199,B,40,High,0,66.7
TMS_TASK_024754,B,8,Low,5,64.64
TDMS_TASK_018118,A,21,High,5,100.0
TDMS_TASK_004998,B,1,High,1,48.58
TDMS_TASK_010012,A,14,High,0,70.69
TDMS_TASK_014926,B,37,Low,5,86.08
SMMS_TASK_017577,A,28,Low,5,99.98
TMS_TASK_000010,B,16,Low,1,49.64
TMS_TASK_000308,C,32,High,3,69.3
TDMS_TASK_020548,A,42,High,4,100.0
SMMS_TASK_023832,A,44,Low,2,94.92
TMS_TASK_027289,C,19,Critical Peak,2,54.36
TMS_TASK_010958,B,22,Critical Peak,2,79.4
SMMS_TASK_001993,B,39,Critical Peak,0,75.31
TMS_TASK_025755,A,42,Critical Peak,3,100.0
TMS_TASK_026062,A,41,High,5,100.0
SMMS_TASK_015242,B,15,High,3,60.9
TDMS_TASK_009901,C,41,Medium,4,70.95
TMS_TASK_013083,A,13,High,5,92.61
TDMS_TASK_019463,B,22,Low,2,63.19
TDMS_TASK_020172,B,36,Critical Peak,0,74.54
TMS_TASK_003612,A,2,Low,3,61.79
TDMS_TASK_023577,C,34,Medium,4,65.63
TDMS_TASK_015182,C,21,High,5,65.6
TMS_TASK_028244,B,8,Low,0,45.34
SMMS_TASK_015585,A,17,High,1,78.91
TDMS_TASK_015108,C,30,Medium,4,69.62
SMMS_TASK_006589,B,35,Medium,0,65.42
TDMS_TASK_019158,C,3,Medium,4,37.29
TMS_TASK_019795,C,21,High,2,46.59
TMS_TASK_000311,C,13,High,0,35.72
SMMS_TASK_013620,B,32,Medium,5,82.97
TMS_TASK_000097,A,43,High,0,85.23
TDMS_TASK_018091,B,17,Low,5,68.28
SMMS_TASK_000170,B,20,Low,3,67.0
TDMS_TASK_006370,B,22,High,1,62.87
TDMS_TASK_006773,C,6,High,3,41.44
SMMS_TASK_001289,C,0,Low,5,34.54
TMS_TASK_027467,A,23,Critical Peak,5,100.0
SMMS_TASK_003518,A,23,Low,1,80.6
TMS_TASK_009172,C,21,Medium,4,51.62
SMMS_TASK_008973,A,19,High,4,94.51
TMS_TASK_017897,B,28,Low,4,77.99
SMMS_TASK_019175,C,27,High,0,51.15
TDMS_TASK_002053,C,1,Critical Peak,4,42.39
SMMS_TASK_021400,C,32,Low,0,50.37
TMS_TASK_011229,A,19,Low,4,88.16
TMS_TASK_009496,B,1,High,5,55.62
TMS_TASK_014696,C,3,Critical Peak,2,38.07
SMMS_TASK_000172,C,26,High,4,67.39
TMS_TASK_024691,C,39,Medium,3,61.42
SMMS_TASK_019737,C,5,Critical Peak,3,45.7
TMS_TASK_021773,A,38,Medium,5,100.0
SMMS_TASK_006761,B,34,Low,0,63.4
TDMS_TASK_004656,B,19,Low,0,53.42
TDMS_TASK_002461,B,30,High,1,75.07
TMS_TASK_010770,B,4,Medium,0,31.14
TMS_TASK_009806,A,11,High,5,85.27
TDMS_TASK_010311,B,37,Medium,5,82.38
SMMS_TASK_004335,C,36,Critical Peak,1,64.07
TMS_TASK_019260,B,23,Critical Peak,1,73.16
TMS_TASK_000114,B,5,Low,5,64.1
TMS_TASK_025643,B,4,Low,1,38.0
TDMS_TASK_023749,B,16,Low,0,48.09
SMMS_TASK_014284,B,14,High,0,47.3
TMS_TASK_000621,B,7,Medium,3,48.7
TMS_TASK_027331,B,12,Low,1,51.45
TMS_TASK_020712,A,33,Critical Peak,1,98.92
TMS_TASK_004542,C,16,Medium,3,44.38
TDMS_TASK_022096,B,17,Low,4,68.06
TMS_TASK_011863,A,33,High,1,94.66
SMMS_TASK_014432,B,27,Low,4,78.96
TMS_TASK_009526,B,28,Low,3,72.45
TDMS_TASK_007673,B,17,Medium,3,65.49
TDMS_TASK_001899,B,11,Low,5,62.36
TMS_TASK_005862,B,7,Critical Peak,0,49.93
TMS_TASK_023249,C,16,Low,5,58.69
TMS_TASK_026834,B,16,High,0,55.9
SMMS_TASK_000711,B,42,Critical Peak,1,77.46
TMS_TASK_004575,C,41,Low,1,54.95
SMMS_TASK_007412,B,37,Medium,5,84.99
SMMS_TASK_009485,B,42,Medium,0,61.59
TMS_TASK_017718,B,3,High,2,43.3
TDMS_TASK_013422,C,6,High,0,18.33
TDMS_TASK_005111,C,9,Low,5,42.1
TDMS_TASK_024094,B,28,Medium,4,81.76
TMS_TASK_026271,A,20,Medium,4,90.85
TMS_TASK_012661,B,30,Medium,2,74.43
SMMS_TASK_021663,B,36,Critical Peak,5,93.55
TDMS_TASK_018429,C,40,Low,1,53.04
TDMS_TASK_002596,C,36,Medium,5,73.14
TMS_TASK_017201,C,34,High,3,67.94
TDMS_TASK_018528,B,6,Medium,0,34.69
TMS_TASK_000712,A,18,Critical Peak,4,92.46
SMMS_TASK_015636,B,31,High,0,66.68
TDMS_TASK_009954,B,42,Critical Peak,4,88.31
SMMS_TASK_020097,A,13,Low,5,86.26
TDMS_TASK_004790,C,24,High,1,45.3
TDMS_TASK_023503,B,8,High,4,58.84
SMMS_TASK_011949,B,19,Critical Peak,5,86.54
TDMS_TASK_003909,B,17,High,2,63.76
TMS_TASK_020701,C,14,Critical Peak,3,53.39
TMS_TASK_012792,C,6,Medium,1,28.84
TMS_TASK_003297,B,13,Low,3,57.36
SMMS_TASK_016436,B,29,Medium,1,64.84
TMS_TASK_015658,C,17,Critical Peak,5,67.85
SMMS_TASK_001447,B,7,Low,2,45.64
SMMS_TASK_015389,A,22,High,1,83.5
TMS_TASK_018118,B,39,High,4,86.82
SMMS_TASK_001147,B,18,Low,3,66.98
TDMS_TASK_006651,A,19,Medium,4,83.72
SMMS_TASK_003903,B,30,High,2,73.25
TMS_TASK_026751,B,6,Critical Peak,5,62.59
TDMS_TASK_000116,A,41,Low,2,91.88
TMS_TASK_019836,C,32,High,5,76.99
TDMS_TASK_004298,B,12,Medium,0,44.39
TDMS_TASK_021559,A,44,Low,2,94.66
TDMS_TASK_007125,C,28,High,2,63.53
SMMS_TASK_011037,A,44,Low,3,100.0
TDMS_TASK_023950,B,29,Low,2,70.69
TMS_TASK_008021,B,32,Low,4,81.18
TMS_TASK_015768,A,44,Critical Peak,5,100.0
SMMS_TASK_011579,B,5,Critical Peak,4,62.91
SMMS_TASK_016491,C,29,High,1,57.32
TMS_TASK_016720,C,39,Medium,0,47.66
TDMS_TASK_020858,B,38,Critical Peak,2,79.92
TMS_TASK_020875,C,29,Low,1,55.42
SMMS_TASK_023216,C,21,High,3,51.41
TMS_TASK_013222,C,36,High,0,50.34
SMMS_TASK_008768,B,31,Critical Peak,4,89.55
TDMS_TASK_011485,C,23,Medium,0,38.61
TMS_TASK_023892,B,34,High,5,83.61
TDMS_TASK_001905,B,24,Low,0,59.37
TDMS_TASK_005692,A,19,High,3,87.1
TMS_TASK_005165,B,11,Low,1,49.48
TDMS_TASK_011987,C,8,Medium,4,39.18
TMS_TASK_012261,A,2,High,1,64.48
SMMS_TASK_017329,B,2,High,4,58.74
TMS_TASK_028490,B,2,Critical Peak,5,64.38
TMS_TASK_004264,B,30,Medium,1,69.31
SMMS_TASK_001414,A,14,Medium,0,62.87
TMS_TASK_009573,B,5,Critical Peak,1,42.61
TMS_TASK_002788,B,29,Medium,2,68.64
TMS_TASK_028904,B,5,Critical Peak,2,55.25
SMMS_TASK_020666,A,20,High,0,80.38
TDMS_TASK_013363,B,11,High,2,59.74
TDMS_TASK_015209,B,26,Critical Peak,3,83.7
SMMS_TASK_013768,C,5,Low,3,33.08
TDMS_TASK_010580,C,43,Medium,5,72.24
TMS_TASK_005005,A,9,Low,2,72.17
TMS_TASK_006941,B,44,Critical Peak,2,78.4
SMMS_TASK_000989,B,15,Medium,1,54.34
TDMS_TASK_003207,B,6,Critical Peak,1,49.96
TDMS_TASK_012978,C,41,Low,5,71.22
SMMS_TASK_018787,C,41,Critical Peak,1,61.15
SMMS_TASK_005043,B,24,Low,2,61.54
TMS_TASK_008859,B,19,High,0,60.17
SMMS_TASK_023372,C,27,High,5,75.7
TDMS_TASK_006115,A,28,Critical Peak,3,100.0
SMMS_TASK_004495,B,35,Medium,4,83.47
SMMS_TASK_016507,C,0,High,1,22.54
TMS_TASK_026487,A,42,Medium,3,95.67
TMS_TASK_022020,B,25,Critical Peak,0,61.7
TMS_TASK_017021,A,1,Medium,0,49.81
SMMS_TASK_009766,B,13,Critical Peak,4,73.45
SMMS_TASK_017530,A,26,Medium,5,99.72
TDMS_TASK_008556,B,3,Critical Peak,0,46.5
TDMS_TASK_019217,C,36,Medium,3,66.48
TDMS_TASK_022912,B,43,Low,0,62.23
TMS_TASK_001625,B,16,Medium,2,56.66
TMS_TASK_003137,B,32,Critical Peak,1,80.68
SMMS_TASK_015931,B,14,Critical Peak,2,61.72
TMS_TASK_008374,C,37,Critical Peak,2,67.85
TMS_TASK_017593,C,32,High,5,73.13
TMS_TASK_005694,B,22,Critical Peak,5,91.11
TDMS_TASK_017767,B,36,Critical Peak,5,96.34
TMS_TASK_004683,B,42,High,4,88.45
SMMS_TASK_014411,B,15,Low,5,66.61
TMS_TASK_023157,C,38,Critical Peak,4,69.34
SMMS_TASK_024192,B,5,Low,4,53.41
TDMS_TASK_018422,B,15,Low,5,65.79
