section_id,train_count,passenger_train_count,freight_train_count,freight_demand,traffic_density,average_delay,max_delay,peak_hour_flag,traffic_pressure_score
SEC_026,1052.0,798.0,254.0,5468.0,0.965,9.1,167.7,1,98.25
SEC_027,1001.0,757.0,244.0,5089.0,0.918,9.1,167.7,1,95.9
SEC_028,1017.0,749.0,268.0,5261.0,0.933,9.1,167.7,1,96.65
SEC_029,964.0,738.0,226.0,4822.0,0.884,9.1,167.7,1,94.2
SEC_030,1060.0,792.0,268.0,5226.0,0.972,9.1,167.7,1,98.6
SEC_031,1001.0,734.0,267.0,5190.0,0.918,9.1,167.7,1,95.9
SEC_032,1057.0,797.0,260.0,5326.0,0.97,9.1,167.7,1,98.5
SEC_033,1009.0,733.0,276.0,5195.0,0.926,9.1,167.7,1,96.3
SEC_034,1040.0,795.0,245.0,5094.0,0.954,9.1,167.7,1,97.7
SEC_035,1006.0,765.0,241.0,4939.0,0.923,9.1,167.7,1,96.15
SEC_036,1035.0,769.0,266.0,5305.0,0.95,9.1,167.7,1,97.5
SEC_037,1035.0,783.0,252.0,5542.0,0.95,9.1,167.7,1,97.5
SEC_038,1006.0,757.0,249.0,5195.0,0.923,9.1,167.7,1,96.15
SEC_039,1067.0,779.0,288.0,5421.0,0.979,9.1,167.7,1,98.95
SEC_040,1018.0,765.0,253.0,5004.0,0.934,9.1,167.7,1,96.7
SEC_041,994.0,751.0,243.0,4761.0,0.912,9.1,167.7,1,95.6
SEC_042,1026.0,764.0,262.0,5256.0,0.941,9.1,167.7,1,97.05
SEC_043,966.0,745.0,221.0,4772.0,0.886,9.1,167.7,1,94.3
SEC_044,1022.0,754.0,268.0,5142.0,0.938,9.1,167.7,1,96.9
SEC_045,914.0,679.0,235.0,4557.0,0.839,9.1,167.7,1,91.95
SEC_046,1090.0,793.0,297.0,5561.0,1.0,9.1,167.7,1,100.0
SEC_047,983.0,733.0,250.0,4673.0,0.902,9.1,167.7,1,95.1
SEC_048,1039.0,790.0,249.0,5101.0,0.953,9.1,167.7,1,97.65
SEC_049,1069.0,789.0,280.0,5429.0,0.981,9.1,167.7,1,99.05
SEC_050,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_051,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_052,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_053,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_054,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_055,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_056,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_057,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_058,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_059,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_060,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_061,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_062,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_063,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_064,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_065,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_066,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_067,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
SEC_068,0.0,0.0,0.0,0.0,0.0,9.1,167.7,0,0.0
